"","PTC.Open","PTC.High","PTC.Low","PTC.Close","PTC.Volume","PTC.Adjusted"
"829",64.889999,67.879997,64.660004,66.989998,532200,66.989998
"830",65.559998,66.269997,62.720001,62.970001,515100,62.970001
"831",64.519997,65.129997,63.009998,64.769997,482300,64.769997
"832",64.82,66.510002,64.169998,64.330002,792700,64.330002
"833",64.760002,65.32,63.84,65,596500,65
"834",65.769997,66.690002,65.419998,66.279999,468800,66.279999
"835",67.489998,68.239998,66.110001,66.370003,1070600,66.370003
"836",68,70.559998,67.360001,69.959999,1553000,69.959999
"837",70.110001,71.279999,64.5,69.25,2280200,69.25
"838",68.220001,69.160004,65.690002,66.379997,1017500,66.379997
"839",64.980003,67.470001,64.360001,67.190002,859100,67.190002
"840",68.540001,70.699997,67.040001,70.32,961700,70.32
"841",71.209999,71.540001,69.769997,70.410004,812300,70.410004
"842",71.25,72.349998,70.660004,70.860001,873100,70.860001
"843",71.720001,72.260002,70.599998,71.550003,647100,71.550003
"844",71.230003,72.82,70.660004,72.220001,1187700,72.220001
"845",71.970001,72.660004,68.339996,68.510002,684300,68.510002
"846",68.010002,68.389999,62.459999,63.290001,1013200,63.290001
"847",62.060001,65.209999,60.98,64.959999,735800,64.959999
"848",64.650002,65.690002,64.099998,65,373600,65
"849",66.580002,69.419998,66.580002,68.970001,820900,68.970001
"850",69,70.419998,68.580002,68.910004,632200,68.910004
"851",69.510002,71.510002,69.510002,70.43,468200,70.43
"852",70.389999,71.080002,69.660004,69.889999,453400,69.889999
"853",70.160004,70.519997,69.089996,70.209999,362800,70.209999
"854",71.349998,73.650002,70.610001,73.32,907600,73.32
"855",74.900002,75.040001,72.010002,74.940002,662000,74.940002
"856",75.620003,76.620003,74.769997,74.900002,684100,74.900002
"857",74.879997,76.57,74.120003,76.379997,920600,76.379997
"858",76.559998,79.440002,76.260002,79.080002,820500,79.080002
"859",79.339996,80.349998,78.129997,79.5,615000,79.5
"860",79.559998,81.029999,79.110001,80.940002,488400,80.940002
"861",80.099998,80.970001,79.669998,80.260002,576400,80.260002
"862",81.800003,84.489998,81.040001,83.739998,696600,83.739998
"863",84.139999,84.360001,82.510002,83.419998,1040700,83.419998
"864",82.760002,82.760002,81.440002,81.540001,859500,81.540001
"865",82.120003,83.059998,80.910004,81.209999,720100,81.209999
"866",78.809998,78.809998,72.269997,72.620003,1009800,72.620003
"867",75.040001,76.660004,73.300003,75.160004,1127800,75.160004
"868",73.559998,77.459999,73.410004,77.260002,503400,77.260002
"869",79.400002,80.800003,78.309998,79.57,692900,79.57
"870",80,80.309998,79.07,79.169998,624500,79.169998
"871",78.389999,79.379997,78.25,79.07,426600,79.07
"872",80.110001,80.639999,77.790001,78.709999,880900,78.709999
"873",78.32,78.959999,77.220001,78.93,412600,78.93
"874",79.790001,81.709999,79.449997,79.57,617800,79.57
"875",79.160004,79.669998,76.839996,76.919998,566800,76.919998
"876",76.400002,77.379997,75.650002,77.360001,625700,77.360001
"877",77.099998,77.440002,75.459999,75.529999,1006700,75.529999
"878",76.089996,77.029999,74.18,76.440002,683400,76.440002
"879",76.57,78.230003,75.739998,77.790001,975000,77.790001
