"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"839",130.169998,131.350006,129.320007,130.919998,5245300,125.276993
"840",131.639999,133.330002,130.770004,131.669998,3580000,125.994659
"841",131.580002,132.229996,130.690002,130.779999,4192200,125.143044
"842",131.550003,132,130.119995,131.550003,5528000,125.879852
"843",133.070007,135.160004,132.460007,134.229996,4209100,128.444351
"844",133.429993,136.199997,133.169998,134.380005,3591100,128.58786
"845",134.759995,136.380005,132.860001,132.940002,3914600,127.209946
"846",133.179993,134.470001,131.449997,132.960007,5168500,127.229065
"847",132.710007,133.559998,130.149994,133.080002,5522200,127.343895
"848",133.770004,137.660004,132.789993,135.949997,20338200,130.090195
"849",136.850006,137.990005,135.059998,135.520004,8480300,129.678741
"850",134.429993,134.759995,131.399994,131.729996,6640300,126.052078
"851",132.539993,132.679993,130.339996,131.259995,8213100,125.602341
"852",130.979996,131.440002,129.610001,130.210007,4886300,124.59761
"853",129.610001,130.630005,129.169998,130.479996,3429200,124.855972
"854",131.940002,132.050003,129.399994,129.75,5579300,124.15744
"855",129.720001,130.839996,128.580002,130.809998,5686500,125.171753
"856",131.210007,132.729996,130.110001,132.289993,4974400,126.587952
"857",132.009995,132.240005,130.320007,131.550003,13337900,125.879852
"858",131.600006,133.949997,131.190002,132.990005,4049200,127.25779
"859",133.050003,133.809998,131.119995,132.630005,5327500,126.9133
"860",133.240005,134.279999,132.600006,132.820007,5421200,127.095116
"861",131.589996,133.559998,130.179993,130.570007,5229700,125.91188
"862",131,133.520004,130.770004,132.440002,7075700,127.715172
"863",131.380005,132.470001,131.240005,132.210007,5613000,127.493378
"864",131.830002,133.149994,131.050003,132.970001,6446900,128.226273
"865",133.279999,135.160004,133.169998,134.130005,7069900,129.344864
"866",134.220001,135.139999,127.459999,127.839996,8541000,123.279282
"867",129.149994,129.929993,127.43,129,7039500,124.397896
"868",128.289993,130.960007,126.529999,130.479996,5481000,125.825096
"869",132.679993,133.059998,130.119995,131.669998,5197700,126.972626
"870",131.889999,133.039993,131.490005,131.759995,3309700,127.059425
"871",131.419998,133.130005,130.630005,132.779999,3417200,128.04303
"872",134.410004,134.820007,131.220001,131.279999,8310100,126.596558
"873",130.550003,131.759995,129.949997,131.050003,3379900,126.374748
"874",131.619995,132.679993,130.979996,131.360001,3625600,126.673691
"875",130.520004,131.070007,128.679993,129.559998,4853500,124.93792
"876",129.139999,131.729996,128.050003,131.410004,4442000,126.721916
"877",131.679993,132.369995,128.059998,128.929993,7372700,124.330376
"878",130.179993,131.399994,129.429993,131.080002,4173900,126.403671
"879",131.830002,132.820007,130.850006,132.259995,4626700,127.541588
"880",132.529999,133.619995,131.940002,132.360001,3633000,127.638031
"881",133.539993,134.169998,132.539993,132.850006,2769200,128.11055
"882",133.080002,133.949997,132.309998,133.300003,4221600,128.544495
"883",132.270004,134.619995,132.169998,133.570007,4424500,128.804871
"884",134.160004,134.690002,133.160004,134.220001,3798200,129.431656
"885",132.899994,133.940002,131.729996,132.710007,4005200,127.975548
"886",132.369995,134.889999,131.279999,134.460007,5932800,129.663101
"887",136.770004,138.070007,134.470001,134.910004,8960000,130.097046
"888",134.589996,136.949997,134.25,135.520004,6766800,130.685303
"889",135.350006,136.190002,133.25,133.690002,5561300,128.920563
"890",134.059998,134.360001,133.050003,133.880005,3788100,129.10379
"891",134.649994,135.059998,133.550003,134.660004,3229300,129.855972
"892",134.610001,134.610001,132.179993,133.110001,3620300,128.361267
"893",134,136.410004,133.789993,134.429993,5435400,129.634171
"894",135.559998,136.25,133.679993,136.009995,3522300,131.157806
"895",136.589996,137.25,135.490005,137.080002,5011400,132.189651
"896",136.990005,138.639999,135.389999,136.059998,3300000,131.206009
