"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted"
"1",115.779999,116,115.230003,115.839996,5953000,102.187965
"2",115.5,116.230003,115.309998,115.650002,5828900,102.020363
"3",116,116.970001,115.440002,116.860001,6217200,103.087769
"4",116.669998,117,115.760002,116.300003,5221400,102.59375
"5",116.349998,116.610001,115.889999,116.279999,5457500,102.576111
"6",116.029999,117,115.870003,116.160004,5312800,102.470253
"7",116.080002,116.25,114.019997,114.730003,8887200,101.208801
"8",114.269997,114.730003,113.370003,114.620003,6627300,101.111732
"9",114.940002,115.019997,114.440002,114.599998,4935200,101.094093
"10",113.940002,115.050003,113.669998,114.870003,6255400,101.332283
"11",114.870003,115.099998,114.410004,114.699997,5014600,101.182297
"12",114.68,114.900002,113.919998,114.199997,5540800,100.741226
"13",114.489998,115.029999,114.080002,114.150002,7502400,100.697128
"14",114.510002,114.769997,113.800003,113.910004,7989800,100.48542
"15",112.910004,113.300003,111.150002,111.760002,12450300,98.588799
"16",111.93,112.800003,110.760002,112.800003,9385500,99.506226
"17",112,112.839996,111.599998,111.839996,10164300,98.659363
"18",112,113.540001,111.900002,113.379997,8886100,100.017876
"19",113.400002,113.599998,112.849998,113.129997,6969400,99.79734
"20",112.790001,113.400002,112.43,113.25,8713400,99.903198
"21",112.480003,113.32,112.470001,113.230003,7082300,99.885559
"22",112.82,113.620003,112.769997,113.57,7826300,100.185486
"23",113.5,113.660004,112.660004,113.639999,7267600,100.247238
"24",113.459999,113.589996,112.620003,113.400002,6178400,100.035515
"25",113.599998,113.620003,113.050003,113.480003,5507900,100.106102
"26",113.300003,113.690002,113.150002,113.400002,5272000,100.035515
"27",113.400002,114.650002,113.400002,114.080002,5854600,100.635399
"28",114.32,115.989998,114.230003,115.239998,6438500,101.658676
"29",115.279999,116.120003,115.220001,115.879997,5710800,102.223244
"30",115.440002,116.400002,115.32,116.360001,5539100,102.646675
"31",115.900002,117.459999,115.589996,117.199997,5979700,103.387672
"32",117,118.279999,117,118.080002,7119300,104.163963
"33",118.190002,118.900002,118.050003,118.860001,8691400,104.852051
"34",118.400002,119.889999,118.32,119.660004,8595100,105.557777
"35",119.279999,119.769997,119.25,119.519997,5103900,105.434258
"36",119.519997,121.900002,119.480003,121.699997,9980900,107.357368
"37",121.5,122.739998,120.900002,122.730003,10835000,108.982353
"38",122.129997,122.879997,122.099998,122.400002,5946200,108.689323
"39",122.010002,122.650002,121.940002,122.209999,8885500,108.520607
"40",122.489998,124.449997,122.419998,123.860001,9393900,109.985786
"41",123.75,124.360001,123.019997,123.629997,6950200,109.781548
"42",123.629997,123.93,123.230003,123.790001,5585200,109.923637
"43",123.010002,124.43,122.599998,123.709999,6670700,109.852592
"44",122.580002,124.459999,122.389999,123.830002,6644000,109.95916
"45",123.75,124.68,123.5,124.099998,7909900,110.198906
"46",124.580002,126.209999,124.169998,125.949997,8571100,111.84166
"47",126.040001,126.489998,125.540001,126.209999,7395400,112.07254
"48",125.830002,126.949997,125.790001,126.68,7162500,112.489891
"49",126.860001,127.75,126.769997,127.050003,7679700,112.818459
"50",127.050003,129,126.599998,128.960007,8360600,114.514511
"51",128.440002,128.699997,127.769997,128.460007,7610700,114.070518
"52",128.449997,128.940002,127.949997,128.059998,13300800,113.715317
"53",128.039993,128.419998,127.970001,128.070007,5827500,113.724213
"54",128.380005,128.449997,127.139999,127.25,7578600,112.996048
"55",127.050003,127.650002,126.209999,126.260002,10272700,112.116943
"56",126.099998,127,125.660004,125.900002,8508100,111.797279
"57",125.860001,126.360001,125.129997,125.480003,6490300,111.424332
"58",125.160004,126.139999,125.150002,125.800003,5004300,111.708473
"59",125.620003,125.779999,124.779999,125.660004,5287600,111.584152
"60",125.050003,125.330002,124.360001,124.919998,3971800,110.92704
"61",124.739998,125.43,124.279999,124.660004,4711700,110.696159
"62",124.110001,124.830002,124.029999,124.550003,5657600,110.598495
"63",124.730003,125.309998,124.279999,124.690002,4956400,110.722809
"64",124.510002,124.769997,124.220001,124.68,5358500,110.713936
"65",124.720001,125.599998,124.410004,124.800003,5646300,110.820496
"66",124.849998,125.459999,124.5,125.050003,4324200,111.042488
"67",125.120003,125.470001,124.830002,124.919998,3615100,110.92704
"68",124.870003,124.949997,124.230003,124.339996,4594200,110.412003
"69",124.260002,124.790001,123.949997,124.220001,4161500,110.305458
"70",124.540001,125.459999,124.360001,125.400002,5556600,111.353279
"71",125.129997,125.650002,124.959999,124.989998,5396500,110.989204
"72",125.019997,125.809998,124.93,125.720001,5367500,111.637428
"73",123.18,123.370003,120.949997,121.82,13485700,108.174294
"74",122.099998,122.279999,121.110001,121.370003,6993100,107.774712
"75",121.860001,122.150002,121.349998,121.870003,6330100,108.218689
"76",121.779999,122.040001,121.540001,121.760002,6021700,108.121025
"77",122.519997,123.209999,122.150002,122.889999,5679000,109.124435
"78",123.339996,123.75,123.010002,123.43,5090000,109.603935
"79",123.790001,124.260002,123.480003,123.510002,5021800,109.674988
"80",123.580002,124.309998,123.400002,123.739998,4225200,109.879211
"81",123.849998,123.900002,123.129997,123.470001,4381800,109.639465
"82",123.400002,123.779999,123,123.339996,4556400,109.524025
"83",123.519997,123.739998,122.889999,123.699997,4881600,109.843697
"84",123.589996,123.699997,123.040001,123.330002,3736500,109.51516
"85",123.690002,123.949997,123.230003,123.949997,3753700,110.065689
"86",123.800003,123.800003,122.860001,123.510002,4139800,109.674988
"87",123.529999,123.800003,123.019997,123.25,3608600,109.444115
"88",123.230003,123.470001,122.879997,123.209999,3762500,109.408592
"89",122.910004,123.059998,122.379997,122.809998,4237400,109.053406
"90",122.5,123.209999,122.339996,123.199997,4095900,109.399696
"91",123.110001,124.099998,123.010002,123.639999,4097100,109.790413
"92",124.410004,127.360001,124.330002,126.989998,9854600,112.765175
"93",127.339996,128.369995,127.059998,127.769997,7233800,113.457817
"94",127.769997,127.889999,126.449997,126.669998,6480800,112.481026
"95",126.459999,127.870003,125.959999,126.970001,6571300,112.747414
"96",127.029999,127.389999,126.440002,127,6957200,112.774055
"97",126.629997,127.650002,126.629997,127.260002,4858200,113.004921
"98",127.309998,128.149994,127.309998,127.519997,3972500,113.235794
"99",127.790001,128,127.290001,127.510002,3965200,113.226929
"100",126.739998,127.620003,126.330002,127.529999,5294300,113.995651
"101",127.230003,127.669998,126.830002,126.919998,4005200,113.450401
"102",126.699997,127.389999,126.190002,127.110001,3665400,113.620239
"103",127.349998,128.800003,127.349998,128.25,8813500,114.639244
"104",128.320007,128.779999,128.119995,128.779999,5790900,115.113007
"105",129.050003,130.139999,128.830002,130.080002,6562600,116.275055
"106",129.970001,130.520004,129.800003,130.360001,4634700,116.525307
"107",130.179993,131.330002,130.029999,130.830002,5619100,116.945442
"108",131,131.479996,130.580002,130.75,5765200,116.873917
"109",130.75,131.399994,129.960007,130.550003,8101700,116.69516
"110",130.369995,131.699997,130.309998,131.529999,5992500,117.571136
"111",131.529999,131.830002,131.419998,131.820007,8020700,117.830399
"112",131.75,132.729996,131.399994,132.020004,5733800,118.009148
"113",132.509995,133.559998,132.509995,132.770004,7329400,118.679588
"114",132,133.350006,131.809998,133.039993,5265000,118.920883
"115",133.720001,134.600006,133.039993,134.350006,12639600,120.091881
"116",134.149994,134.679993,133.490005,134.070007,7488700,119.841614
"117",133.899994,134.759995,133.899994,134.220001,5201200,119.97567
"118",134.289993,135.110001,134.020004,134.910004,5841100,120.592438
"119",135.449997,137,135.270004,136.050003,7311000,121.611458
"120",135.449997,136.509995,135.320007,136.429993,9007100,121.951149
"121",136.479996,136.899994,136.199997,136.339996,5561800,121.870682
"122",136.5,136.729996,134.990005,135.009995,6120500,120.681808
"123",135.949997,136.199997,133.570007,133.820007,6557900,119.618134
"124",133.399994,133.729996,132.309998,132.639999,5750000,118.563354
"125",132.699997,133.199997,132.279999,132.289993,5264400,118.250496
"126",132.789993,133.320007,132.649994,132.899994,2931000,118.795769
"127",132.979996,134.059998,132.419998,133.639999,4302700,119.457222
"128",133.610001,133.970001,132.410004,132.520004,4282200,118.456093
"129",132.910004,133,131.690002,132.539993,4994100,118.473953
"130",132.740005,132.869995,131.229996,131.550003,4019600,117.589043
"131",131.429993,131.789993,130.479996,131.229996,3733100,117.302986
"132",132.039993,132.889999,131.770004,132.229996,5053200,118.196861
"133",132.100006,132.220001,130.990005,131.860001,4424400,117.866135
"134",132,133,131.740005,132.600006,4383100,118.527596
"135",132.710007,132.929993,131.75,132.149994,4939400,118.125359
"136",131.619995,134.949997,131.080002,134.460007,10256000,120.190201
"137",134.839996,135.410004,134.520004,135.210007,5503300,120.860611
"138",135.729996,137.080002,135.619995,136.570007,6088600,122.076294
"139",135.330002,136.270004,135.100006,135.309998,6773500,120.949974
"140",134.990005,135.160004,132.850006,133.009995,8306700,118.894081
"141",133.740005,133.850006,131.449997,131.880005,6262900,117.884018
"142",131.660004,132.240005,130.75,130.949997,5382200,117.052681
"143",130.850006,131.149994,129.570007,130.830002,5838100,116.945442
"144",131.139999,131.990005,130.520004,131.850006,4970900,117.857185
"145",132.139999,133.580002,132.100006,132.720001,5440800,118.634857
"146",133.169998,133.350006,132.279999,132.509995,3837600,118.447151
"147",132.080002,132.5,131.5,132.160004,4032100,118.134277
"148",131.910004,133.399994,131.509995,133.350006,4327300,119.198021
"149",133.740005,134.009995,132.800003,133.179993,3192800,119.046028
"150",133.089996,133.479996,132.509995,132.860001,3010800,118.760002
"151",132.5,132.800003,131.399994,132.270004,5535800,118.23262
"152",132.809998,133.410004,132.369995,133.229996,6332300,119.090714
"153",133.039993,133.850006,132.369995,133.089996,5607900,118.965607
"154",133.639999,134.490005,132.75,133.100006,4270600,118.974548
"155",134.199997,134.369995,132.869995,133.479996,3041100,119.314232
"156",133.850006,133.940002,133.199997,133.380005,3931800,119.224831
"157",134.080002,134.970001,133.860001,134.169998,4469900,119.930969
"158",134.179993,134.740005,133.029999,133.039993,5741400,118.920883
"159",132.669998,133.779999,132.380005,132.630005,4792800,118.554405
"160",132.279999,133.649994,132.190002,133.449997,4660000,119.287384
"161",133.270004,134.789993,132.899994,134.699997,4150300,120.404739
"162",134.429993,134.490005,132.649994,132.800003,5129900,118.706367
"163",132.820007,133.080002,132.270004,132.889999,5398400,118.786842
"164",131.910004,132.559998,131.619995,131.679993,4133300,118.453995
"165",131.679993,132.119995,131.490005,131.740005,5349200,118.50798
"166",131.570007,132.449997,131.300003,132.210007,3277900,118.930771
"167",132,132,130.899994,131.070007,5430800,117.905258
"168",131.389999,132.5,131.25,132.369995,7407100,119.074677
"169",132.600006,132.649994,130.940002,131.029999,3820800,117.86927
"170",130.720001,131.179993,129.720001,129.899994,5146600,116.852776
"171",130.539993,131,130.210007,130.669998,5601900,117.545418
"172",130.860001,132.520004,130.25,132.190002,3800200,118.912781
"173",132,132.339996,130.869995,130.979996,4854400,117.824303
"174",131.369995,133.339996,131.020004,133.210007,5724200,119.830322
"175",133.830002,133.880005,131.929993,132.630005,5465200,119.308563
"176",132.669998,133.75,131.850006,132.449997,4679500,119.146637
"177",132.139999,134.470001,131.990005,134.179993,6274500,120.702888
"178",134.789993,135.449997,134.179993,134.449997,15522000,120.945778
"179",134.440002,135.770004,134.110001,135.380005,5260800,121.782349
"180",135.020004,135.789993,134.350006,135.220001,4903800,121.638428
"181",133.25,134.289993,132.339996,133.220001,8705500,119.839317
"182",133.309998,133.820007,131.380005,131.75,6051800,118.516968
"183",131.990005,132.389999,131.270004,131.389999,4334900,118.193108
"184",131.470001,131.759995,130.830002,131.169998,6017400,117.995224
"185",131.5,131.940002,130.820007,130.940002,4516200,117.788307
"186",131,131.089996,129.429993,129.75,5796100,116.717834
