"","RTX.Open","RTX.High","RTX.Low","RTX.Close","RTX.Volume","RTX.Adjusted"
"1",69.471367,69.830086,69.225929,69.748268,4353224,62.215321
"2",70.144745,70.295784,69.590935,69.79232,4912235,62.254597
"3",69.962242,70.446823,69.578354,70.075516,5315046,62.507206
"4",70.119576,71.00692,69.893013,70.830711,4166358,63.18084
"5",70.92511,70.92511,70.025169,70.169914,3867785,62.591419
"6",70.327248,70.377594,69.893013,70.018883,2860836,62.456692
"7",70.245438,70.245438,69.590935,69.855255,4363712,62.310757
"8",69.943359,69.943359,69.043427,69.741974,4202269,62.209694
"9",69.811203,70.018883,69.131531,69.36438,4577273,61.872864
"10",69.087479,69.395844,68.848335,69.207047,3559519,61.732533
"11",69.351791,69.786026,69.112648,69.490242,4131877,61.985149
"12",69.874138,70.232849,69.238518,69.685333,4494010,62.159161
"13",69.823792,69.91819,69.244804,69.723099,4980403,62.192848
"14",69.754562,70.044052,69.213341,69.439896,3649297,61.94025
"15",69.65387,70.28949,69.439896,70.239143,5148360,62.653164
"16",70.402771,70.805534,68.458153,69.830086,8030806,62.288277
"17",69.729393,70.163628,68.930145,69.452484,6349644,61.95145
"18",69.320328,69.79232,68.980492,69.037132,4496870,61.580967
"19",68.791695,68.974197,68.124603,68.70359,4623831,61.283459
"20",68.621773,69.106354,68.212715,69.01825,6269717,61.56414
"21",68.99308,69.169289,67.904343,68.080551,7420789,60.727699
"22",68.017624,68.395218,67.243546,68.193832,7491341,60.828751
"23",68.300819,69.087479,68.281937,69.005661,5420397,61.552906
"24",69.106354,70.012589,69.024544,69.65387,6720834,62.1311
"25",70.094398,70.314667,69.836372,70.012589,4408522,62.451084
"26",69.911896,69.911896,69.44619,69.477661,3292885,61.97393
"27",69.477661,69.679047,69.225929,69.28257,4217206,61.799915
"28",69.383263,70.018883,69.276276,69.886719,4257249,62.338799
"29",70.239143,70.547516,70.119576,70.497169,4498141,62.883312
"30",70.478287,70.685966,70.138451,70.213974,4404549,62.630711
"31",69.937065,70.534927,69.893013,70.42794,4171125,63.1954
"32",70.572685,70.692261,70.365005,70.528633,4452537,63.285751
"33",70.440529,70.692261,70.239143,70.578979,4023030,63.330933
"34",70.604156,70.988045,70.509758,70.799248,3395534,63.528587
"35",70.704849,70.931404,70.308372,70.89994,3504698,63.618923
"36",70.92511,71.038391,70.465698,70.541222,5516531,63.297054
"37",70.3713,70.918816,70.327248,70.774071,4636543,63.505989
"38",70.855881,71.095032,70.503464,70.994339,4340195,63.703648
"39",71.095032,71.233482,70.698555,70.830711,4675633,63.556801
"40",71.516678,72.020142,71.403397,71.541847,8080860,64.194931
"41",71.636246,71.76841,70.881058,70.918816,4577591,63.63588
"42",70.918816,71.384521,70.591568,70.698555,4939089,63.438232
"43",70.377594,70.673378,70.195091,70.270607,5994026,63.054245
"44",70.396477,70.742607,70.169914,70.660789,3904491,63.404346
"45",70.786659,70.89994,70.26432,70.327248,4102480,63.105064
"46",70.402771,70.698555,67.369415,70.440529,4639562,63.206699
"47",70.730019,70.849594,70.037758,70.572685,5116898,63.325302
"48",70.837006,70.943993,70.459412,70.679672,4729341,63.421288
"49",70.409065,70.591568,70.201385,70.377594,3487537,63.15023
"50",70.560104,71.302704,70.402771,71.164253,5035700,63.856098
"51",70.969162,71.252357,70.453117,70.698555,4661808,63.438232
"52",70.912521,71.711769,70.654503,71.397102,11825815,64.065048
"53",71.365639,71.793579,71.00692,71.434868,4858844,64.09893
"54",71.529266,71.837631,70.471992,70.585274,5676067,63.336582
"55",70.71743,70.748901,70.119576,70.440529,3379803,63.206699
"56",70.440529,70.767776,70.20768,70.383888,3634679,63.155895
"57",70.471992,70.660789,70.062935,70.358719,3574773,63.133293
"58",69.905602,70.440529,69.509125,70.377594,3957881,63.15023
"59",70.113281,71.208305,70.056641,70.950279,5176485,63.664108
"60",70.830711,70.830711,70.42794,70.522339,3176093,63.280109
"61",70.459412,70.89994,70.390182,70.767776,2354262,63.500362
"62",70.799248,70.881058,70.390182,70.616737,3946599,63.364822
"63",70.660789,70.786659,70.006294,70.440529,3373447,63.206699
"64",70.654503,71.27124,70.63562,71.107613,4720760,63.805294
"65",71.202011,71.982376,70.767776,70.799248,4785909,63.528587
"66",70.8433,71.069855,70.604156,70.742607,3473077,63.477776
"67",70.881058,71.246063,70.629326,71.107613,3280014,63.805294
