"","DVA.Open","DVA.High","DVA.Low","DVA.Close","DVA.Volume","DVA.Adjusted"
"1",64.739998,65.349998,64.139999,65.089996,1086900,65.089996
"2",65.230003,66.559998,65.230003,66.309998,1118100,66.309998
"3",66.239998,66.400002,65.330002,65.709999,947600,65.709999
"4",65.730003,65.970001,65.260002,65.790001,647600,65.790001
"5",63,64.660004,62.880001,63.380001,2612600,63.380001
"6",63.299999,64.650002,63.209999,63.630001,1762200,63.630001
"7",63.48,63.580002,62.240002,63.189999,1950000,63.189999
"8",62.98,63.759998,62.669998,63.41,1499500,63.41
"9",63.709999,64.720001,63.709999,63.93,890000,63.93
"10",63.540001,64.139999,63.259998,63.849998,981800,63.849998
"11",64,64.059998,63.540001,63.889999,898400,63.889999
"12",63.68,63.830002,62.860001,62.900002,1144500,62.900002
"13",62.98,63.419998,62.720001,63.02,1586400,63.02
"14",62.830002,63.34,62.580002,63.119999,919000,63.119999
"15",63.169998,63.830002,63.169998,63.560001,841300,63.560001
"16",63.610001,64.379997,63.389999,64.080002,1063800,64.080002
"17",66.160004,66.599998,65.040001,65.209999,2045300,65.209999
"18",65.209999,65.209999,64.269997,64.550003,896100,64.550003
"19",64.669998,64.669998,62.580002,63.349998,1220100,63.349998
"20",63.41,63.919998,63.150002,63.75,1007100,63.75
"21",63.990002,64.809998,63.759998,64.629997,1475000,64.629997
"22",64.400002,65.099998,64.389999,64.779999,1272300,64.779999
"23",65,65.489998,64.529999,65.32,1415200,65.32
"24",65.019997,65.480003,64.519997,64.620003,1005300,64.620003
"25",64.559998,65.370003,64.019997,64.269997,821200,64.269997
"26",64.099998,64.889999,63.900002,64.690002,1175300,64.690002
"27",64.690002,64.830002,64.239998,64.660004,1510400,64.660004
"28",64.809998,65.089996,64.559998,64.75,743300,64.75
"29",64.900002,65.059998,64.68,64.809998,720100,64.809998
"30",64.620003,65.059998,64.57,64.730003,1604400,64.730003
"31",64.449997,65.029999,64.220001,64.849998,1329900,64.849998
"32",65.040001,65.290001,64.379997,64.660004,1072400,64.660004
"33",65.5,67.779999,65.419998,66.900002,3752100,66.900002
"34",67,69.059998,66.900002,68.889999,3188300,68.889999
"35",68.970001,69.370003,68.800003,69.080002,1475700,69.080002
"36",69.050003,69.330002,68.610001,68.949997,2938900,68.949997
"37",68.830002,69.150002,68.699997,69.040001,882000,69.040001
"38",69,69.269997,68.699997,69.190002,753200,69.190002
"39",68.879997,69.559998,68.650002,69.410004,2203600,69.410004
"40",69.769997,70,69.129997,69.169998,1158200,69.169998
"41",69.120003,70.029999,68.769997,69.989998,1245200,69.989998
