"","NOW.Open","NOW.High","NOW.Low","NOW.Close","NOW.Volume","NOW.Adjusted"
"1",75.309998,76.989998,74.629997,75.660004,1101800,75.660004
"2",76.089996,78.980003,75.889999,78.830002,2015300,78.830002
"3",78.709999,79.669998,78.339996,79.129997,1564000,79.129997
"4",79.239998,82.389999,78.900002,82.099998,1686600,82.099998
"5",81.800003,82.57,81.300003,82,1339200,82
"6",82.25,82.43,81.139999,81.669998,1268800,81.669998
"7",81.260002,84.900002,81.260002,83.900002,2084700,83.900002
"8",83.019997,83.760002,80.910004,83.459999,1398000,83.459999
"9",83.82,84,82.629997,83.529999,745800,83.529999
"10",83.080002,83.25,81.290001,81.410004,879900,81.410004
"11",83.010002,84.349998,82.690002,82.849998,1466100,82.849998
"12",82.959999,83.599998,82.389999,82.699997,1302100,82.699997
"13",83.120003,84.269997,83.110001,83.400002,1251900,83.400002
"14",83.839996,83.910004,82.260002,83.25,988800,83.25
"15",83.860001,84.589996,82.139999,83.970001,1487800,83.970001
"16",84.910004,86.959999,84.489998,86.360001,2686400,86.360001
"17",92.010002,92.980003,89.410004,89.480003,4369400,89.480003
"18",89.010002,90.5,88.709999,90.089996,1980900,90.089996
"19",89.599998,90.330002,88.010002,90.120003,1585700,90.120003
"20",90.099998,90.669998,88.949997,90.620003,1326900,90.620003
"21",91.169998,91.169998,89.389999,89.699997,2884200,89.699997
"22",89.25,89.839996,88.230003,88.860001,2125400,88.860001
"23",89.18,89.989998,89.120003,89.470001,2454800,89.470001
"24",89.190002,90.709999,88.629997,90.5,1441700,90.5
"25",90.809998,91.160004,90.349998,90.660004,1646900,90.660004
"26",89.760002,90.440002,89.389999,90.089996,1887300,90.089996
"27",90.139999,92.309998,90.010002,92.300003,1820000,92.300003
"28",92.580002,92.82,91.699997,92.459999,1647400,92.459999
"29",92.18,92.5,91.5,91.739998,959800,91.739998
"30",91.68,93.300003,91.349998,92.889999,1422500,92.889999
"31",92.440002,94.720001,92.330002,93.970001,1584500,93.970001
"32",93.940002,94.190002,91.540001,91.849998,1411200,91.849998
