"","CPRT.Open","CPRT.High","CPRT.Low","CPRT.Close","CPRT.Volume","CPRT.Adjusted"
"1",27.790001,28.075001,27.639999,27.860001,1271800,27.860001
"2",27.9,28.424999,27.764999,28.23,1823800,28.23
"3",28.215,28.455,27.955,28.200001,901600,28.200001
"4",28.129999,28.43,28.084999,28.34,1252400,28.34
"5",28.34,28.455,28.225,28.264999,1653800,28.264999
"6",28.225,28.565001,28.129999,28.355,1249200,28.355
"7",28.495001,28.690001,28.280001,28.655001,733000,28.655001
"8",28.49,28.535,27.92,28.42,1136400,28.42
"9",28.525,28.790001,28.465,28.700001,537400,28.700001
"10",28.629999,28.629999,28.209999,28.275,643200,28.275
"11",28.280001,28.35,28.110001,28.33,1051800,28.33
"12",28.334999,28.485001,28.17,28.26,637600,28.26
"13",28.334999,28.5,28.184999,28.475,772600,28.475
"14",28.424999,28.540001,28.094999,28.190001,909000,28.190001
"15",28.209999,28.705,28.174999,28.690001,970600,28.690001
"16",28.73,28.985001,28.705,28.805,794000,28.805
"17",28.84,28.969999,28.49,28.535,710400,28.535
"18",28.629999,28.84,28.415001,28.51,567600,28.51
"19",28.59,28.75,28.035,28.465,952200,28.465
"20",28.465,28.525,28.084999,28.370001,1037600,28.370001
"21",28.525,28.870001,27.834999,27.98,1186800,27.98
"22",28.004999,28.16,27.74,27.83,1181800,27.83
"23",27.91,28.299999,27.91,28.264999,671200,28.264999
"24",28.295,28.545,28.15,28.26,541600,28.26
"25",28.365,28.450001,28.045,28.415001,1094200,28.415001
"26",28.415001,28.629999,28.174999,28.594999,979600,28.594999
"27",28.605,28.93,28.530001,28.91,844000,28.91
"28",28.934999,29.110001,28.83,29.084999,718600,29.084999
"29",29.1,29.42,29.1,29.35,799400,29.35
"30",29.24,29.42,29.205,29.299999,624800,29.299999
"31",29.264999,29.700001,29.209999,29.639999,498200,29.639999
"32",29.665001,29.93,29.57,29.915001,964200,29.915001
"33",29.77,29.790001,29.379999,29.504999,1788200,29.504999
"34",29.594999,30.280001,29.530001,30.15,2002200,30.15
"35",29.25,29.735001,28.440001,29.225,2675000,29.225
"36",29.049999,30.155001,28.83,29.700001,2553200,29.700001
"37",29.695,29.780001,29.41,29.495001,880800,29.495001
"38",29.5,29.775,29.424999,29.76,991200,29.76
"39",29.575001,29.969999,29.4,29.57,1179000,29.57
"40",29.83,30.030001,29.67,30.004999,1704000,30.004999
"41",29.905001,30.24,29.844999,30.059999,1087600,30.059999
"42",30.02,30.370001,29.584999,30.245001,903600,30.245001
"43",30.225,30.34,29.98,30.32,1146600,30.32
"44",30.360001,30.42,30.16,30.315001,778200,30.315001
"45",30.385,30.52,30.215,30.285,1275600,30.285
"46",30.344999,30.344999,29.99,30.225,719200,30.225
"47",30.305,30.415001,30.1,30.280001,867000,30.280001
"48",30.25,30.440001,30.225,30.295,520800,30.295
"49",30.190001,30.309999,29.855,30.205,462200,30.205
"50",30.315001,30.565001,30.219999,30.540001,682000,30.540001
"51",30.59,30.805,30.440001,30.635,580400,30.635
"52",30.725,30.85,30.615,30.745001,1414600,30.745001
"53",30.745001,30.915001,30.549999,30.9,1038400,30.9
"54",30.969999,31.084999,30.27,30.379999,1523200,30.379999
"55",30.4,30.77,30.375,30.605,1257400,30.605
"56",30.485001,30.809999,30.440001,30.705,748000,30.705
"57",30.73,30.905001,30.58,30.66,681400,30.66
"58",30.514999,31.084999,30.379999,31.040001,901800,31.040001
"59",30.975,31.35,30.754999,31.200001,1126800,31.200001
"60",31.23,31.32,31,31.15,641400,31.15
"61",31.120001,31.57,30.959999,31.040001,1179800,31.040001
"62",31.065001,31.139999,30.92,30.965,862400,30.965
"63",31.045,31.280001,30.33,30.4,1109200,30.4
"64",30.355,30.395,29.91,29.98,1115200,29.98
"65",30.049999,30.254999,29.825001,29.84,1597600,29.84
"66",29.934999,30.195,29.594999,30.004999,1000600,30.004999
"67",29.93,30.115,29.805,29.84,875200,29.84
"68",29.9,30.209999,29.889999,30.055,640000,30.055
"69",30.18,30.65,29.67,30.120001,1156100,30.120001
"70",30.110001,30.18,29.76,29.83,924200,29.83
"71",29.84,30,29.639999,29.65,1781500,29.65
"72",29.709999,30,29.67,29.92,943900,29.92
"73",29.66,29.950001,29.65,29.82,700500,29.82
"74",29.950001,30.02,29.780001,29.98,653400,29.98
"75",30.110001,30.290001,30,30.23,698100,30.23
"76",30.110001,30.360001,30.110001,30.24,511000,30.24
"77",30.530001,30.74,30.4,30.68,531800,30.68
"78",30.84,31.01,30.690001,30.860001,464900,30.860001
"79",30.93,31.139999,30.82,30.99,461000,30.99
"80",31.139999,31.41,30.91,31.18,609600,31.18
"81",31.209999,31.290001,30.870001,30.9,786200,30.9
"82",31.02,31.030001,30.620001,30.639999,591700,30.639999
"83",30.700001,30.809999,30.43,30.65,872100,30.65
"84",30.549999,30.549999,30.200001,30.27,772000,30.27
"85",30.309999,30.549999,30.15,30.52,852600,30.52
"86",30.58,30.66,30.280001,30.65,1242100,30.65
"87",30.629999,30.77,30.43,30.5,702700,30.5
"88",30.530001,30.67,30.34,30.41,611700,30.41
"89",30.32,30.51,30.02,30.17,866600,30.17
"90",30.1,30.200001,29.639999,29.92,951700,29.92
"91",29.9,29.940001,29.75,29.889999,473700,29.889999
"92",29.889999,30.219999,29.790001,29.98,794700,29.98
"93",29.950001,30.129999,29.76,29.969999,716300,29.969999
"94",29.690001,29.860001,29.17,29.18,1134800,29.18
"95",29.190001,29.549999,29.09,29.34,779600,29.34
"96",29.24,29.41,28.889999,29.309999,1858100,29.309999
"97",29.389999,29.76,29.370001,29.700001,1009500,29.700001
"98",29.85,30.110001,29.75,30.02,1122800,30.02
"99",29.98,30.08,29.809999,29.98,1102900,29.98
"100",30,31.67,29.93,31.41,3526400,31.41
"101",31.379999,31.6,30.99,31.049999,1996500,31.049999
"102",31.1,31.440001,30.879999,30.889999,1283800,30.889999
"103",31.02,31.280001,30.57,31.190001,1172200,31.190001
"104",31.360001,31.790001,31.34,31.790001,1335600,31.790001
"105",31.790001,32,31.459999,31.719999,878800,31.719999
"106",31.639999,31.74,31.290001,31.290001,957200,31.290001
"107",31.129999,31.24,30.959999,30.98,747900,30.98
"108",31.1,31.35,30.889999,31.16,1225000,31.16
"109",31.24,31.379999,31.040001,31.07,1059200,31.07
"110",31.09,31.4,31.049999,31.35,856600,31.35
"111",31.299999,31.610001,31.16,31.440001,1245000,31.440001
"112",31.58,31.68,31.4,31.57,1164800,31.57
"113",31.639999,31.76,31.34,31.5,843000,31.5
"114",31.18,31.49,31.1,31.450001,811400,31.450001
"115",31.43,31.5,31.139999,31.24,1580000,31.24
"116",31.440001,31.780001,31.280001,31.58,1475100,31.58
"117",31.530001,31.530001,31.08,31.18,1106500,31.18
"118",31.299999,31.299999,30.85,30.99,1784700,30.99
"119",30.99,31.34,30.84,31.27,980300,31.27
"120",31.27,31.57,31.219999,31.540001,2272800,31.540001
"121",31.540001,31.59,31.4,31.450001,1049200,31.450001
"122",31.459999,31.58,31.26,31.280001,1187500,31.280001
"123",31.440001,31.719999,31.120001,31.51,991300,31.51
"124",31.52,31.639999,31.040001,31.41,1109200,31.41
"125",31.52,31.98,31.52,31.790001,1775800,31.790001
"126",31.889999,32.169998,31.809999,31.809999,674000,31.809999
"127",31.76,31.98,31.610001,31.629999,1845900,31.629999
"128",31.41,31.43,30.309999,30.43,2373800,30.43
"129",30.52,31.15,30.299999,30.969999,1187400,30.969999
"130",30.940001,31.030001,30.620001,30.83,1401100,30.83
"131",30.9,31.139999,30.65,31.09,1381600,31.09
"132",31.25,31.5,31.049999,31.200001,1091800,31.200001
"133",31.15,31.25,30.76,31.190001,747100,31.190001
"134",31.23,31.25,31.040001,31.09,1073100,31.09
"135",31.07,31.25,30.950001,31.120001,1096100,31.120001
"136",31,31.16,30.889999,31.110001,1385000,31.110001
"137",30.940001,31.450001,30.940001,31.41,881100,31.41
"138",31.5,31.67,31.379999,31.51,616600,31.51
"139",31.75,31.799999,31.41,31.549999,762000,31.549999
"140",31.549999,31.879999,31.49,31.809999,1105700,31.809999
"141",31.84,32.07,31.68,31.889999,1426100,31.889999
"142",31.950001,31.959999,31.66,31.719999,607000,31.719999
"143",31.68,31.940001,31.610001,31.879999,625600,31.879999
"144",31.809999,31.969999,31.68,31.950001,592700,31.950001
"145",31.99,32,31.469999,31.49,636100,31.49
"146",31.6,31.700001,31.43,31.65,707400,31.65
"147",31.57,31.58,31.139999,31.24,809600,31.24
"148",31.190001,31.4,30.950001,31.01,983500,31.01
"149",31.07,31.35,30.709999,31.299999,2180800,31.299999
"150",31.34,31.360001,31.01,31.08,1165400,31.08
"151",31.129999,31.18,30.67,30.700001,653600,30.700001
"152",30.620001,31.48,30.459999,31.450001,1464900,31.450001
"153",31.34,31.530001,31.08,31.17,915700,31.17
"154",31.190001,31.25,30.870001,31.07,1139000,31.07
"155",31.26,31.83,31.200001,31.809999,937900,31.809999
"156",31.82,32.130001,31.68,32.080002,916300,32.080002
"157",32.09,32.349998,31.98,32.23,933400,32.23
"158",32.139999,32.43,32.009998,32.009998,1067900,32.009998
"159",31.950001,32.099998,31.639999,31.879999,757300,31.879999
"160",31.83,31.940001,31.540001,31.9,917700,31.9
"161",31.84,32.16,31.709999,32.130001,906600,32.130001
"162",32.02,32.110001,31.77,31.790001,563000,31.790001
"163",31.940001,32.07,31.709999,31.780001,1444900,31.780001
"164",31.969999,32.07,31.629999,31.709999,1403100,31.709999
"165",31.860001,31.969999,31.370001,31.389999,1488300,31.389999
"166",31.33,31.68,31.139999,31.450001,1084800,31.450001
"167",31.52,32.080002,31.5,31.879999,1464700,31.879999
"168",31.99,32.779999,31.9,32.689999,1651700,32.689999
"169",32.830002,33.099998,32.599998,32.639999,931500,32.639999
"170",32.619999,32.810001,32.290001,32.490002,1232700,32.490002
"171",32.529999,32.68,32.389999,32.400002,1091100,32.400002
"172",32.389999,32.41,32.09,32.130001,730300,32.130001
"173",32.110001,32.369999,31.809999,32.349998,1579700,32.349998
"174",32.709999,32.799999,32.41,32.599998,1174400,32.599998
"175",32.709999,32.77,31.889999,32.369999,1234200,32.369999
"176",32.259998,33.009998,32.139999,32.799999,1631400,32.799999
"177",32.82,32.82,32.389999,32.459999,855200,32.459999
"178",32.389999,32.669998,32.389999,32.52,2028200,32.52
"179",32.630001,33.080002,32.619999,32.860001,1236200,32.860001
"180",32.84,32.98,32.27,32.540001,1907300,32.540001
"181",34.689999,34.849998,33.299999,33.860001,3678200,33.860001
"182",33.93,34.209999,33.68,33.799999,1027900,33.799999
"183",33.790001,34.029999,33.720001,33.740002,774800,33.740002
"184",33.73,34.080002,33.709999,34.029999,994100,34.029999
"185",34.080002,34.349998,33.970001,34.240002,1132000,34.240002
"186",34.290001,34.73,34.220001,34.610001,933500,34.610001
"187",34.57,34.610001,34.220001,34.290001,1259900,34.290001
"188",34.299999,34.619999,34.240002,34.369999,1237000,34.369999
"189",34.490002,34.779999,34.389999,34.549999,659600,34.549999
"190",34.549999,34.82,34.549999,34.650002,1149400,34.650002
"191",34.709999,34.790001,34.529999,34.779999,1219100,34.779999
"192",34.75,35.290001,34.610001,35.18,1847700,35.18
"193",35.060001,35.27,35.060001,35.240002,807800,35.240002
"194",35.369999,35.529999,35.259998,35.389999,595400,35.389999
"195",35.57,35.66,35.43,35.560001,655500,35.560001
"196",35.650002,35.869999,35.619999,35.84,1054000,35.84
"197",35.860001,36.240002,35.75,36.110001,728100,36.110001
"198",36.169998,36.43,36.139999,36.32,1075400,36.32
"199",36.389999,36.52,36.07,36.27,655500,36.27
"200",36.150002,36.509998,36.139999,36.389999,585500,36.389999
"201",36.5,36.650002,36.34,36.43,817400,36.43
"202",36.310001,36.470001,36.200001,36.41,653100,36.41
"203",36.59,36.599998,36.25,36.48,728500,36.48
"204",36.529999,36.599998,36.07,36.150002,1509100,36.150002
"205",36.139999,36.310001,36.110001,36.16,496100,36.16
"206",36.110001,36.23,35.700001,35.75,752000,35.75
"207",35.84,36.110001,35.720001,35.91,1291800,35.91
"208",35.880001,35.98,35.599998,35.880001,2212400,35.880001
"209",35.82,36.09,35.75,36.040001,642400,36.040001
"210",36.049999,36.48,36.049999,36.290001,1259500,36.290001
"211",36.41,36.759998,35.82,35.84,1133500,35.84
"212",35.84,36.639999,35.779999,36.5,849700,36.5
"213",36.5,36.610001,36.349998,36.41,769200,36.41
"214",36.27,36.34,36.07,36.220001,1093300,36.220001
"215",36.18,36.25,35.639999,35.75,999500,35.75
"216",35.59,36.02,35.529999,35.900002,983600,35.900002
"217",35.720001,35.759998,35.41,35.619999,949500,35.619999
"218",35.450001,35.900002,35.32,35.849998,1037200,35.849998
"219",35.77,35.990002,35.700001,35.880001,586900,35.880001
"220",35.720001,36,35.650002,35.880001,560600,35.880001
"221",35.810001,36.080002,35.639999,35.950001,683000,35.950001
"222",36.029999,36.080002,35.830002,35.939999,1108900,35.939999
"223",35.889999,35.889999,35.439999,35.549999,1294800,35.549999
"224",35.57,36.529999,35.560001,36.310001,1333700,36.310001
"225",36.580002,36.720001,36.240002,36.700001,1669900,36.700001
"226",38.630001,41.380001,38.630001,41.009998,3799500,41.009998
"227",41.150002,42.5,41.07,42.459999,1294900,42.459999
"228",42.650002,42.799999,41.77,41.77,1948100,41.77
"229",41.799999,41.970001,41.459999,41.790001,1641400,41.790001
"230",41.84,42.25,41.330002,42.130001,1626000,42.130001
"231",42.27,43.209999,42.099998,43.16,1569900,43.16
"232",43.130001,43.389999,41.68,43.009998,1567500,43.009998
"233",43.32,43.700001,42.919998,42.990002,1521700,42.990002
"234",43.080002,43.720001,42.610001,43.52,1797900,43.52
"235",43.5,43.650002,43.16,43.389999,1898100,43.389999
"236",43.43,43.970001,43.34,43.880001,1129200,43.880001
