"","AON.Open","AON.High","AON.Low","AON.Close","AON.Volume","AON.Adjusted"
"1",112.089996,112.400002,111.440002,112.080002,839000,106.487946
"2",112.43,113.540001,112.190002,113.309998,962400,107.656578
"3",112.970001,113.559998,112.309998,113.480003,792300,107.818085
"4",113.970001,114.839996,113.550003,114.349998,642000,108.644684
"5",113.910004,114.260002,113.400002,113.400002,727100,107.742088
"6",113.379997,113.82,112.510002,112.629997,844200,107.010506
"7",112.389999,112.900002,111.639999,112.669998,1079500,107.048523
"8",112.029999,112.790001,111.449997,112.669998,695200,107.048523
"9",113.040001,113.809998,113.040001,113.290001,598500,107.637581
"10",112.779999,114.07,112.25,113.620003,901500,107.951126
"11",114,114.230003,113.239998,114.050003,960300,108.35965
"12",114.32,115,112.25,112.279999,1982600,106.677979
"13",112.5,112.699997,111.32,112.07,1580000,106.478447
"14",111.970001,112.370003,111.300003,111.699997,763600,106.126892
"15",112.260002,112.720001,111.82,112.209999,1251500,106.611473
"16",113,113.410004,112.120003,112.839996,1361400,107.210022
"17",112.940002,113.290001,112.589996,112.949997,930400,107.314552
"18",113.18,113.389999,112.389999,113.389999,854300,107.732582
"19",112.849998,112.849998,110.889999,112.07,876200,106.789238
"20",111.940002,112.709999,111.480003,112.699997,1199300,107.389557
"21",112.75,112.790001,111.019997,111.169998,1750800,105.931648
"22",110.599998,112.510002,109.82,112.480003,1334400,107.179916
"23",112.779999,114.230003,112.199997,114.059998,1426600,108.685455
"24",113.269997,114.379997,113.019997,114.080002,783000,108.704529
"25",114.610001,114.639999,114.019997,114.25,808700,108.866524
"26",113.709999,114.43,113.220001,114.360001,752800,108.971336
"27",114.360001,115.199997,114.300003,115.169998,1028400,109.743164
"28",117.379997,117.760002,114,115.589996,1213000,110.143379
"29",115.529999,116.160004,115.279999,115.870003,950200,110.410172
"30",115.690002,116.040001,114.959999,115.849998,793100,110.391129
"31",115.739998,116.699997,115.300003,116.559998,739700,111.06765
"32",116.699997,117.360001,116.449997,117.279999,719400,111.753738
"33",116.889999,117.639999,115.900002,117.529999,962700,111.991951
"34",117.199997,117.800003,115.220001,115.57,1471100,110.124321
