"","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"771",71.089996,71.489998,69.809998,69.830002,1960400,65.871452
"772",70.290001,70.809998,69.75,70.150002,1576200,66.173309
"773",70.510002,71.639999,70.459999,70.830002,1315300,66.814751
"774",69.830002,69.919998,68.580002,69.550003,2051800,65.607323
"775",69.690002,73.169998,69.639999,71.269997,2693200,67.229828
"776",71.650002,72.75,71.169998,72.199997,1431000,68.107094
"777",73.349998,74.190002,72.809998,73.080002,1198500,68.93721
"778",73.959999,75.510002,73.620003,75.470001,1485100,71.191727
"779",75.800003,75.879997,73.309998,73.910004,1113700,69.720169
"780",73,73.730003,72.110001,72.379997,891900,68.276894
"781",72.080002,73.400002,71.900002,73.129997,1079500,68.984375
"782",73.730003,75.43,73.540001,74.300003,703300,70.088066
"783",75.5,76.760002,75,75.68,772200,71.389832
"784",75.089996,75.720001,74.440002,75.029999,654900,70.776665
"785",75.089996,75.169998,73.75,74.730003,799800,70.493675
"786",73.900002,74.169998,71.779999,72.699997,1439700,68.578751
"787",73,73.43,72.389999,73.160004,801200,69.01268
"788",73.190002,74.489998,73.080002,74.129997,664200,69.927681
"789",73.540001,73.93,73.110001,73.599998,679500,69.427734
"790",71.059998,71.580002,70.400002,71.040001,1511600,67.012856
"791",71.360001,71.360001,66.190002,66.57,1417200,62.796257
"792",67.150002,67.900002,65.75,65.809998,1106100,62.079346
"793",64.209999,65.970001,62.48,62.48,2797000,58.938114
"794",60.419998,62.029999,59.310001,61.509998,3081300,58.023098
"795",62.209999,63.009998,60.139999,62.93,2238700,59.362606
"796",62.779999,64.150002,60.34,60.950001,1541600,57.494843
"797",62.029999,63,60.5,62.91,1261700,59.343735
"798",60.509998,61.310001,59.32,59.709999,1641900,56.325134
"799",57.73,59.48,56.57,57.779999,1990800,54.504547
"800",53.099998,56.040001,49.75,50.07,2000900,47.231613
"801",52.740002,53.110001,49.919998,51.740002,2367100,48.80695
"802",49.779999,50.099998,47.09,47.509998,2452000,44.816734
"803",43.189999,44.119999,36.549999,42.41,4118200,40.005844
"804",46.369999,46.389999,41.630001,46.310001,1955100,44.375347
"805",38.290001,43.93,38,40.009998,2060600,38.338535
"806",41.16,42.07,39,40.77,2340800,39.066788
"807",37.389999,38.849998,34.439999,38.619999,2030600,37.006603
"808",37.5,43.16,35.93,41.25,1497200,39.526737
"809",42.110001,43,39.099998,40.810001,2037800,39.105122
"810",39.98,41.98,38.119999,38.389999,1704100,36.786213
"811",41.869999,42.869999,40.009998,41.580002,1531900,39.842953
"812",43.099998,48.59,42.5,46.580002,1566200,44.634075
"813",47.02,50.130001,46.259998,47.950001,1365900,45.946835
"814",45.959999,47.709999,45.009998,46.470001,991300,44.528667
"815",45.060001,48.040001,44.5,47.610001,1295200,45.621037
"816",47.439999,48.23,46.09,46.580002,2126600,44.634075
"817",44.43,46.029999,43.77,45.509998,1842900,43.608761
"818",45.880001,48.130001,44.810001,45.380001,2045000,43.4842
"819",45.029999,46.48,44.98,45.09,1414900,43.206314
"820",47.599998,50.57,47.290001,50.18,1718300,48.083672
"821",52.650002,54.139999,52.200001,52.869999,2548700,50.661297
"822",53.02,57,52.77,56.540001,1773400,54.177982
"823",58.619999,61.099998,57.48,59.709999,2011900,57.215549
"824",59.52,59.639999,56.869999,57.93,2318400,55.509911
"825",58.790001,59.139999,55.470001,56.380001,1857100,54.024662
"826",53.52,54.18,51.68,52,1767400,49.827641
"827",51.959999,52.439999,50.369999,52.23,1394600,50.048035
"828",53.849998,55.639999,53.849998,55.099998,1563800,52.798134
"829",53.889999,55.32,52.950001,53.610001,1053400,51.370384
"830",52.189999,53.720001,51.549999,52.720001,914000,50.517563
"831",54.130001,54.400002,52.830002,53.869999,568700,51.619514
"832",54.68,56.84,54.610001,56,895200,53.660538
"833",56.759998,57.560001,55.720001,57.27,1099200,54.877483
"834",57.43,61,57.419998,59.349998,1869300,56.870586
"835",60.549999,61.580002,59.150002,60.650002,1575100,58.116283
"836",62.400002,63.82,61.779999,63.470001,1415300,60.81847
"837",62.16,62.220001,60.439999,60.509998,1665200,57.982128
"838",62.610001,64.190002,59.810001,60.02,2101300,57.512596
"839",58.799999,60.700001,58.169998,60.650002,2284800,58.116283
"840",61.200001,62.110001,59.98,60.110001,1092300,57.598835
"841",60.77,61.200001,59.279999,59.529999,1099500,57.043056
"842",60.459999,61.59,60.119999,60.470001,1191500,57.943798
"843",61.650002,62.720001,61.330002,62.529999,787600,59.917736
"844",61.400002,62.029999,60.5,61.73,981900,59.151157
"845",62.139999,62.849998,61.279999,61.509998,1610000,58.94035
"846",60.970001,61.009998,59.25,59.799999,1803000,57.301785
"847",57.919998,60.259998,57.299999,60.220001,1402900,57.704243
"848",59.779999,60.290001,59.259998,59.970001,1349700,57.464687
"849",62.560001,63.669998,62.330002,62.93,1595600,60.301029
"850",62.73,64.160004,61.880001,63.400002,1236600,60.751396
"851",64.529999,66.230003,64.370003,65.57,1509000,62.830734
"852",64.849998,66.07,64.68,65.400002,829600,62.667839
"853",64.690002,65.620003,64.559998,65.459999,710200,62.725334
"854",67.980003,69.209999,67.599998,68.639999,2068700,65.772491
"855",70.349998,71.059998,68.43,69.75,1624100,66.836105
"856",70.830002,70.93,68.269997,68.449997,1350900,65.590416
"857",67.800003,68.629997,67.150002,68.080002,2490100,65.23587
"858",68.260002,68.82,67.660004,68.559998,705000,65.695824
"859",69.120003,71.300003,68.709999,70.93,1076000,67.96682
"860",72.029999,72.989998,71.269997,71.849998,1051700,68.848381
"861",71.510002,73.339996,71.129997,73.309998,1302400,70.247391
"862",76.709999,77.529999,74.620003,76.919998,1899800,73.706566
"863",77.389999,77.980003,76.360001,77.339996,1174000,74.109039
"864",75.379997,77.5,74.639999,77.019997,1487800,73.802399
"865",77.120003,77.449997,75.260002,75.639999,1537900,72.480049
"866",72,72.830002,66.5,66.529999,1976900,63.750629
"867",68.879997,70.110001,67.75,69.629997,1199300,67.389648
"868",67.139999,70.150002,66.339996,69.599998,1027000,67.360619
"869",72.459999,73.419998,69.949997,71.559998,1007700,69.257553
"870",72.110001,72.150002,70.279999,70.5,979900,68.231659
"871",69.720001,71.050003,69.57,70.440002,813500,68.173599
"872",71.910004,72.07,68.870003,69.489998,2802100,67.254158
"873",69.029999,69.720001,68.400002,69.260002,1036100,67.031563
"874",70.43,70.699997,69.32,69.330002,1126100,67.099312
"875",68.230003,68.230003,66.139999,66.849998,1092400,64.699104
"876",66.370003,67.830002,65.860001,67.720001,818300,65.541107
"877",67.379997,67.830002,66.339996,67.279999,1392400,65.115265
"878",67.910004,69.830002,67.849998,69.32,799200,67.08963
"879",68.839996,70.360001,67.830002,69.639999,1290100,67.39933
"880",69.550003,69.68,68.059998,68.699997,1356700,66.489578
"881",70.089996,71.589996,69.190002,69.980003,1019400,67.728401
"882",71.830002,72.040001,70.07,71.970001,1161700,69.654366
"883",71.190002,72.209999,70.800003,71.300003,1079300,69.005928
"884",71.07,71.349998,68.709999,69.790001,1303300,67.54451
"885",69.739998,69.739998,67.690002,68.309998,980400,66.112129
"886",68.309998,70.349998,68.239998,70.190002,659300,67.931641
"887",71.110001,72.519997,70.379997,71.419998,1004500,69.122063
"888",71.050003,73.169998,71.010002,73.019997,1058300,70.670578
"889",74.339996,75.550003,73.879997,75.230003,1120200,72.809479
"890",75,76,74.410004,75.650002,770900,73.215958
"891",76.019997,76.199997,75.040001,75.889999,956200,73.448242
"892",75.260002,75.989998,74.370003,74.989998,958800,72.577202
"893",75.050003,76.57,75.050003,76.209999,870500,73.757957
"894",76.019997,76.690002,75.690002,76.599998,580500,74.135391
"895",76.32,77.099998,75.5,76.480003,545900,74.019272
"896",76.599998,77.300003,76.080002,76.639999,757800,74.174118
"897",76.629997,78.959999,75.910004,78.419998,1100000,75.896835
"898",77.809998,78.139999,76.080002,76.360001,826100,73.90313
"899",76.769997,77.559998,76.230003,77.43,638900,74.938705
"900",75.989998,76.07,74.330002,74.940002,706900,72.528816
"901",74.790001,75.050003,73.5,74.629997,1873700,72.228775
