"","VRSN.Open","VRSN.High","VRSN.Low","VRSN.Close","VRSN.Volume","VRSN.Adjusted"
"585",197.860001,198.279999,194.320007,194.440002,467000,194.440002
"586",194.029999,196.029999,193.449997,194.979996,719100,194.979996
"587",195.619995,197.440002,195.110001,196.949997,415100,196.949997
"588",193.520004,197.490005,192.130005,197.130005,431100,197.130005
"589",195.25,196.360001,191.589996,193.179993,805200,193.179993
"590",192.470001,194.220001,191.610001,193.149994,669600,193.149994
"591",190.990005,193.970001,189.130005,193.729996,506600,193.729996
"592",192.910004,195,190.529999,194.639999,604100,194.639999
"593",189.029999,192.509995,187.020004,189.210007,459900,189.210007
"594",189.729996,193.070007,189.300003,191.25,583900,191.25
"595",189.809998,194.509995,189.520004,193.880005,408700,193.880005
"596",194.470001,199.410004,194.470001,196.830002,611600,196.830002
"597",195.589996,197.5,195.160004,195.300003,349200,195.300003
"598",193.229996,195.789993,192.289993,194.160004,412400,194.160004
"599",195.490005,196.830002,195.119995,195.559998,343900,195.559998
"600",195.380005,198.5,195.380005,197.690002,673000,197.690002
"601",196.160004,197.229996,192.919998,194.630005,548100,194.630005
"602",195.960007,196.600006,193.860001,194.729996,506600,194.729996
"603",195.600006,198.190002,194.369995,194.779999,662300,194.779999
"604",193.649994,195.279999,192.5,194.520004,463500,194.520004
"605",194.979996,196.990005,194.529999,195.919998,447700,195.919998
"606",194.419998,196.059998,193.679993,194.979996,435400,194.979996
"607",194.789993,195.539993,188.160004,189.330002,771400,189.330002
"608",190.699997,194.330002,189.089996,194.289993,538900,194.289993
"609",196.389999,200.740005,195.919998,200.330002,549200,200.330002
"610",200.419998,203.619995,199.429993,203.259995,507000,203.259995
"611",204.75,209.580002,204.679993,207.089996,552800,207.089996
"612",207.809998,209.759995,207.080002,207.110001,426300,207.110001
"613",209.119995,210.059998,204.889999,206.580002,561000,206.580002
"614",206.800003,209.339996,205.460007,206.5,407600,206.5
"615",207.039993,208.559998,204.839996,205.369995,505800,205.369995
"616",205.929993,206.520004,205.039993,205.199997,620900,205.199997
"617",205.5,205.770004,202.929993,203.339996,439500,203.339996
"618",206.369995,207.100006,204.710007,205.929993,617100,205.929993
"619",206.029999,209.779999,206.029999,209.410004,479700,209.410004
"620",212.449997,214.360001,208.830002,211.020004,585300,211.020004
"621",210.800003,211.729996,209.080002,210.75,1210600,210.75
"622",210.649994,211.990005,209.309998,209.570007,696500,209.570007
"623",209.630005,210.600006,207.289993,207.899994,469300,207.899994
"624",208.820007,210.639999,205.690002,205.690002,526200,205.690002
"625",206.389999,208.169998,206.179993,207.289993,313900,207.289993
"626",207.979996,209.509995,206.210007,209.160004,1179100,209.160004
"627",211.600006,213.990005,210.339996,211.289993,493200,211.289993
"628",211.809998,214.75,211.289993,213.820007,659000,213.820007
"629",214.949997,217.619995,214.309998,217.059998,382800,217.059998
"630",216.020004,217.759995,213.179993,217.330002,519000,217.330002
"631",216.160004,216.949997,214.899994,215.639999,477900,215.639999
"632",215.270004,217.940002,214.869995,217.479996,934100,217.479996
"633",218.970001,219.880005,216.399994,218.869995,678800,218.869995
"634",219.679993,220,217.460007,218.589996,442200,218.589996
"635",218.679993,219.820007,216.779999,219.649994,352700,219.649994
"636",220.139999,221.779999,219.320007,221.039993,635800,221.039993
"637",221.130005,221.600006,217.419998,217.539993,526900,217.539993
"638",217.5,218.570007,216.460007,216.960007,885800,216.960007
"639",216.740005,217.169998,214.5,214.800003,896900,214.800003
"640",216.410004,218.770004,213.479996,214.210007,1614500,214.210007
"641",215.460007,217.690002,214.550003,215.940002,869000,215.940002
"642",216.800003,216.800003,213.570007,215.740005,662100,215.740005
"643",214.740005,217.149994,213.779999,216.839996,503200,216.839996
"644",215.919998,218.25,213.919998,215.850006,479500,215.850006
"645",214.679993,219.399994,212.850006,216.580002,794000,216.580002
"646",217,218.059998,213.369995,215.539993,487700,215.539993
"647",213.5,215.470001,213.210007,213.929993,482500,213.929993
"648",214.259995,215.029999,208.699997,211.089996,643200,211.089996
"649",211.589996,217.009995,211.110001,212.800003,725900,212.800003
"650",211.869995,213.070007,207.5,209.470001,428700,209.470001
"651",205.509995,205.649994,198.539993,200.300003,748900,200.300003
"652",200.949997,205.169998,200.449997,204.360001,726600,204.360001
"653",202.039993,206.520004,201.330002,206.139999,543600,206.139999
"654",206.559998,211.669998,206.559998,211.320007,550900,211.320007
"655",210.300003,211.199997,207,207.820007,689900,207.820007
"656",207.399994,207.399994,203.229996,204,449000,204
"657",204.240005,209.5,203.460007,208.960007,480300,208.960007
"658",206.009995,206.889999,201.699997,201.880005,520000,201.880005
"659",202.179993,204.380005,201.300003,203.399994,339200,203.399994
"660",205.589996,206.550003,204.270004,205,373800,205
"661",208.119995,208.759995,206.360001,206.899994,403700,206.899994
"662",206.820007,208.919998,205.720001,206.880005,505200,206.880005
"663",209.179993,209.800003,207.160004,208.070007,521900,208.070007
"664",208.460007,209.020004,203.070007,205.199997,406800,205.199997
"665",204.369995,207.139999,199.550003,200.520004,516300,200.520004
"666",202.380005,203.679993,201.600006,202.990005,378800,202.990005
"667",204.690002,206,202.089996,203.789993,498100,203.789993
"668",202.690002,204.710007,201.25,203.779999,293700,203.779999
"669",206.059998,207.929993,205.820007,205.960007,318400,205.960007
"670",206.789993,206.949997,202.990005,203.850006,529500,203.850006
"671",202.550003,204.520004,200.259995,202.149994,536000,202.149994
"672",202.660004,203.869995,201.990005,203.529999,576200,203.529999
"673",205,206.830002,204.110001,206.580002,655700,206.580002
"674",207.919998,209.75,206.25,207.570007,431900,207.570007
"675",208.020004,208.119995,200.460007,201.880005,582800,201.880005
"676",200.429993,200.429993,194.899994,196.710007,675200,196.710007
"677",196.279999,196.639999,190.160004,190.75,1139600,190.75
"678",191.080002,194.660004,190.580002,191.179993,746600,191.179993
"679",190.800003,191.910004,188.139999,188.740005,1028700,188.740005
"680",187.990005,190.139999,186.279999,189.550003,761300,189.550003
"681",189.179993,191.419998,188.529999,191.199997,743000,191.199997
