"","IDXX.Open","IDXX.High","IDXX.Low","IDXX.Close","IDXX.Volume","IDXX.Adjusted"
"1",118.290001,119.18,117.169998,117.599998,569500,117.599998
"2",118.019997,118.260002,113.919998,115.949997,20606500,115.949997
"3",116.150002,118.360001,115.900002,115.959999,1312200,115.959999
"4",115.989998,118.910004,115.300003,118.360001,946400,118.360001
"5",120.260002,120.860001,118.07,119.019997,1038900,119.019997
"6",119.139999,121.809998,119.110001,120.709999,958300,120.709999
"7",120.989998,121.690002,119.830002,121.120003,699600,121.120003
"8",120.830002,120.830002,118.709999,120.639999,706500,120.639999
"9",120.440002,121.720001,120.029999,120.800003,651600,120.800003
"10",120.879997,121.540001,119.43,120.010002,813300,120.010002
"11",120.160004,120.419998,118.239998,118.900002,730200,118.900002
"12",119.239998,120.489998,118.400002,120.279999,546900,120.279999
"13",120.43,120.790001,118.690002,118.879997,605400,118.879997
"14",119.019997,119.220001,116.540001,117.739998,611500,117.739998
"15",118.07,118.980003,117.400002,118.510002,466400,118.510002
"16",118.839996,121.470001,118.650002,121.400002,550200,121.400002
"17",120.879997,121.389999,118.800003,119.610001,762000,119.610001
"18",120.019997,121.779999,119.650002,121.660004,531500,121.660004
"19",121.57,121.57,119.839996,120.5,789400,120.5
"20",120.510002,122.470001,120.230003,122.330002,869800,122.330002
"21",122.400002,123.260002,121.190002,122.800003,944400,122.800003
"22",125.5,139.899994,125.019997,139.070007,2796700,139.070007
"23",139.529999,142.860001,138.520004,142.020004,1758100,142.020004
"24",142,142.320007,140.210007,142.009995,1145000,142.009995
"25",142.229996,143.470001,141.789993,143.130005,864800,143.130005
"26",142.830002,143.089996,141,141.110001,1358700,141.110001
"27",141.479996,142.539993,140.860001,142.110001,776600,142.110001
"28",142.070007,142.509995,141.490005,141.830002,435200,141.830002
"29",142.729996,142.899994,141.320007,141.699997,570600,141.699997
"30",141.110001,142,140.630005,141.600006,682800,141.600006
"31",140.889999,142.089996,140.649994,141.740005,859400,141.740005
"32",141.929993,142.380005,140.990005,141.949997,407300,141.949997
"33",141.710007,142.699997,141.119995,142.229996,426900,142.229996
"34",142.300003,143.059998,141.520004,142.399994,539700,142.399994
"35",142.160004,143.050003,141.800003,142.25,584500,142.25
"36",142.630005,143.559998,141.830002,143.020004,510500,143.020004
"37",142.809998,143.919998,141.020004,143.059998,571700,143.059998
"38",143.350006,144.330002,142.5,143.610001,573400,143.610001
"39",143.940002,146.169998,143.800003,144.940002,744200,144.940002
"40",145.839996,148.220001,145.369995,147.009995,796900,147.009995
"41",147,147.259995,145.75,146.100006,523100,146.100006
"42",146.660004,147.669998,146.220001,147.130005,658900,147.130005
"43",146.360001,147.75,145.520004,147.080002,638100,147.080002
"44",146.740005,147.699997,145.240005,147.029999,752000,147.029999
"45",147.350006,147.699997,146.509995,146.880005,412600,146.880005
"46",146.770004,149.570007,146.419998,149.410004,628400,149.410004
"47",150.330002,151.990005,149.100006,150.279999,725100,150.279999
"48",150.660004,151.970001,150.190002,151.600006,500900,151.600006
"49",151.729996,151.889999,150.449997,151.210007,388700,151.210007
"50",151.449997,153.869995,151.070007,153.679993,583600,153.679993
"51",153.940002,153.949997,151.279999,151.619995,1033500,151.619995
"52",151.770004,152.429993,151.300003,151.949997,3389100,151.949997
"53",152.179993,152.419998,150.490005,151.539993,764500,151.539993
"54",151.899994,152.339996,148.610001,150.110001,680300,150.110001
"55",152.220001,153.940002,150.559998,152.880005,618100,152.880005
"56",152.440002,153.690002,151.649994,152.889999,522100,152.889999
"57",153.220001,154.570007,152.869995,153.740005,538400,153.740005
"58",152.979996,154.490005,151.800003,153.960007,460100,153.960007
"59",153.509995,154.410004,152.339996,153.809998,422400,153.809998
"60",153.570007,154.899994,153.570007,154.720001,397800,154.720001
"61",154.449997,154.990005,153.899994,154.520004,244400,154.520004
"62",154,155.649994,153.690002,154.610001,466500,154.610001
"63",155.070007,155.740005,153.589996,155.279999,481200,155.279999
"64",156.539993,156.539993,153.880005,155.119995,508500,155.119995
"65",155.080002,157.029999,154.100006,154.720001,617600,154.720001
"66",154.589996,155.130005,153.330002,154.559998,579600,154.559998
"67",154.839996,156.139999,154.75,155.479996,530700,155.479996
"68",155.470001,156.360001,153.990005,154.580002,374400,154.580002
"69",154.240005,154.949997,153.75,154.690002,470900,154.690002
