"","ADSK.Open","ADSK.High","ADSK.Low","ADSK.Close","ADSK.Volume","ADSK.Adjusted"
"1",74.610001,77.099998,74.5,76.18,1896300,76.18
"2",76.190002,77.959999,76.089996,77.519997,1889500,77.519997
"3",77.080002,77.629997,76.330002,76.93,1368200,76.93
"4",77.279999,79.809998,76.889999,79.300003,1587700,79.300003
"5",78.949997,79.739998,78.260002,79.589996,1489000,79.589996
"6",79.290001,80.370003,78.559998,79.980003,1795600,79.980003
"7",79.970001,81.029999,79.169998,80.870003,1764000,80.870003
"8",80.720001,80.860001,79.239998,80.650002,1646400,80.650002
"9",80.720001,81.410004,80.440002,81.32,1667300,81.32
"10",80.970001,81.230003,78.290001,78.620003,2403000,78.620003
"11",79.099998,80.059998,78.690002,79.709999,1676900,79.709999
"12",80.260002,80.779999,79.650002,79.980003,1498000,79.980003
"13",80.699997,81.889999,80.239998,81.669998,6042500,81.669998
"14",81.389999,81.910004,80.910004,81.540001,1204400,81.540001
"15",81.599998,82.629997,81.529999,82,1814700,82
"16",82.870003,83.959999,82.43,82.650002,1589700,82.650002
"17",82.769997,82.940002,81.480003,81.639999,1515800,81.639999
"18",81.980003,81.980003,80.889999,81.760002,1487100,81.760002
"19",81.57,81.669998,79.150002,81.160004,1975800,81.160004
"20",80.879997,81.349998,79.800003,81.339996,1249500,81.339996
"21",81.089996,81.959999,80.379997,81.279999,1440900,81.279999
"22",80.82,82.870003,80.040001,82.760002,1116900,82.760002
"23",83.57,84.970001,83.139999,84.410004,1822400,84.410004
"24",84.449997,84.550003,82.330002,82.82,1925000,82.82
"25",82.290001,85.110001,81.800003,84.5,2975400,84.5
"26",84.440002,84.889999,82.580002,82.93,2182300,82.93
"27",84.330002,84.910004,83.169998,83.879997,1808400,83.879997
"28",83.970001,84.459999,82.379997,83.230003,1695100,83.230003
"29",83.650002,84.720001,82.940002,84.279999,4004600,84.279999
"30",84.25,84.589996,82.809998,84.540001,4043500,84.540001
"31",84.279999,84.940002,83.540001,84.360001,2200800,84.360001
"32",84.690002,85.459999,83.830002,85.139999,1829900,85.139999
"33",84.720001,86.489998,83.75,86.400002,1816300,86.400002
"34",87,87.519997,86.760002,87.150002,1910200,87.150002
"35",86.800003,87.139999,86.169998,86.379997,1349900,86.379997
"36",86.690002,87.370003,85.919998,87.099998,1368000,87.099998
