"","EA.Open","EA.High","EA.Low","EA.Close","EA.Volume","EA.Adjusted"
"1",79.519997,79.620003,78.269997,79.169998,2187300,78.779221
"2",79.389999,81.110001,79.120003,80.629997,1852300,80.232018
"3",79.980003,80.459999,78.730003,78.959999,3295000,78.570259
"4",79.110001,79.519997,78.370003,79.010002,2017700,78.620018
"5",79.190002,79.43,78.050003,78.639999,2332300,78.251846
"6",78.489998,79.230003,77.940002,78.849998,2328900,78.460808
"7",78.800003,79.419998,78.169998,79.019997,2618900,78.629974
"8",78.849998,79.760002,78.25,79.599998,2035700,79.207115
"9",79.139999,81.260002,79.129997,80.349998,2818000,79.953407
"10",80,80.589996,79.470001,80.230003,2073300,79.834
"11",80.510002,80.82,79.82,80.529999,1926600,80.132523
"12",80.400002,81.339996,80.050003,80.379997,1746100,79.983253
"13",80.489998,80.519997,78.889999,80.120003,2642900,79.724541
"14",80.050003,80.169998,79.260002,79.879997,2672200,79.485725
"15",79.879997,80.800003,79.410004,80.510002,2004300,80.112617
"16",80.849998,81.589996,80.519997,81.480003,2727000,81.077835
"17",81.559998,81.870003,81.099998,81.699997,1854400,81.296738
"18",82,83.25,81.860001,83.160004,2607200,82.749535
"19",82.959999,84.029999,82.75,83.839996,4067300,83.426178
"20",83.82,84.089996,82.889999,83.43,6583400,83.018204
"21",83.43,84.25,81.449997,83,7607300,82.590324
"22",82.68,82.980003,81.379997,82.510002,4079700,82.102745
"23",82.510002,82.669998,80.970001,81.279999,4300800,80.878807
"24",80.830002,81.779999,80.400002,81.519997,2351100,81.11763
"25",81.809998,82.400002,81.550003,82.209999,2944000,81.80423
"26",81.940002,82.910004,81.269997,81.480003,2738900,81.077835
"27",82.209999,83.400002,81.489998,83.260002,3193000,82.849045
"28",84.739998,86.660004,84.129997,86.169998,6561700,85.744675
"29",86.309998,87.489998,85.699997,86.32,4435000,85.893936
"30",85.800003,86.449997,85.220001,86.059998,3046800,85.635223
"31",85.919998,88.040001,85.699997,87.949997,3293500,87.515892
"32",87.690002,88.279999,87.199997,87.849998,2739100,87.416389
"33",87.760002,87.860001,86.949997,87.300003,1773700,86.869102
"34",87.349998,88.019997,87.099998,87.540001,1871800,87.107918
"35",87.379997,87.620003,86.959999,87.379997,1751400,86.948708
"36",87.559998,87.559998,85.760002,86.650002,3113300,86.222313
"37",85.959999,86.550003,85.230003,86.540001,3026700,86.112846
"38",86.550003,87.25,86.099998,87,1519300,86.570587
"39",87.050003,87.489998,86.330002,86.5,2421100,86.073051
"40",86.93,88.139999,86.089996,87.82,2090700,87.386528
"41",87.900002,88.25,86.459999,87.010002,1709200,86.580528
"42",86.949997,87.290001,86.190002,87.239998,1190600,86.809387
"43",87.190002,87.519997,86.739998,87.139999,1882300,86.709892
"44",87.300003,88.849998,87.099998,88.300003,3016900,87.864174
"45",88.519997,89.360001,88.199997,89,2577900,88.560715
"46",89.32,89.790001,88.730003,89.029999,3127100,88.590561
"47",89.589996,89.879997,88.919998,89.809998,2005300,89.366707
"48",89.830002,90.809998,89.349998,90.730003,2753300,90.282173
"49",90.519997,91.18,90.330002,90.900002,1967000,90.451332
"50",90.989998,91.550003,90.129997,91.510002,3197300,91.058319
"51",91.599998,91.82,89.519997,90.199997,5153100,89.754784
"52",90.919998,90.980003,88.550003,89.589996,6446600,89.147789
"53",88.82,89.349998,87.900002,89.160004,4278100,88.719925
"54",89.220001,90.089996,88.230003,88.410004,3278600,87.973633
"55",88.43,88.860001,88.25,88.739998,2326200,88.301987
"56",88.589996,89.349998,88.239998,88.610001,1910000,88.172638
"57",88.849998,90.059998,88.610001,89.349998,1878100,88.908981
"58",88.589996,89.239998,88.059998,89.019997,2109200,88.580612
"59",89,90.019997,88.550003,89.739998,2083900,89.297058
"60",89.519997,89.970001,88.949997,89.779999,1771200,89.336861
"61",89.5,90.300003,89.230003,90.260002,2073700,89.814491
"62",90.099998,90.169998,88.849998,89.519997,1737700,89.07814
"63",89.900002,89.900002,88.790001,89.110001,1522300,88.670174
"64",88.580002,89.32,88.510002,89.279999,1870400,88.839325
"65",89.470001,89.610001,88.089996,88.400002,2673500,87.963669
"66",88.470001,88.769997,87.940002,88.559998,1319600,88.122879
"67",88.400002,88.830002,88.07,88.730003,1740800,88.292046
"68",88.550003,89.089996,88.330002,88.739998,1424000,88.301987
"69",88.779999,89.690002,88.370003,89.68,1763900,89.23735
"70",89.949997,90.029999,89.150002,89.949997,1909100,89.506027
"71",90.089996,90.199997,88.849998,89.019997,2966200,88.580612
"72",89.269997,90.139999,88.82,89.209999,2160100,88.769676
"73",89.120003,89.440002,88.720001,89.199997,1393100,88.75972
"74",89.540001,90.230003,89.139999,89.650002,2021400,89.207504
"75",90.099998,91.480003,89.790001,91.209999,2024300,90.759804
"76",91.269997,91.959999,91.099998,91.940002,1831800,91.486206
"77",92.860001,93.07,92.510002,92.809998,2020900,92.351898
