"","JKHY.Open","JKHY.High","JKHY.Low","JKHY.Close","JKHY.Volume","JKHY.Adjusted"
"1",88.919998,89.5,88.519997,88.889999,218100,84.243759
"2",88.730003,90,88.730003,89.739998,327900,85.049309
"3",89.779999,90.779999,89.660004,90.559998,334500,85.826447
"4",90.720001,91.339996,90.330002,90.849998,290300,86.101295
"5",90.849998,90.849998,90.050003,90.209999,174000,85.494736
"6",90.370003,90.370003,89.459999,89.5,229200,84.821838
"7",89.510002,89.849998,88.959999,89.279999,192800,84.613342
"8",89.029999,89.330002,88.169998,89.269997,368200,84.603867
"9",89.489998,90.629997,89.25,90.540001,180800,85.80751
"10",90.260002,90.440002,89.470001,90.190002,160200,85.475784
"11",90.309998,90.410004,89.949997,90.150002,178200,85.437889
"12",90.269997,90.709999,89.910004,90.25,233700,85.532661
"13",90.25,90.970001,89.75,90.769997,192200,86.025467
"14",90.639999,91.150002,90.519997,91.029999,341200,86.271866
"15",91.190002,91.339996,90.650002,91.199997,283200,86.433006
"16",91.190002,91.480003,90.089996,90.699997,361800,85.959129
"17",90.529999,90.540001,89.559998,89.699997,267900,85.011391
"18",89.959999,90.07,89.410004,90.050003,147700,85.343124
"19",89.760002,90.190002,88.980003,90.129997,216500,85.41893
"20",89.849998,90.800003,89.099998,89.779999,352100,85.087219
"21",89.900002,90.580002,88.769997,89.080002,286600,84.42382
"22",89.089996,89.970001,88.709999,89.050003,301100,84.395363
"23",89.410004,90.32,89.410004,90.230003,298700,85.513702
"24",89.989998,90.239998,89.480003,89.690002,214800,85.001907
"25",89.720001,90.029999,89.379997,90.010002,416300,85.305199
"26",89.739998,90.260002,88.110001,89.529999,383000,84.850281
"27",90.919998,91.209999,88.330002,90.82,385200,86.072845
"28",90.82,90.93,90.25,90.599998,297400,85.864357
"29",91.080002,91.779999,91.080002,91.480003,285600,86.698349
"30",91.120003,91.529999,90.800003,91.050003,191700,86.290825
"31",91.050003,91.769997,90.900002,91.68,196000,86.887901
"32",91.790001,92.239998,91.529999,92.239998,250800,87.418617
"33",91.75,92.529999,91.010002,92.529999,167700,87.693481
"34",92.379997,93.199997,92.029999,93.160004,233300,88.290543
"35",93.18,93.540001,92.879997,93.370003,227500,88.489563
"36",93.43,94.029999,93.07,93.849998,204500,88.944481
"37",93.620003,94.699997,93.510002,94.699997,230000,89.750046
"38",94.550003,94.830002,93.989998,94.760002,247800,89.8069
"39",94.25,94.489998,93.650002,93.769997,481000,89.160324
"40",94.459999,95.370003,93.900002,95.330002,374300,90.643669
"41",95.199997,95.199997,94.269997,94.470001,180800,89.825943
"42",94.629997,95.25,94.279999,95,233900,90.329857
"43",94.790001,94.989998,94.260002,94.610001,217800,89.959038
"44",94.510002,94.809998,93.839996,94.470001,157900,89.825943
"45",94.110001,94.760002,93.919998,94.269997,240700,89.635765
"46",94.379997,94.650002,93.830002,94.059998,217100,89.436081
"47",94.480003,94.949997,93.879997,94.440002,241900,89.797401
"48",94.379997,95.18,94.330002,95.110001,229900,90.434464
