"","EXPD.Open","EXPD.High","EXPD.Low","EXPD.Close","EXPD.Volume","EXPD.Adjusted"
"1",53.470001,53.470001,52.540001,53.099998,1729300,50.12735
"2",53.040001,53.610001,52.880001,53.150002,1547600,50.174549
"3",53,53.139999,52.669998,53.029999,891100,50.061268
"4",53,53.290001,52.650002,53.130001,882800,50.155666
"5",53.200001,53.310001,52.91,53.040001,1195500,50.070709
"6",53.029999,53.310001,52.75,52.869999,1440600,49.910221
"7",52.900002,53.700001,52.779999,53.669998,895400,50.665436
"8",53.43,53.689999,53.27,53.529999,743700,50.533276
"9",53.689999,54.040001,53.5,53.869999,1039100,50.854244
"10",53.509998,53.98,53.279999,53.32,1000700,50.33503
"11",53.360001,53.900002,53.330002,53.720001,1695200,50.712643
"12",53.799999,53.889999,53.299999,53.32,857900,50.33503
"13",53.27,53.5,52.869999,53.27,1211300,50.287834
"14",53.330002,53.330002,51.889999,52.110001,2264900,49.192772
"15",52.189999,52.779999,52,52.5,1952600,49.56094
"16",52.73,53.02,52.189999,52.790001,1783200,49.834702
"17",52.849998,52.950001,52.529999,52.93,1248800,49.966866
"18",52.919998,53.23,52.279999,53.220001,1003000,50.240635
"19",53.16,53.450001,52.630001,52.959999,737300,49.995186
"20",52.93,52.959999,51.779999,52.080002,1857200,49.164455
"21",51.970001,52.68,51.830002,52.290001,1444100,49.362698
"22",52.18,52.470001,51.57,52.439999,1007800,49.504295
"23",52.700001,53.360001,52.43,53.32,1048500,50.33503
"24",53.259998,53.529999,52.82,52.919998,645900,49.95742
"25",53.099998,53.330002,52.73,53.299999,980300,50.316154
"26",53.23,53.669998,52.880001,53.540001,1137400,50.542721
"27",53.509998,54.32,53.509998,54.09,761500,51.061928
"28",54.310001,54.790001,53.970001,54.73,843000,51.6661
"29",54.869999,55.310001,54.77,55.09,1039900,52.005939
"30",54.810001,55.709999,54.810001,55.209999,1659900,52.119225
"31",55.209999,56.099998,54.759998,56.09,1231800,52.949963
"32",56.099998,56.259998,55.080002,56.169998,1185100,53.025482
"33",56.119999,56.5,55.759998,56.5,1546400,53.337013
"34",56.400002,56.75,55.700001,56.130001,1526000,52.987724
"35",55.889999,56.610001,55.330002,56.59,1941900,53.421974
"36",56.630001,56.799999,55.950001,56.009998,1117700,52.874439
"37",55.869999,56.709999,55.790001,56.700001,1322000,53.525814
"38",56.650002,56.779999,56.16,56.75,682200,53.573009
"39",56.77,57.259998,56.299999,56.380001,1401700,53.223724
"40",56.790001,57.349998,56.240002,57.279999,1246200,54.073338
"41",57.110001,57.349998,56.77,56.779999,1521800,53.601334
"42",56.830002,57,56.200001,56.5,815800,53.337013
"43",56.279999,56.599998,56.139999,56.41,768900,53.252041
"44",56.259998,56.529999,55.98,56.049999,783700,52.912197
"45",56.18,56.41,55.77,55.900002,802200,52.770603
"46",55.880001,56.299999,55.610001,55.84,995100,52.713963
"47",55.959999,56.740002,55.959999,56.59,1135700,53.421974
"48",56.57,56.919998,56.41,56.779999,1322600,53.601334
"49",56.509998,56.779999,56.080002,56.259998,937900,53.110439
"50",56.580002,56.759998,56.049999,56.459999,913000,53.299248
"51",56.419998,56.490002,55.950001,56.099998,736200,52.959404
"52",56.060001,56.490002,55.73,56.400002,1232200,53.242603
"53",56.439999,56.52,56.029999,56.25,647100,53.101006
"54",56.32,56.490002,55.419998,55.580002,775700,52.468521
"55",55.84,55.900002,55.419998,55.830002,1097200,52.704517
"56",55.880001,56.419998,55.490002,55.869999,942200,52.742275
