"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"887",56.439999,57.720001,56.16,56.459999,3415300,55.572903
"888",56.02,56.549999,55.18,56.470001,2395200,55.582752
"889",58,60.400002,58,59.669998,4574900,58.732468
"890",60.900002,61.700001,60.5,61.049999,5220900,60.090786
"891",61.369999,61.77,60.799999,61.43,3011500,60.464817
"892",61.360001,62.009998,61.049999,61.709999,2135000,60.740417
"893",62.25,62.91,61.400002,61.619999,2495300,60.651829
"894",61.630001,62.41,61.279999,61.959999,3036900,60.986496
"895",62.16,62.560001,61.790001,62.080002,2514900,61.104607
"896",62.18,62.330002,61.459999,61.799999,2678000,60.829006
"897",61.689999,63.669998,61.290001,63.43,2997400,62.433392
"898",63.419998,63.84,62.580002,62.639999,3155000,61.655807
"899",63.07,65.199997,62.68,64.790001,4818300,63.772022
"900",68.919998,69.489998,67,69.18,6495000,68.093048
"901",68.790001,69,66.989998,68.32,3646900,67.246567
"902",66.849998,68.120003,66.669998,68.040001,3398200,66.970963
"903",67.169998,67.989998,66.870003,67.919998,2962900,66.852837
"904",68.139999,68.68,67.160004,67.43,2697300,66.370537
"905",67.489998,67.730003,66.669998,67.580002,2307600,66.518188
"906",67.199997,67.650002,66.690002,67.480003,2054500,66.419762
"907",67.360001,67.480003,66.610001,67.110001,2338600,66.055565
"908",67.290001,67.580002,66.269997,66.529999,2302500,65.484688
"909",66.959999,67.620003,66.889999,66.980003,2699000,65.927612
"910",66.32,67.300003,66.150002,66.900002,1531500,65.848885
"911",66.489998,67.279999,66,66.93,1289300,65.878403
"912",67.25,67.839996,66.949997,67.540001,1769200,66.478828
"913",67.599998,67.879997,67,67.220001,1535400,66.163849
"914",67.300003,67.669998,66.760002,66.889999,1935500,65.839035
"915",66.120003,66.709999,66.019997,66.300003,1315300,65.47364
"916",66.169998,66.209999,65.120003,65.720001,3580100,64.900871
"917",65.709999,67.629997,65.540001,67.620003,2429900,66.777199
"918",67.620003,67.650002,66.470001,66.940002,1864000,66.105667
"919",67.080002,67.849998,66.580002,67.75,2071000,66.905579
"920",68,68.300003,67.160004,67.410004,1589900,66.569809
