"","LUV.Open","LUV.High","LUV.Low","LUV.Close","LUV.Volume","LUV.Adjusted"
"1",50.400002,51.16,49.810001,49.98,4210300,48.194786
"2",50.25,51.419998,50.150002,51.299999,4914400,49.467644
"3",51.439999,52.119999,50.119999,50.470001,7131500,48.66729
"4",50.490002,50.650002,49.450001,49.93,5691900,48.146576
"5",50,50.93,49.799999,50.299999,4966600,48.503365
"6",50.549999,51.889999,50.529999,51.34,5569300,49.506222
"7",51.77,52.200001,51.470001,51.68,5941600,49.834068
"8",51.68,51.950001,50.259998,51.009998,6059800,49.188
"9",51,51.34,50.779999,51.150002,2611300,49.323009
"10",50.880001,51.34,50.220001,50.240002,4219700,48.445503
"11",50.07,50.66,49.700001,50.380001,5897000,48.580502
"12",50.450001,50.75,49.849998,50.07,4237900,48.281582
"13",50.139999,51.169998,50.139999,51.09,5196500,49.265148
"14",51.029999,51.139999,49.77,49.939999,4222200,48.156223
"15",50.119999,50.240002,49.580002,49.650002,6152400,47.876579
"16",49.09,49.950001,48.709999,49.459999,8380800,47.693367
"17",51.400002,53.990002,51.139999,53.919998,15952600,51.994061
"18",54.080002,54.18,52.380001,52.700001,7687000,50.817635
"19",52.130001,52.400002,51.169998,52.349998,8057600,50.480133
"20",52.060001,52.400002,51.509998,52.310001,6604000,50.44157
"21",52.549999,53.27,52.439999,52.73,4953400,50.846558
"22",52.27,53.310001,52.18,52.860001,4563700,50.97192
"23",53,53.580002,52.599998,52.880001,3631600,50.991215
"24",53.169998,53.380001,52.900002,53.07,3335000,51.174423
"25",53.349998,53.880001,52.91,53.040001,5231000,51.145493
"26",53.200001,53.490002,52.360001,52.919998,4076800,51.029778
"27",52.919998,54.669998,52.900002,54.52,7692200,52.572636
"28",54.77,54.869999,54.369999,54.709999,3194400,52.75584
"29",54.84,56.310001,54.84,55.73,5412800,53.739414
"30",55.73,55.740002,54.919998,55.310001,4945100,53.334412
"31",56.91,58.060001,55.799999,57.290001,9908500,55.243687
"32",57.400002,57.400002,56.060001,56.34,5617900,54.327625
"33",56.119999,57.349998,55.580002,57.32,6077200,55.272614
"34",57.599998,57.990002,57.080002,57.860001,4290600,55.793331
"35",57.790001,58,57.139999,57.91,4782100,55.841545
"36",58.080002,58.549999,57.119999,57.259998,4664700,55.21476
"37",56.919998,58.560001,56.369999,58.540001,5513400,56.449039
"38",58.34,58.48,57.57,58.43,6309000,56.342976
"39",58.400002,58.57,57.700001,57.799999,5733900,55.73547
"40",58.470001,59.68,58.43,58.880001,5382900,56.776897
"41",58.459999,58.73,57.529999,57.57,4658700,55.513687
"42",57.700001,59,57.599998,58.860001,5136900,56.757607
"43",58.509998,58.599998,57.16,57.560001,5899500,55.50404
"44",57.41,57.41,56.689999,56.830002,5757300,54.895496
"45",56.91,57.029999,56.43,56.68,6214700,54.750607
"46",56.73,57.380001,56.279999,56.360001,7228200,54.441494
"47",54.68,55.990002,54.41,55.880001,12504900,53.977829
"48",55.720001,56.18,54.459999,54.490002,9720400,52.635143
"49",54.110001,54.139999,52.720001,52.880001,9223100,51.079952
"50",51.970001,54.619999,51.82,54.290001,9513600,52.441952
"51",54.599998,54.610001,53.77,54.150002,4933700,52.306725
"52",54.139999,54.209999,53.16,53.18,6400300,51.36974
"53",53.509998,53.75,52.939999,53.450001,4754700,51.630543
"54",53.66,53.66,51.799999,51.880001,6374900,50.113983
"55",51.639999,52.529999,51.110001,52.459999,5817400,50.674244
"56",52.459999,52.959999,52.240002,52.369999,3022300,50.587315
"57",52.639999,52.869999,52.290001,52.610001,3719700,50.819141
"58",52,53,51.700001,52.880001,4260000,51.079952
"59",52.799999,54.540001,52.459999,54.189999,6854400,52.345356
"60",54.009998,54.080002,53.16,53.48,4487500,51.659527
"61",53.52,54.25,53.41,53.830002,2631300,51.99762
"62",53.529999,53.959999,53.41,53.759998,3119600,51.929996
"63",53.720001,54.119999,53.18,54,3446400,52.161827
"64",53.810001,53.900002,52.880001,53.07,3990600,51.263485
"65",53.490002,54.41,53.299999,53.349998,4822600,51.533955
"66",53.349998,53.77,52.959999,53.380001,3023700,51.562927
"67",53.34,54.869999,53.259998,54.540001,7941500,52.683449
"68",54.400002,54.630001,53.959999,54.220001,4268900,52.374336
"69",54.209999,55.080002,53.59,55.060001,5431100,53.185741
"70",55.709999,56.57,55.48,55.509998,6956900,53.620422
"71",55.330002,55.369999,54.290001,54.310001,4207100,52.461273
"72",54.450001,54.73,54.150002,54.720001,2852400,52.857311
"73",54.66,55.07,53.810001,54.419998,3620100,52.567528
"74",54.779999,55.09,54.48,54.650002,2880100,52.7897
"75",54.919998,56.130001,54.919998,55.950001,4279900,54.045448
"76",55.830002,56.150002,55.34,55.630001,3828100,53.73634
"77",56.200001,56.700001,56.049999,56.490002,3573600,54.567066
"78",56.919998,57.84,56.91,57.09,5313700,55.146641
"79",57.209999,57.52,56.709999,56.939999,5407400,55.001743
"80",55.610001,56.419998,54.52,55.75,10258700,53.852253
"81",55.919998,56.389999,55.66,56.220001,5012200,54.306248
"82",56.52,57.220001,56.169998,56.279999,4157000,54.364208
"83",56.349998,58.459999,56.299999,58.330002,4894100,56.344433
"84",58.099998,58.419998,57.84,58.16,4023900,56.180222
"85",58.419998,58.650002,57.540001,58.34,3847300,56.354088
"86",58.400002,58.549999,57.939999,58.400002,2423600,56.412045
"87",58.5,58.73,57.25,57.48,3625200,55.523361
"88",57.75,58.560001,57.66,58.279999,4467900,56.296127
"89",58.169998,58.59,57.970001,58.369999,5051200,56.383064
"90",58.200001,58.389999,57.459999,58.09,2611100,56.112598
"91",57.880001,58.23,57.09,57.220001,3069600,55.272224
"92",57.240002,58.34,57.240002,58.029999,3723500,56.054646
"93",58.110001,58.619999,57.650002,58.27,4728300,56.286465
"94",58.27,58.27,56.830002,57.040001,4195600,55.098343
"95",57.130001,57.779999,56.959999,57.290001,3576900,55.339832
"96",57.549999,58.360001,57.470001,58.040001,3389200,56.064304
"97",58.400002,59.439999,58.259998,58.919998,5768900,56.914345
"98",59.25,59.82,58.810001,59.639999,2960600,57.609833
"99",59.810001,60.02,59.360001,59.580002,3078000,57.551884
"100",59.779999,61.189999,59.779999,60.919998,6800000,58.846264
"101",60.849998,61.150002,60.5,60.669998,4928200,58.604774
"102",60.560001,60.580002,59.439999,59.48,3777200,57.455284
"103",59.889999,60.200001,59.130001,60.09,4088200,58.044521
"104",60.18,60.599998,60.060001,60.299999,4689300,58.247375
"105",60.799999,61.240002,60.240002,60.360001,5340200,58.305332
"106",60.200001,61.189999,59.77,60.990002,5241500,59.03614
"107",60.66,61.18,60.02,60.099998,5296300,58.174648
"108",59.490002,60.349998,58.41,59.959999,6816700,58.039139
"109",59.959999,60.099998,58.830002,59.16,5397600,57.264767
"110",59.41,59.759998,59.110001,59.459999,5642700,57.555157
"111",59.459999,59.459999,57.630001,58.990002,6076300,57.100212
"112",58.880001,59.549999,58.669998,59.209999,5015500,57.31316
"113",59.619999,60.080002,59.029999,59.529999,4219200,57.62291
"114",59.240002,60.209999,58.990002,60.110001,5063300,58.184334
"115",60.009998,60.57,60,60.290001,6207600,58.358566
"116",60.639999,61.09,60.41,60.919998,4964600,58.968384
"117",60.849998,61.07,60.240002,60.330002,4835700,58.397285
"118",60.419998,61.369999,60.419998,61.029999,3951500,59.07486
"119",61.880001,62.290001,61.049999,61.52,5485700,59.549168
"120",61.610001,62.189999,61.32,61.919998,5079200,59.936348
"121",62.099998,62.75,61.610001,61.75,4256300,59.771793
"122",61.75,62.220001,61.459999,61.509998,2805800,59.539482
"123",61.810001,62.450001,61.810001,62.009998,2730700,60.02346
"124",62.279999,62.700001,61.23,61.810001,3186600,59.829876
"125",62.040001,62.580002,61.970001,62.139999,3186400,60.149303
