"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"1",384.619995,387.950012,382.279999,386.429993,743900,343.22467
"2",384.649994,386.970001,383.160004,386.660004,680800,343.428925
"3",384.980011,386.700012,380.079987,382.540009,468400,339.769623
"4",383.570007,385.470001,381.429993,384.299988,453400,341.332764
"5",384.350006,385.429993,380.01001,380.420013,505300,337.886627
"6",381.779999,382.279999,378.549988,380.309998,452800,337.78891
"7",379.670013,382.470001,377.100006,380.950012,948800,338.357422
"8",379.619995,379.869995,372.209991,378.290009,777400,335.994751
"9",378.690002,386.950012,375.950012,379.350006,620400,336.936249
"10",377.100006,377.100006,373.339996,374.799988,647300,332.894928
"11",376.160004,378.040009,373.390015,378,508500,335.737183
"12",377.670013,379.700012,376.100006,377.350006,456100,335.159912
"13",379.279999,381.630005,378.829987,381.399994,660900,338.757019
"14",381.339996,381.339996,376.029999,378.059998,502800,335.790497
"15",380.100006,383.390015,378.540009,381.380005,615100,338.739349
"16",384.980011,388.820007,383.890015,388.329987,597000,344.91217
"17",382.549988,388.279999,378.410004,379.420013,836500,336.998444
"18",380.450012,381.369995,372.899994,375.059998,686900,333.125885
"19",374.809998,375.529999,370.700012,375.179993,591800,333.232483
"20",374.690002,375.269989,372.200012,373.980011,714600,332.166718
"21",375.209991,378.109985,370.869995,373,618900,331.296295
"22",366.450012,372.450012,365.829987,371.640015,832400,330.088287
"23",372,378.640015,371.570007,378,953400,335.737183
"24",374.549988,378.829987,374.549988,377.420013,546500,335.222076
"25",377.630005,379,376.519989,376.890015,546900,334.751282
"26",375.079987,376.26001,373.799988,374.559998,433800,332.681824
"27",376.480011,379.910004,375.690002,378.570007,493000,336.243469
"28",380.190002,383.940002,379.850006,382.890015,578300,340.080475
"29",384.73999,387.279999,383.339996,385.829987,453300,342.691772
"30",385.799988,386.51001,383.26001,384.980011,772300,341.936829
"31",385.290009,393.720001,385.290009,393.040009,640000,349.095642
"32",392.630005,393.700012,389.929993,391.970001,503700,348.145264
"33",389.76001,390.690002,388.01001,388.76001,607400,345.294159
"34",390.940002,392.829987,388.980011,390.100006,434300,346.484344
"35",389.040009,390.950012,387.790009,390.709991,421900,347.026093
"36",391.470001,391.769989,388,390.609985,387300,346.937286
