"","INCY.Open","INCY.High","INCY.Low","INCY.Close","INCY.Volume","INCY.Adjusted"
"1",101.139999,103.199997,100.410004,102.32,1434800,102.32
"2",103.099998,104.629997,102.279999,102.839996,1442500,102.839996
"3",102.82,104.989998,102.239998,104.809998,940900,104.809998
"4",105.419998,109.300003,104.919998,108.309998,1817400,108.309998
"5",113.550003,119.889999,112.830002,118.529999,3005500,118.529999
"6",119.089996,121.18,117.800003,119.300003,2013200,119.300003
"7",118.800003,119.93,113.769997,115.290001,2085500,115.290001
"8",114.43,118.25,112.879997,117.550003,1221500,117.550003
"9",117.970001,119.800003,116.720001,117.75,1103000,117.75
"10",115.699997,116.75,113.239998,113.639999,1368900,113.639999
"11",114.510002,115.239998,113.120003,115.089996,1125400,115.089996
"12",115.5,117.620003,113,117.529999,1160000,117.529999
"13",118.32,122.68,117.080002,117.220001,1907600,117.220001
"14",118.269997,119.260002,116.68,117.419998,1751700,117.419998
"15",117.550003,118.57,115.559998,118.300003,1323300,118.300003
"16",119.129997,121.349998,118.169998,120.910004,1411400,120.910004
"17",120.510002,124.870003,119.019997,120.639999,2437500,120.639999
"18",121.440002,123.529999,120.620003,121.720001,804100,121.720001
"19",121.830002,122.239998,117.82,118.230003,1346100,118.230003
"20",117.949997,121.309998,117.099998,121.209999,1472600,121.209999
"21",121.120003,124.650002,119.860001,124.269997,1420800,124.269997
"22",123.029999,123.699997,119.230003,120.919998,1643900,120.919998
"23",121.760002,122.459999,119.620003,120.339996,868900,120.339996
"24",120.279999,121.309998,118.809998,119.68,1107700,119.68
"25",120.089996,120.43,117.25,118.18,1670700,118.18
"26",117.32,123.589996,117.18,122.730003,2180700,122.730003
"27",121.919998,124.190002,121.68,122.959999,894000,122.959999
"28",123.010002,123.099998,121.260002,121.699997,1084700,121.699997
"29",122.269997,122.269997,120.260002,121.150002,1171000,121.150002
"30",119.940002,125.489998,119.620003,123.32,1869500,123.32
"31",122.389999,122.610001,119.010002,120.940002,1608100,120.940002
"32",121.389999,122.230003,118.529999,120.18,990700,120.18
"33",120.18,120.849998,119.160004,120.489998,941400,120.489998
"34",121.089996,122.669998,119.769997,122.360001,1257200,122.360001
"35",121.699997,122.900002,121.25,121.360001,854100,121.360001
"36",121.400002,122.139999,118.790001,121.949997,1568100,121.949997
"37",128.270004,131.889999,127.559998,131.210007,9231000,131.210007
"38",131.880005,134.970001,130.240005,134.020004,33193000,134.020004
"39",133.589996,134.050003,131.240005,133.100006,3868700,133.100006
"40",133.899994,135.479996,131.910004,133.220001,3001100,133.220001
"41",134.699997,135.789993,132.119995,132.800003,1963800,132.800003
"42",133.190002,137.759995,132.649994,136.910004,2859800,136.910004
"43",136.949997,136.979996,133.139999,134.380005,1920700,134.380005
"44",133.130005,134.850006,131.479996,133.389999,1906600,133.389999
"45",133.389999,137.880005,133.059998,136,2363200,136
"46",135.429993,138.339996,134.229996,138.020004,1781600,138.020004
"47",138.809998,150.419998,138.539993,149.240005,5114800,149.240005
"48",149.240005,151.630005,145.289993,151.029999,4159600,151.029999
"49",149.990005,151.979996,148.830002,150.960007,1697400,150.960007
"50",151.350006,153.149994,147.899994,152.660004,1977100,152.660004
"51",151.690002,151.910004,146.979996,148.440002,3684300,148.440002
"52",148.009995,149.270004,146.789993,147.960007,4268000,147.960007
"53",147.610001,148.929993,146.509995,148.520004,1745200,148.520004
"54",148.360001,149,140.470001,140.729996,2240500,140.729996
"55",141.75,143.580002,140.009995,141.279999,3860300,141.279999
"56",141.130005,141.270004,138.710007,138.970001,1887600,138.970001
"57",138.970001,140.570007,138.009995,139.639999,1547600,139.639999
"58",139.149994,140.360001,137.539993,139.889999,1038800,139.889999
"59",139.460007,141.339996,138.380005,139.479996,1852500,139.479996
"60",139.5,139.949997,138.350006,139.279999,1355400,139.279999
"61",140.100006,140.940002,137.699997,137.770004,1109800,137.770004
"62",137.800003,138.729996,133.259995,133.669998,2554800,133.669998
"63",135,141.860001,134.130005,138.520004,3454800,138.520004
"64",138.009995,143.050003,137.809998,141.550003,1743500,141.550003
"65",141.550003,144.320007,137.509995,138.429993,1748700,138.429993
"66",137.839996,139.369995,134.229996,135.5,1595700,135.5
"67",139.479996,140.630005,136.550003,140.110001,2206700,140.110001
"68",140.179993,141.240005,136.020004,136.880005,1651500,136.880005
"69",137.110001,137.690002,134.160004,136.070007,1296000,136.070007
"70",136.479996,141.399994,134.960007,138.270004,1584600,138.270004
"71",139.660004,142.449997,138.009995,140.839996,2186400,140.839996
"72",124.970001,127.43,124.050003,126.07,6916700,126.07
"73",125.110001,128.410004,124.150002,125.900002,2593400,125.900002
"74",125.900002,126.169998,124.050003,124.540001,1937200,124.540001
"75",125.279999,125.489998,123.050003,123.110001,2035200,123.110001
"76",123.5,125.349998,122.510002,123.010002,1818900,123.010002
"77",124.059998,124.739998,123.5,123.910004,1155300,123.910004
"78",124.660004,124.910004,124.019997,124.389999,1175900,124.389999
"79",124.68,125.470001,122.32,123.080002,1151700,123.080002
"80",123,125.360001,122.550003,124.169998,1038100,124.169998
"81",124.260002,124.800003,123.019997,124.279999,977600,124.279999
"82",124.779999,125.589996,123.209999,124,1149900,124
"83",123.980003,124.440002,121.519997,123.709999,1343300,123.709999
"84",123.43,124.540001,122.809998,123.209999,1474400,123.209999
"85",126.230003,127.800003,123.339996,125,1405000,125
"86",124.139999,124.800003,120.5,122.410004,2010700,122.410004
"87",121.720001,121.800003,116.440002,117.790001,2582900,117.790001
"88",117.470001,119.919998,117.040001,119.730003,1204300,119.730003
"89",119.669998,119.919998,118.080002,118.220001,1227400,118.220001
"90",117.870003,118.410004,116.209999,116.43,1358600,116.43
"91",115.989998,117.860001,114.330002,115.190002,2732700,115.190002
"92",115,117.489998,114.029999,117.349998,1710300,117.349998
"93",117.489998,120.870003,117.099998,117.760002,2682000,117.760002
"94",116.980003,121.68,116.080002,120.489998,3733600,120.489998
"95",128.160004,131.75,125.389999,128.800003,5666300,128.800003
"96",129.029999,133.800003,129,131.429993,3856500,131.429993
"97",131.199997,134.889999,130.220001,134.429993,2031400,134.429993
"98",134.169998,136.300003,133.509995,136.160004,1199100,136.160004
"99",136.399994,138.75,135.009995,138.100006,1301400,138.100006
"100",138.990005,139.979996,138.210007,138.410004,1770500,138.410004
