"","HLT.Open","HLT.High","HLT.Low","HLT.Close","HLT.Volume","HLT.Adjusted"
"1",56.573639,56.676239,55.403999,56.204281,3328021,54.802773
"2",57.299999,59.759998,57.299999,58,5614500,56.553715
"3",58.060001,58.419998,56.84,57.32,5122200,55.890667
"4",57.18,57.560001,56.23,57.470001,3359000,56.036922
"5",57.299999,57.299999,56.48,56.959999,3921800,55.539646
"6",56.959999,57,55.779999,56.02,3384700,54.623085
"7",55.759998,56.310001,55.709999,56,2781500,54.603588
"8",56.110001,56.299999,55,55.400002,7378600,54.018543
"9",55.57,56.25,55.48,56.220001,3058600,54.818104
"10",56.32,56.32,55.68,56.09,2828900,54.691338
"11",56.130001,56.950001,56.02,56.950001,2854600,55.529892
"12",57.490002,57.91,57.279999,57.5,4200900,56.066174
"13",57.540001,58.080002,57.540001,57.700001,2350500,56.261189
"14",57.709999,57.84,57.189999,57.75,2315200,56.309944
"15",58.009998,58.299999,57.709999,58.099998,1857100,56.651215
"16",58.099998,58.939999,58.099998,58.779999,1993100,57.314255
"17",59.049999,59.27,58.68,58.75,2989000,57.285011
"18",58.869999,59,58.470001,58.549999,1336000,57.09
"19",58.240002,58.380001,57.630001,58.040001,1719500,56.59272
"20",57.77,57.959999,57.57,57.580002,2273900,56.144184
"21",57.93,58.110001,57.23,57.349998,3689900,55.919918
"22",57.529999,57.689999,57.130001,57.299999,2620000,55.87117
"23",57.330002,57.82,57.299999,57.799999,1353200,56.358696
"24",57.560001,58.23,57.389999,57.720001,1710400,56.280697
"25",57.98,58.240002,57.630001,57.810001,2061400,56.368446
"26",57.720001,58.43,57.470001,58.259998,1024900,56.807224
"27",58.259998,58.919998,58.189999,58.639999,1476800,57.177757
"28",58.84,58.84,58.48,58.689999,1191000,57.226509
"29",58.869999,59.169998,58.639999,58.849998,1915300,57.382507
"30",58.790001,58.91,58.419998,58.470001,2317300,57.011997
"31",58.419998,59.84,57.5,59.459999,4716200,57.977306
"32",59.540001,60.490002,59.139999,59.240002,3145300,57.762794
"33",59.029999,59.029999,58.060001,58.5,2778200,57.041245
"34",58.650002,58.650002,57.98,58.02,2058800,56.573219
"35",57.869999,58.139999,57.599998,57.849998,2581000,56.407448
"36",58.09,58.209999,57.119999,57.209999,1614900,55.783417
