"","MPWR.Open","MPWR.High","MPWR.Low","MPWR.Close","MPWR.Volume","MPWR.Adjusted"
"684",155.059998,156.169998,152.429993,154.270004,539700,151.535172
"685",154.690002,158.089996,153.570007,157.179993,221400,154.393555
"686",159.009995,160.639999,155.130005,157.279999,288200,154.491791
"687",156.960007,161.020004,154.720001,159.960007,306400,157.124313
"688",159.970001,161.539993,158.690002,160.220001,216700,157.3797
"689",160.669998,160.669998,155.149994,156.619995,350300,154.228546
"690",157.490005,157.490005,154.130005,155.630005,599600,153.253662
"691",157,159.25,153.169998,153.350006,378500,151.008453
"692",151.539993,151.699997,148.029999,149.929993,459300,147.640671
"693",149.610001,153.199997,146.949997,151.729996,666100,149.413208
"694",152.419998,153.309998,151.25,152.929993,360300,150.594879
"695",152.25,153,148.839996,149.210007,478300,146.931686
"696",147.690002,147.869995,141.610001,141.809998,518600,139.644669
"697",132.940002,138.449997,131.130005,135.149994,2067100,133.086349
"698",133.899994,139.559998,133.899994,137.020004,745300,134.927811
"699",139.080002,140.889999,136.360001,138.130005,925600,136.020859
"700",138.309998,142.729996,137.869995,142.520004,530700,140.343842
"701",142.779999,144.690002,141.740005,144.610001,368400,142.401901
"702",143.729996,145.059998,141.759995,141.860001,528400,139.693909
"703",142.880005,143.889999,142.240005,142.720001,382700,140.540787
"704",141.990005,143.050003,139.929993,142.110001,299100,139.940079
"705",143.270004,145.889999,143.270004,145.399994,355900,143.17984
"706",145.320007,146.009995,142.949997,144.210007,569600,142.008026
"707",146,152.460007,143.009995,150.690002,928000,148.389084
"708",151.550003,152.460007,148.639999,150.240005,456000,147.945969
"709",149.669998,153.419998,149.669998,152.330002,403500,150.004028
"710",154.050003,154.529999,153.240005,153.899994,271500,151.550064
"711",153.869995,155.190002,152.029999,152.279999,331600,149.954788
"712",153.380005,154.559998,150.020004,151.679993,293600,149.363968
"713",151.509995,151.809998,149.279999,149.919998,236100,147.630829
"714",151.100006,155.600006,150.289993,155.580002,266700,153.204437
"715",157.289993,161.520004,156.539993,161.100006,466100,158.640137
"716",161.210007,164.820007,160.479996,162.580002,395500,160.097534
