"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"637",115.720001,116.519997,115.449997,115.889999,7644300,108.916298
"638",115.730003,116.290001,115.730003,115.940002,7861700,108.96328
"639",114.93,115.769997,114.790001,115.440002,5828700,109.195976
"640",115.5,115.949997,115.010002,115.010002,6547000,108.789246
"641",115.040001,115.449997,114.580002,115.300003,4018800,109.06356
"642",115.709999,116.050003,113.839996,113.849998,8194600,107.691963
"643",113.849998,113.879997,112.279999,112.599998,9635900,106.509575
"644",111.480003,112.980003,111.379997,112.769997,7809400,106.670387
"645",113.209999,114.879997,112.879997,114.730003,5559600,108.524391
"646",114.730003,116.209999,114.620003,116,7768700,109.725685
"647",119.82,121.760002,118.800003,120.410004,18788800,113.897156
"648",119.660004,120.68,117.07,118.040001,12641800,111.655334
"649",118.559998,119.169998,116.730003,116.730003,11308600,110.416214
"650",116.510002,117.080002,115.690002,116.440002,12266100,110.141884
"651",116.089996,116.300003,112.830002,113.080002,12974800,106.963631
"652",113.650002,115,113.18,114.279999,9490600,108.098717
"653",113.75,116.239998,112.68,115.519997,9507600,109.271652
"654",115.519997,117.489998,115.339996,117.440002,7416600,111.087807
"655",117.620003,118.040001,115.849998,116.779999,6939500,110.463493
"656",116.779999,117.669998,115.589996,116.029999,4996200,109.754066
"657",116.510002,118.07,116.339996,117.25,6722000,110.908073
"658",116.459999,117.940002,115.660004,115.790001,10148300,109.527046
"659",116.800003,118.089996,116.440002,117.389999,7758000,111.040497
"660",118.059998,119.540001,117.599998,119.18,8302400,112.733688
"661",119.970001,120.449997,119.110001,120.239998,5867100,113.736336
"662",120.050003,120.260002,118.790001,118.900002,6744300,112.468826
"663",119.269997,119.650002,118.68,119.199997,4037400,112.752586
"664",119.080002,119.790001,118.699997,119.419998,4558400,112.960701
"665",119.139999,120.110001,116.43,117.32,7336800,110.974289
"666",117.75,119.599998,117.220001,119.32,5661500,112.866112
"667",119.989998,121.050003,119.779999,120.550003,6996300,114.029587
"668",120.459999,121.43,119.629997,121.400002,4600300,114.833611
"669",121.790001,122,120.32,121.18,5011500,114.625504
"670",121.959999,122,119.510002,120.230003,6007100,113.726898
"671",119.790001,121.540001,119.629997,121.360001,4959300,114.795776
"672",121.849998,123.279999,121.459999,123.209999,5586900,116.545692
"673",123.239998,123.43,122.18,122.760002,7491900,116.120049
"674",123,123.379997,122.540001,122.870003,5306900,116.224098
"675",122.709999,122.779999,121.779999,122.169998,7662400,115.561951
"676",121.029999,121.18,119.580002,119.879997,9582200,113.395821
"677",119.860001,121.339996,119.360001,121.269997,7565500,114.710625
"678",122.650002,123.209999,121.620003,122.769997,6194300,116.129494
"679",121.82,122.580002,121.5,122.120003,6777400,115.514664
"680",121.809998,121.959999,119.019997,119.75,9626700,113.27285
"681",119.629997,121.989998,119.440002,121.160004,6377100,114.606583
"682",121.269997,121.959999,120.769997,121.410004,5684200,114.843056
"683",121.389999,122.230003,121.239998,121.900002,4525800,115.306564
"684",122.129997,122.599998,121.75,122.239998,15362000,115.628166
"685",122.199997,123.769997,121.970001,123.220001,6060400,116.555161
"686",123.699997,124.730003,123.360001,123.610001,7633200,116.924057
"687",123.559998,123.830002,122.949997,123.019997,5812600,116.365982
"688",123.639999,125,123.529999,124.309998,6984800,117.586212
"689",124.410004,124.879997,123.720001,124.57,5589800,117.832138
"690",124.57,125.360001,124.129997,124.379997,5206900,117.65242
"691",124.360001,124.639999,123.199997,123.849998,5415700,117.151093
"692",123.199997,123.650002,120.209999,121.080002,6755100,114.530914
"693",121.669998,122.540001,120.839996,121.739998,5171000,115.155212
"694",122.190002,124.059998,121.989998,124,4377900,117.292976
"695",123.529999,123.889999,122.68,122.839996,4749700,116.195717
"696",122.660004,122.93,120.879997,120.93,5545300,114.389023
"697",121.809998,122.389999,121.43,121.980003,3775600,115.382225
"698",121.330002,122.190002,120.800003,121.940002,3943400,115.344398
"699",122.040001,122.059998,120.82,121.089996,6292200,114.540352
"700",121.620003,121.620003,119.580002,120.050003,7360200,113.556625
"701",120.190002,120.559998,116.699997,117.199997,11113900,110.860771
"702",117.669998,117.769997,116.510002,117.529999,7973100,111.17292
"703",117.309998,117.639999,116.550003,116.629997,5956900,111.026321
"704",116.550003,117.75,116.169998,117.470001,9016700,111.825966
"705",117.419998,119.120003,117.349998,119.080002,6731600,113.358612
"706",124,124.220001,121.599998,122.18,14410500,116.309662
"707",121.989998,123.730003,121.839996,123,8249300,117.090271
"708",123.760002,125.769997,123.339996,124.790001,6725600,118.794258
"709",124.82,124.82,123.169998,123.25,6093300,117.328255
"710",123.480003,124.120003,122.599998,123.480003,5459500,117.547218
"711",123.199997,124.559998,123.099998,123.599998,5659800,117.661438
