"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"915",284.079987,286.390015,283.48999,286.070007,430400,278.77124
"916",285.440002,286.98999,282.850006,286.440002,583500,279.131836
"917",289.589996,289.75,287.190002,287.649994,466100,280.310944
"918",289.179993,291.140015,287.850006,289.420013,485400,282.035767
"919",288.429993,295.529999,287.880005,293.959991,578000,286.45993
"920",294.899994,295.160004,292.049988,292.75,426400,285.280823
"921",293.380005,297.109985,293.160004,296.76001,502700,289.188507
"922",295.350006,299.459991,292.089996,292.26001,601900,284.803314
"923",291,303.170013,290.690002,302.730011,1071700,295.006165
"924",302.48999,310.73999,301.820007,310.309998,1296600,302.392761
"925",307.980011,308.940002,292.910004,297.179993,1320600,289.597778
"926",298.910004,300.709991,291.059998,298.429993,1375400,290.815887
"927",294.890015,298.309998,292,294.519989,1109400,287.005615
"928",298.179993,306.829987,297.950012,303.269989,1025400,295.532379
"929",302.700012,306.040009,294.100006,295.230011,1181300,287.697571
"930",297.809998,302.130005,297.100006,300.320007,625800,292.657684
"931",303.579987,306.799988,301.269989,303.970001,611000,296.214508
"932",305.880005,307.929993,303.959991,304.040009,700700,296.282745
"933",304.26001,306.76001,302.290009,302.459991,810000,294.743073
"934",298.700012,302.839996,297.170013,301.980011,739700,294.27533
"935",299.799988,303.299988,294.839996,295.809998,1150800,288.262756
"936",291.369995,291.600006,284.640015,290.779999,762600,283.361053
"937",292.660004,293.73999,289.440002,293.450012,671700,285.962982
"938",292.820007,293.540009,284.589996,285.429993,885100,278.147583
"939",285.51001,291.859985,284.230011,289.98999,795400,282.591217
"940",286.25,291.690002,285,290.709991,566700,283.292847
"941",294.119995,295.809998,292.130005,292.670013,742200,285.20285
"942",294.630005,296.779999,291.809998,293.859985,603100,286.362488
"943",293.670013,299.320007,293.059998,297.859985,1152700,291.590088
"944",299.059998,301.73999,293.570007,294.670013,1316700,288.467255
"945",291.320007,298.470001,290.200012,296.040009,1030000,289.80838
"946",298.290009,304.670013,296.190002,300.320007,1091900,293.998322
"947",301.529999,304.23999,295.920013,296.200012,1418600,289.964996
"948",300.700012,304.730011,299.690002,302.109985,645800,295.75061
"949",303.019989,304.679993,299.089996,299.660004,745500,293.352203
"950",302.290009,303.459991,299.230011,300.600006,962600,294.2724
"951",303.880005,304.859985,301.880005,302.880005,706000,296.504395
"952",302.429993,306.820007,300.399994,301.100006,798900,294.761871
"953",299.98999,301.570007,297.709991,297.910004,975400,291.639008
"954",296.850006,297.670013,294.350006,295.959991,1054300,289.730042
"955",297.690002,300.369995,296.130005,298.140015,1398700,291.864227
"956",299.959991,300.600006,293.220001,294.160004,922900,287.967957
"957",295.51001,297.390015,294.100006,294.48999,532000,288.291016
"958",294.040009,298.029999,293.109985,293.26001,429800,287.086914
"959",292.540009,294.130005,289.01001,292.25,547400,286.098175
