"","PAYC.Open","PAYC.High","PAYC.Low","PAYC.Close","PAYC.Volume","PAYC.Adjusted"
"1",46.200001,46.849998,45.615002,46.470001,697000,46.470001
"2",46.689999,47.59,46.48,47.34,771900,47.34
"3",47.310001,47.400002,46.59,47,460700,47
"4",47.110001,47.584999,46.880001,47.490002,252900,47.490002
"5",47.700001,48.959999,47.66,48.400002,580300,48.400002
"6",48.18,48.689999,47.740002,48.209999,680600,48.209999
"7",48.34,48.959999,48.080002,48.790001,460200,48.790001
"8",48.77,48.77,47.349998,48.09,438500,48.09
"9",48.299999,49.290001,48.299999,48.720001,505700,48.720001
"10",48.48,48.48,47.400002,47.900002,492800,47.900002
"11",48.25,48.779999,47.799999,48.07,370600,48.07
"12",48.360001,48.400002,47.450001,47.880001,377200,47.880001
"13",47.889999,49.209999,47.830002,49.189999,472100,49.189999
"14",48.950001,50.063999,48.799999,49.889999,792800,49.889999
"15",50.080002,50.810001,49.849998,50.32,561700,50.32
"16",50.810001,50.966,49.77,50.009998,375000,50.009998
"17",50.189999,50.279999,48.459999,48.619999,576900,48.619999
"18",48.880001,49.23,48.07,49.209999,636100,49.209999
"19",48.599998,48.599998,46,47.060001,1033200,47.060001
"20",47,47,45.540001,46.240002,1353700,46.240002
"21",46.150002,46.275002,42.52,43.93,2551600,43.93
"22",43.610001,44.529999,42.880001,44.32,1222600,44.32
"23",45.220001,47.450001,44.869999,45.990002,2075100,45.990002
"24",47.73,47.73,44.540001,44.599998,1053500,44.599998
"25",44.93,45.580002,44.580002,45.400002,669100,45.400002
"26",45.330002,45.34,44.25,45.259998,1690800,45.259998
"27",48.849998,52.029999,47.900002,51.32,3786800,51.32
"28",51.43,52.400002,50.68,52.330002,1016200,52.330002
"29",52.459999,52.889999,51.84,51.84,844600,51.84
"30",51.57,52.310001,50.799999,52.200001,699800,52.200001
"31",51.939999,52.915001,51.869999,52.790001,548500,52.790001
"32",52.91,52.919998,51.799999,52.419998,623900,52.419998
"33",52.189999,53.459999,52.07,53.380001,652800,53.380001
"34",53.150002,53.412998,52.82,53.110001,577300,53.110001
"35",53,53.68,52.660999,53.549999,420700,53.549999
"36",53.84,54.080002,53.310001,54.060001,650300,54.060001
"37",53.349998,55.310001,53,55.299999,1150200,55.299999
"38",55.290001,55.41,54.130001,54.709999,746000,54.709999
"39",54.41,54.849998,53.68,53.830002,726300,53.830002
"40",54.5,56.110001,54.403999,55.709999,866400,55.709999
"41",55.540001,55.875999,54.709999,55.200001,490300,55.200001
"42",55.580002,56.560001,55.479,56.5,1095100,56.5
"43",55.990002,56.84,55.790001,56.669998,561200,56.669998
"44",56.400002,57.310001,56.360001,56.75,670600,56.75
"45",56.970001,57.220001,55.790001,56.029999,410300,56.029999
"46",55.91,56.139999,55.279999,55.849998,300800,55.849998
"47",56.25,56.610001,55.48,56.18,501600,56.18
"48",56.18,56.5,55.599998,56.459999,527300,56.459999
"49",56.290001,56.290001,55.259998,56.060001,372900,56.060001
"50",56.34,56.389999,55.779999,56.310001,450100,56.310001
"51",56.540001,56.709999,56.009998,56.59,362500,56.59
"52",56.779999,56.799999,56.060001,56.470001,733600,56.470001
"53",57,57.119999,56.02,56.439999,484600,56.439999
"54",56.740002,56.950001,54.779999,54.869999,526100,54.869999
"55",54.860001,55.389999,54.139999,55.279999,660700,55.279999
"56",55.23,55.23,53.700001,54.09,679200,54.09
"57",54.5,55.290001,54.209999,54.939999,388300,54.939999
"58",54.419998,56.060001,53.73,55.869999,469700,55.869999
"59",56.189999,56.775002,55.75,56.48,463700,56.48
"60",56.650002,57.27,56.48,56.970001,347600,56.970001
"61",56.84,57.459999,56.450001,57.189999,431000,57.189999
"62",57.07,57.720001,56.84,57.509998,517800,57.509998
"63",57.759998,58.349998,57.349998,57.790001,452600,57.790001
"64",57.66,58.209999,57.439999,58.02,512800,58.02
"65",58.119999,58.810001,57.09,57.240002,680200,57.240002
"66",57.360001,58.029999,57.110001,57.900002,537700,57.900002
"67",57.93,58.5,57.709999,57.849998,524400,57.849998
"68",57.919998,58.16,57.240002,57.400002,352600,57.400002
"69",57.400002,58.310001,57.400002,57.959999,336900,57.959999
"70",57.959999,58.349998,57.59,57.869999,325900,57.869999
"71",57.799999,58.865002,57.669998,57.740002,286900,57.740002
"72",57.849998,58.380001,57.709999,58.330002,277200,58.330002
"73",58.049999,59.099998,58.009998,59.040001,305600,59.040001
"74",59.27,60.108002,59,59.439999,514400,59.439999
"75",59.82,59.900002,58.900002,59.490002,682700,59.490002
"76",59.459999,59.563999,58.919998,59.279999,650900,59.279999
"77",60.48,60.48,59.889999,60.02,535000,60.02
"78",60.34,61.200001,60.285,60.5,566600,60.5
"79",60.77,60.939999,59.919998,59.970001,415100,59.970001
"80",60.18,60.59,59.900002,60.450001,348200,60.450001
"81",60.5,60.75,59.849998,60.25,471400,60.25
"82",60.59,60.93,59.880001,60.759998,518200,60.759998
"83",60.950001,61.049999,60.060001,60.52,806500,60.52
"84",63.110001,63.5,60.830002,63.299999,1879600,63.299999
"85",63.560001,64.669998,63.5,63.580002,1221200,63.580002
"86",63.689999,64.949997,63.689999,64.720001,835600,64.720001
"87",64.720001,65.300003,64.410004,65.120003,743900,65.120003
"88",65.190002,65.389999,64.459999,64.470001,651600,64.470001
"89",64.400002,65.279999,64.400002,64.449997,850900,64.449997
"90",64.279999,64.449997,63.730999,64.080002,541700,64.080002
"91",64.349998,65.074997,64.129997,65.010002,777400,65.010002
"92",65.290001,65.720001,64.949997,65.410004,671100,65.410004
"93",65.760002,65.762001,64.779999,65.57,659700,65.57
"94",64.800003,64.900002,62.869999,63.200001,853000,63.200001
"95",62.77,64.599998,62.209999,64.220001,709000,64.220001
"96",64.709999,65.199997,64.290001,64.889999,673200,64.889999
"97",65.07,65.389999,64.639999,65,524100,65
"98",65.360001,65.639999,64.330002,64.599998,421000,64.599998
"99",64.839996,65.190002,64.580002,65.089996,390100,65.089996
"100",65.480003,66.879997,65.18,65.910004,521500,65.910004
"101",65.779999,66.370003,65.57,65.959999,314000,65.959999
"102",66,66.647003,65.690002,66.080002,321000,66.080002
"103",66.18,66.404999,64.921997,65.440002,463400,65.440002
"104",65.660004,67.110001,65.040001,67.110001,531400,67.110001
"105",67.269997,68.120003,66.470001,67.870003,493500,67.870003
"106",67.870003,68.489998,67.620003,68.32,397500,68.32
"107",68.18,68.959999,67.980003,68.150002,583600,68.150002
"108",68.300003,68.936996,68.010002,68.639999,430200,68.639999
"109",68.68,69.18,68.019997,69.010002,425400,69.010002
"110",69.18,69.650002,64.139999,65.559998,1124000,65.559998
"111",64.989998,66.57,62.165001,66.57,1049300,66.57
"112",67.480003,67.779999,66.010002,67.5,518500,67.5
"113",67.830002,68.268997,65.667999,66.580002,427000,66.580002
"114",65.519997,68.07,64.800003,68.040001,644200,68.040001
"115",67.760002,69.739998,67.669998,69.360001,1214500,69.360001
