"","ZTS.Open","ZTS.High","ZTS.Low","ZTS.Close","ZTS.Volume","ZTS.Adjusted"
"1",53.880001,54.380001,53.34,53.59,3579700,51.970367
"2",53.720001,54.18,53.099998,54.110001,3316300,52.474651
"3",54.139999,54.169998,53.599998,53.93,2469100,52.300083
"4",53.849998,54.720001,53.73,54.099998,2845800,52.464958
"5",54.09,54.349998,53.389999,53.950001,2123300,52.319489
"6",54.029999,54.290001,53.689999,53.93,2087100,52.300083
"7",53.84,54.110001,52.709999,53.310001,3400500,51.698826
"8",53.09,53.580002,53.029999,53.389999,1513600,51.776409
"9",53.549999,53.880001,53.349998,53.740002,2458700,52.115829
"10",53.5,53.68,52.93,53.220001,2213400,51.611542
"11",53.389999,54.009998,53.040001,53.299999,3199900,51.791294
"12",53.299999,53.619999,53.119999,53.5,2902500,51.985649
"13",53.630001,54.389999,53.599998,53.970001,3573500,52.442341
"14",53.650002,54,53.59,53.75,2978600,52.228577
"15",53.75,53.990002,53.459999,53.779999,2490900,52.25771
"16",54.099998,54.290001,53.73,54,5709100,52.471489
"17",53.630001,54.439999,53.59,53.84,2272000,52.316013
"18",54.09,54.720001,53.970001,54.650002,2326800,53.103092
"19",54.389999,54.509998,53.869999,54.27,2317100,52.733856
"20",54.009998,54.970001,53.799999,54.939999,3616500,53.38488
"21",54.93,55.349998,54.619999,55.32,2492100,53.754128
"22",55.009998,55.720001,54.720001,55.700001,2723000,54.123375
"23",55.849998,56.07,55.529999,55.919998,2309400,54.337143
"24",55.66,55.849998,55.419998,55.77,2894300,54.191395
"25",56.110001,56.32,55.689999,55.98,2402700,54.395447
"26",55.970001,56.32,55.73,55.959999,2888900,54.376011
"27",55.959999,56.5,55.91,55.959999,2655800,54.376011
"28",56,56.09,55.549999,55.73,6160900,54.152519
"29",54.5,55.490002,54.450001,55.139999,5636000,53.579231
"30",55.139999,55.259998,54.790001,55.02,5216300,53.46262
"31",54.790001,55.310001,54.200001,55.150002,5639900,53.588932
"32",54.689999,54.880001,52,52.779999,12881800,51.286026
"33",53.009998,53.52,52.32,52.509998,8167500,51.023655
"34",52.490002,53.66,52.34,53.470001,5931400,51.956486
"35",52.860001,53.540001,52.73,53.380001,3595600,51.869034
"36",53.5,53.790001,53.259998,53.580002,4673400,52.063377
"37",53.529999,53.91,53.200001,53.880001,4819700,52.354885
"38",53.849998,54.18,53.549999,53.830002,4220600,52.306301
"39",53.459999,53.970001,53.240002,53.310001,4106300,51.801022
"40",53.73,54.080002,53.549999,53.889999,3581100,52.364601
"41",54,54.080002,53.310001,53.369999,3299900,51.859325
"42",53.34,53.720001,53.25,53.419998,2483600,51.907909
"43",53.009998,53.330002,52.880001,53.080002,1832300,51.57753
"44",52.860001,53.380001,52.639999,53.07,2763200,51.567814
"45",53.02,53.41,52.790001,53,2095300,51.499805
"46",53.049999,53.720001,52.91,53.689999,3188000,52.170265
"47",53.700001,53.759998,53.200001,53.34,2833500,51.83017
"48",53.330002,53.630001,53.240002,53.560001,2297800,52.043945
"49",53.330002,53.549999,53.060001,53.419998,2277500,51.907909
