"","XRAY.Open","XRAY.High","XRAY.Low","XRAY.Close","XRAY.Volume","XRAY.Adjusted"
"1",58.02,58.73,57.400002,58.619999,1778000,56.566246
"2",58.650002,59.360001,58.650002,59.099998,978300,57.02943
"3",59,59.240002,58.189999,58.330002,1114500,56.286411
"4",58.34,58.549999,57.799999,58.290001,1169600,56.247814
"5",58.220001,58.669998,58.080002,58.470001,950600,56.421505
"6",58.369999,58.66,57.900002,58.169998,1596000,56.132011
"7",58.150002,58.59,56.700001,57.650002,1723700,55.630238
"8",57.549999,57.740002,56.68,57,1951000,55.003002
"9",57,57.919998,56.470001,57.82,1669900,55.794277
"10",57.57,58.540001,57.27,58.169998,1765400,56.132011
"11",58.18,58.18,56.459999,56.549999,2613000,54.568764
"12",56.450001,56.73,55.450001,55.669998,2175900,53.719601
"13",55.849998,56.029999,55,56.009998,5266300,54.047688
"14",55.93,56.48,55.18,55.59,2375100,53.642399
"15",55.689999,56.709999,55.259998,56.209999,1868300,54.240677
"16",56.439999,57.040001,56.25,56.91,1754200,54.916149
"17",56.790001,56.919998,56.380001,56.599998,1458100,54.617023
"18",56.689999,56.779999,55.790001,56.57,2139500,54.588058
"19",56.48,56.77,55.84,56.34,1458600,54.366123
"20",56.240002,56.720001,55.970001,56.700001,2243600,54.713512
"21",56.700001,57.209999,56.259998,56.900002,1603000,54.906502
"22",56.59,56.869999,56.209999,56.52,1665100,54.539818
"23",56.889999,57.27,56.279999,57.139999,1168800,55.138096
"24",56.900002,57.259998,56.669998,57.259998,1855700,55.253895
"25",57.470001,57.59,56.939999,57.43,1520600,55.41795
"26",57.139999,57.349998,56.630001,57.32,1313900,55.311798
"27",57.369999,58.720001,57.32,58.610001,2242600,56.556595
"28",58.59,58.75,58.259998,58.389999,1194200,56.344299
"29",58.369999,59.02,57.939999,58.84,1344200,56.778542
"30",59.470001,59.900002,59.389999,59.740002,2234700,57.646999
"31",59.549999,60.59,59.349998,60.380001,1477400,58.264587
"32",60.279999,60.759998,60,60.740002,2327200,58.611977
"33",60.630001,63.439999,60.630001,62.68,4224600,60.484001
"34",62,63.09,62,62.5,2491700,60.310314
"35",62.529999,62.75,62.029999,62.34,1457500,60.155918
"36",62.400002,62.669998,62.119999,62.450001,1143100,60.26207
"37",62.52,62.830002,61.889999,62.790001,1045100,60.590153
"38",62.720001,62.970001,62.099998,62.189999,1611100,60.011169
"39",62.189999,63.900002,61.950001,63.52,2533400,61.294579
"40",63.779999,64.800003,63.68,64.5,1998800,62.240242
"41",64.349998,64.349998,63.48,63.650002,972900,61.420021
"42",63.450001,63.619999,62.849998,63.360001,1234200,61.140186
"43",63.07,63.130001,62.5,62.75,1094300,60.551556
"44",62.560001,62.77,62.16,62.549999,1050100,60.358562
"45",62.5,63,62.299999,62.689999,1314600,60.493656
"46",62.66,62.849998,62.43,62.82,1515100,60.619099
"47",63.310001,63.709999,62.900002,63.400002,1478900,61.17878
"48",63.380001,64,62.91,63.939999,1768900,61.699863
"49",63.779999,63.84,63.240002,63.66,951700,61.429672
"50",63.93,64.25,63.439999,63.52,2047600,61.294579
"51",63.419998,63.549999,62.720001,63.099998,1899300,60.889282
"52",63.349998,63.84,63.110001,63.259998,1807500,61.043686
"53",63.200001,63.32,62.060001,62.75,1532400,60.551556
"54",62.98,63.07,62.25,62.400002,1512600,60.213814
"55",62.599998,62.91,62.119999,62.650002,774500,60.455051
"56",62.529999,62.779999,62.209999,62.32,1122800,60.136612
"57",62.459999,62.919998,62.119999,62.439999,907600,60.252411
"58",62.23,62.720001,61.849998,62.560001,953500,60.36821
"59",62.290001,63.16,62.290001,62.939999,930200,60.73489
"60",62.66,63.599998,62.450001,62.939999,1103100,60.819927
"61",62.66,62.939999,62.369999,62.650002,621000,60.539696
"62",62.259998,62.700001,62.18,62.439999,1061400,60.336777
"63",62.470001,62.849998,62.169998,62.639999,1303400,60.530029
"64",62.540001,62.639999,61.529999,61.779999,1361400,59.698997
"65",62.060001,62.990002,61.84,61.990002,1492300,59.901936
"66",62.049999,63.150002,61.880001,63.040001,1727200,60.916561
"67",63.09,63.299999,62.369999,62.459999,1319100,60.356094
"68",62.380001,62.959999,62.18,62.650002,725100,60.539696
"69",62.459999,62.990002,62.310001,62.68,1112700,60.568687
"70",62.450001,62.560001,61.91,61.990002,936700,59.901936
"71",62.099998,62.139999,61.66,61.799999,917000,59.71833
"72",62.07,62.48,61.939999,62.41,579500,60.307777
"73",62.110001,62.439999,61.919998,62.130001,948100,60.037216
"74",62.549999,62.950001,61.810001,62.349998,1193400,60.249805
"75",62.630001,63.040001,61.759998,62.68,1307500,60.568687
"76",62.700001,63.02,62.099998,62.529999,1381800,60.42374
"77",63.43,63.599998,63.029999,63.330002,1140300,61.196796
"78",63.330002,63.849998,62.959999,62.98,1097000,60.858578
"79",63.110001,63.470001,63.110001,63.299999,883800,61.167797
"80",63.279999,63.84,62.959999,63.470001,739400,61.332081
"81",63.220001,63.599998,63,63.240002,1118300,61.109829
"82",63.450001,63.529999,62.939999,63.02,753400,60.897232
"83",63.240002,63.34,62.93,63.25,923900,61.119488
"84",63.240002,64.839996,63.099998,63.810001,1614100,61.660625
"85",64.019997,65.5,63.77,65.32,1708900,63.11977
"86",65.199997,65.599998,64.849998,65.589996,978000,63.380676
"87",65.190002,65.68,64.610001,65.43,2227400,63.226067
"88",64.410004,65.389999,62.919998,63.25,2630600,61.119488
"89",63.18,63.310001,62.299999,62.52,1567100,60.414082
"90",62.32,62.779999,62.099998,62.700001,1214100,60.588028
"91",62.700001,62.700001,61.599998,61.650002,1476300,59.57338
"92",61.549999,62.18,61.48,62.049999,1489900,59.959908
"93",62.189999,62.32,61.610001,62.16,927100,60.066204
"94",61.959999,61.959999,61.310001,61.349998,1190900,59.283489
"95",61.610001,62.049999,61.150002,61.66,996800,59.58305
"96",61.52,62.040001,61.130001,61.619999,1454800,59.544399
"97",61.540001,62.759998,61.52,62.59,1349900,60.481712
"98",61.450001,63.41,61.02,63.150002,2106800,61.022865
"99",63.419998,63.630001,62.540001,62.73,975800,60.617004
"100",62.869999,63.25,62.48,63.07,765300,60.945557
"101",62.990002,63.139999,62.59,62.720001,679400,60.607342
"102",62.57,62.799999,62.310001,62.619999,1696100,60.510704
"103",62.919998,63.689999,62.400002,63.52,1412400,61.380405
"104",63.740002,64.07,62.98,64.059998,1187500,61.902206
"105",64.25,64.540001,64.010002,64.449997,859500,62.279068
"106",64.760002,64.830002,63.790001,63.900002,640100,61.747601
"107",63.869999,64.150002,63.459999,63.549999,531100,61.409389
"108",63.279999,64,63.139999,63.599998,729800,61.457699
"109",63.43,63.619999,62.830002,63.450001,1023400,61.312756
"110",63.360001,63.650002,62.919998,63.34,1130600,61.206459
"111",63.290001,63.889999,62.349998,62.75,2397200,60.63633
"112",62.700001,63.299999,62.490002,63.279999,833700,61.148483
"113",63.450001,63.889999,63.279999,63.73,899700,61.583317
"114",63.459999,63.619999,63.049999,63.310001,1031400,61.177467
"115",63.110001,63.73,62.66,63.700001,1700500,61.554325
"116",64.010002,64.260002,63.82,63.98,676900,61.824898
"117",63.889999,64.050003,63.18,63.349998,944300,61.216114
"118",63.380001,63.810001,63.290001,63.77,958100,61.621979
"119",63.720001,64.080002,63.68,63.830002,825200,61.679947
"120",63.91,64,63.5,63.84,1389700,61.689621
"121",63.98,64.160004,63.18,64.07,850500,61.911865
"122",63.919998,65,63.709999,64.43,1800900,62.259747
"123",64.519997,65.5,63.990002,65.25,1182800,63.138363
"124",65.169998,65.440002,64.110001,64.529999,1167800,62.441662
"125",64.900002,65.050003,64.449997,64.839996,762900,62.741627
"126",65.139999,65.440002,64.510002,64.629997,475400,62.538422
"127",64.739998,65.269997,64.300003,65.080002,1053800,62.973858
"128",64.769997,65.07,64,64.290001,1948600,62.209431
"129",64.449997,64.879997,64.199997,64.599998,1077000,62.509403
"130",64.629997,64.720001,64.080002,64.239998,1168400,62.161045
"131",64.379997,64.980003,63.73,64.099998,1190200,62.02557
"132",64.599998,65.110001,64.339996,64.400002,1038500,62.315876
"133",64.550003,65.099998,64.110001,64.889999,773500,62.790012
"134",65,65.239998,64.900002,65.110001,917700,63.002895
"135",64.900002,65.400002,64.709999,65.059998,774500,62.954506
"136",65.050003,65.190002,64.529999,65,906600,62.89645
"137",65.07,65.099998,64.5,64.610001,1744500,62.51907
"138",64.489998,64.540001,62.990002,63.029999,2671800,60.990204
"139",63.040001,63.43,62.57,62.919998,2812900,60.883762
"140",62.970001,63.029999,62.360001,62.689999,2747300,60.661209
"141",62.98,63.099998,62.459999,63.049999,1119300,61.009556
"142",63.07,63.290001,62.759998,63.169998,997300,61.125675
"143",63.060001,63.23,62.639999,62.91,1208900,60.874092
"144",63.009998,63.150002,62.25,62.650002,1033100,60.622501
"145",62.799999,62.799999,61.869999,62.029999,1251200,60.022564
"146",62.110001,62.110001,60.700001,61.52,2333300,59.529068
"147",61.369999,61.470001,60.619999,61.16,1014900,59.180714
"148",61.02,61.41,60.689999,61.349998,655000,59.364571
"149",61.380001,61.75,60.82,61.59,1448400,59.596806
"150",61.639999,62.389999,61.459999,62.34,1587800,60.322533
"151",62,62.32,61.130001,61.41,2044300,59.422626
"152",58.77,58.900002,55.849998,56.23,6053900,54.410271
"153",55.869999,56.169998,55.240002,55.5,3521200,53.703888
"154",55.580002,55.580002,54.5,55.330002,3566600,53.539394
"155",55.77,56.150002,54.040001,54.290001,2875300,52.533058
"156",54.139999,54.139999,53.209999,53.759998,2870000,52.020199
"157",54,54.110001,52.73,53.48,2168300,51.749252
"158",53.450001,53.849998,53.150002,53.169998,1659700,51.449299
"159",53.139999,53.560001,52.82,52.849998,1573700,51.139652
"160",52.709999,53.07,52.540001,52.790001,1335100,51.081596
"161",52.689999,53.880001,52.560001,53.689999,1649800,51.952473
"162",53.369999,53.419998,52.93,53.220001,1197700,51.497677
"163",53,54.810001,53,54.619999,3173600,52.852375
"164",54.700001,55.040001,54.330002,54.799999,1864500,53.026546
"165",54.91,55.290001,54.709999,55.16,1751300,53.374905
"166",54.939999,55.939999,54.849998,55.700001,2251200,53.897423
"167",55.509998,55.82,55.360001,55.669998,1879800,53.868385
"168",55.66,56.639999,55.580002,56.57,1517900,54.739254
"169",56.669998,56.82,56.240002,56.66,1675400,54.826351
"170",56.650002,56.73,55.889999,56.490002,1228800,54.661861
"171",56.580002,57.41,56.48,56.939999,1428500,55.09729
"172",56.93,58.18,56.68,57.830002,2594300,55.9585
"173",57.919998,58.810001,57.919998,58.439999,3016800,56.548744
"174",58.77,59.419998,58.43,59.240002,2005200,57.322849
"175",59.23,59.599998,59.009998,59.439999,1459900,57.51638
"176",59.27,59.860001,58.98,59.139999,2117700,57.226097
"177",59.139999,59.139999,57.490002,58.119999,2080200,56.239101
"178",58.84,59.57,58.509998,59.34,2670700,57.419621
"179",59.220001,59.380001,58.310001,58.709999,1995400,56.810005
"180",58.709999,58.759998,57.75,57.849998,1570100,55.977837
"181",58.349998,58.830002,58.080002,58.650002,1107000,56.751961
"182",58.48,58.77,57.610001,57.810001,1104900,55.939137
"183",57.75,58.599998,57.650002,58.529999,970300,56.63583
"184",58.279999,59.220001,58.110001,59.16,1222200,57.245449
