"","DTE.Open","DTE.High","DTE.Low","DTE.Close","DTE.Volume","DTE.Adjusted"
"1",84.034042,84.110641,83.25106,83.582977,1422103,71.43718
"2",83.693619,84.297874,83.463829,83.804253,1263595,71.626312
"3",83.931915,84.076599,83.157448,83.914894,1467693,71.720879
"4",83.702126,84.38298,83.531914,84.136169,1171005,71.909996
"5",83.829788,84.314896,83.19149,83.302132,1858145,71.197159
"6",83.344681,83.370216,82.629784,82.919151,1220590,70.86982
"7",82.919151,83.838295,82.825531,83.753189,834368,71.582664
"8",83.753189,83.94043,83.285103,83.719147,721215,71.553566
"9",83.676598,84.212769,83.319145,83.659576,810163,71.502678
"10",83.872337,84.67234,83.77021,84.425529,680325,72.15731
"11",84.263832,84.646812,84.017021,84.161705,919320,71.931808
"12",83.702126,84,83.174469,83.523407,1474860,71.386284
"13",83.804253,84.314896,83.429787,83.744682,731673,71.575401
"14",83.889359,83.974464,83.344681,83.429787,519468,71.306274
"15",83.217018,83.625534,83.029785,83.370216,569053,71.255348
"16",83.012764,83.412766,82.561699,83.353188,1325988,71.240784
"17",83.336166,83.957443,83.123405,83.591492,703825,71.444473
"18",83.702126,83.931915,82.544678,82.638298,1159138,70.629776
"19",82.927658,83.021278,82.195747,82.680855,984415,70.666145
"20",82.876595,84.076599,82.782982,83.948936,1496715,71.749977
"21",83.574471,84,82.706383,83.344681,1642415,71.233521
"22",83.531914,84.570213,83.165955,84.212769,1115310,71.975464
"23",84.365959,84.502129,83.787231,84.263832,1494365,72.019112
"24",84.170212,84.468086,83.32766,83.497871,1352660,71.364471
"25",83.778725,83.974464,83.429787,83.744682,1053035,71.575401
"26",83.94043,84.417023,83.582977,84.025536,1423278,71.815437
"27",83.446808,84.238297,82.374466,82.731918,2053548,70.709816
"28",82.408508,83.0383,82.178726,82.859573,1378745,70.818916
"29",82.885109,83.497871,82.731918,83.463829,955628,71.335358
"30",83.055321,83.77021,83.055321,83.582977,1609280,71.43718
"31",82.953194,83.489365,82.680855,83.370216,1201203,71.255348
"32",83.370216,84.255318,83.072342,83.974464,1287918,71.77179
"33",84.05957,84.110641,83.055321,83.506386,936710,71.371735
"34",83.514893,84.391487,83.148933,84.212769,846940,71.975464
"35",84.076599,84.57872,83.77021,84.502129,809928,72.222778
"36",84.595741,85.302132,84.417023,85.174469,1210485,72.797409
"37",85.591492,86.374466,85.378723,86.034042,1192508,73.532089
"38",85.897873,85.897873,85.242554,85.61702,558008,73.175652
"39",85.838295,86.425529,85.61702,86.280853,1016610,73.743027
"40",85.634041,86.646812,84.765961,85.889359,1306953,73.408424
"41",85.795746,86.893616,85.582977,86.417023,740485,73.859413
"42",86.502129,86.502129,85.506386,86.068085,1256310,73.56118
"43",85.923401,86.765961,85.668083,86.51915,1083350,73.946701
"44",86.442551,86.74894,86.246811,86.425529,1205550,73.866676
