"","SNPS.Open","SNPS.High","SNPS.Low","SNPS.Close","SNPS.Volume","SNPS.Adjusted"
"519",92.440002,93.839996,92.120003,93.550003,1239200,93.550003
"520",92.389999,92.389999,90.889999,91.650002,796900,91.650002
"521",91.449997,91.529999,89.769997,90.339996,601800,90.339996
"522",90.690002,92.5,90.260002,92.43,765300,92.43
"523",92.470001,93.809998,92.169998,93.349998,834200,93.349998
"524",93.510002,94.879997,92.900002,94.790001,885700,94.790001
"525",95,97.589996,94.870003,97.559998,1395800,97.559998
"526",97.900002,98.809998,97.709999,98.709999,1532000,98.709999
"527",98.75,99.82,98.25,99.739998,1109100,99.739998
"528",98.699997,99.099998,97.760002,98.449997,1351200,98.449997
"529",97.779999,99.5,97.480003,99.419998,636500,99.419998
"530",99.68,99.860001,98.720001,98.870003,857100,98.870003
"531",99.709999,101.709999,99.099998,101.589996,916200,101.589996
"532",102,102.279999,100.599998,100.660004,943200,100.660004
"533",100.279999,101.330002,100.279999,100.610001,871900,100.610001
"534",101.57,101.739998,100.82,101.650002,586800,101.650002
"535",101.239998,101.900002,100.629997,101.860001,905300,101.860001
"536",102.360001,103.730003,102.360001,102.980003,1376500,102.980003
"537",104.059998,104.199997,98.639999,101.470001,3043200,101.470001
"538",101.709999,102.830002,101.029999,102.300003,1895300,102.300003
"539",103,103.68,102.669998,102.889999,950300,102.889999
"540",102.43,103.139999,102.010002,102.57,743000,102.57
"541",102.139999,102.699997,101.470001,102.629997,533600,102.629997
"542",102.57,103.07,101.650002,101.68,1139000,101.68
"543",102.169998,103.389999,101.849998,103.190002,790100,103.190002
"544",103.32,103.940002,101.32,103,1153800,103
"545",102.949997,103.519997,102.580002,103.379997,917500,103.379997
"546",103.379997,104.18,102.809998,103.68,902300,103.68
"547",103.540001,103.800003,102.550003,103.260002,1032500,103.260002
"548",100.650002,103.300003,100.650002,103.199997,1075100,103.199997
"549",103.519997,105.5,103.519997,105.410004,1475700,105.410004
"550",105.82,107.260002,105.790001,106.900002,1426400,106.900002
"551",107.349998,108.330002,107.349998,107.629997,1784000,107.629997
"552",107.5,108.230003,107.110001,108,990200,108
"553",108.050003,110.150002,108,109.169998,2304500,109.169998
"554",109.029999,109.690002,108.739998,109.309998,1405800,109.309998
"555",109.970001,110.139999,108.739998,109.190002,1150000,109.190002
"556",109.169998,110.010002,108.339996,109.269997,876900,109.269997
"557",109.129997,112.93,109.050003,112.910004,1325600,112.910004
"558",112.400002,112.5,110.290001,110.309998,1372300,110.309998
"559",109.940002,111.379997,109.110001,111.360001,1144200,111.360001
"560",112.360001,113.07,111.839996,112.400002,1263000,112.400002
"561",112.519997,113,110.900002,112.489998,1402000,112.489998
"562",112.739998,114.080002,112.239998,113.93,844800,113.93
"563",114.709999,115.209999,114,115.150002,1108500,115.150002
"564",116.489998,117.779999,115.839996,117.57,1392000,117.57
"565",117.57,117.660004,115.739998,117.510002,1497100,117.510002
"566",118.449997,119.230003,116.940002,117.419998,2138300,117.419998
"567",117.489998,117.769997,114.480003,115.260002,1239700,115.260002
"568",115.879997,116.739998,115.019997,116.589996,1845400,116.589996
"569",116.220001,116.669998,114.830002,116.43,990400,116.43
"570",116.120003,117.010002,116.059998,116.690002,768100,116.690002
"571",116.800003,117.730003,116.690002,117.279999,740500,117.279999
"572",117.580002,118.269997,116.860001,117.760002,881400,117.760002
"573",118.690002,119.209999,117.389999,118.190002,832600,118.190002
"574",118.309998,118.940002,117.029999,117.57,767200,117.57
"575",118.080002,118.510002,116.120003,116.730003,765600,116.730003
"576",117.449997,117.57,115.970001,116.040001,1049400,116.040001
"577",116.550003,116.550003,113.809998,115.980003,1064400,115.980003
"578",115.699997,117.459999,115.010002,116.989998,491900,116.989998
"579",118.419998,120.75,118.029999,119.889999,1406400,119.889999
"580",120.25,121.370003,119.779999,119.870003,948500,119.870003
"581",119.949997,120.43,118.410004,119.699997,730700,119.699997
"582",119.610001,120.120003,118.190002,120.120003,788900,120.120003
"583",120.18,120.980003,119.839996,119.860001,667600,119.860001
"584",119.879997,121.18,119.660004,121.080002,794900,121.080002
"585",121.32,121.449997,120.050003,120.089996,678500,120.089996
"586",120,121,119.190002,120.699997,777800,120.699997
"587",120.5,122.360001,120.5,121.650002,662100,121.650002
"588",119.18,121.830002,118.370003,121.529999,744600,121.529999
"589",120.269997,120.889999,118.589996,119.57,928700,119.57
"590",119.32,120.150002,118.300003,119.360001,646300,119.360001
"591",117.730003,119.25,116.889999,118.900002,729700,118.900002
"592",118.18,120.260002,116.610001,119.82,661300,119.82
"593",117.059998,118.470001,115.660004,115.900002,910600,115.900002
"594",116.489998,118.379997,116.370003,117.739998,737000,117.739998
"595",117.510002,120.330002,117.169998,120.230003,644500,120.230003
"596",120.529999,124.120003,120.529999,123.169998,2070700,123.169998
"597",123.5,123.800003,121.099998,121.389999,1362300,121.389999
"598",121.510002,121.510002,113.940002,115.010002,2159300,115.010002
"599",116.389999,117.129997,115.050003,115.779999,1726900,115.779999
"600",114.849998,115.419998,113.949997,115.089996,2460300,115.089996
"601",116.400002,119.870003,115.510002,117.010002,2387000,117.010002
"602",117.360001,118.470001,116.400002,116.709999,1946400,116.709999
"603",117.099998,119.379997,117.099998,117.879997,1830900,117.879997
"604",116.910004,117.57,115.839996,116.220001,867700,116.220001
"605",116.610001,117.989998,116.610001,117.040001,1065000,117.040001
"606",115.720001,117.199997,115.550003,116.440002,1158500,116.440002
"607",116.550003,117.029999,112.75,113.410004,1245400,113.410004
"608",114.040001,118.120003,113.519997,118.050003,1734300,118.050003
"609",119.349998,120.989998,119.010002,120.980003,1209000,120.980003
"610",121.599998,122.230003,120.349998,122.120003,1346500,122.120003
"611",122.900002,124.129997,122.470001,123.900002,1175400,123.900002
"612",124.860001,126.870003,124.519997,126.220001,1054400,126.220001
