"","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume","NSC.Adjusted"
"1",108.910004,109.519997,106.150002,106.989998,1770100,97.375626
"2",107.57,110.980003,107.150002,110.639999,2705500,100.697624
"3",110.18,111.650002,110.160004,110.290001,3135300,100.379082
"4",110.18,112.989998,109.919998,111.660004,2009200,101.625969
"5",110.889999,110.889999,108.279999,109.18,2081800,99.368835
"6",109.230003,110.050003,108.330002,109.260002,1814500,99.441635
"7",109.349998,110.650002,108.769997,110.550003,1180200,100.6157
"8",110.610001,111.440002,109.360001,111.010002,1239600,101.034378
"9",111.010002,111.849998,110.550003,111.589996,1702800,101.562241
"10",111.18,111.449997,108.470001,108.900002,1876300,99.113991
"11",106.959999,110.040001,105.889999,109.970001,2589600,100.08783
"12",115.57,116,112.559998,114.419998,5852900,104.137924
"13",113.68,113.800003,111.75,113.589996,2656400,103.382523
"14",113.699997,113.910004,112.379997,113.550003,1951200,103.346123
"15",114,117.089996,113.300003,116.620003,3460700,106.140228
"16",117.410004,121.300003,116.809998,120.529999,3832900,109.698891
"17",118.790001,122.169998,118.32,119.510002,2586500,108.770523
"18",120.18,120.620003,118.949997,120.349998,2190000,109.535065
"19",119.269997,120.099998,117.57,119.629997,2510300,108.879723
"20",119.440002,119.75,117.110001,117.459999,3474900,106.904755
"21",117.370003,120,117.25,119.93,2913800,109.722626
"22",119.120003,120,117.610001,119.470001,2305300,109.301781
"23",119.82,121.220001,118.940002,120.459999,1683900,110.207504
"24",120.129997,120.739998,118.599998,119.870003,2205800,109.667717
"25",120.160004,122.5,120,120.879997,2004300,110.591751
"26",120.459999,121.099998,119.089996,120.940002,1440800,110.64666
"27",120.940002,121.989998,120.510002,120.650002,1817400,110.381355
"28",121,121.75,119.949997,121.120003,1929900,110.81134
"29",121.330002,123.300003,121.169998,122.209999,1565000,111.808563
"30",121.830002,123,121.620003,122.489998,1326200,112.064728
"31",122.440002,123.419998,121.160004,122.709999,2285800,112.265991
"32",122.629997,123.32,121.720001,122.93,1482100,112.467262
"33",122.639999,123.18,121.769997,122.779999,1267000,112.330048
"34",123.089996,125,122.809998,123.529999,1486000,113.016212
"35",122.860001,123.089996,121.900002,122.32,1734800,111.909195
"36",122.989998,123.050003,119.160004,120.029999,2379000,109.814087
"37",119,120.099998,118.650002,120.080002,2370600,109.85984
"38",120.199997,121.220001,118.93,121.120003,1872100,110.81134
"39",121.260002,122.190002,120.580002,121.029999,1305600,110.728996
"40",122.199997,124.5,121.809998,123.349998,1582200,112.85154
"41",123.230003,123.279999,121.699997,121.769997,1108100,111.406013
"42",121.93,122.510002,120.830002,122.400002,1790000,111.982399
"43",121.339996,123.110001,121.220001,122.93,1542800,112.467262
"44",122.940002,123.169998,121.629997,122,1961200,111.616417
"45",122,122.139999,119.639999,119.870003,1807900,109.667717
"46",119.879997,120.610001,118.889999,119.400002,1658700,109.237724
"47",119.860001,120.790001,118.970001,119.660004,1362900,109.475601
"48",119.739998,120.260002,118.919998,119.529999,1536200,109.356651
"49",119.580002,119.580002,117.790001,118.349998,1664300,108.277092
"50",116.959999,117.93,115.919998,117.510002,3160300,107.508598
"51",117.400002,117.669998,115.129997,115.349998,3952800,105.53241
"52",115.419998,115.739998,114.209999,114.709999,4796600,104.946899
"53",114.889999,115.519997,114.239998,114.839996,2530200,105.065842
"54",115.110001,115.629997,110.690002,111.5,3362600,102.010117
"55",111.739998,112.650002,111.099998,111.769997,2378200,102.257118
"56",110.639999,111.940002,110.309998,110.550003,2412600,101.140945
"57",110.800003,111.510002,110.139999,110.660004,1276700,101.241608
"58",109.510002,111.699997,109.269997,111.129997,1777000,101.671593
"59",111,114.379997,110.779999,113.32,2243800,103.675201
"60",112.860001,113.720001,112.529999,113.209999,1148900,103.574562
"61",113.400002,115.389999,113.400002,114.25,1283600,104.526016
"62",113.559998,113.730003,111.940002,111.970001,2209100,102.440094
"63",112.230003,113.93,111.900002,113.5,2288000,103.83989
