"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume","TMO.Adjusted"
"1",142.389999,143.830002,142.229996,143.669998,1966400,141.815536
"2",143.949997,146.059998,143.289993,145.160004,2167200,143.286346
"3",145.380005,145.770004,144.779999,145.380005,1683500,143.503479
"4",145.279999,147.490005,145.139999,147.270004,2016200,145.369095
"5",147.009995,148.639999,147.009995,147.490005,1967200,145.586258
"6",147.800003,149.320007,147.300003,147.779999,1806600,145.872513
"7",147.789993,148.330002,143.869995,146.220001,2764300,144.332657
"8",146.179993,146.990005,145.130005,145.970001,2239600,144.085861
"9",146.089996,147.029999,145.520004,146.289993,1839600,144.401718
"10",145.669998,145.869995,144.550003,145.050003,1651500,143.17775
"11",145.839996,146,143.559998,144.660004,1377100,142.792786
"12",144.380005,144.720001,143.440002,144.320007,1435900,142.457169
"13",144.910004,145.139999,143.320007,143.509995,1750000,141.657623
"14",143.160004,144.419998,142.570007,142.789993,1508600,140.946915
"15",143.229996,143.660004,140,140.979996,2988500,139.160263
"16",141.5,143.020004,140.770004,142.429993,2224900,140.591537
"17",142.520004,143.470001,141.970001,143.100006,2934000,141.252914
"18",144.009995,145.860001,143.759995,145.449997,2107800,143.572571
"19",145.529999,145.559998,142.660004,143.289993,3158600,141.44046
"20",146.649994,152.5,146.080002,152.389999,5340700,150.422989
"21",152.270004,155.100006,151.479996,152.940002,3601900,150.965897
"22",152.410004,152.410004,150.229996,151.669998,1751200,149.71228
"23",152.149994,152.369995,150.389999,151.429993,1817100,149.475418
"24",151.059998,152.149994,150.419998,152.080002,1624900,150.116989
"25",152.119995,153.199997,151.789993,153.009995,1479300,151.034988
"26",152.380005,154.229996,151.690002,153.5,1467100,151.518707
"27",153.5,155.270004,153.380005,154.740005,1505000,152.742661
"28",154.679993,155.490005,154.270004,154.889999,1482900,152.890732
"29",155,156.800003,154.490005,156.350006,1635900,154.331848
"30",155.940002,157.330002,155.419998,157.279999,1429700,155.249878
"31",156.490005,158.369995,156.479996,158.259995,1423300,156.217209
"32",158.009995,158.550003,157.440002,157.710007,1252700,155.674347
"33",157.619995,159.300003,157.389999,158.639999,1207400,156.592316
"34",158.639999,159.410004,157.960007,158.630005,1242200,156.582458
"35",158.339996,159.100006,157.690002,158.020004,1283000,155.980331
"36",158.589996,159.119995,157.699997,158.729996,1124900,156.681168
"37",158.339996,158.979996,157.580002,158.979996,832800,156.927948
"38",158.360001,159.289993,158.020004,158.479996,1220200,156.434433
"39",158.199997,159.25,157.520004,157.679993,1674200,155.644684
"40",159.470001,160.889999,158.910004,159.820007,1722600,157.757111
"41",160,160,158.979996,159.199997,1414300,157.145111
"42",158.720001,160.419998,158.660004,160.160004,1204000,158.092712
"43",158.710007,159.289993,157.550003,157.710007,1413400,155.674347
"44",156.990005,157.940002,156.589996,157.259995,1166700,155.230164
"45",157.389999,157.960007,156.639999,157.5,1105400,155.467056
"46",157.720001,158.240005,157.080002,157.779999,1102500,155.743439
"47",158.179993,159.470001,158.149994,159.330002,1206300,157.273438
"48",159.309998,159.309998,157.660004,159.039993,1324300,157.135101
"49",158.490005,158.699997,157.960007,158.339996,1036500,156.443466
"50",158.589996,161.660004,158.360001,161.050003,2548200,159.121017
"51",158.029999,159.5,156.850006,158.020004,3208700,156.127319
"52",158.539993,159.089996,156.380005,157.889999,2654100,155.998871
"53",158.139999,158.399994,156.360001,156.740005,1280600,154.862656
"54",157.470001,157.699997,154.360001,155.539993,1593400,153.677032
"55",155.789993,156.5,154.330002,155.330002,1309600,153.469528
"56",155.300003,155.949997,154.020004,154.649994,1643400,152.797684
"57",154.429993,155.669998,153.690002,154.039993,1939000,152.194992
"58",153.440002,155.350006,152.610001,154.589996,1418600,152.738403
"59",154.639999,155.380005,153.539993,154.639999,1113900,152.787811
"60",154.350006,154.589996,152.940002,153.979996,1075000,152.135742
"61",154.100006,154.710007,153.449997,153.910004,1054200,152.066498
"62",153.389999,154.149994,153.220001,153.600006,1219100,151.760269
"63",153.600006,155.210007,153.5,154.580002,2084800,152.728516
"64",154.470001,154.960007,152.509995,152.720001,2701200,150.890808
"65",153.270004,154.089996,152.630005,152.759995,2013000,150.930313
"66",152.779999,153.520004,152.199997,152.949997,2431000,151.118027
"67",153.070007,153.710007,152.570007,153.110001,1323700,151.276123
"68",153.220001,154.759995,153.220001,153.449997,1019600,151.612061
"69",152.889999,153.690002,151.910004,152.869995,986000,151.038986
"70",152.860001,152.949997,151.740005,152.460007,1253700,150.633911
"71",151.940002,152.960007,151.770004,152.179993,934600,150.357254
"72",152.770004,153.919998,152.330002,153.699997,1274500,151.859024
"73",153.039993,153.880005,152.300003,153.270004,886600,151.434219
"74",153.970001,154.660004,152.919998,154.460007,1291100,152.609955
"75",154.770004,155.860001,153.820007,155.360001,1592700,153.499191
"76",155.270004,155.830002,154.589996,155.039993,1992300,153.183014
"77",156.529999,157.639999,156.029999,157.339996,1198300,155.455444
"78",158.429993,159.429993,158.119995,158.809998,2171300,156.907867
"79",162.130005,168.119995,160.990005,168.009995,4182900,165.99765
"80",168.679993,168.759995,166,166.699997,2287900,164.703369
