"","CDAY.Open","CDAY.High","CDAY.Low","CDAY.Close","CDAY.Volume","CDAY.Adjusted"
"1",28.9,31.75,28.65,31.209999,13590200,31.209999
"2",30.950001,31.5,29.68,30.52,1744900,30.52
"3",30.76,32,30.209999,31.58,638900,31.58
"4",31.42,32.400002,31.26,31.48,858600,31.48
"5",31.48,33.650002,31.48,32.75,845500,32.75
"6",32.630001,34.43,32.529999,33.790001,1807900,33.790001
"7",33.880001,34.889999,33.799999,34.09,679600,34.09
"8",34.09,34.700001,33.900002,33.990002,325600,33.990002
"9",34.48,34.77,32.459999,32.950001,413900,32.950001
"10",33.130001,34.25,33.044998,33.470001,466700,33.470001
"11",33.59,33.869999,32.830002,33.130001,731600,33.130001
"12",33.32,34.630001,33.165001,34.380001,241900,34.380001
"13",34.5,37.130001,33.360001,36.48,868300,36.48
"14",36.610001,37.305,36.459999,36.950001,565800,36.950001
"15",37.41,37.41,35.740002,37.200001,219200,37.200001
"16",37.200001,38.41,36.66,38.330002,826700,38.330002
"17",38.439999,38.869999,36.52,36.82,615800,36.82
"18",36.43,36.619999,34.798,35.16,909300,35.16
"19",35.080002,35.919998,33.200001,34.32,335500,34.32
"20",34.139999,34.5,33.759998,33.970001,405300,33.970001
"21",34.110001,34.310001,33.527,33.709999,397100,33.709999
"22",33.57,33.869999,33.220001,33.599998,256900,33.599998
"23",33.400002,34.34,33,34.240002,218100,34.240002
"24",34.23,34.75,33.790001,34.669998,546100,34.669998
"25",34.630001,34.998001,34.279999,34.52,361000,34.52
"26",35.009998,35.009998,34.009998,34.529999,414400,34.529999
"27",34.439999,36.259998,34.389999,35.959999,521200,35.959999
"28",35.970001,36.68,35.950001,36.349998,319400,36.349998
"29",36.560001,38.639999,36.560001,38.16,307200,38.16
"30",38.27,38.849998,36.68,37.110001,782500,37.110001
"31",36.470001,37.650002,35.950001,37.400002,666200,37.400002
"32",37.830002,38.23,36.27,36.490002,408500,36.490002
"33",36.48,37.82,36.389999,37.619999,508300,37.619999
"34",37.529999,37.830002,37.226002,37.66,641200,37.66
"35",37.459999,41.02,35.400002,38.189999,1771500,38.189999
"36",38.150002,38.860001,37.259998,38.450001,1402700,38.450001
"37",38.360001,42.459999,38.34,39.779999,1646100,39.779999
"38",39.259998,39.619999,37,37.200001,602300,37.200001
"39",37.32,38.244999,36.990002,37.009998,409400,37.009998
"40",36.849998,37.48,36.400002,36.549999,549900,36.549999
"41",36.509998,36.700001,35.700001,35.75,1833800,35.75
