"","OMC.Open","OMC.High","OMC.Low","OMC.Close","OMC.Volume","OMC.Adjusted"
"1",85.910004,85.910004,84.57,85.07,2368600,72.058327
"2",85.540001,86.139999,84.940002,85.699997,1622200,72.591957
"3",85.400002,85.68,84.379997,85.059998,1439800,72.04985
"4",85.290001,86.349998,84.919998,85.809998,982100,72.685135
"5",85.639999,85.970001,85.190002,85.389999,1184400,72.329369
"6",85.410004,85.900002,84.779999,85.239998,970900,72.202332
"7",85.190002,85.849998,84.959999,85.839996,755900,72.710541
"8",85.300003,85.690002,84.940002,85.449997,1252600,72.380203
"9",85.489998,86.120003,85.019997,85.309998,743700,72.261612
"10",84.830002,85.540001,84.470001,84.82,1630000,71.846565
"11",84.919998,85.339996,84.82,85.169998,1138400,72.143028
"12",85.050003,85.300003,84.440002,84.559998,1206500,71.626328
"13",84.849998,85.459999,84.5,85.129997,950400,72.109146
"14",85.080002,85.190002,84.589996,84.940002,1151900,71.948212
"15",85.120003,86.230003,85.110001,85.900002,988800,72.761375
"16",86.160004,86.900002,85.910004,86.379997,1220600,73.167938
"17",86.059998,87.199997,85.800003,87.029999,988300,73.718536
"18",87.18,87.239998,86.459999,86.980003,1423000,73.676178
"19",87.18,87.18,86.470001,87.089996,1274600,73.769348
"20",86.830002,87.169998,85.389999,85.650002,1865200,72.549599
"21",85.669998,85.839996,84.470001,85.029999,1747900,72.024437
"22",84.970001,85.599998,84.650002,85.209999,1256300,72.17691
"23",85.470001,86.209999,85.199997,85.699997,1407400,72.591957
"24",85.540001,87.43,85.510002,87.389999,3227600,74.023468
"25",84.779999,86.209999,83.82,84.260002,3898500,71.372215
"26",84.25,85.239998,84.230003,84.970001,1861500,71.97361
"27",84.389999,85.150002,84.349998,84.650002,1921200,71.70256
"28",85.169998,85.709999,84.699997,85.330002,1447300,72.278549
"29",85.769997,86.139999,85.32,85.93,1103800,72.786797
"30",85.239998,85.870003,84.959999,85.029999,1771400,72.024437
"31",85,85.720001,85,85.639999,1484200,72.541145
"32",85.489998,85.82,85.160004,85.32,1113900,72.270088
"33",85.269997,85.82,84.760002,85.339996,1090300,72.287033
"34",85.300003,85.93,85.080002,85.330002,1098300,72.278549
"35",84.68,85.519997,84.239998,85.269997,1762800,72.22773
"36",85.300003,85.57,84.919998,85.339996,765200,72.287033
"37",84.879997,86.169998,84.879997,86.160004,1218300,72.981621
"38",86.220001,86.25,85.709999,86.18,996100,72.998535
"39",86.050003,86.050003,85.019997,85.099998,1486600,72.083725
"40",85.82,86.709999,85.709999,86.330002,1185200,73.125595
"41",86.150002,86.57,85.870003,86.300003,1112000,73.100189
"42",85.830002,85.830002,84.459999,85.389999,1752800,72.329369
"43",84.879997,84.879997,84.169998,84.510002,2595100,71.583969
"44",84,84.599998,83.860001,84.089996,1682000,71.694817
"45",85,85.75,84.660004,85.099998,1627300,72.555931
"46",85.160004,85.650002,84.639999,85.050003,1138200,72.513321
"47",85.199997,85.379997,84.230003,84.489998,1805900,72.035858
"48",84.68,84.800003,84,84.309998,2672900,71.882378
"49",84.269997,84.709999,84.010002,84.349998,1316100,71.916481
"50",84.57,85.120003,84.290001,84.860001,1429200,72.351311
"51",84.910004,85.370003,84.650002,84.839996,1688500,72.334267
"52",85.169998,85.440002,84.639999,84.940002,1595000,72.419525
"53",85,85.209999,84.279999,84.629997,958500,72.15522
"54",85.080002,85.489998,84,84.349998,2155300,71.916481
"55",84.25,84.779999,84.040001,84.660004,1111500,72.180801
"56",84.650002,85.400002,84.239998,84.519997,1383200,72.061424
"57",84.690002,84.980003,83.959999,84.330002,1785500,71.899437
"58",84,84.519997,83.669998,84.199997,1955000,71.788612
"59",84.300003,85.919998,84.300003,85.309998,1549600,72.73497
"60",84.989998,85.349998,84.720001,85.110001,1036600,72.564468
"61",85.089996,86.110001,85.089996,85.900002,1475300,73.238007
"62",85.639999,86.480003,85.639999,86.209999,1453200,73.502327
"63",86.269997,86.690002,85.139999,85.699997,1731800,73.06749
"64",85.669998,85.93,85.32,85.800003,1348400,73.152756
"65",86.150002,86.419998,85.480003,85.589996,1106200,72.973709
"66",85.440002,85.610001,84.559998,85.559998,1844500,72.94812
"67",85.459999,85.959999,85.269997,85.720001,1889300,73.084564
"68",85.669998,86.089996,84.980003,85,1559400,72.47068
"69",84.980003,85.18,84.129997,84.769997,2133900,72.274574
"70",84.309998,85.239998,84.190002,84.669998,2032600,72.189316
"71",84.669998,85.209999,84.440002,84.459999,1504300,72.010277
"72",84.879997,86.709999,84.82,86.169998,3318600,73.468216
"73",84.739998,85,82.699997,83.5,4970900,71.191788
"74",83.330002,83.839996,83.129997,83.550003,2072900,71.234421
"75",83.93,84.220001,83.510002,84.080002,1425600,71.686302
"76",83.809998,83.809998,83.160004,83.25,1913100,70.978622
"77",84.220001,84.480003,83.129997,83.25,2211900,70.978622
"78",83.540001,83.879997,83.309998,83.540001,1461200,71.225883
"79",83.599998,84.139999,82.910004,82.980003,2210300,70.748444
"80",83.120003,83.339996,82.190002,83.089996,2747900,70.842224
"81",83.059998,83.190002,81.730003,82.120003,2701400,70.015205
"82",82.400002,83.050003,82.110001,82.68,2279000,70.492645
"83",82.93,83.150002,82.720001,82.959999,1968600,70.731384
"84",82.940002,83.449997,82.669998,82.959999,2340300,70.731384
"85",82.910004,83.360001,82.629997,82.93,1857400,70.705803
"86",83.25,83.739998,82.879997,83.690002,1416300,71.353783
"87",83.720001,84.050003,83.370003,83.730003,1489700,71.387894
"88",83.870003,84.230003,83.309998,84,1473400,71.618088
