"","MTCH.Open","MTCH.High","MTCH.Low","MTCH.Close","MTCH.Volume","MTCH.Adjusted"
"1",17.23,17.370001,16.57,17.33,1032200,16.494013
"2",17.35,17.459999,17.18,17.290001,1446200,16.455944
"3",17.200001,18.200001,17,17.99,2805200,17.122175
"4",18.01,18.129999,17.549999,18.030001,1059900,17.160246
"5",18.049999,18.389999,18.030001,18.15,1129900,17.274456
"6",18.190001,18.33,17.969999,18.280001,683800,17.398186
"7",18.24,18.32,18.02,18.24,526100,17.360115
"8",18.219999,18.32,17.58,18.059999,664800,17.188797
"9",18.17,18.290001,18.1,18.200001,426100,17.322046
"10",18.139999,18.200001,17.860001,17.889999,1099100,17.026999
"11",17.93,18.290001,17.620001,18.18,1107000,17.303009
"12",18.16,18.639999,18.059999,18.459999,1628400,17.569502
"13",18.1,18.344999,17.868999,18.07,1102000,17.198317
"14",17.969999,18.450001,17.959,18.23,1117600,17.350597
"15",18.190001,18.33,18.049999,18.23,1055300,17.350597
"16",18.23,18.309999,18.07,18.26,1043700,17.37915
"17",18.219999,18.26,17.75,17.780001,770600,16.922306
"18",17.709999,17.93,17.280001,17.5,1165800,16.655813
"19",17.35,17.5,16.780001,17.459999,1650600,16.617741
"20",17.32,17.575001,17.24,17.370001,1811300,16.532084
"21",16.49,17,16.1,16.52,4712400,15.723087
"22",16.389999,17.49,16.389999,17,2982200,16.179932
"23",17.1,17.639999,17,17.5,1449300,16.655813
"24",17.5,17.690001,17.415001,17.6,926700,16.750988
"25",17.6,17.68,17.33,17.540001,1602100,16.693884
"26",17.51,17.9,17.299999,17.879999,1132600,17.017481
"27",17.799999,18.09,17.76,17.9,700400,17.036516
"28",18,18,17.49,17.51,692300,16.665331
"29",17.51,17.719999,17.299999,17.469999,870300,16.627258
"30",17.530001,17.530001,17.129999,17.32,1356300,16.484495
"31",17.32,17.549999,17.129999,17.26,831500,16.427389
"32",17.25,17.285,16.92,17.040001,789900,16.218004
"33",17,17.16,16.77,17.16,804500,16.332214
"34",17.15,17.389999,16.93,17.049999,697600,16.22752
"35",16.969999,17.15,16.92,17.09,616000,16.265591
"36",17.15,17.15,16.65,16.790001,1085700,15.980063
"37",16.66,16.809999,16.43,16.5,1932000,15.704052
"38",16.389999,16.514999,16.27,16.4,1360800,15.608875
"39",16.379999,16.41,15.94,16.16,1646700,15.380453
"40",16.309999,16.57,16.209999,16.43,1488700,15.637428
"41",16.4,16.42,16.02,16.059999,571700,15.285276
"42",16.01,16.27,15.76,16.219999,1215000,15.437558
"43",16.059999,16.379999,15.82,16.309999,1448000,15.523216
