"","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume","CHRW.Adjusted"
"1",73.5,73.800003,72.169998,72.849998,1851800,65.278404
"2",72.860001,74,72.639999,72.989998,1012700,65.403862
"3",72.790001,73.82,72.589996,73.739998,1122100,66.075905
"4",73.669998,74.309998,73.449997,74.150002,782500,66.443314
"5",73.779999,74.18,73.089996,73.160004,857600,65.556198
"6",73.120003,73.720001,72.839996,73.139999,651700,65.538269
"7",73.010002,73.629997,72.93,73.440002,668200,65.807091
"8",73.360001,73.510002,72.889999,73.440002,843900,65.807091
"9",73.550003,73.650002,73.160004,73.379997,1036600,65.753311
"10",73.18,73.93,72.900002,73.559998,720200,65.914604
"11",73.580002,74.449997,72.949997,74.050003,1187900,66.353691
"12",74.150002,74.150002,73.150002,73.370003,1198700,65.744354
"13",73.510002,73.910004,72.919998,73.599998,1251900,65.95047
"14",73.43,73.720001,73.190002,73.68,1615200,66.022148
"15",73.949997,75.019997,73.510002,74.660004,1168400,66.900299
"16",75,75.080002,74.129997,74.68,982000,66.918228
"17",74.449997,75.910004,74.419998,75.75,1416600,67.877007
"18",75.870003,77.650002,75.580002,77.580002,2487800,69.5168
"19",77.360001,77.360001,76.330002,76.510002,2616100,68.557999
"20",76.739998,76.739998,75.75,76.059998,1653800,68.154785
"21",74.599998,76,73.269997,75.110001,2936100,67.303513
"22",74.860001,75.559998,74.459999,74.940002,1452300,67.151207
"23",75.110001,75.830002,75,75.550003,944100,67.697777
"24",75.449997,75.889999,74.75,74.830002,895300,67.052605
"25",75.32,75.870003,75.019997,75.620003,1128500,67.760529
"26",75.699997,76.220001,75.209999,76.129997,785000,68.217491
"27",75.959999,76.300003,75.580002,75.620003,1724800,67.760529
"28",75.919998,76.82,75.910004,76.559998,726100,68.602806
"29",76.669998,77.169998,76.610001,76.980003,869000,68.979172
"30",76.970001,77.25,76.559998,77.199997,931100,69.1763
"31",77.25,77.940002,77.110001,77.879997,885200,69.785622
"32",77.879997,78.059998,77.440002,78.059998,1091100,69.946915
"33",77.959999,79.089996,77.199997,79.059998,1755900,70.842987
"34",78.919998,79.57,78.779999,79.419998,1388700,71.165558
"35",79.370003,79.459999,78.860001,79.410004,1232000,71.156609
"36",79.459999,79.879997,79.209999,79.459999,1294100,71.201401
"37",79.110001,80.230003,78.879997,80.129997,1386600,71.801758
"38",80.080002,80.349998,79.660004,80.230003,1080400,71.891373
"39",80.120003,80.470001,80.019997,80.370003,1651000,72.01683
"40",80.669998,81.160004,80.389999,80.860001,1499300,72.863861
"41",81.120003,81.120003,80.209999,80.529999,881400,72.566498
"42",80.519997,80.860001,79.279999,79.769997,1049800,71.881653
"43",78.860001,79.650002,78.860001,79.279999,1413100,71.440109
"44",79.150002,79.529999,78.870003,78.940002,931200,71.133728
"45",79.160004,79.410004,78.379997,78.730003,1183000,70.944496
"46",78.769997,79.019997,78.330002,78.519997,729100,70.755241
"47",78.849998,79.419998,78.449997,79.339996,668400,71.494194
"48",79.330002,79.620003,78.620003,79.309998,580500,71.467133
"49",79.209999,79.260002,78.309998,78.559998,575000,70.791298
"50",78.720001,79.160004,78.300003,78.540001,1440900,70.773293
"51",78.5,78.860001,78.110001,78.209999,740700,70.475937
"52",78.190002,79.129997,77.809998,78.919998,1483900,71.115715
"53",78.910004,79.040001,78.519997,78.93,937900,71.12471
"54",79.07,79.400002,78.18,78.360001,1114900,70.611084
"55",78.540001,78.699997,77.699997,78.089996,823400,70.367775
"56",78.160004,78.589996,77.660004,77.68,620900,69.998344
"57",77.75,78.169998,77.260002,77.470001,1374200,69.80912
"58",76.93,77.379997,76.339996,77.019997,993600,69.403595
"59",77.019997,77.919998,76.589996,77.519997,1193900,69.854156
"60",77.339996,77.75,76.220001,77.290001,902300,69.646896
"61",77.25,77.879997,76.949997,77.650002,1118200,69.971291
"62",77.480003,78.029999,77.230003,77.290001,1385300,69.646896
"63",77.519997,78.129997,76.480003,76.709999,1573000,69.124245
"64",76.75,77.150002,76.410004,76.860001,1012700,69.259422
"65",76.800003,77.230003,76.32,76.410004,1122900,68.853928
"66",76.580002,77.459999,75.959999,76.279999,1323800,68.736778
"67",76.360001,76.599998,75.559998,75.730003,1536000,68.241158
"68",75.82,76.669998,75.699997,76.239998,1187700,68.700737
"69",75.660004,76.059998,75.209999,75.75,1225300,68.259186
"70",75.779999,75.779999,74.699997,74.790001,1145000,67.394112
"71",74.150002,75.150002,74.150002,74.459999,1571900,67.096756
"72",74.529999,75.860001,74.419998,75.669998,1605700,68.187111
"73",75.559998,75.629997,75.169998,75.290001,1067000,67.844673
"74",75.5,75.889999,75.199997,75.339996,797100,67.889725
"75",75.580002,76.540001,74.290001,76.449997,1042200,68.889977
"76",76.970001,77.099998,75.589996,76.540001,1582100,68.971077
"77",77,77.830002,76.900002,77.589996,1840100,69.917229
"78",77.730003,78.309998,77.470001,77.699997,1374900,70.01635
"79",73.160004,74.269997,72.43,72.809998,5513900,65.609917
"80",72.830002,73.290001,72.510002,72.809998,1692800,65.609917
"81",72.879997,73.160004,72.529999,72.699997,1904200,65.510796
"82",73.160004,73.190002,72.540001,72.550003,846400,65.375626
"83",72.800003,72.910004,72.43,72.720001,865900,65.528824
"84",72.650002,72.989998,72.32,72.779999,833600,65.582893
"85",73.029999,73.029999,72.449997,72.559998,1210900,65.384651
"86",72.93,73.379997,72.790001,73.349998,917600,66.096519
"87",73.190002,73.290001,71.290001,71.459999,1673900,64.39341
"88",71.370003,71.410004,70.580002,70.860001,2040700,63.852757
"89",70.989998,71.470001,69.989998,70.169998,2878600,63.23098
"90",69.879997,70.269997,69.25,69.779999,1655700,62.879551
"91",69.529999,69.879997,68.870003,69.349998,1557700,62.492069
"92",69.290001,69.82,68.68,69.470001,1051600,62.600212
"93",69.330002,69.75,69.290001,69.599998,1288600,62.71735
"94",69.040001,69.550003,67.470001,67.839996,1999800,61.131397
"95",67.699997,68.989998,67.5,68.059998,1783400,61.329647
"96",68.160004,68.160004,67.080002,67.360001,2306700,60.698868
"97",67.379997,68.099998,67.260002,68.080002,1453200,61.347656
"98",68.150002,68.360001,67.739998,68.339996,885300,61.581947
"99",68.43,68.610001,68.010002,68.379997,1187500,61.617992
"100",68.120003,68.379997,67.639999,67.910004,1894100,61.194481
