"","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume","MAR.Adjusted"
"1",83.349998,83.849998,81.709999,82.5,3277100,79.040169
"2",82.739998,83.400002,82.25,82.339996,4016200,78.886864
"3",82.07,83.07,81.660004,81.779999,2828200,78.350372
"4",81.790001,83.019997,81.330002,82.300003,2306200,78.848549
"5",82.050003,82.699997,81.599998,82.25,2643000,78.800652
"6",82.089996,82.419998,81.660004,81.93,2168000,78.494064
"7",82.279999,83.419998,81.800003,82.839996,2887300,79.365898
"8",82.690002,82.760002,81.040001,81.889999,2281600,78.455727
"9",81.93,82.650002,81.93,82.639999,1671400,79.174294
"10",82.57,82.900002,82.209999,82.379997,2113900,78.925201
"11",82.410004,83.099998,82.07,83,1467300,79.51918
"12",83.720001,85.290001,83.720001,84.529999,3465000,80.985023
"13",84.870003,85.760002,84.160004,84.379997,2449800,80.841316
"14",84.150002,84.529999,83.82,84.370003,1452000,80.831734
"15",84.349998,84.970001,84.019997,84.510002,1455600,80.965874
"16",84.790001,85.699997,84.239998,85.610001,2094600,82.019737
"17",85.790001,86.239998,85.540001,85.839996,2148200,82.240089
"18",85.970001,86.32,85.529999,86.080002,1693400,82.470024
"19",85.830002,85.830002,84.589996,85.260002,2251100,81.684425
"20",85.239998,85.239998,84.360001,84.599998,2462000,81.052101
"21",84.489998,85.209999,84.269997,84.639999,2241700,81.090408
"22",84.400002,84.809998,83.809998,84.5,1803800,80.956284
"23",84.769997,85.519997,84.769997,85.449997,1386600,81.866447
"24",85.459999,85.730003,85.199997,85.650002,1224300,82.058044
"25",85.559998,86.339996,85.550003,85.809998,1547700,82.211349
"26",85.720001,86.480003,85.370003,86.360001,1869500,82.738297
"27",86.860001,86.970001,86.260002,86.790001,2460800,83.150246
"28",86.989998,86.989998,86.440002,86.449997,1866600,82.824501
"29",86.839996,87.419998,86.589996,87.379997,1504200,83.715508
"30",87.309998,87.910004,87.059998,87.889999,2366700,84.204124
