"","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
"1",171.779999,173.199997,170.059998,171.149994,342100,153.254913
"2",171.490005,174.300003,171.229996,172.770004,325900,154.70549
"3",172.309998,173.539993,169.800003,171.699997,228700,153.74736
"4",172,173.990005,171.240005,173.190002,228900,155.081604
"5",173.5,174.279999,173.080002,173.990005,338100,155.797989
"6",173.610001,176.770004,173.610001,176.270004,463800,157.839539
"7",176.360001,177.619995,175.619995,177.410004,396200,158.860382
"8",177.360001,177.679993,174.899994,177.470001,410900,158.914063
"9",177.910004,178.570007,176.389999,177.130005,231600,158.60965
"10",176.380005,176.789993,173.539993,174.419998,370000,156.182983
"11",174.910004,176.199997,174.369995,175.199997,241700,156.881439
"12",175.050003,176.520004,174.25,174.869995,233400,156.585938
"13",175.630005,175.970001,173.839996,174.839996,235900,156.559052
"14",174.839996,175.529999,172.339996,173.649994,223700,155.493515
"15",174.270004,177.970001,174.270004,177.380005,316900,158.833481
"16",178.649994,179.119995,176.449997,179.009995,332900,160.29306
"17",178.960007,180.460007,177.759995,180.020004,465200,161.197464
"18",180.580002,180.740005,179.320007,180.610001,432700,161.725769
"19",181.240005,181.559998,179.460007,181.479996,495400,162.504807
"20",180.770004,181.610001,178.229996,181.529999,818900,162.549576
"21",181.729996,181.729996,178.050003,180.300003,897800,161.448181
"22",175.75,178.419998,164.270004,166.979996,2264400,149.520905
"23",169.949997,173.419998,168.020004,169.779999,1233800,152.028152
"24",170.429993,170.699997,166.550003,167.850006,802600,150.299927
"25",168.229996,168.460007,166.410004,166.820007,565000,149.377625
"26",167.020004,167.169998,165.729996,166.610001,447600,149.18956
"27",166.669998,169.919998,166.25,168.699997,837600,151.06105
"28",169.270004,170.119995,168.809998,169.889999,348700,152.126633
"29",171,172.600006,170.729996,171.860001,404900,153.890656
"30",172,173.160004,169.610001,172.919998,576600,154.839783
"31",172.5,175.779999,172.240005,175.350006,553200,157.015747
"32",175.729996,175.970001,172.350006,173.309998,585900,155.189072
"33",172.720001,173.660004,172,172.570007,480900,154.526428
"34",172.889999,173.710007,171.610001,172.389999,517200,154.365265
"35",171.490005,172.089996,170.210007,170.990005,568000,153.744812
"36",171.660004,171.940002,169.929993,171.029999,272900,153.780792
"37",170,171.360001,168.660004,171.360001,493600,154.077484
"38",171.380005,172.100006,170.289993,171.100006,351800,153.843765
"39",170.649994,171.050003,168.899994,169.669998,372800,152.557968
"40",172.240005,174.5,171.580002,172.850006,584900,155.417206
"41",173.369995,173.5,170.729996,171.080002,350200,153.82579
"42",171.070007,171.070007,169,170.490005,434900,153.295258
"43",169.570007,170.100006,168.610001,169.009995,369300,151.964539
"44",169.149994,169.979996,168.350006,168.460007,245700,151.469971
"45",168.699997,170.059998,168.449997,169.009995,269300,151.964539
"46",169.009995,170.220001,167.660004,168.339996,300400,151.362122
"47",168.490005,170.190002,168.470001,169.839996,310300,152.710785
"48",169.309998,170.830002,169.080002,170.759995,460800,153.538025
"49",169.800003,170.509995,168.899994,169.449997,297100,152.360138
"50",169.960007,173.139999,169.919998,172.25,343000,154.877731
"51",172.720001,173.75,172.419998,172.889999,338700,155.453247
"52",173.520004,173.630005,172.220001,172.880005,341000,155.444229
"53",172.880005,173,171.570007,171.740005,224900,154.419189
"54",172.630005,173.259995,168.889999,169.550003,357800,152.450043
"55",169,169,165.869995,167.179993,816200,150.319061
"56",167.929993,168.809998,166.110001,166.360001,673500,149.581757
"57",166.850006,167.360001,164.699997,165.520004,588900,148.826508
"58",164.619995,165.240005,162.240005,164.910004,589400,148.278
"59",164.679993,168.25,164.169998,167.75,325900,150.831604
"60",167.479996,168.509995,167.199997,167.270004,283200,150.400009
"61",167.190002,168.929993,166.699997,168.309998,260100,151.335083
"62",167.970001,169.360001,167.720001,168.669998,597000,151.658813
"63",168.669998,169.149994,165.619995,167.220001,454300,150.355057
"64",167.240005,167.759995,164.229996,164.740005,501900,148.125168
"65",165.179993,166.490005,162.899994,163.139999,455700,146.686539
"66",163.479996,165.570007,163.009995,164.410004,447400,147.828461
"67",164.199997,165.759995,164.089996,164.380005,522700,147.801483
"68",164.389999,165.369995,163.869995,164.369995,316800,147.79248
"69",164.100006,165.229996,163.220001,165.190002,530700,148.529785
"70",165.119995,165.740005,162.089996,162.630005,798800,146.227966
"71",162.380005,162.940002,161.369995,161.389999,489300,145.113037
"72",161.910004,163.509995,161.070007,163.509995,671100,147.019211
"73",162.630005,163.619995,159.910004,163.309998,808600,146.839386
"74",164.5,165.529999,161.949997,163.770004,957100,147.253021
"75",165.360001,173.979996,165.360001,173.130005,1732100,155.669006
"76",173.020004,176.259995,173.020004,175.210007,838700,157.539246
"77",177.559998,177.800003,174.009995,175.259995,657300,157.584183
"78",176.190002,176.919998,174.699997,174.899994,522300,157.260468
"79",175.119995,175.119995,170.100006,170.229996,1114500,153.061432
"80",170.369995,171.270004,170.009995,170.320007,619600,153.142426
"81",170.490005,170.979996,166.789993,167.529999,780800,150.633774
"82",168.380005,168.380005,166.699997,167.490005,740800,150.597809
"83",167.570007,168.860001,167.339996,168.850006,552700,151.820679
"84",168.850006,168.850006,166.820007,167.240005,627200,150.373001
"85",167.490005,170,167.479996,169.759995,455500,152.638855
"86",170.259995,170.479996,168.039993,170.449997,317500,153.259293
"87",169.690002,171.130005,169.690002,170.5,297400,153.304276
"88",170.75,171.570007,170.190002,170.690002,310700,153.475082
"89",170.679993,171.779999,170.339996,170.839996,322400,153.609924
"90",170.449997,171.720001,168.429993,171.320007,365200,154.04155
"91",170.839996,171.240005,169.199997,170,865600,152.85466
"92",170,171.369995,170,170.919998,446100,153.681885
"93",171.039993,171.320007,169.399994,170.679993,649200,153.46608
"94",169.970001,169.970001,164.100006,164.169998,633300,148.229263
"95",164.169998,165.429993,161.960007,164.320007,695400,148.3647
"96",164.679993,166.259995,163.119995,165.710007,553000,149.619751
"97",166,166.759995,163.429993,163.899994,595300,147.985474
