"","ECL.Open","ECL.High","ECL.Low","ECL.Close","ECL.Volume","ECL.Adjusted"
"1",118.120003,118.410004,117.290001,118.040001,1080600,112.420258
"2",118.25,119.120003,118.010002,118.790001,720000,113.134598
"3",118.419998,118.760002,117.699997,118.610001,731500,112.96315
"4",118.699997,119.57,118.309998,118.919998,864600,113.258362
"5",118.870003,119.389999,118.379997,118.839996,914200,113.182182
"6",118.5,119.019997,117.779999,117.860001,784900,112.248856
"7",117.5,118.480003,117.330002,118.32,771200,112.686935
"8",117.769997,118.709999,117.529999,118.639999,897600,112.991707
"9",118.75,119.220001,118.360001,118.57,596200,112.925041
"10",118.239998,119.040001,117.690002,118.68,754800,113.029793
"11",118.809998,119.190002,117.989998,119.07,1031600,113.401245
"12",118.879997,119.489998,118.459999,118.849998,711400,113.191704
"13",119.150002,119.559998,117.550003,118.400002,1355800,112.763123
"14",118.32,119.419998,118.099998,119.349998,927900,113.6679
"15",119.849998,122,119.400002,121.650002,1255900,115.858421
"16",121.709999,122.540001,121.57,122.489998,1127500,116.658424
"17",122.639999,122.639999,120.57,120.949997,910100,115.191742
"18",120.779999,121.510002,120.43,121.290001,671800,115.515541
"19",121.220001,121.540001,120.07,121.489998,975800,115.706039
"20",121.190002,121.75,119.769997,120.129997,1094100,114.410767
"21",119.739998,120.889999,119.510002,120.779999,795600,115.029839
"22",120.889999,121.239998,120.160004,120.209999,756200,114.486954
"23",120.360001,120.940002,120.010002,120.75,937900,115.001259
"24",120.400002,120.480003,119.089996,119.699997,813100,114.001228
"25",119.989998,120.730003,119.419998,120.25,708800,114.525063
"26",120.110001,120.510002,119.610001,120.339996,604300,114.610764
"27",120.339996,120.839996,120.110001,120.610001,573600,114.86792
"28",120.75,121.400002,120.459999,121.199997,642300,115.429832
"29",121.220001,122.32,120.790001,121.760002,732800,115.963173
"30",121.839996,122.949997,121.559998,122.839996,861600,116.991745
"31",122.349998,123.910004,122.050003,123.400002,1045700,117.525078
"32",123.269997,123.5,122.260002,123.279999,829600,117.410789
"33",123.32,124.089996,122.550003,123.949997,1249100,118.048889
"34",122.800003,124.300003,121.82,124.029999,2200000,118.125107
"35",121.769997,124.269997,121.5,123.099998,1290700,117.239365
"36",123.5,123.620003,122.519997,122.760002,1005200,116.91555
"37",122.300003,125.5,122.300003,125.5,1758000,119.525131
