"","IP.Open","IP.High","IP.Low","IP.Close","IP.Volume","IP.Adjusted"
"1",50.29356,50.994316,50.151516,50.558712,2034912,41.073757
"2",50.795456,51.297348,50.66288,51.183712,2461536,41.581505
"3",51.041668,51.382576,50.501896,50.767044,2197642,41.243
"4",50.719696,51.070076,50.435604,50.871212,1323696,41.327637
"5",50.852272,51.297348,50.58712,50.776516,3154272,41.250702
"6",50.852272,51.344696,50.615528,50.928028,2902522,41.373791
"7",50.738636,51.32576,50.615528,51.26894,2076518,41.650745
"8",50.984848,51.21212,50.227272,50.823864,2023085,41.289162
"9",50.833332,51.21212,50.60606,50.710228,1789392,41.196854
"10",50.520832,50.66288,49.971592,50.179924,1899744,40.766018
"11",50.33144,50.378788,49.867424,50.217804,2348122,40.796803
"12",50.321972,50.33144,49.630684,49.886364,2043043,40.527542
"13",50.89962,51.098484,50.3125,50.842804,3258077,41.30455
"14",50.91856,51.477272,50.804924,51.429924,2541370,41.781532
"15",51.619316,53.039772,51.590908,52.935604,4034448,43.004742
"16",53.484848,55.170456,53.465908,54.914772,5478528,44.612602
"17",55.501896,55.738636,54.327652,54.460228,3854928,44.243343
"18",54.66856,54.772728,54.157196,54.29924,2158781,44.11256
"19",53.996212,53.996212,53.323864,53.873104,2399549,43.766354
"20",53.816288,54.318184,53.229168,53.598484,3956832,43.54327
"21",53.721592,54.090908,53.039772,53.503788,3158074,43.466335
"22",52.53788,52.821972,49.526516,50.520832,8508509,41.042992
"23",50.710228,50.823864,49.45076,50.198864,6171475,40.781414
"24",49.554924,49.554924,47.916668,48.863636,6526397,39.696686
"25",49.157196,49.867424,48.939396,49.365528,4864147,40.10442
"26",49.261364,51.098484,48.929924,50.284092,7998778,40.850655
"27",50.284092,50.284092,49.289772,49.39394,4721376,40.12751
"28",49.602272,50.217804,49.157196,50.085228,4028957,40.689106
"29",49.715908,50.634472,49.573864,49.886364,4048387,40.88546
"30",49.70644,50.113636,49.554924,50.07576,3048883,41.04068
"31",50.104168,50.568184,49.905304,49.96212,4661501,40.947536
"32",50.056816,50.66288,49.933712,50.54924,3084259,41.428738
"33",50.378788,50.530304,49.176136,49.384472,4165286,40.474121
"34",49.479168,50.047348,49.384472,49.96212,2658797,40.947536
"35",49.554924,49.602272,48.73106,49.270832,3133046,40.380989
"36",49.488636,50.085228,49.176136,49.45076,3818179,40.528442
"37",49.242424,49.876896,49.147728,49.829544,2467027,40.838882
"38",49.630684,50.255684,49.630684,50.085228,3185530,41.048443
"39",49.933712,50.189396,49.753788,49.905304,3646262,40.900974
"40",50.407196,51.01326,50.38826,50.823864,3269798,41.653801
"41",50.66288,51.240528,50.558712,50.871212,4031174,41.692616
"42",50.880684,51.373104,50.804924,51.136364,3107597,41.909924
"43",50.795456,51.022728,49.365528,49.554924,3412358,40.613819
"44",49.384472,49.535984,48.721592,48.75,2915827,39.954128
"45",48.977272,49.185604,48.683712,48.806816,2395114,40.00069
"46",48.797348,48.816288,47.803028,48.039772,3311088,39.372047
"47",48.229168,48.76894,47.746212,48.011364,4189997,39.348759
"48",48.14394,48.409092,47.897728,48.001896,4403731,39.341003
"49",47.88826,48.10606,47.613636,47.992424,1963738,39.333237
"50",48.248104,48.873104,48.039772,48.636364,2898192,39.860992
