"","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume","MTD.Adjusted"
"1",421.929993,426.920013,420.799988,422.350006,201200,422.350006
"2",424.410004,430.380005,421.899994,426.720001,234800,426.720001
"3",427.450012,429.790009,421.01001,422.519989,257700,422.519989
"4",422.529999,432.98999,422.529999,432.559998,208300,432.559998
"5",430.5,433.779999,425.350006,426.380005,216800,426.380005
"6",428.790009,432.839996,424.820007,429.940002,171400,429.940002
"7",429.76001,430.049988,421.720001,425.73999,115400,425.73999
"8",423.529999,424.619995,421.440002,421.920013,193000,421.920013
"9",422.940002,426.480011,421.01001,424.450012,112400,424.450012
"10",424.269989,427.799988,420.279999,421.73999,115700,421.73999
"11",421.059998,422.589996,417.640015,421.730011,162800,421.730011
"12",420.549988,424.450012,415,415.720001,168900,415.720001
"13",416.540009,419.850006,413.48999,415,195400,415
"14",415.970001,416.730011,408.970001,414.519989,203000,414.519989
"15",414.980011,417.619995,410.059998,417.5,229000,417.5
"16",416.459991,423.23999,416.459991,419.339996,234900,419.339996
"17",419.619995,421.75,416.220001,421.220001,109600,421.220001
"18",420.269989,426.309998,419.309998,423.130005,99500,423.130005
"19",421,422.51001,415.589996,422.059998,166500,422.059998
"20",422.350006,427.019989,420.029999,426.630005,194800,426.630005
"21",427.119995,435.890015,427.119995,435.5,375800,435.5
"22",434.420013,436.470001,430.589996,433.640015,276000,433.640015
"23",447.899994,467.140015,443.450012,462.670013,506400,462.670013
"24",461.809998,466.980011,457.98999,465.839996,379800,465.839996
"25",466.48999,467.690002,458.720001,463.230011,275500,463.230011
"26",462.329987,464.559998,459.339996,461.369995,199500,461.369995
"27",461.369995,468.600006,460.799988,465.429993,156700,465.429993
"28",464.640015,467.649994,461.75,465.399994,138300,465.399994
"29",466.440002,466.98999,462.279999,463.850006,221200,463.850006
"30",461.429993,465.75,460,463.309998,254000,463.309998
"31",462.279999,466.820007,460.26001,465.230011,167100,465.230011
"32",466.799988,467.720001,462.25,466.279999,118200,466.279999
"33",465.709991,471.549988,464.299988,471.549988,166400,471.549988
"34",472.220001,475.48999,470.540009,473.709991,182800,473.709991
"35",474.200012,477.76001,472.079987,473.470001,133000,473.470001
"36",475.980011,475.980011,470.01001,472.619995,111500,472.619995
"37",471.959991,475.480011,470.76001,475.459991,107700,475.459991
"38",475.899994,477.440002,474.880005,475.350006,109700,475.350006
"39",474.149994,478.190002,473.589996,476.220001,182400,476.220001
"40",480,485.089996,477.820007,483.649994,196200,483.649994
"41",484.420013,488.5,480.910004,481.48999,178900,481.48999
"42",481.130005,482.630005,478.649994,481.709991,122800,481.709991
"43",479.299988,481.26001,478.709991,479.589996,124700,479.589996
"44",478.970001,485.029999,475.959991,481.299988,197400,481.299988
"45",480.779999,484.450012,480.779999,481.910004,150900,481.910004
"46",481.440002,486.480011,481.01001,484.040009,95000,484.040009
"47",487.440002,489.920013,483.670013,486.899994,103600,486.899994
"48",488.040009,488.850006,483.799988,485.450012,145900,485.450012
"49",484.98999,487.019989,478.619995,481.369995,136500,481.369995
"50",482.179993,487.609985,481.73999,485.5,200900,485.5
"51",484.320007,485.299988,479.299988,480.160004,177100,480.160004
"52",480.790009,483.109985,478.079987,481.829987,218800,481.829987
"53",481.880005,483.200012,479.089996,481.070007,132000,481.070007
"54",483.25,485.890015,472.399994,473.359985,247900,473.359985
"55",475.119995,481.619995,471.140015,477.380005,207500,477.380005
"56",477.100006,480.630005,475.209991,478.269989,176800,478.269989
"57",479.299988,481.829987,476.859985,478.589996,131700,478.589996
"58",476.829987,479.899994,474.299988,478.940002,110900,478.940002
"59",478.26001,480.839996,476.290009,479.540009,101200,479.540009
"60",477.480011,481.149994,476.899994,478.140015,119900,478.140015
"61",476.299988,479.959991,476.299988,478.690002,90500,478.690002
"62",477.51001,481.440002,477.51001,478.910004,155800,478.910004
"63",478.320007,481.649994,476.109985,477.869995,159500,477.869995
"64",477.899994,480.649994,475.519989,476.570007,117600,476.570007
"65",478.220001,482.959991,476.600006,476.880005,207300,476.880005
"66",477.399994,481.920013,476.440002,480.540009,107300,480.540009
"67",480.690002,484.470001,480.209991,482.890015,140200,482.890015
"68",485.690002,488.459991,480.799988,481.140015,194500,481.140015
