"","ALK.Open","ALK.High","ALK.Low","ALK.Close","ALK.Volume","ALK.Adjusted"
"1",88.919998,91,87.910004,88,1387500,82.679192
"2",87.550003,89.43,86.639999,89.18,1362900,83.787849
"3",89.160004,89.730003,87.5,87.760002,1499700,82.453705
"4",87.610001,87.690002,86.300003,86.980003,929700,81.720879
"5",86.779999,88.349998,86.220001,87.470001,1287200,82.181244
"6",88.459999,92.489998,88.459999,92,2126500,86.437347
"7",92.800003,94.800003,91.779999,93.800003,2537800,88.12854
"8",93.220001,93.970001,91.639999,93.260002,1524900,87.621162
"9",93.300003,94.400002,93.089996,94.32,833300,88.617073
"10",94,94.800003,92.68,93.410004,1092900,87.762093
"11",92.489998,93.480003,91.75,92.93,1829100,87.311111
"12",93.290001,94.699997,93.230003,94.220001,1505000,88.523109
"13",94.290001,94.730003,93.800003,94.709999,1318800,88.983505
"14",94.379997,94.800003,92.699997,93.07,926100,87.442642
"15",93.010002,93.849998,92.540001,92.860001,868600,87.245338
"16",93.550003,94.169998,93.07,93.379997,700300,87.733894
"17",93.75,96.029999,93.519997,95.900002,1266400,90.101555
"18",96.050003,96.269997,95,95.129997,1566800,89.37809
"19",94.059998,94.309998,92.220001,94.160004,1173600,88.466759
"20",93.68,94,92.870003,93.82,932500,88.147308
"21",93.830002,94.68,93.029999,93.629997,830200,87.968781
"22",92.940002,94.650002,92.370003,94.529999,1174700,88.814369
"23",94.690002,95.339996,93.550003,94.089996,933000,88.400963
"24",94.75,95.790001,94.309998,95.120003,864000,89.368698
"25",95.419998,95.449997,93.919998,94.099998,1572900,88.410378
"26",95.099998,98.800003,94.980003,97.199997,2683600,91.322929
"27",97.080002,98.889999,95.120003,98.410004,2164000,92.459785
"28",98.370003,98.830002,97.160004,97.349998,1258000,91.46386
"29",97.470001,98.400002,97.360001,98.019997,1077600,92.093353
"30",98.110001,98.300003,95.660004,96.300003,1252300,90.477348
"31",97.110001,97.75,96.309998,96.959999,1449100,91.097443
"32",96.989998,97.260002,95.800003,96.690002,1296800,91.125732
"33",96.120003,96.690002,95.309998,96.599998,910000,91.040909
"34",96.339996,97.099998,95.910004,96.610001,1068200,91.050323
"35",96.379997,97.519997,96.239998,97.25,870900,91.653496
"36",97.25,97.690002,95.779999,95.889999,822100,90.371773
"37",95.199997,97.059998,94.830002,97.010002,653800,91.427307
"38",96.760002,97.870003,96.230003,97.839996,778800,92.209541
"39",97.910004,98.760002,97.400002,97.82,1163100,92.190697
"40",98.040001,101.43,98.040001,100.239998,1562400,94.471428
"41",99.910004,100.089996,96.220001,96.360001,1838200,90.814713
"42",96.550003,99.220001,96.510002,98.940002,1535800,93.246239
"43",98.470001,98.809998,95.529999,96.629997,1770100,91.069176
"44",96.150002,96.43,94.889999,95.120003,1235200,89.646072
"45",95.269997,95.989998,94.18,95.199997,1298500,89.721458
"46",95.389999,96.330002,94.480003,94.779999,1205000,89.325638
"47",94.580002,96.68,94.339996,96.610001,1217100,91.050323
"48",96.330002,98.300003,96.169998,96.580002,1375500,91.022057
"49",96.220001,96.389999,94.139999,94.5,1132800,89.06176
"50",93.110001,95.900002,92.330002,95.360001,1876100,89.872269
"51",95.379997,95.82,93.660004,94.139999,1396100,88.722473
"52",94.550003,94.589996,93.269997,93.360001,1321300,87.987358
"53",95.190002,95.25,93.849998,94.82,1498800,89.363342
"54",95.400002,95.400002,92.010002,92.110001,1492900,86.809296
"55",91.660004,92.959999,89,92.919998,1678700,87.57267
"56",92.989998,95.239998,92.360001,94.050003,1331300,88.637657
"57",94.239998,95.360001,93.059998,94.699997,856900,89.250252
"58",93.440002,95.43,93.139999,95,1063900,89.532982
"59",94.970001,97.059998,94.730003,96.330002,1571800,90.786446
"60",96.5,96.580002,93.75,94.300003,1317900,88.87326
"61",94.360001,94.93,93.400002,93.660004,2143600,88.270103
"62",93.360001,93.57,92.18,92.220001,1856900,86.912956
"63",92.419998,92.57,90.699997,92.370003,1978900,87.054344
"64",92.139999,92.589996,90.120003,90.220001,1278600,85.028061
"65",90.809998,91.419998,89.970001,90.050003,1188500,84.867851
"66",90.279999,90.709999,89.089996,89.43,1509700,84.283516
"67",88.989998,89.82,88.410004,89.169998,1277000,84.038483
"68",89.400002,90.050003,88.800003,89.040001,1056800,83.915962
"69",88.790001,89.660004,87.739998,88.839996,1314400,83.72747
"70",89.599998,90,88.269997,88.660004,1545300,83.557831
"71",88.330002,88.550003,86.300003,86.330002,1577600,81.361931
"72",86.589996,87.139999,86.120003,86.910004,984800,81.908546
"73",86.970001,87.660004,85.75,86.529999,1106300,81.550407
"74",86.940002,87.940002,86.580002,87.190002,894200,82.172432
"75",87.599998,88.639999,87.199997,88.370003,797700,83.284523
"76",88.449997,89.309998,88.110001,89.110001,1147000,83.981926
"77",90.75,91.43,90.07,90.68,1342000,85.461586
"78",91,91.910004,90.690002,91.419998,1615500,86.158989
"79",90.349998,91.949997,88.18,88.25,2385800,83.171417
"80",86.18,86.339996,83.760002,84.93,3162800,80.042496
"81",84.980003,85.690002,84.800003,85.089996,1172500,80.193275
"82",85.339996,85.620003,84.410004,84.419998,1117100,79.561836
"83",84.400002,86.690002,84.389999,86.489998,1680000,81.512711
"84",86.400002,86.830002,85.540001,86.599998,1178600,81.616371
"85",86.68,87.309998,84.959999,85.43,1256900,80.513695
"86",85.720001,85.830002,84.629997,85.239998,947200,80.334641
"87",85.269997,85.440002,83.440002,83.529999,2579300,78.723053
"88",84.230003,84.599998,83.220001,84.209999,1635400,79.363914
"89",84.080002,84.419998,83.110001,83.190002,1282100,78.402611
"90",83.150002,83.910004,82.370003,83.650002,1804300,78.836143
"91",83.449997,84.330002,83.370003,83.589996,1533500,78.779594
"92",84.309998,85.879997,84.309998,84.870003,1494000,79.985947
"93",85.220001,85.220001,83.82,84.730003,1601900,79.853996
"94",84.730003,84.730003,82.139999,82.190002,1246200,77.460182
"95",82.120003,83.550003,82.029999,83.040001,1179100,78.261238
"96",83.169998,84.989998,82.959999,84.57,1201100,79.99218
"97",84.849998,85.779999,84.709999,85.279999,847800,80.663773
"98",85.239998,86.410004,84.449997,85.779999,1540200,81.136696
"99",85.849998,86.529999,84.459999,84.540001,1320700,79.963806
"100",84.75,86.800003,84.510002,86.580002,1595000,81.893394
"101",86.419998,87.339996,85.860001,86.620003,1325200,81.931213
"102",86.129997,86.830002,85.709999,85.809998,1412300,81.16507
"103",86.150002,87.339996,85.580002,87.050003,1412100,82.337959
"104",87.260002,88.550003,87.040001,88.230003,1273700,83.454079
"105",88.610001,90.18,88.559998,89.309998,1481500,84.475616
"106",89.129997,89.660004,88.68,89.300003,1275500,84.466156
"107",88.690002,90.349998,88.550003,89.199997,1268600,84.371552
"108",89.400002,92.190002,88.769997,91.690002,1649900,86.726784
"109",91.690002,91.980003,90.25,90.540001,1888500,85.63903
"110",90.779999,91.279999,89.720001,89.93,1291500,85.06205
"111",89.75,89.75,87.68,89.040001,817400,84.22023
"112",89.43,89.93,87.839996,88.910004,1032600,84.097275
"113",88.830002,89.68,88.199997,89.169998,643300,84.343185
"114",88.669998,88.690002,87.089996,88.410004,814700,83.624329
"115",88.339996,89.010002,88.07,88.739998,1218500,83.936455
"116",89.339996,90.82,88.970001,90.769997,760100,85.856575
"117",90.769997,90.989998,89.32,89.389999,769200,84.551285
"118",90.010002,91.010002,89.550003,90.830002,824900,85.913322
"119",91.699997,91.949997,90.290001,91.019997,917700,86.09304
"120",91.089996,92.160004,90.919998,91.629997,1355100,86.670021
"121",92.019997,93.160004,90.830002,90.870003,737200,85.95118
"122",90.489998,90.849998,88.900002,88.919998,1211200,84.106728
"123",89.510002,89.830002,88.339996,88.410004,1214000,83.624329
"124",88.730003,89.650002,88.290001,89.099998,1019100,84.27697
"125",89.400002,90.309998,88.830002,89.760002,1234000,84.901253
"126",90.269997,90.93,89.900002,90.220001,543200,85.336349
"127",90.480003,92.370003,90.120003,91.279999,1061700,86.338966
"128",91,92.110001,90.239998,91.400002,1091000,86.452477
"129",91.68,93.980003,91.610001,93.889999,1127100,88.807693
"130",93.059998,93.779999,92.809998,92.940002,1296600,87.909103
"131",92.660004,93.239998,91.519997,91.57,1092900,86.613274
"132",92.5,94.75,92.209999,94.629997,1176800,89.507645
"133",94.290001,95.75,93.720001,93.739998,1116500,88.665817
"134",94,94.190002,92.440002,92.629997,911800,87.615906
"135",92.709999,93,91.839996,92.080002,965100,87.095688
"136",91.75,91.919998,90.529999,90.75,948900,85.837669
"137",90.550003,90.839996,89.660004,90.269997,1027500,85.383636
"138",90.260002,90.260002,88.910004,89.099998,997600,84.27697
"139",88.889999,89.18,88.080002,88.25,942800,83.472977
"140",88.190002,88.239998,86.959999,87.010002,882700,82.30011
"141",87.550003,88.339996,86.93,87.129997,1162100,82.413628
"142",85.279999,88.739998,83.410004,87.720001,2873800,82.971695
"143",87.019997,88.449997,84.639999,87.980003,2459600,83.217598
"144",87.580002,87.989998,85.470001,86.32,1725400,81.647461
"145",86.540001,86.57,85.18,85.230003,1253500,80.616463
"146",85.900002,87.169998,84.910004,85.510002,1569300,80.88131
"147",85.389999,85.970001,84.980003,85.639999,989700,81.004272
"148",85.410004,86.040001,84.419998,84.989998,979100,80.38945
"149",85.220001,85.949997,84.760002,85.870003,821400,81.221825
"150",86.150002,86.68,85.809998,86,838600,81.344788
"151",85.849998,86.919998,85.019997,85.150002,972300,80.540794
"152",84.870003,84.900002,83.82,84.339996,837800,79.774643
"153",83.989998,84.239998,83.129997,83.790001,1099400,79.254402
"154",83.610001,84.959999,83.300003,84.470001,1136900,79.897614
"155",85.389999,85.699997,83.900002,85.089996,1127900,80.484039
"156",84.790001,85.099998,83.160004,83.910004,1573700,79.367912
"157",84.089996,85.139999,81.93,83.809998,1191700,79.273323
"158",83.709999,83.989998,79.93,80.019997,1358800,75.688469
"159",79.769997,80.010002,78.440002,78.449997,1649900,74.482712
"160",78.5,79.190002,77.82,77.980003,1178200,74.036476
"161",78.230003,78.620003,76.709999,77.110001,1305200,73.210472
"162",77.110001,77.110001,74.800003,74.910004,1577300,71.121727
"163",75.18,75.18,73.290001,73.519997,1933600,69.802017
"164",73.910004,76,73.910004,75.529999,1675300,71.710373
"165",75.68,75.68,74.209999,74.309998,1584600,70.552071
"166",73.870003,74.5,73.550003,74.379997,1163600,70.618546
"167",74.300003,74.410004,73.400002,74.129997,919900,70.38118
"168",74.510002,75.230003,74.389999,74.660004,999700,70.884384
"169",75.099998,75.650002,74.589996,75.150002,1070700,71.349594
"170",74.57,74.650002,72.779999,73.050003,1616500,69.355797
"171",72.459999,73.870003,71.699997,73.68,2524000,69.953918
"172",74.080002,74.949997,73.029999,73.160004,2114900,69.460228
"173",73.010002,74.660004,72.949997,74.300003,1201000,70.54258
"174",74.949997,75.790001,74.830002,75.589996,1832200,71.767342
"175",75.769997,76.410004,75.150002,76.32,1197800,72.460419
"176",76.57,76.57,75.209999,76.209999,1131900,72.355995
"177",76.779999,78.440002,76.75,77.489998,2500100,73.571259
"178",76.860001,76.980003,75.019997,75.279999,2224700,71.473015
"179",75.129997,75.260002,72.720001,73.07,2334400,69.374786
"180",73.080002,73.769997,71.809998,72.239998,2148600,68.586754
"181",72.459999,73.639999,71.93,73,1452300,69.308327
"182",73.120003,73.389999,71.169998,72.910004,2426400,69.222878
"183",72.849998,74.919998,72.550003,74.75,1717700,70.969826
"184",74.75,75.360001,74.190002,74.790001,1489600,71.007805
"185",75.5,76.269997,74.809998,74.959999,1281500,71.169205
"186",75.309998,75.580002,74.290001,75.099998,1304000,71.302116
"187",74.970001,76.099998,74.669998,75.870003,1271100,72.033188
"188",76,76.589996,75.940002,76.269997,1032100,72.412964
"189",76.300003,77.25,76.209999,77.029999,1353800,73.134521
"190",77.07,80.199997,77.050003,80.150002,1936600,76.096741
"191",80.75,82.5,80.269997,80.839996,2358700,76.751839
"192",80.75,80.830002,78.879997,79.75,1474600,75.716965
"193",79.339996,80.889999,79.18,80.559998,1549400,76.485992
"194",80.599998,80.879997,79.870003,80.410004,1031200,76.343605
"195",81.32,82.68,80.470001,80.68,2428100,76.59993
"196",80.830002,81.730003,80.68,81.519997,1194000,77.397453
"197",80.82,80.93,79.129997,80.400002,2528200,76.334099
"198",80.400002,81.220001,80.089996,80.959999,1325600,76.865761
"199",80.690002,81,79.669998,80.470001,1416600,76.400558
"200",80.75,81.769997,80.040001,80.519997,1150800,76.448029
"201",80.599998,80.93,80.330002,80.43,690900,76.362572
"202",79.68,80.169998,77.400002,78.830002,1846600,74.843498
"203",79.110001,80.169998,78.720001,79.690002,1213600,75.659996
"204",79.889999,79.889999,78.620003,78.739998,814400,74.758041
"205",78.25,79.519997,77.68,79.389999,1401200,75.37516
"206",76.300003,78,68.099998,68.919998,8088500,65.434654
"207",69.370003,70.459999,65.260002,65.379997,6049300,62.073666
"208",65.860001,67.139999,64.769997,66.580002,4118400,63.212994
"209",66.099998,66.870003,65.160004,66.459999,1809300,63.099041
"210",66.400002,66.769997,65.199997,66.029999,2471200,62.690807
"211",65.650002,66.019997,64.709999,65.779999,2366500,62.453445
"212",65.830002,66.120003,63.560001,63.650002,3153300,60.43116
"213",63.59,63.919998,62.650002,63.650002,1669100,60.43116
