"","LDOS.Open","LDOS.High","LDOS.Low","LDOS.Close","LDOS.Volume","LDOS.Adjusted"
"1",51.279999,51.299999,50.419998,50.950001,1175000,46.837708
"2",51.110001,51.619999,50.889999,51.349998,1164700,47.205421
"3",51.07,51.330002,50.639999,50.77,984100,46.672249
"4",50.880001,51.02,50.330002,50.66,1074500,46.571114
"5",50.599998,50.689999,49.900002,49.98,1060900,45.946003
"6",49.939999,50.59,49.919998,50.27,852700,46.212601
"7",50.34,50.529999,49.91,50.099998,737400,46.056313
"8",50.080002,50.119999,49.389999,49.990002,663300,45.9552
"9",50.189999,50.209999,49.810001,49.959999,1298700,45.927616
"10",49.77,49.799999,49.220001,49.419998,663100,45.431194
"11",49.439999,49.970001,49.220001,49.82,682600,45.798916
"12",50.240002,50.490002,49.48,49.689999,649700,45.679401
"13",49.740002,49.939999,49.540001,49.66,491900,45.651829
"14",49.610001,49.77,49,49.279999,488200,45.30249
"15",49.299999,49.66,49.139999,49.470001,618300,45.477165
"16",49.919998,50,49.380001,49.650002,681000,45.642628
"17",49.619999,49.889999,49.330002,49.540001,445000,45.541519
"18",49.419998,49.560001,49.139999,49.549999,535700,45.550716
"19",49.360001,49.490002,48.220001,48.619999,1174500,44.695766
"20",48.529999,48.860001,48.09,48.32,934100,44.419991
"21",48.32,48.77,47.810001,48.310001,1185600,44.410793
"22",48.240002,49.310001,48.060001,49.09,1236700,45.127838
"23",49.380001,49.900002,49.310001,49.689999,682700,45.679401
"24",49.59,50.16,49.549999,50.119999,697600,46.074699
"25",50.099998,50.470001,49.990002,50.470001,788700,46.396446
"26",50.369999,50.369999,48.869999,50.09,1239100,46.047115
"27",49.84,51,49.650002,50.82,793200,46.718201
"28",51,51.25,50.560001,50.84,670800,46.736591
"29",50.970001,51.32,50.779999,50.990002,545700,46.874481
"30",50.830002,51.16,50.59,51.060001,609500,46.938835
"31",50.91,51.799999,50.889999,51.619999,730900,47.453632
"32",51.779999,52.060001,51.369999,52.009998,836900,47.812157
"33",51.639999,52.009998,51.5,51.950001,629300,47.757
"34",51.779999,52.68,51,52.66,698300,48.409687
"35",52.610001,53.18,52.380001,53.130001,1093700,48.841759
"36",53.189999,54.200001,52.080002,52.490002,1855000,48.253414
"37",52.540001,54.130001,52.220001,54.080002,1299800,49.71508
"38",54,54.299999,53.650002,54.040001,875800,49.67831
"39",53.77,54.130001,53.27,53.299999,1021200,48.998028
"40",53.849998,54.75,53.560001,54.689999,1323300,50.275841
"41",54.16,54.950001,53.5,53.540001,1132700,49.218662
"42",53.459999,53.950001,53.389999,53.689999,772800,49.356556
"43",53.240002,53.540001,53.099998,53.169998,715700,48.878521
"44",52.91,53.310001,52.860001,53.02,853000,48.740639
"45",52.970001,53.080002,52.580002,52.709999,769300,48.455654
"46",52.759998,53.189999,52.540001,52.93,624000,48.657906
"47",53.139999,53.23,52.41,52.810001,711300,48.547585
"48",52.779999,53.990002,52.73,53.950001,838500,49.897934
"49",53.919998,53.990002,53.400002,53.68,517600,49.648205
"50",54.029999,54.970001,53.93,54.869999,958400,50.748829
"51",54.860001,54.860001,53.610001,53.740002,840500,49.703701
"52",54.029999,54.299999,53.619999,53.950001,1213200,49.897934
"53",53.959999,54.09,53.66,53.880001,542700,49.833183
"54",53.84,54,52.52,52.790001,674800,48.82505
"55",52.799999,52.900002,52.450001,52.869999,710800,48.899048
"56",52.720001,53.099998,52.540001,52.68,530100,48.723316
"57",52.759998,52.93,52.41,52.619999,662400,48.667824
"58",52.099998,52.099998,51.060001,51.720001,684600,47.835423
"59",51.540001,51.950001,51.130001,51.700001,795100,47.816929
"60",51.82,52.32,51.610001,52.23,984200,48.30711
"61",52.09,52.119999,51.16,51.32,822100,47.465466
"62",51.209999,51.419998,50.98,51.139999,763000,47.298985
"63",50.939999,51.200001,50.330002,50.549999,772800,46.753292
"64",50.470001,50.889999,50.259998,50.709999,687800,46.901291
"65",50.880001,51.299999,49.939999,49.950001,822400,46.19836
"66",50.02,50.279999,49.84,50.049999,630100,46.290848
"67",50.07,50.880001,49.91,50.630001,931500,46.827286
"68",50.700001,51.07,50.419998,50.619999,602500,46.818035
"69",50.470001,51.02,50.380001,51,705900,47.169491
"70",50.959999,50.98,50.43,50.75,763300,46.938271
"71",50.57,50.919998,50.5,50.639999,686400,46.836544
"72",50.689999,51.32,50.540001,51.279999,693600,47.428459
"73",51.299999,51.52,51.110001,51.360001,556600,47.50246
"74",51.43,51.990002,51.43,51.740002,621600,47.853916
"75",52,52.740002,51.880001,52.599998,575600,48.649326
"76",52.59,52.73,52.049999,52.209999,641900,48.288612
"77",52.82,52.950001,52.450001,52.93,676800,48.954533
"78",53.32,53.560001,53.060001,53.150002,799900,49.15802
"79",53.18,53.560001,52.93,53.400002,1813800,49.389233
"80",53.540001,54.169998,53.290001,53.349998,803200,49.343002
"81",53.279999,53.279999,52.610001,52.66,1206100,48.704819
"82",52.779999,53.639999,52.580002,53.490002,886300,49.472485
"83",53.599998,53.720001,53.369999,53.560001,538000,49.53722
"84",53.299999,53.759998,52.889999,53.599998,1262200,49.574215
"85",53,54.41,51.849998,54.389999,1711300,50.304878
"86",54.75,55.25,53.880001,54.470001,1170200,50.378872
"87",54.400002,54.450001,53.110001,53.310001,1577100,49.306
"88",53.380001,53.48,52.349998,52.549999,1292500,48.603081
"89",52.5,52.630001,52.099998,52.43,820100,48.492092
"90",52.16,52.950001,52.060001,52.700001,1099000,48.741814
"91",52.52,52.970001,52.299999,52.669998,782100,48.714073
"92",52.799999,53.360001,52.75,52.799999,2041900,48.834297
"93",53.040001,54.18,53.009998,53.709999,1879500,49.675957
"94",53.709999,53.709999,52.07,52.27,1219700,48.344109
"95",51.970001,52.369999,51.48,51.529999,1058200,47.659695
"96",51.790001,52.240002,51.5,52.110001,986700,48.196133
"97",52.48,53.52,52.369999,53.369999,1846900,49.3615
"98",53.630001,54.779999,53.529999,54.669998,1486200,50.563858
"99",54.669998,54.939999,54.419998,54.900002,834000,50.776581
"100",55,55.459999,55,55.130001,679300,50.989304
"101",55.130001,55.200001,54.369999,54.880001,793300,50.758083
"102",54.700001,55.080002,54.32,54.849998,1003400,50.730331
"103",55.200001,55.689999,54.389999,55.560001,6187100,51.387001
"104",55.610001,56.419998,55.220001,56.369999,1057500,52.136166
"105",56.290001,56.669998,55.84,55.950001,899200,51.747723
"106",56.049999,56.169998,55.75,55.880001,779200,51.682968
"107",55.849998,56.049999,55.790001,55.93,1397900,51.729221
"108",55.98,56.25,55.580002,55.669998,993200,51.488743
"109",55.669998,55.970001,55.549999,55.73,1012000,51.544235
"110",55.860001,55.990002,54.650002,55.369999,1028800,51.211281
"111",55.220001,55.740002,55.060001,55.619999,1266200,51.442501
"112",55.43,55.73,55.099998,55.689999,1676000,51.805298
"113",55.790001,56.18,54.860001,55.139999,905200,51.293667
"114",54.73,55.27,54.68,55.169998,481600,51.32156
"115",54.740002,54.900002,53.290001,53.98,1703600,50.214584
