"","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"916",120.300003,121.099998,118.830002,120.550003,728900,116.960205
"917",121.519997,122.959999,120.900002,122.889999,397300,119.230522
"918",124.18,124.760002,122.639999,122.879997,588200,119.22081
"919",124.470001,126.120003,124.099998,124.900002,794400,121.180672
"920",125.120003,125.559998,122.639999,123.580002,579500,119.899979
"921",123.870003,125.089996,122.230003,124.470001,451900,120.763466
"922",124.169998,125.519997,123.139999,123.790001,683700,120.103729
"923",123.400002,124.75,121.5,124.739998,930500,121.025436
"924",125.25,126.540001,124.360001,125.959999,1165700,122.209099
"925",125.18,126.32,122.43,123.879997,1094100,120.19104
"926",124.660004,125.870003,122.459999,123.120003,936000,119.453667
"927",121.699997,123.410004,120.269997,121.629997,849700,118.008034
"928",122.489998,125.089996,121.940002,122,686800,118.367027
"929",121.669998,122.519997,120.309998,120.360001,900700,116.775864
"930",121.32,121.32,119.139999,121.029999,941200,117.425903
"931",122,123.989998,121.68,122.980003,722300,119.317848
"932",124.139999,125.169998,123.800003,124.239998,718900,120.540321
"933",124.379997,126,124.139999,124.239998,786300,120.540321
"934",122.489998,124.980003,121.879997,124.18,1216600,120.482094
"935",123.959999,125.050003,122.029999,122.540001,821200,118.890945
"936",120.400002,120.650002,118.75,120.43,867700,116.843773
"937",119.629997,121.470001,119.199997,120.610001,696500,117.018417
"938",119,119.260002,115.910004,116.120003,815500,113.386009
"939",115.339996,117.190002,113.540001,116.550003,698200,113.805878
"940",116.239998,119.75,115.860001,118.970001,887300,116.1689
"941",120.800003,123.18,120.559998,121.400002,732400,118.541687
"942",121.519997,123.010002,120.410004,121.5,669600,118.639336
"943",122.050003,123.889999,121.360001,122.449997,952500,119.566956
"944",122.989998,124.980003,119.57,120.089996,1350800,117.26252
"945",119.300003,120.940002,118.809998,119.169998,961400,116.364189
"946",119.559998,121.209999,117.730003,118.360001,906800,115.57325
"947",119.190002,119.690002,114.849998,115.309998,2389300,112.59507
"948",116.43,117.690002,115.300003,116.510002,1150200,113.766815
"949",117.690002,118.290001,114.849998,116.199997,911300,113.464119
"950",117.75,121.720001,117.75,119.410004,1454500,116.598549
"951",120.18,120.18,117.699997,118.639999,1208000,115.846672
"952",118.129997,119.459999,116.029999,117.169998,1045000,114.411278
"953",117.639999,118.400002,116.75,116.910004,892900,114.157402
"954",115.529999,116.919998,115.139999,116.010002,912900,113.278595
"955",116.68,117.629997,115.860001,116.269997,1237900,113.532463
"956",116.669998,116.669998,112.800003,113.550003,1167700,110.876511
"957",114,115.639999,113.080002,113.599998,1028700,110.925331
"958",112.5,113.010002,110.150002,110.449997,1202000,107.849503
"959",110.190002,112.239998,108.510002,111.849998,1133100,109.216537
"960",113.239998,113.339996,109.949997,110.57,1678600,107.966675
"961",109.839996,110.199997,107.660004,108.949997,1373200,106.384811
"962",108.57,109.080002,105.300003,105.620003,2327300,103.133217
"963",103.650002,104.75,101.279999,101.440002,2477000,99.051636
"964",101,103.559998,99.540001,102.919998,1902000,100.496788
"965",102.769997,103.349998,101.410004,102.660004,1564100,100.24292
"966",104.290001,105.550003,103.75,105.07,1235100,102.596161
"967",106.309998,107.900002,105.419998,107.230003,1068600,104.705315
"968",107.279999,107.440002,104.879997,105.019997,1362300,102.54734
"969",106.220001,108.279999,105.43,107.550003,1571700,105.017776
"970",107.809998,109.190002,107.480003,108.559998,1415300,106.003998
"971",114.120003,117.360001,112.110001,112.379997,2060800,109.734055
"972",109.25,114.150002,107.57,112.440002,2536000,109.792648
"973",112.800003,112.989998,108.269997,109.199997,1328300,106.628922
"974",109.25,111.389999,108.449997,109.870003,1362500,107.283157
"975",110.949997,113.379997,110.639999,112.169998,1306200,109.528992
"976",114.150002,115.959999,112.309998,114.760002,1441800,112.058022
"977",113.330002,114.690002,111.709999,114.510002,992800,111.813911
"978",115,115.360001,112.25,112.389999,893800,109.743828
"979",111.790001,112.410004,110.550003,111.949997,813300,109.314178
"980",111.660004,112.82,111.190002,112.059998,1049600,109.421593
"981",112.669998,113.610001,110.760002,111.279999,1020100,108.65995
"982",112.099998,115.440002,111.830002,115.129997,1443000,112.419312
"983",115.019997,115.019997,111.830002,112.400002,884300,109.753586
"984",113.720001,114.709999,112.379997,112.870003,474100,110.212517
"985",112.199997,112.68,110.169998,112.099998,2359900,109.460648
"986",111.699997,113.199997,111.209999,111.620003,1375800,108.991959
"987",111.949997,112.550003,110.849998,112.510002,1177000,109.860992
"988",112.050003,114.419998,111.739998,112.639999,1851200,109.98793
"989",113.68,116.239998,113.220001,116,2129400,113.268829
"990",115.75,116.800003,114.419998,114.910004,1410300,112.204491
"991",114.459999,115.629997,113.93,115.43,1125300,112.71225
"992",115.830002,116.550003,114.019997,115.220001,1165400,112.507187
"993",114.620003,114.730003,111.959999,112.589996,1085200,109.93911
"994",112.010002,112.419998,109.529999,111.040001,1482400,108.425606
"995",112.519997,112.769997,109.019997,109.25,1141200,106.677757
"996",109.419998,111.57,108.879997,110.93,1665800,108.318199
"997",111.669998,112.730003,110.589996,112.120003,1150800,109.480179
"998",112.830002,114.120003,112.449997,113.580002,1031800,110.905807
"999",113.370003,114.949997,111.550003,114.290001,3919000,111.599091
"1000",113.010002,114.620003,112.18,114.290001,2067100,111.599091
"1001",114.82,116.120003,114.389999,114.959999,2100500,112.253311
"1002",114.459999,114.839996,110.419998,110.529999,1539600,107.927612
"1003",110.040001,110.150002,109.260002,110.059998,626900,108.222603
"1004",110.550003,110.830002,108.830002,109.230003,1174100,107.406464
"1005",109.489998,111.260002,109.43,111.040001,1902800,109.186241
"1006",110.970001,111.660004,110.529999,111.260002,1876300,109.402573
"1007",110,110.050003,107.75,108.839996,3795400,107.022964
