"","DAL.Open","DAL.High","DAL.Low","DAL.Close","DAL.Volume","DAL.Adjusted"
"202",52.57,52.799999,51.369999,52.27,9567800,48.998886
"203",52.619999,53.279999,52.529999,53.27,6707800,49.936302
"204",53.299999,53.360001,52.23,52.279999,4095100,49.008259
"205",52.5,53.380001,52.029999,53.18,5306700,49.851933
"206",53.259998,53.299999,52.130001,52.240002,6043500,48.970764
"207",52.869999,53.619999,50.740002,50.93,10913600,47.742748
"208",50.919998,51.240002,49.950001,50.560001,7574000,47.395901
"209",50.220001,50.669998,50.009998,50.330002,3960500,47.18029
"210",50.299999,50.560001,49.950001,50.029999,4755400,46.899067
"211",50.189999,50.93,49.950001,50.349998,5833700,47.199039
"212",50.48,50.490002,49.639999,50.34,6437200,47.189663
"213",50.490002,50.689999,49.880001,50.400002,4145000,47.245911
"214",50.400002,51.169998,50.279999,50.57,6259900,47.40527
"215",50.57,50.619999,49.759998,49.91,4427000,46.786579
"216",49.75,50.400002,49.459999,50.060001,3511700,46.927197
"217",49.700001,49.990002,49.110001,49.189999,5594200,46.111629
"218",49.189999,49.369999,48.830002,48.889999,7048500,45.83041
"219",48.599998,48.900002,48.330002,48.860001,5182500,45.802288
"220",48.82,48.990002,48.560001,48.900002,4855600,45.839783
"221",48.66,49.540001,48.34,49.330002,6561300,46.242878
"222",49.459999,50.650002,49.419998,50.450001,6969900,47.587006
"223",50.049999,50.189999,49.529999,49.82,5005600,46.992752
"224",49.84,49.900002,49.119999,49.790001,4254700,46.964462
"225",50,50.68,49.740002,50.669998,4833900,47.794518
"226",50.540001,50.830002,50.27,50.41,4160200,47.549271
"227",50.48,50.48,49.98,50.110001,1841200,47.266304
"228",50.049999,50.16,49.400002,49.59,5032300,46.775814
"229",49.310001,50.68,49.080002,50.580002,8571700,47.709633
"230",50.830002,52.75,50.700001,52.099998,10936400,49.143368
"231",52.5,53.5,52.27,52.919998,9432600,49.916832
"232",52.549999,53.580002,51.759998,52.060001,8852400,49.105644
"233",53.27,54.130001,52.5,52.91,8867100,49.907406
"234",52.84,53.169998,52.310001,52.389999,5536800,49.416912
"235",52.209999,52.779999,52.09,52.299999,4190400,49.332016
"236",52,53.41,51.919998,53.41,7115200,50.379025
"237",53.950001,54.619999,53.369999,53.459999,6642700,50.426186
"238",53.720001,54.860001,53.5,54.369999,7356000,51.28455
"239",54.470001,54.790001,53.540001,53.619999,6030500,50.577103
