"","VTRS.Open","VTRS.High","VTRS.Low","VTRS.Close","VTRS.Volume","VTRS.Adjusted"
"1",38.48,39.279999,38.419998,39.110001,5031900,38.543259
"2",39.32,40.080002,39.25,39.630001,6581800,39.055721
"3",38.950001,39.470001,38.77,39.16,5799300,38.592529
"4",38.869999,39.080002,37.950001,38.5,5723600,37.942097
"5",38.5,39.130001,38.41,38.950001,3382200,38.385571
"6",39.23,39.369999,38.669998,38.950001,3409800,38.385571
"7",39.549999,39.580002,37.080002,37.279999,11809800,36.739769
"8",37.439999,37.439999,36.169998,36.77,7167200,36.237164
"9",36.790001,37.02,36.349998,36.73,5031400,36.197742
"10",36.860001,37.360001,36.450001,37.07,4542900,36.532818
"11",37.18,37.380001,36.709999,37.189999,4247600,36.651077
"12",37.110001,37.299999,36.709999,36.950001,4062700,36.414558
"13",36.93,37.349998,36.799999,37.07,3587000,36.532818
"14",36.869999,37.189999,35.82,36.029999,4735300,35.507885
"15",36.029999,36.130001,35.16,35.810001,5067200,35.291077
"16",36,36.639999,35.98,36.48,5124900,35.951366
"17",36.540001,36.59,35.830002,36.099998,3517400,35.57687
"18",36.16,36.830002,36.009998,36.66,2982100,36.128757
"19",36.57,36.73,35.5,36.34,5237900,35.813396
"20",37.02,38.09,36.41,38.049999,7353700,37.498615
"21",38.68,38.75,38.07,38.66,5917200,38.099777
"22",38.259998,39.349998,38.16,39,6225400,38.434849
"23",39.27,39.5,38.52,39.209999,5719500,38.641808
"24",39.360001,40.25,39.34,39.98,6182800,39.400646
"25",40.259998,40.299999,39.209999,39.389999,6061700,38.819199
"26",39.220001,39.650002,39,39.189999,5939500,38.622097
"27",39.360001,39.599998,39,39.299999,5517100,38.730499
"28",39.09,39.459999,39,39.310001,2521900,38.74036
"29",39.709999,39.889999,39.560001,39.779999,3920300,39.203545
"30",39.59,40.91,39.560001,40.75,5501900,40.159489
"31",40.669998,42.59,40.59,42.439999,10793900,41.824997
"32",42.599998,42.650002,41.560001,42,4437500,41.391376
"33",41.860001,42.330002,41.779999,42.049999,6616400,41.440651
"34",42.459999,42.700001,42.07,42.299999,7442800,41.687027
"35",42.209999,42.299999,41.860001,42,5059300,41.391376
"36",42.029999,42.540001,41.77,42.330002,4395100,41.716595
"37",42.310001,42.349998,41.759998,42.16,4857700,41.549057
"38",42.040001,42.5,41.77,42.439999,4060300,41.824997
"39",42.450001,42.48,41.419998,41.849998,6874100,41.243549
"40",44.34,45.869999,44.099998,44.869999,15930300,44.219788
"41",44.669998,45.73,44.400002,45.279999,7235900,44.623844
"42",45.209999,45.75,44.91,45.18,5382300,44.525295
"43",45.310001,45.439999,43.98,44.040001,5353300,43.401817
