"","FRC.Open","FRC.High","FRC.Low","FRC.Close","FRC.Volume","FRC.Adjusted"
"1",92.989998,93.589996,91.699997,92.580002,1965900,89.518791
"2",92.910004,93.510002,92.410004,92.919998,1201600,89.847542
"3",92.480003,93.029999,91.150002,92.07,1226100,89.025642
"4",92.760002,93.400002,92.449997,92.75,828200,89.683144
"5",91.580002,92.610001,91.360001,92.019997,1057200,88.977295
"6",92,92.68,91.699997,92.300003,1105900,89.248047
"7",92.050003,92.489998,91.550003,92.489998,1850600,89.431755
"8",92.099998,92.370003,90.550003,91.849998,1231200,88.812912
"9",91.110001,94.150002,91.110001,92.949997,1356700,89.876511
"10",91.720001,92.510002,91.019997,91.720001,1879800,88.68721
"11",92.239998,92.43,90.980003,92.129997,1458700,89.083641
"12",92.5,92.970001,91.660004,92.110001,1195100,89.064316
"13",92.099998,92.620003,91.919998,92.559998,1207300,89.499435
"14",92.040001,92.970001,92.040001,92.660004,1139900,89.596115
"15",92.830002,93.559998,92.660004,93.309998,751400,90.380707
"16",94.18,95.379997,94,95.190002,1062300,92.201675
"17",95.25,95.760002,94.709999,95.650002,919300,92.64724
"18",95.419998,95.419998,94.540001,94.82,996100,91.8433
"19",94.080002,94.419998,93.449997,94.040001,962400,91.087776
"20",94.129997,94.57,93.790001,94.330002,1055300,91.368683
"21",95.260002,95.949997,93.730003,93.889999,586400,90.942505
"22",93.510002,93.870003,92.760002,93.5,580400,90.564743
"23",94.790001,95.300003,94.07,94.980003,645200,91.998276
"24",94.419998,94.93,94.220001,94.639999,665600,91.668938
"25",95.129997,95.330002,94.010002,94.120003,455200,91.165253
"26",93.489998,93.510002,92.639999,93.25,492100,90.322594
"27",93.559998,95.019997,93.309998,94.980003,536900,91.998276
"28",95.379997,95.75,94.239998,94.839996,557900,91.862671
"29",95.620003,97.290001,95.440002,96.379997,1321200,93.354317
"30",96.120003,97.010002,95.739998,96.419998,942100,93.393074
"31",97,97.110001,96.099998,96.779999,930800,93.741776
"32",96.529999,96.830002,95.529999,95.760002,1119000,92.753784
"33",95,95.599998,94.470001,95.599998,806000,92.598801
"34",96.120003,96.559998,95.440002,95.720001,977200,92.715034
"35",95.379997,96.139999,94.919998,95.720001,784000,92.715034
"36",95.93,96.290001,95.269997,95.779999,968300,92.773155
"37",94.849998,95.290001,94.43,95.290001,669300,92.298538
"38",95.589996,95.75,94.959999,95.379997,1352800,92.385712
"39",94.870003,95.470001,93.75,93.830002,1665900,90.884361
"40",96.059998,97.18,95.839996,96.900002,1807200,93.858009
"41",96.900002,97,95.550003,95.800003,852300,92.792534
"42",96.110001,96.940002,95.790001,96.860001,1254400,93.819252
"43",96.290001,97.43,95.25,96.959999,1081800,93.916115
"44",95.860001,95.879997,94.889999,95.139999,3155400,92.153267
"45",96.050003,96.830002,95.790001,95.900002,1639600,92.889397
"46",96.25,96.639999,95.779999,96.279999,995700,93.257469
"47",96.919998,96.940002,95.260002,96.199997,1194400,93.17997
"48",96.220001,96.389999,95.589996,96.160004,1070900,93.141235
"49",95.459999,96.18,94.830002,96.169998,584700,93.150917
"50",96.550003,96.559998,94.269997,94.510002,1153300,91.543037
"51",95.18,95.589996,94.510002,95.389999,1099000,92.395401
"52",95.660004,95.959999,94.330002,95.089996,3262100,92.10482
"53",94.879997,95.110001,93.720001,93.790001,825200,90.845634
"54",94.489998,94.489998,89.809998,91.220001,1832000,88.356308
"55",90.529999,91.809998,89.480003,91.110001,1172800,88.249771
"56",91,92.099998,90.610001,90.730003,1216900,87.881706
"57",91.290001,91.650002,90.349998,90.919998,774900,88.065727
"58",88.769997,90.419998,88.040001,90.339996,1646900,87.503937
"59",90.18,93.190002,89.849998,92.730003,1108900,89.818916
"60",92.440002,92.730003,91.629997,92.029999,908000,89.140869
"61",92.050003,94.699997,92.050003,94.589996,956700,91.620499
"62",94.449997,94.739998,93.660004,93.809998,643300,90.864983
"63",94.019997,94.169998,92.910004,93.440002,989100,90.50663
"64",92.82,93.93,92.669998,93.029999,1341900,90.109489
"65",93.980003,93.980003,91.599998,91.839996,1565100,88.956848
"66",91.769997,93.059998,91.059998,92.830002,857700,89.915779
"67",91.830002,92.660004,91.709999,91.970001,1316600,89.082756
"68",91.809998,92.57,91.139999,92.120003,1256500,89.228065
"69",91.559998,92.110001,91.019997,92.089996,1233900,89.19899
"70",92,92.339996,91.410004,91.970001,1268300,89.082756
"71",91,91.480003,88.209999,90.18,3161300,87.348961
"72",89.940002,90.540001,89.230003,90.410004,2118500,87.571732
"73",89.5,90.269997,89.190002,89.589996,1533800,86.777489
"74",90.32,90.830002,89.110001,89.389999,886100,86.583748
"75",89.830002,90.639999,89.279999,90.5,1055000,87.658928
"76",90.330002,90.860001,89.629997,90.589996,1045600,87.746086
"77",92.599998,93.690002,92.300003,92.57,1052400,89.663918
"78",93.040001,93.480003,92.910004,93.169998,1042200,90.411133
"79",93.150002,94.169998,93.050003,93.620003,859500,90.847801
"80",93.650002,93.919998,92.709999,93.559998,860600,90.789558
"81",93.720001,93.82,92.220001,92.459999,974500,89.722153
"82",93.230003,94.230003,92.730003,93.699997,677100,90.925423
"83",93.639999,93.970001,92.580002,93.089996,1107600,90.333481
"84",92.93,93.510002,92.370003,93.480003,722900,90.711952
"85",94.150002,94.760002,93.519997,94.699997,1021000,91.895828
"86",95,95.129997,94.470001,94.540001,612100,91.74057
"87",94.669998,94.989998,93.699997,93.919998,751200,91.138916
"88",94.010002,94.730003,92.489998,92.839996,780400,90.090897
"89",92.709999,92.709999,91.830002,92.18,806300,89.450447
"90",91.589996,93.389999,90.360001,91,674400,88.305382
"91",90.419998,90.910004,89.389999,90.910004,898200,88.218033
"92",91.110001,92.5,90.989998,91.730003,737100,89.013771
"93",92.050003,92.599998,91.349998,92.599998,740000,89.857994
"94",90.849998,91.190002,88.690002,89.75,1376800,87.092392
"95",89.660004,90.769997,88.919998,90.25,817000,87.577583
"96",90.57,90.949997,90.099998,90.209999,625100,87.538773
"97",90.709999,90.889999,89.919998,90.82,370500,88.130714
"98",91.110001,92.82,90.690002,92.739998,685300,89.993835
"99",92.82,93.110001,92.459999,92.949997,623500,90.197632
"100",93.059998,93.489998,92.660004,93.230003,514000,90.469337
"101",92.800003,93.360001,92.580002,92.629997,376000,89.887123
"102",92.580002,93.169998,91.589996,93.169998,685800,90.411133
"103",93.160004,93.160004,90.68,92.099998,905800,89.37281
"104",92.639999,95.010002,92.019997,94.910004,1422300,92.099602
"105",94.199997,94.800003,93.489998,93.970001,666600,91.187431
"106",94.269997,95.419998,93.900002,94.970001,766500,92.157822
"107",94.050003,94.620003,93.529999,94.300003,1340500,91.507645
"108",94.769997,96.139999,94.550003,96.040001,940100,93.196152
"109",95.860001,98.279999,95.559998,97.940002,1350100,95.039894
"110",98.669998,100.860001,98.519997,100.150002,1280400,97.184448
"111",100,101.230003,99.040001,100.25,1193700,97.281502
"112",100.889999,101.559998,100.339996,100.57,905700,97.591995
"113",100.010002,101.080002,99.190002,100.879997,994800,97.892822
"114",100.080002,101.120003,100.040001,100.720001,513000,97.737572
"115",100.519997,100.900002,100.050003,100.790001,951900,97.805511
