"","DLTR.Open","DLTR.High","DLTR.Low","DLTR.Close","DLTR.Volume","DLTR.Adjusted"
"1",77.57,78.139999,76.419998,77.449997,2587900,77.449997
"2",77.519997,80.230003,77.519997,79.449997,3259700,79.449997
"3",78.419998,79.580002,77.589996,78.059998,2832000,78.059998
"4",78.169998,78.440002,76.940002,77.089996,3104600,77.089996
"5",76.739998,77.360001,76.660004,77.139999,2074900,77.139999
"6",77.050003,78.400002,76.75,77.959999,2380300,77.959999
"7",77.699997,78.400002,77.440002,77.809998,1488400,77.809998
"8",77.809998,77.809998,76.919998,77.529999,1710200,77.529999
"9",77.489998,77.709999,76.879997,77.129997,1746100,77.129997
"10",77.769997,81.919998,77.239998,79.510002,5074400,79.510002
"11",78.510002,79.120003,76.400002,77.309998,4281100,77.309998
"12",77.230003,77.489998,76.050003,76.260002,2032300,76.260002
"13",76.690002,77.040001,75.599998,76.559998,2029700,76.559998
"14",76.580002,76.720001,75.290001,75.550003,1692200,75.550003
"15",75.540001,76.949997,75.540001,76.879997,1647300,76.879997
"16",77.410004,77.82,76.620003,76.889999,1645500,76.889999
"17",76.660004,77.230003,76,76.169998,1876300,76.169998
"18",76.339996,76.489998,73.919998,74.050003,2910300,74.050003
"19",73.489998,75.459999,72.889999,75.25,2502400,75.25
"20",74.800003,77.220001,74.370003,77.190002,3624400,77.190002
"21",77.010002,77.400002,76.040001,76.389999,1854000,76.389999
"22",76.760002,78.620003,76.440002,77.199997,3053600,77.199997
"23",77.080002,78.150002,76.559998,76.690002,1775100,76.690002
"24",76.709999,76.849998,74.959999,75.120003,3000300,75.120003
"25",74.5,75.410004,74.470001,75.209999,1594500,75.209999
"26",75.349998,76.879997,75.220001,76.660004,2671700,76.660004
"27",79.120003,79.849998,76.57,79.389999,4518800,79.389999
"28",79.730003,79.900002,77.93,78.019997,3502600,78.019997
"29",78.43,78.540001,77.129997,77.699997,1594000,77.699997
"30",77.5,79.900002,77.5,79.800003,2741700,79.800003
"31",79.400002,79.989998,78.349998,78.739998,2136100,78.739998
"32",78.699997,79.550003,77.510002,78,1780000,78
"33",77.93,80.199997,77.669998,80,2606900,80
"34",80.5,82.25,79.220001,79.760002,2726300,79.760002
"35",80.169998,80.199997,78.300003,78.540001,2371400,78.540001
"36",78.739998,78.919998,76.93,77.57,3964400,77.57
"37",77.669998,81.239998,77.029999,79.410004,5727600,79.410004
"38",79.699997,79.980003,78.410004,79.559998,4420600,79.559998
"39",78.540001,78.540001,76.139999,76.68,5087000,76.68
"40",78.970001,82.099998,74.739998,76.839996,10685700,76.839996
"41",76.910004,79.669998,76.660004,77.739998,5808700,77.739998
"42",77.470001,78,76.529999,77.129997,2899400,77.129997
"43",77,77.150002,75.639999,75.93,2299600,75.93
"44",75.730003,76.43,75.040001,75.220001,2699200,75.220001
"45",75.339996,76,75.010002,75.599998,2508700,75.599998
"46",75.610001,75.940002,75.099998,75.529999,2000200,75.529999
"47",75.830002,76.190002,75,75.059998,2570600,75.059998
"48",75.099998,75.120003,73.809998,74.580002,3005300,74.580002
"49",74.68,75.139999,73.82,74.190002,2069300,74.190002
"50",74.110001,74.720001,73.449997,74.559998,2576300,74.559998
"51",74,76.129997,73.68,75.529999,3594100,75.529999
"52",76.480003,76.480003,74.910004,75.699997,3151000,75.699997
"53",75.790001,75.839996,74.010002,74.300003,3554300,74.300003
"54",74.720001,74.900002,72.910004,73.440002,3119100,73.440002
"55",73.580002,74.169998,73,73.980003,1920000,73.980003
"56",74.639999,75.199997,74.059998,74.379997,2049200,74.379997
"57",74.510002,75.449997,73.949997,74.919998,1892200,74.919998
"58",74.889999,76.57,74.559998,76.129997,3059300,76.129997
"59",75.830002,76.779999,75.809998,76.550003,2561000,76.550003
"60",76.32,78.870003,76.220001,78.510002,4465100,78.510002
"61",78.209999,79.510002,78.029999,79.440002,2889900,79.440002
"62",79.279999,79.879997,78.440002,78.459999,2628300,78.459999
"63",78.459999,78.889999,77.220001,77.720001,2415300,77.720001
"64",77.760002,77.959999,76.900002,77.669998,2185800,77.669998
"65",77.68,78.629997,76.980003,77.050003,2228500,77.050003
"66",77.059998,79.07,77.019997,78.050003,3254400,78.050003
"67",78.050003,78.209999,77.43,77.610001,2066300,77.610001
"68",77.669998,78.650002,77.419998,77.739998,1551600,77.739998
"69",77.68,77.75,76.410004,77.080002,2283400,77.080002
"70",76.800003,77.519997,76.540001,77.139999,1939100,77.139999
"71",77.190002,77.599998,76.449997,76.459999,1851800,76.459999
"72",76.669998,76.940002,76.169998,76.830002,1806300,76.830002
"73",76.730003,77.809998,76.529999,77.43,2173100,77.43
"74",77.809998,78.900002,77.489998,78.019997,2262800,78.019997
"75",78.449997,80.510002,78.449997,79.57,4098600,79.57
"76",79.730003,79.790001,78.68,78.809998,2285000,78.809998
"77",80.019997,80.5,79.449997,79.790001,2245100,79.790001
"78",80.279999,80.82,79.370003,80.690002,1942600,80.690002
"79",81,82.419998,80.690002,81.730003,2962600,81.730003
"80",81.730003,83.139999,81.489998,83.129997,3065500,83.129997
"81",82.980003,83.209999,82.230003,82.769997,2393300,82.769997
"82",83.07,83.209999,80.660004,80.75,3631400,80.75
"83",80.75,82.099998,80.5,81.699997,3348400,81.699997
"84",81.730003,82.389999,81.410004,81.919998,2472900,81.919998
"85",82.099998,82.559998,81.699997,81.959999,2386500,81.959999
"86",82.379997,82.68,81.650002,82,1543500,82
"87",82.129997,82.370003,81.690002,82.290001,1279100,82.290001
"88",82.459999,83.480003,82.330002,82.779999,1870900,82.779999
"89",82.529999,83.330002,82.330002,83.019997,1217200,83.019997
"90",82.349998,83.040001,81.150002,81.489998,1395900,81.489998
"91",81.309998,81.349998,80.330002,81.290001,1633700,81.290001
"92",81.5,82.050003,80.779999,80.940002,1595700,80.940002
"93",80.779999,81.129997,78.879997,79.099998,2625700,79.099998
"94",79.160004,79.599998,77.660004,78.080002,2763800,78.080002
"95",78.339996,79.449997,77.830002,79,1856300,79
"96",78.970001,80,78.32,79.68,2163100,79.68
"97",79.620003,81.099998,79.349998,80.919998,2126700,80.919998
"98",80.849998,80.910004,78.589996,78.849998,3588300,78.849998
"99",78.860001,79.139999,76.720001,78.080002,4996500,78.080002
"100",76.019997,81,76,78.800003,6420400,78.800003
"101",79.150002,80.459999,77.709999,78.279999,2181500,78.279999
"102",78.080002,78.989998,77.82,78.169998,1980200,78.169998
"103",78.269997,78.379997,76.43,77.699997,3429300,77.699997
"104",78.029999,80.580002,78.010002,80.559998,3957000,80.559998
"105",80.489998,80.93,79.849998,80.43,1892800,80.43
"106",80.150002,80.339996,78.489998,79.279999,2324600,79.279999
"107",78.610001,78.610001,76.25,76.879997,4195900,76.879997
"108",77.330002,77.330002,75,75.410004,7290800,75.410004
"109",75.790001,77.089996,74.660004,74.839996,2854000,74.839996
"110",74.849998,75.879997,74.400002,75.379997,2248400,75.379997
"111",75.43,76.769997,74.949997,75.349998,2024900,75.349998
"112",75.269997,75.879997,74.870003,75.5,1416800,75.5
"113",75.519997,75.849998,74.690002,75.269997,2710700,75.269997
"114",74.82,75.580002,72.339996,72.730003,3957000,72.730003
"115",69.669998,70.629997,65.629997,70.07,11305400,70.07
"116",70.529999,71,69.440002,70.550003,4429700,70.550003
"117",70.620003,70.690002,68.730003,68.940002,3495700,68.940002
"118",69.040001,69.879997,67.599998,68.050003,4000700,68.050003
"119",68.099998,68.540001,67.610001,67.68,2883300,67.68
"120",67.349998,67.669998,66.169998,66.599998,5430900,66.599998
"121",66.809998,68.529999,66.529999,68.489998,6205500,68.489998
"122",68.300003,70.300003,68.25,69.220001,6544000,69.220001
"123",70.480003,70.809998,69.370003,69.970001,4040200,69.970001
"124",69.830002,70.419998,69.339996,69.730003,2802800,69.730003
"125",70.010002,70.410004,69.230003,69.919998,2816900,69.919998
"126",70.029999,70.660004,69.339996,69.889999,928400,69.889999
"127",69.959999,70.059998,67.709999,68.209999,4280200,68.209999
"128",68.059998,68.290001,67.550003,67.93,2797900,67.93
"129",68,68.690002,67.669998,67.980003,1792100,67.980003
"130",67.900002,68.019997,66.010002,66.389999,3101800,66.389999
"131",66.529999,67.419998,66.389999,66.870003,2789500,66.870003
"132",67.349998,68.07,67,67.400002,1498100,67.400002
"133",68.050003,68.919998,67.849998,68.57,2882900,68.57
"134",68.790001,69.150002,68.199997,69.110001,2385600,69.110001
"135",69.110001,70.879997,69.110001,69.870003,2537100,69.870003
"136",69.870003,70.010002,68.82,69.279999,1673000,69.279999
"137",69.529999,70.389999,69.309998,70.349998,2247000,70.349998
"138",70.599998,71.150002,70.089996,70.769997,3045200,70.769997
"139",70.620003,71.360001,70.519997,70.889999,2686100,70.889999
"140",70.599998,70.599998,68.660004,69.279999,2776300,69.279999
"141",69.379997,71.019997,69.169998,70.589996,1996800,70.589996
"142",70.300003,71,69.540001,70.919998,1654100,70.919998
"143",70.970001,72.419998,70.370003,72.239998,3007500,72.239998
"144",71.919998,72.379997,71.169998,71.800003,1750900,71.800003
"145",72,72.330002,71.190002,72.080002,1408200,72.080002
"146",72.099998,73.139999,71.790001,73.010002,2573700,73.010002
"147",72.739998,73.370003,72.230003,72.970001,2195500,72.970001
"148",73.120003,74.300003,73.080002,73.529999,2511000,73.529999
"149",73.769997,74.209999,73.230003,74.110001,1922400,74.110001
"150",74.57,75.919998,74.510002,75.529999,3729300,75.529999
"151",75.529999,76.059998,75.32,75.75,2406200,75.75
"152",75.139999,75.57,74.419998,74.919998,2815900,74.919998
"153",74.260002,74.290001,72.779999,73.080002,2679000,73.080002
"154",73.010002,73.889999,72.849998,73.5,1789600,73.5
"155",74.139999,75.699997,73.949997,74.620003,3403900,74.620003
"156",74.57,74.889999,73.309998,73.440002,3203900,73.440002
"157",74.260002,75.040001,74.220001,74.440002,4286300,74.440002
"158",74.029999,74.809998,73.199997,74.339996,2393500,74.339996
"159",74.239998,74.870003,74.199997,74.25,2128100,74.25
"160",74.220001,74.669998,73.739998,74.25,2500300,74.25
"161",74.510002,75.43,74.510002,74.949997,1771300,74.949997
"162",74.629997,74.949997,73.860001,74.32,4428800,74.32
"163",82.209999,82.260002,77.57,78.5,13435900,78.5
"164",79.879997,80.779999,77.919998,80.389999,4449500,80.389999
