"Index" "CAOpen" "CAHigh" "CALow" "CAClose" "CAVolume" "CAAdjusted"
"2012-05-14" 19.961088 20.038912 19.789883 19.92996 5174824 15.280661
"2012-05-15" 19.92996 20.023346 19.859922 19.898832 5084745 15.256791
"2012-05-16" 19.922178 20.062258 19.898832 20 3717762 15.33436
"2012-05-17" 20.07004 20.07004 19.750973 19.750973 3720204 15.143427
"2012-05-18" 19.766537 19.859922 19.486382 19.540855 6846609 14.982325
"2012-05-21" 19.634241 19.642023 19.447472 19.571983 6418061 15.006193
"2012-05-22" 19.626459 19.719845 19.556419 19.649805 3058943 15.06586
"2012-05-23" 19.634241 19.743191 19.494164 19.727627 3507151 15.125528
"2012-05-24" 19.719845 19.789883 19.540855 19.657587 7055807 15.07183
"2012-05-25" 19.688717 19.712063 19.603113 19.649805 4305650 15.06586
"2012-05-29" 19.688717 19.782101 19.634241 19.657587 6425257 15.07183
"2012-05-30" 19.564201 19.704281 19.525291 19.556419 6875264 14.994264
"2012-05-31" 19.571983 19.642023 19.455254 19.571983 3405379 15.006193
"2012-06-01" 19.424126 19.463036 19.073931 19.136187 7926779 14.67206
"2012-06-04" 19.042803 19.167315 18.918287 18.957197 8292747 14.534827
"2012-06-05" 18.949415 19.175097 18.824903 19.143969 5219927 14.67803
"2012-06-06" 19.167315 19.424126 19.128405 19.424126 3815165 14.892831
"2012-06-07" 19.455254 19.540855 19.354086 19.361868 3184873 14.845101
"2012-06-08" 19.354086 19.587549 19.307392 19.564201 2770846 15.000227
"2012-06-11" 19.657587 19.680935 19.354086 19.354086 2842677 14.839128
"2012-06-12" 19.400778 19.4786 19.354086 19.455254 2562804 14.916696
"2012-06-13" 19.463036 19.501945 19.2607 19.315174 3163285 14.809291
"2012-06-14" 19.33852 19.416342 19.252918 19.33852 3373639 14.827197
"2012-06-15" 19.330738 19.43969 19.284046 19.431908 4520373 14.898797
"2012-06-18" 19.276264 19.447472 19.276264 19.416342 3136942 14.886863
"2012-06-19" 19.463036 19.595331 19.361868 19.486382 2984541 14.940567
"2012-06-20" 19.455254 19.494164 19.042803 19.143969 6448259 14.67803
"2012-06-21" 19.400778 20.007782 19.361868 19.657587 14790350 15.07183
"2012-06-22" 19.805447 19.922178 19.712063 19.727627 7965201 15.125528
"2012-06-25" 19.634241 19.712063 19.517509 19.618677 3592603 15.041991
"2012-06-26" 19.735409 19.766537 19.540855 19.634241 4625101 15.053931
"2012-06-27" 19.673153 19.805447 19.657587 19.696499 4101334 15.101663
"2012-06-28" 19.618677 19.867704 19.595331 19.867704 4826846 15.23293
"2012-06-29" 20.07004 20.178988 20.023346 20.178988 6472288 15.471598
"2012-07-02" 20.116732 20.171206 19.961088 20.085604 4232662 15.399999
"2012-07-03" 20.062258 20.171206 19.992218 20.124514 1883681 15.429832
"2012-07-05" 20.085604 20.124514 19.937742 20.054476 3640277 15.376129
"2012-07-06" 19.992218 20.046694 19.914396 20.015564 4113542 15.3463
"2012-07-09" 20.007782 20.031128 19.704281 19.821012 7903906 15.197125
"2012-07-10" 19.898832 19.984436 19.735409 19.805447 5660554 15.185193
"2012-07-11" 19.844358 19.85214 19.743191 19.766537 4894951 15.15536
"2012-07-12" 19.735409 19.766537 19.587549 19.587549 4132560 15.01813
"2012-07-13" 19.626459 19.727627 19.540855 19.673153 3601213 15.083768
"2012-07-16" 19.649805 19.665371 19.229572 19.252918 6823350 14.76156
"2012-07-17" 19.252918 19.377432 19.128405 19.229572 6293288 14.743667
"2012-07-18" 19.19066 19.346304 19.112841 19.276264 5475899 14.779461
"2012-07-19" 19.276264 19.307392 19.042803 19.128405 14137956 14.666094
"2012-07-20" 19.089495 19.112841 18.723736 18.77821 14896748 14.397595
"2012-07-23" 18.785992 18.863813 18.614786 18.684826 12424537 14.325996
"2012-07-24" 18.66148 18.70039 18.396887 18.529182 6893768 14.206661
"2012-07-25" 18.505836 18.645914 18.474709 18.56031 6288276 14.375426
"2012-07-26" 18.692608 18.856031 18.645914 18.747082 4676372 14.520087
"2012-07-27" 18.80934 18.949415 18.747082 18.910505 4402025 14.646665
"2012-07-30" 18.879377 19.315174 18.832685 19.268482 8198043 14.923924
"2012-07-31" 19.276264 19.291828 19.112841 19.214008 5232520 14.881733
"2012-08-01" 19.252918 19.276264 18.949415 18.980545 3894192 14.700905
"2012-08-02" 18.949415 18.964981 18.731518 18.918287 4973721 14.652691
"2012-08-03" 19.058367 19.19066 19.035019 19.120623 3838166 14.809406
