"Index" "ROOpen" "ROHigh" "ROLow" "ROClose" "ROVolume" "ROAdjusted"
"2012-01-31" 78.5 79.43 77.599998 77.870003 1510100 62.96574
"2012-02-01" 79.010002 80.519997 78.870003 79.910004 1443000 64.61528
"2012-02-02" 80.050003 80.300003 79.699997 80.120003 1052000 64.78511
"2012-02-03" 81.220001 81.860001 80.940002 81.529999 1486800 65.925194
"2012-02-06" 81.139999 81.910004 80.669998 81.269997 969300 65.714989
"2012-02-07" 80.830002 81.580002 80.43 81.339996 902700 65.771553
"2012-02-08" 81.209999 82.059998 81.07 82.040001 1072900 66.337585
"2012-02-09" 82.099998 82.220001 81.339996 81.849998 853500 66.183968
"2012-02-10" 80.709999 80.849998 79.629997 80.260002 889300 64.898262
"2012-02-13" 81.050003 81.230003 79.559998 80.900002 993800 65.415749
"2012-02-14" 80.510002 80.989998 79.440002 79.790001 829800 64.518242
"2012-02-15" 80.110001 80.330002 79.5 79.790001 977000 64.518242
"2012-02-16" 79.389999 81.480003 79.190002 81.25 1325600 66.050636
"2012-02-17" 81.550003 82.349998 80.599998 82.300003 1218300 66.904213
"2012-02-21" 82.660004 83.849998 82.599998 83.510002 1553400 67.887856
"2012-02-22" 82.989998 83.300003 81.489998 82.199997 1368900 66.822891
"2012-02-23" 81.889999 81.889999 80.790001 81.639999 864100 66.367661
"2012-02-24" 81.699997 82.910004 81.419998 82.669998 1132100 67.204971
"2012-02-27" 81.75 82.139999 80.839996 81.300003 1289500 66.091278
"2012-02-28" 81.300003 81.639999 80.400002 80.860001 1075000 65.733582
"2012-02-29" 81.169998 81.459999 79.870003 79.980003 1243000 65.018196
"2012-03-01" 80.25 81.82 80.25 81.309998 1224900 66.09938
"2012-03-02" 81.010002 81.589996 80 80.290001 821500 65.27018
"2012-03-05" 80.269997 80.269997 78.93 79.519997 759700 64.644249
"2012-03-06" 78.330002 78.330002 76.199997 76.470001 1293300 62.164818
"2012-03-07" 77.360001 79.120003 77.339996 78.730003 1197300 64.002022
"2012-03-08" 79.519997 80.910004 79.290001 80.650002 1131000 65.562851
"2012-03-09" 80.800003 81.279999 80.269997 80.709999 780600 65.611626
"2012-03-12" 81.32 83.169998 81.019997 82.470001 1162900 67.042358
"2012-03-13" 83.199997 84.639999 83 84.550003 971800 68.733292
"2012-03-14" 84.290001 84.709999 83.059998 83.68 869000 68.026047
"2012-03-15" 83.800003 84.540001 83.199997 84.300003 825800 68.53006
"2012-03-16" 83.809998 84.5 83.43 83.709999 1166600 68.050415
"2012-03-19" 83.889999 84.029999 83.220001 83.419998 566500 67.814674
"2012-03-20" 82.879997 82.949997 80.959999 81.419998 1212200 66.188789
"2012-03-21" 81.389999 81.769997 80.900002 81.419998 747200 66.188789
"2012-03-22" 81.050003 81.050003 79.25 80.419998 720600 65.375885
"2012-03-23" 80.389999 80.610001 79.370003 80.290001 548500 65.27018
"2012-03-26" 80.849998 81.580002 80.730003 81.470001 1055300 66.229485
"2012-03-27" 81.970001 82.18 80.629997 80.760002 1008800 65.652267
"2012-03-28" 80.790001 80.919998 78.360001 79.419998 1152900 64.562981
"2012-03-29" 78.82 79.970001 78.620003 79.830002 963500 64.89624
"2012-03-30" 80.370003 80.5 79.510002 79.699997 914500 64.790573
"2012-04-02" 79.720001 80.669998 78.93 80.120003 843300 65.132011
"2012-04-03" 79.809998 80.010002 78.449997 79.160004 1153000 64.351593
"2012-04-04" 78.260002 78.5 77.739998 78.110001 1407400 63.498013
"2012-04-05" 77.709999 79.339996 77.669998 79.269997 1135800 64.441017
"2012-04-09" 77.720001 78.169998 76.639999 77.260002 941900 62.807037
"2012-04-10" 76.860001 77.5 76.050003 76.199997 1782800 61.945316
"2012-04-11" 77.239998 77.709999 76.629997 77.120003 1013800 62.693211
"2012-04-12" 77.389999 80.25 77.019997 80.18 1791300 65.180763
"2012-04-13" 79.510002 79.589996 77.489998 77.5 1775700 63.002132
"2012-04-16" 78.139999 78.800003 77.410004 78.029999 829500 63.432953
"2012-04-17" 78.769997 80.169998 78.68 79.809998 1331600 64.87999
"2012-04-18" 79.290001 79.43 78.550003 78.589996 949800 63.888229
"2012-04-19" 78.43 79.239998 77.650002 78.150002 1414600 63.530537
"2012-04-20" 78.43 79.529999 78.089996 78.330002 2061900 63.676872
"2012-04-23" 77.620003 77.620003 75.32 76.120003 2546900 61.880272
"2012-04-24" 76.43 78.029999 75.800003 77.400002 1476600 62.92083
"2012-04-25" 74.300003 76.190002 74 75.519997 4165600 61.392502
"2012-04-26" 75.949997 77.900002 75.610001 77.5 1779800 63.002132
"2012-04-27" 78.019997 79.010002 77.620003 78.190002 1184400 63.563038
"2012-04-30" 77.800003 78.07 77.040001 77.339996 839600 62.87204
"2012-05-01" 77.269997 79.449997 76.239998 78.129997 1603500 63.514267
"2012-05-02" 77.370003 78.389999 77.080002 78.239998 809300 63.603683
"2012-05-03" 78.529999 79 77.970001 78.43 1507000 63.758148
"2012-05-04" 77.949997 78.080002 76.720001 76.910004 957800 62.522484
"2012-05-07" 76.800003 77.379997 76.730003 76.839996 999700 62.465591
"2012-05-08" 76.360001 78.25 76.190002 77.989998 1645100 63.400436
"2012-05-09" 76.720001 78.18 76.559998 77.550003 1262500 63.042782
"2012-05-10" 77.879997 78.389999 76.550003 77.18 900400 63.087719
"2012-05-11" 76.709999 78.669998 76.529999 77.519997 801500 63.365646
"2012-05-14" 76.480003 77.519997 75.540001 76.669998 867200 62.670834
"2012-05-15" 76.730003 76.989998 75.57 75.760002 1007200 61.926994
"2012-05-16" 76.150002 77.370003 74.889999 74.949997 1159100 61.264919
"2012-05-17" 75.139999 75.589996 72.059998 72.099998 1626600 58.935276
"2012-05-18" 72.400002 72.779999 71.080002 71.330002 1538900 58.305874
"2012-05-21" 71.639999 74.370003 71.400002 73.82 1752500 60.341225
"2012-05-22" 74.160004 76.019997 74.129997 75.660004 1587700 61.845253
"2012-05-23" 74.82 76.120003 73.980003 75.889999 1213600 62.03326
"2012-05-24" 76.730003 77.260002 75.370003 75.959999 1171100 62.090481
"2012-05-25" 75.839996 76.269997 75.059998 75.330002 762300 61.57552
"2012-05-29" 76.029999 77.660004 76.029999 77.220001 1002200 63.120411
"2012-05-30" 76.139999 76.139999 74.160004 74.860001 1378200 61.191341
"2012-05-31" 74.529999 74.760002 71.199997 72.510002 1926400 59.270435
"2012-06-01" 71.010002 71.010002 68.190002 68.800003 2541300 56.237843
"2012-06-04" 68.690002 69.010002 65.989998 66.919998 2228600 54.701084
"2012-06-05" 66.459999 67.330002 65.730003 67.220001 1517800 54.946323
"2012-06-06" 68.099998 69.139999 67.75 69.089996 1092000 56.474873
"2012-06-07" 70.220001 71.209999 69.010002 69.160004 1565200 56.532093
"2012-06-08" 70.07 70.339996 68.059998 69.870003 1537600 57.112461
"2012-06-11" 70.970001 71.389999 68.650002 68.760002 1020500 56.205132
"2012-06-12" 69.160004 70.129997 68.599998 70.099998 974200 57.300472
"2012-06-13" 69.5 69.879997 68.660004 68.989998 872300 56.393139
"2012-06-14" 68.970001 69.489998 68.230003 68.760002 1218200 56.205132
"2012-06-15" 68.839996 69.209999 67.959999 69.190002 1124100 56.556637
"2012-06-18" 68.410004 69.370003 68.18 68.940002 946700 56.352272
"2012-06-19" 69.120003 70.18 69.120003 69.529999 997500 56.834541
"2012-06-20" 69.510002 69.879997 68.370003 69 1182100 56.40131
"2012-06-21" 69.040001 69.629997 66.669998 66.779999 1643900 54.586666
"2012-06-22" 67.129997 67.269997 64.889999 65.580002 2751900 53.605766
"2012-06-25" 64.470001 65.089996 64.07 64.870003 1164100 53.025406
"2012-06-26" 64.980003 65.129997 62.889999 64.040001 2397400 52.346958
"2012-06-27" 64.160004 64.519997 63.669998 64.300003 1525600 52.559486
"2012-06-28" 63.330002 64.019997 62.41 63.060001 1278700 51.545898
"2012-06-29" 64.900002 66.080002 64.360001 66.059998 1489700 53.998116
"2012-07-02" 65.449997 65.910004 63.639999 64.459999 2378300 52.690273
"2012-07-03" 64.529999 65.209999 64.330002 65.089996 720500 53.205231
"2012-07-05" 64.889999 65.830002 64.400002 65.440002 924300 53.491333
"2012-07-06" 64.540001 65.269997 64.18 65.190002 1404600 53.286972
"2012-07-09" 64.129997 65.089996 64.129997 65 1747700 53.131672
"2012-07-10" 64.830002 65.339996 62.919998 63.290001 2075800 51.733894
"2012-07-11" 63.490002 64.199997 62.93 63.299999 2235000 51.742077
"2012-07-12" 62.790001 62.790001 61.200001 61.52 2433100 50.287094
"2012-07-13" 61.799999 63.029999 61.689999 62.84 1354200 51.366066
"2012-07-16" 62.419998 62.68 61.32 62.419998 1347200 51.022755
"2012-07-17" 62.66 62.75 61.580002 62.009998 1656300 50.687603
"2012-07-18" 61.959999 66.199997 61.740002 65.68 2188100 53.687511
"2012-07-19" 65.599998 66.370003 64.809998 65.900002 1211900 53.86734
"2012-07-20" 65.120003 65.5 64.639999 64.900002 1042000 53.049923
