"Index" "EOOpen" "EOHigh" "EOLow" "EOClose" "EOVolume" "EOAdjusted"
"2012-05-16" 49.830002 50.799999 49.275002 49.474998 3981400 43.886177
"2012-05-17" 49.455002 49.66 48.580002 48.669998 3874400 43.172119
"2012-05-18" 48.945 49.310001 47.889999 48.154999 4443200 42.715294
"2012-05-21" 48.665001 50.130001 48.645 50.099998 4474000 44.440575
"2012-05-22" 50.794998 51.735001 50.235001 50.665001 5602000 44.941761
"2012-05-23" 50.145 50.895 48.889999 50.849998 5439800 45.10585
"2012-05-24" 51 51.195 49.57 50.395 3806200 44.702244
"2012-05-25" 50.279999 51.215 50.279999 50.875 3559600 45.128052
"2012-05-29" 52.224998 52.66 51.580002 52.43 4652600 46.507378
"2012-05-30" 51.669998 51.669998 49.950001 50.494999 5560600 44.790974
"2012-05-31" 50.375 50.424999 48.200001 49.650002 7350600 44.04142
"2012-06-01" 47.939999 48.07 45.669998 45.834999 13415000 40.657368
"2012-06-04" 45.98 46.084999 44.424999 45.200001 10072600 40.094101
"2012-06-05" 44.805 46.115002 44.785 45.935001 6586000 40.746071
"2012-06-06" 46.52 47.48 46.415001 47.459999 5499000 42.098804
"2012-06-07" 48.290001 48.700001 47.205002 47.724998 6559000 42.333866
"2012-06-08" 46.91 47.064999 45.880001 46.939999 4717600 41.637547
"2012-06-11" 47.674999 48.049999 45.900002 45.965 4168200 40.772682
"2012-06-12" 46.305 47.185001 46.115002 47.084999 3856800 41.766159
"2012-06-13" 46.895 47.615002 46.009998 46.349998 4524600 41.114193
"2012-06-14" 46.450001 47.474998 46.110001 47.23 5099200 41.894775
"2012-06-15" 47.445 48.389999 46.955002 48.32 5798600 42.861652
"2012-06-18" 48.014999 48.084999 47.18 47.365002 4492600 42.014526
"2012-06-19" 47.845001 48.16 47.290001 47.974998 4502200 42.555626
"2012-06-20" 48.07 48.384998 46.07 46.470001 6199000 41.220642
"2012-06-21" 46.424999 46.634998 43.169998 43.240002 11919000 38.355515
"2012-06-22" 43.845001 43.985001 42.935001 43.810001 6630400 38.861118
"2012-06-25" 42.845001 42.939999 41.830002 42.450001 6179200 37.654751
"2012-06-26" 42.459999 42.779999 41.240002 41.98 7419800 37.237835
"2012-06-27" 42.125 43.084999 42.040001 42.865002 10073800 38.022861
"2012-06-28" 42.599998 42.919998 41.945 42.580002 8044200 37.77005
"2012-06-29" 43.974998 45.130001 43.785 45.055 9941400 39.965473
"2012-07-02" 44.77 44.970001 43.77 44.470001 3431400 39.446548
"2012-07-03" 45 47.5 45 47.445 5677200 42.085487
"2012-07-05" 47.040001 47.25 45.880001 46 4101600 40.80373
"2012-07-06" 44.884998 45.674999 44.535 45.32 3424200 40.200539
"2012-07-09" 45.205002 46.435001 45.095001 45.744999 4715000 40.577541
"2012-07-10" 45.735001 45.98 44.375 44.674999 4704200 39.628399
"2012-07-11" 44.855 46.310001 44.855 45.939999 5386200 40.750504
"2012-07-12" 45.080002 45.919998 44.544998 45.525002 5869600 40.382385
"2012-07-13" 45.685001 46.540001 45.599998 46.465 3690400 41.293301
"2012-07-16" 46.215 46.919998 45.645 46.619999 3599000 41.431061
"2012-07-17" 47.09 47.715 46.165001 47.619999 5095000 42.319744
"2012-07-18" 47.424999 48.715 47.275002 48.349998 5117400 42.968502
"2012-07-19" 48.595001 49.314999 48.384998 49.125 6149800 43.65723
"2012-07-20" 48.735001 49.645 48.125 49.615002 5496200 44.092693
"2012-07-23" 48.314999 48.740002 47.115002 48.599998 6470400 43.19067
"2012-07-24" 48.645 48.950001 47.205002 47.75 3716000 42.435276
"2012-07-25" 48.244999 48.365002 47.105 47.845001 3024400 42.519714
"2012-07-26" 48.669998 49.290001 48.130001 48.709999 4041800 43.288425
"2012-07-27" 48.985001 50.735001 48.724998 50.505001 4790200 44.883644
"2012-07-30" 50.34 50.810001 49.215 49.779999 3378400 44.239334
"2012-07-31" 49.709999 49.950001 48.974998 49.005001 3237800 43.550598
"2012-08-01" 49.465 50.595001 48.52 50.224998 4492600 44.634796
"2012-08-02" 49.064999 49.564999 47.639999 48.060001 4967400 42.710777
"2012-08-03" 51.529999 54.375 51.07 53.375 10517400 47.434189
"2012-08-06" 53.485001 53.665001 52.755001 52.869999 5040200 46.985394
"2012-08-07" 52.865002 54.75 52.785 54.369999 4976200 48.318447
"2012-08-08" 53.709999 54.529999 53.705002 53.950001 3798400 47.945206
"2012-08-09" 53.764999 55.400002 53.715 54.705002 4150800 48.616158
"2012-08-10" 54.055 55.18 54 54.994999 3002200 48.873882
"2012-08-13" 55.450001 55.450001 54.41 54.650002 2663200 48.567287
"2012-08-14" 55.130001 55.555 54.855 55.174999 3886600 49.033844
"2012-08-15" 54.84 55.365002 54.485001 54.91 2989200 48.798336
"2012-08-16" 54.880001 55.540001 54.700001 55.494999 3037200 49.31823
"2012-08-17" 55.25 55.68 55.049999 55.595001 2636600 49.407108
"2012-08-20" 55.755001 55.779999 54.584999 54.785 2584200 48.687263
"2012-08-21" 55.139999 55.424999 54.134998 54.384998 3073800 48.331776
"2012-08-22" 54.275002 54.599998 53.549999 54.455002 3105400 48.39399
"2012-08-23" 54.375 54.59 53.220001 53.505001 2864600 47.549717
"2012-08-24" 53.48 54.59 53.285 54.455002 4370400 48.39399
"2012-08-27" 54.490002 54.98 54.080002 54.584999 2816200 48.50951
"2012-08-28" 54.619999 54.959999 54.02 54.41 3514600 48.353992
"2012-08-29" 54.439999 54.490002 53.735001 54.025002 2580200 48.011852
"2012-08-30" 53.724998 53.724998 52.724998 52.945 2562800 47.052063
"2012-08-31" 53.494999 54.305 53.049999 54.150002 3420200 48.122936
"2012-09-04" 54.130001 54.875 53.595001 54.66 4144200 48.576172
"2012-09-05" 54.540001 54.755001 54.224998 54.27 3174200 48.229576
"2012-09-06" 54.91 56.605 54.799999 56.205002 4160800 49.949215
"2012-09-07" 55.474998 56.639999 55.365002 56.439999 4704400 50.158054
"2012-09-10" 56.5 57.235001 56.044998 56.200001 3535000 49.944771
"2012-09-11" 56.404999 56.73 55.965 56.215 3332600 49.958096
"2012-09-12" 56.424999 56.970001 55.794998 56.490002 3305000 50.202492
"2012-09-13" 56.715 58.060001 55.900002 57.59 3997000 51.180058
"2012-09-14" 57.869999 59.845001 57.869999 58.810001 3856600 52.264263
"2012-09-17" 58.705002 59.115002 57.939999 58.200001 2922200 51.722172
"2012-09-18" 58.115002 58.41 57.285 57.939999 2282400 51.491104
"2012-09-19" 57.830002 57.895 56.75 56.785 3288000 50.464649
"2012-09-20" 56.455002 57.040001 55.744999 56.775002 4148000 50.455757
"2012-09-21" 57.285 57.369999 56.625 56.974998 4015200 50.633507
"2012-09-24" 56.299999 56.869999 56.080002 56.605 2492600 50.304691
"2012-09-25" 56.849998 57.205002 56.130001 56.209999 3068400 49.953648
"2012-09-26" 55.935001 56.040001 55.200001 55.299999 2732400 49.144932
"2012-09-27" 55.880001 56.884998 55.75 56.599998 1953800 50.30024
"2012-09-28" 56.299999 56.5 55.57 56.025002 2295400 49.789249
"2012-10-01" 56.494999 57.345001 56.455002 57.095001 3422000 50.74015
"2012-10-02" 57.395 57.639999 56.935001 57.57 3617200 51.162281
"2012-10-03" 57.415001 57.5 55.400002 55.540001 4238000 49.358223
"2012-10-04" 55.965 56.125 55.325001 55.709999 4041200 49.509308
"2012-10-05" 55.755001 56.200001 54.75 54.955002 3295800 48.838337
"2012-10-08" 54.43 54.985001 54.32 54.91 2263000 48.798336
"2012-10-09" 54.955002 55.900002 54.639999 55.525002 2638800 49.344898
"2012-10-10" 55.424999 55.674999 54.595001 54.75 2658400 48.656166
"2012-10-11" 55.205002 55.634998 54.799999 54.915001 1995000 48.802784
"2012-10-12" 54.985001 55.154999 53.935001 54.389999 2558200 48.336224
"2012-10-15" 54.330002 55.290001 53.880001 55.125 2979000 49.066086
"2012-10-16" 55.855 56.945 55.755001 56.869999 3286200 50.619301
"2012-10-17" 57.27 57.825001 56.785 57.619999 2874200 51.286858
"2012-10-18" 57.27 57.540001 56.869999 57.375 2171600 51.068794
"2012-10-19" 57.264999 57.724998 56.285 56.535 3024000 50.321121
"2012-10-22" 56.389999 56.470001 55.215 56.055 3717400 49.893879
"2012-10-23" 55.035 55.450001 54.514999 55.080002 4001000 49.026051
"2012-10-24" 55.439999 55.77 54.884998 55.349998 3774200 49.266361
"2012-10-25" 56.025002 56.220001 55.455002 56.209999 2301600 50.031841
"2012-10-26" 56.145 57.25 56.005001 57.044998 4463600 50.775059
"2012-10-31" 57.125 58.285 57.119999 58.244999 4601800 51.84317
"2012-11-01" 58.244999 59.299999 58.02 58.439999 3662000 52.016727
"2012-11-02" 58.884998 59.255001 57.345001 57.599998 5006800 51.269043
"2012-11-05" 57.275002 58.535 57.275002 58.404999 4379000 51.985577
"2012-11-06" 61.695 62.244999 60.650002 60.990002 8548400 54.286461
"2012-11-07" 60 60.474998 59.665001 60 6031800 53.405273
"2012-11-08" 59.935001 60.384998 57.855 57.884998 4513600 51.522736
"2012-11-09" 57.814999 58.384998 57.224998 57.259998 4984600 50.966431
"2012-11-12" 57.544998 57.799999 56.720001 57.380001 2177600 51.07325
"2012-11-13" 56.950001 58.57 56.845001 57.639999 3884800 51.304657
"2012-11-14" 57.689999 57.950001 56.5 56.68 3100000 50.450188
"2012-11-15" 56.720001 58.275002 56.66 58.080002 4758000 51.696304
"2012-11-16" 58.625 58.73 57.395 58.334999 5257800 51.923275
"2012-11-19" 59.105 60.400002 58.91 59.305 3986000 52.786652
"2012-11-20" 59.195 59.27 58.275002 58.700001 2629400 52.248158
"2012-11-21" 58.895 59.27 58.700001 59.07 2230200 52.577496
"2012-11-23" 59.25 59.575001 58.825001 59.494999 1168800 52.95578
"2012-11-26" 58.724998 58.915001 57.799999 58.325001 2502400 51.914375
"2012-11-27" 57.77 58.029999 57.220001 57.540001 5118400 51.21566
"2012-11-28" 57.044998 58.294998 56.360001 58.174999 3223200 51.780853
"2012-11-29" 58.799999 59.209999 58.404999 58.82 2838000 52.354973
"2012-11-30" 58.700001 59.205002 58.525002 58.810001 2897200 52.346069
"2012-12-03" 59.119999 59.549999 58.564999 58.619999 2572400 52.176945
"2012-12-04" 58.470001 59 58.345001 58.59 1801400 52.150249
"2012-12-05" 58.75 59.775002 58.669998 59.360001 3441200 52.835621
"2012-12-06" 59.145 59.375 58.5 59.18 2416600 52.675411
"2012-12-07" 59.355 59.355 58.465 58.674999 2670400 52.22591
"2012-12-10" 58.599998 58.93 58.285 58.865002 2132400 52.395027
"2012-12-11" 59.16 59.75 58.985001 59.365002 2716000 52.840073
"2012-12-12" 59.599998 60.685001 59.360001 60.369999 3622600 53.734608
"2012-12-13" 60.154999 60.325001 59.174999 59.255001 3789200 52.742157
"2012-12-14" 59.189999 59.900002 59.02 59.494999 2401800 52.95578
"2012-12-17" 59.695 60.490002 59.389999 60.485001 2499600 53.836964
"2012-12-18" 60.540001 62.125 60.5 61.959999 3696200 55.149849
"2012-12-19" 61.799999 62.009998 61.220001 61.224998 3038800 54.495632
"2012-12-20" 61.395 62.25 61.200001 62.185001 3053600 55.350121
"2012-12-21" 61.209999 62.080002 60.939999 61.785 4666400 54.994076
"2012-12-24" 61.555 62.099998 61.34 61.384998 1560800 54.638046
"2012-12-26" 61.57 61.575001 60.610001 60.775002 2096400 54.095097
"2012-12-27" 60.990002 61.075001 59.779999 60.814999 3196600 54.130699
"2012-12-28" 60.279999 60.465 59.25 59.305 2196200 52.786652
"2012-12-31" 59.055 60.490002 59 60.395 3561800 53.756859
"2013-01-02" 61.700001 61.84 60.720001 61.84 3665200 55.043026
"2013-01-03" 61.744999 62.744999 61.235001 62.09 2928400 55.26556
"2013-01-04" 62.115002 63.125 61.974998 62.900002 2518600 55.98653
"2013-01-07" 62.605 63.049999 62.075001 62.994999 2857800 56.071095
"2013-01-08" 62.875 62.994999 61.59 62.07 3122400 55.247746
"2013-01-09" 62.18 62.584999 61.845001 62.314999 1755200 55.465813
"2013-01-10" 62.700001 63.064999 62.279999 63.049999 2277000 56.120049
"2013-01-11" 63.029999 63.224998 62.5 62.814999 2264600 55.910873
"2013-01-14" 62.825001 63.139999 62.115002 62.330002 2046800 55.479176
