"Index" "WDOpen" "WDHigh" "WDLow" "WDClose" "WDVolume" "WDAdjusted"
"2012-01-31" 37.139999 37.189999 36.040001 36.349998 3492500 29.181711
"2012-02-01" 37.830002 38.5 37.75 38.029999 7320600 30.530401
"2012-02-02" 38.080002 38.080002 37.419998 37.57 3396400 30.161119
"2012-02-03" 37.919998 38.73 37.82 38.580002 2329500 30.971949
"2012-02-06" 38.459999 38.740002 37.889999 38.720001 2389700 31.084326
"2012-02-07" 38.400002 39.23 38.330002 38.880001 3003400 31.212778
"2012-02-08" 39.389999 40.580002 39.290001 39.77 4710400 31.927267
"2012-02-09" 39.77 39.860001 38.68 39.189999 3000800 31.461649
"2012-02-10" 38.549999 38.810001 38.189999 38.57 2825100 30.963907
"2012-02-13" 38.869999 39.080002 37.82 38.169998 2994100 30.642796
"2012-02-14" 38.009998 39.369999 37.970001 39.139999 3061000 31.421518
"2012-02-15" 39.259998 39.5 38.23 38.299999 2625200 30.747154
"2012-02-16" 38.41 40.700001 38.32 40.59 4573200 32.585575
"2012-02-17" 40.650002 40.700001 39.77 40.450001 2771600 32.473167
"2012-02-21" 40.450001 40.73 39.950001 40.240002 1818900 32.304592
"2012-02-22" 40.040001 40.279999 39.560001 39.560001 2003600 31.758686
"2012-02-23" 39.450001 39.880001 38.869999 39.700001 2148000 31.871073
"2012-02-24" 39.75 40.209999 39.599998 39.779999 1378100 31.935301
"2012-02-27" 39.400002 39.779999 38.209999 38.790001 4272000 31.140528
"2012-02-28" 38.990002 39.68 38.419998 39.380001 5180300 31.614185
"2012-02-29" 40.060001 40.919998 38.959999 39.25 6332000 31.509817
"2012-03-01" 39.389999 40.09 39.130001 39.860001 4015400 31.999523
"2012-03-02" 40 40.790001 38.459999 38.93 6287100 31.252924
"2012-03-05" 38.759998 39.060001 37.950001 38.470001 4476600 30.88364
"2012-03-06" 37.740002 37.93 36.959999 37.220001 3065000 29.880142
"2012-03-07" 37.389999 37.970001 37.380001 37.869999 2538900 30.401955
"2012-03-08" 38.200001 39.040001 38.130001 38.98 2893200 31.293068
"2012-03-09" 39.07 40.509998 38.650002 40.32 6800800 32.368805
"2012-03-12" 40.150002 40.32 39.490002 39.630001 4026600 31.814877
"2012-03-13" 40.049999 40.330002 39.599998 40.150002 3181100 32.232334
"2012-03-14" 40.23 40.5 39.16 39.630001 3644400 31.814877
"2012-03-15" 39.68 40 38.82 38.869999 6144700 31.204756
"2012-03-16" 38.84 38.990002 38.049999 38.259998 5279900 30.71504
"2012-03-19" 38.41 38.650002 38.060001 38.189999 2691800 30.658846
"2012-03-20" 37.830002 39.25 37.75 39.080002 4313400 31.373344
"2012-03-21" 39.049999 39.68 39.009998 39.450001 3374600 31.67038
"2012-03-22" 40.360001 42.400002 39.98 42.060001 10888900 33.765682
"2012-03-23" 42.040001 42.77 41.630001 42.439999 6032100 34.070732
"2012-03-26" 42.759998 42.810001 42.029999 42.599998 4458200 34.199184
"2012-03-27" 42.75 43.099998 42.34 42.459999 3178400 34.0868
"2012-03-28" 42.41 42.799999 41.619999 42.169998 3464100 33.853989
"2012-03-29" 42.41 42.52 41.34 42.009998 3199600 33.725548
"2012-03-30" 42.09 42.360001 41.09 41.389999 4052400 33.227802
"2012-04-02" 41.360001 42.029999 40.700001 41.91 3887100 33.645264
"2012-04-03" 41.900002 42.169998 41.139999 41.630001 3018900 33.420471
"2012-04-04" 41.150002 41.360001 40.720001 41.279999 2736600 33.139511
"2012-04-05" 40.77 40.77 39.330002 39.740002 6522000 31.903185
"2012-04-09" 39.349998 40.32 39.009998 39.689999 3667400 31.863045
"2012-04-10" 39.540001 39.830002 38.18 38.27 3894500 30.723078
"2012-04-11" 38.650002 38.810001 37.970001 38.220001 2566000 30.682943
"2012-04-12" 38.25 39.310001 38.220001 39.189999 2768200 31.461649
"2012-04-13" 39.169998 39.790001 38.990002 39.02 2741600 31.325178
"2012-04-16" 39.43 40.279999 39.139999 39.57 4336200 31.76671
"2012-04-17" 39.919998 40.509998 39.509998 39.509998 5176300 31.71854
"2012-04-18" 40.279999 42.07 39.970001 41.560001 7584100 33.364292
"2012-04-19" 41.419998 42.700001 41.099998 42.049999 6825700 33.757656
"2012-04-20" 42.060001 42.060001 41.23 41.439999 5390000 33.267941
"2012-04-23" 40.950001 41.700001 40.830002 41.419998 2631300 33.251888
"2012-04-24" 41.279999 41.650002 40.75 41.439999 3303500 33.267941
"2012-04-25" 41.720001 43.700001 41.599998 43.139999 5820600 34.63271
"2012-04-26" 43.669998 44.439999 43.310001 44.099998 5599300 35.403385
"2012-04-27" 38.799999 39.459999 37.400002 37.93 20355200 30.450129
"2012-04-30" 38.27 39.240002 38.220001 38.810001 8268500 31.156586
"2012-05-01" 38.68 40.349998 38.66 40.040001 6594500 32.144024
"2012-05-02" 39.799999 40.740002 39.630001 40.529999 5740800 32.537407
"2012-05-03" 40.560001 40.709999 38.639999 39.240002 6340200 31.501799
"2012-05-04" 38.900002 39.220001 38.32 38.880001 5691600 31.212778
"2012-05-07" 38.07 39.43 37.939999 39.150002 6687700 31.429535
"2012-05-08" 38.900002 39.240002 38.279999 39.139999 6197700 31.421518
"2012-05-09" 38.650002 40.290001 38.209999 39.950001 5988700 32.071781
"2012-05-10" 40.200001 41.09 39.919998 40.740002 6700300 32.705997
"2012-05-11" 40.360001 40.68 39.939999 40.299999 3920800 32.35276
"2012-05-14" 39.959999 40.34 39.290001 39.93 3147600 32.055714
"2012-05-15" 39.799999 40.540001 39.68 39.959999 3571300 32.079807
"2012-05-16" 40.209999 40.279999 38.490002 38.630001 3736700 31.012083
"2012-05-17" 38.709999 38.93 36.939999 37.07 4295100 29.759716
"2012-05-18" 37.16 37.25 34.549999 34.66 7983500 27.824976
"2012-05-21" 35.07 36.130001 34.5 35.959999 5100800 28.868612
"2012-05-22" 35.080002 35.080002 33.389999 34.509998 8172100 27.704548
"2012-05-23" 33.950001 34.400002 33.419998 34.099998 6328900 27.375404
"2012-05-24" 34.189999 34.279999 33.52 33.830002 5888100 27.158655
"2012-05-25" 33.700001 34.43 33.669998 34.209999 4025900 27.463715
"2012-05-29" 33.200001 33.82 33 33.169998 7485600 26.628805
"2012-05-30" 33.09 33.110001 32.060001 32.23 7309400 25.874178
"2012-05-31" 31.450001 31.98 31.01 31.389999 8763600 25.199827
"2012-06-01" 30.49 31.49 29.950001 30.110001 5054900 24.172243
"2012-06-04" 30.17 30.540001 29.299999 29.9 4031800 24.003658
"2012-06-05" 29.75 30.27 29.690001 29.93 3766800 24.027742
"2012-06-06" 30.24 31.059999 30.200001 30.940001 3202800 24.838568
"2012-06-07" 31.120001 31.299999 30.6 30.82 6665600 24.742231
"2012-06-08" 30.67 31.389999 30.67 31.23 2718500 25.071381
"2012-06-11" 31.719999 31.73 30.610001 30.66 4759900 24.613781
"2012-06-12" 30.5 30.620001 29.67 30.540001 4376200 24.517452
"2012-06-13" 30.469999 31.190001 30.190001 30.34 3308900 24.35689
"2012-06-14" 30.24 30.49 29.91 30.200001 2340200 24.244499
"2012-06-15" 30.309999 30.73 30.16 30.690001 2971700 24.637865
"2012-06-18" 30.52 30.85 30.139999 30.549999 2263100 24.525476
"2012-06-19" 30.790001 31.01 30.16 30.860001 3204500 24.774343
"2012-06-20" 30.85 31.209999 30.559999 30.889999 2320600 24.798424
"2012-06-21" 30.5 30.76 29.299999 29.370001 4960300 23.578175
"2012-06-22" 29.379999 29.92 29.35 29.700001 5730800 23.843096
"2012-06-25" 29.26 29.73 28.610001 28.93 2944300 23.224941
"2012-06-26" 29.1 29.67 29 29.129999 3359200 23.385502
"2012-06-27" 29.26 29.870001 28.969999 29.799999 3003700 23.92338
"2012-06-28" 28.639999 29.209999 28.309999 28.799999 8112700 23.120579
"2012-06-29" 29.49 30.620001 29.24 30.48 7354900 24.469278
"2012-07-02" 30.59 30.59 29.58 29.84 3240600 23.955492
"2012-07-03" 29.9 31.030001 29.799999 30.98 2332900 24.870676
"2012-07-05" 30.9 31.059999 30.51 30.68 3667600 24.629837
"2012-07-06" 30.139999 31.110001 30.049999 31.02 5743800 24.902794
"2012-07-09" 30.860001 31.690001 30.75 31.530001 4961000 25.312223
"2012-07-10" 31.76 32.73 31.66 32.009998 6883000 25.697557
"2012-07-11" 31.959999 32.279999 31.299999 31.5 3827300 25.288136
"2012-07-12" 31.290001 31.620001 30.700001 31.35 2562100 25.167715
"2012-07-13" 31.5 31.73 31.200001 31.58 2596000 25.352358
"2012-07-16" 31.379999 31.84 31.209999 31.620001 1989900 25.384468
"2012-07-17" 31.889999 32.139999 31.5 31.969999 4140400 25.665447
"2012-07-18" 32.029999 33.849998 31.93 33.400002 6545700 26.813452
"2012-07-19" 33.700001 33.720001 32.5 32.709999 4549800 26.259518
"2012-07-20" 32.540001 32.880001 32.02 32.07 3713600 25.745728
"2012-07-23" 31.48 32.459999 31.16 32.279999 3604800 25.914314
"2012-07-24" 32.240002 32.259998 31.41 31.77 4369000 25.504889
"2012-07-25" 31.73 32.759998 31.42 32.470001 7050400 26.066853
"2012-07-26" 38.09 40.880001 38 39.27 20812300 31.525873
"2012-07-27" 39.23 40.07 38.700001 39.919998 7060100 32.047691
"2012-07-30" 40.110001 40.75 39.5 40.169998 5878900 32.248386
"2012-07-31" 39.360001 40.439999 39.080002 39.77 5407700 31.927267
"2012-08-01" 40.23 40.310001 39.16 39.419998 3602100 31.646299
"2012-08-02" 39.189999 40.470001 38.919998 39.900002 3823200 32.031639
"2012-08-03" 40.689999 41.18 40.25 41 3795400 32.914711
"2012-08-06" 41.09 41.490002 40.66 41.25 2635600 33.115414
"2012-08-07" 41.669998 42 41.459999 41.75 3553500 33.516808
"2012-08-08" 41.630001 42.490002 41.310001 41.860001 4293100 33.605118
"2012-08-09" 42.18 43.119999 42.02 43.029999 4000500 34.544388
"2012-08-10" 42.900002 44.16 42.599998 43.990002 4968400 35.315086
"2012-08-13" 43.990002 44.470001 43.689999 44.32 4155900 35.580002
"2012-08-14" 44.400002 44.75 43.799999 44 4129600 35.323109
"2012-08-15" 44.040001 44.310001 43.599998 44.169998 3497300 35.459576
"2012-08-16" 44.259998 45.470001 44.18 45.41 4045600 36.455051
"2012-08-17" 45.09 45.939999 45.07 45.48 3408200 36.511246
"2012-08-20" 45.439999 45.509998 44.77 45.32 2555300 36.382801
"2012-08-21" 45.389999 45.389999 44.200001 44.66 3182000 35.852943
"2012-08-22" 44.279999 44.73 43.66 44.5 3221400 35.724518
"2012-08-23" 44.25 44.25 42.849998 43.48 5281600 34.905655
"2012-08-24" 43.450001 43.740002 42.959999 43.630001 3325300 35.026073
"2012-08-27" 43.91 44.34 43.139999 43.790001 2136500 35.154518
"2012-08-28" 43.439999 43.759998 42.869999 43.5 2891900 34.921715
"2012-08-29" 43.490002 43.700001 42.91 43.5 1535700 34.921715
"2012-08-30" 43.23 43.240002 41.830002 42.099998 4383100 33.797798
"2012-08-31" 42.330002 42.98 41.360001 41.82 3663700 33.573006
"2012-09-04" 42.080002 42.68 41.709999 42.32 2504500 33.974407
"2012-09-05" 42.18 42.330002 41.5 41.84 3058700 33.589062
"2012-09-06" 41.25 43.200001 40.959999 43.110001 4773100 34.608616
"2012-09-07" 42.700001 42.75 41.759998 41.860001 3585600 33.605118
"2012-09-10" 41.639999 42.169998 41.139999 41.18 4794700 33.059219
"2012-09-11" 41.290001 42.560001 41.060001 42.25 6042200 33.918213
"2012-09-12" 42.049999 42.970001 41.290001 41.48 4590700 33.30006
"2012-09-13" 41.27 42.759998 40.330002 42.580002 5563900 34.183132
"2012-09-14" 43.450001 44.299999 40.560001 41.060001 10825100 32.962872
"2012-09-17" 41.200001 41.220001 39.310001 39.48 7117400 31.694462
"2012-09-18" 39.459999 39.900002 39.02 39.360001 5046900 31.598122
"2012-09-19" 39.599998 39.75 38.700001 39.07 4294000 31.365313
"2012-09-20" 38.900002 39.330002 38.549999 39.07 3047300 31.365313
"2012-09-21" 39.43 40.5 39.299999 40.16 6877900 32.240364
"2012-09-24" 39.700001 40.360001 39.349998 40.02 5644700 32.127968
"2012-09-25" 40.43 40.779999 39.459999 39.650002 4656500 31.830948
"2012-09-26" 39.299999 39.43 38.27 38.610001 3806700 31.192694
"2012-09-27" 38.740002 39.639999 38.669998 39.580002 2672100 31.976362
"2012-09-28" 39.369999 39.490002 38.540001 38.73 3982100 31.289644
"2012-10-01" 38.720001 39.349998 38.09 38.119999 2928200 30.796829
"2012-10-02" 38.5 38.709999 37.810001 38.169998 2913200 30.837227
"2012-10-03" 38.330002 38.470001 37.439999 37.599998 2901800 30.376732
"2012-10-04" 37.720001 38.310001 37.259998 37.990002 2998400 30.691811
"2012-10-05" 38.139999 38.310001 37.880001 37.990002 3452800 30.691811
"2012-10-08" 37.91 38.669998 37.709999 38.34 2567300 30.974564
"2012-10-09" 38.18 38.369999 37.049999 37.189999 2932600 30.045488
"2012-10-10" 37.130001 37.419998 36.290001 36.369999 2945800 29.383028
"2012-10-11" 36.59 37.419998 36.560001 36.59 1860100 29.560759
"2012-10-12" 35.59 36.169998 35.259998 36.02 4428700 29.100258
"2012-10-15" 36 36.110001 35.139999 35.75 2592200 28.882124
"2012-10-16" 35.939999 36.57 35.919998 36.349998 2558300 29.366867
"2012-10-17" 36.25 36.48 35.82 36.240002 2311500 29.278006
"2012-10-18" 36.119999 36.240002 35.490002 35.549999 2534700 28.720549
"2012-10-19" 35.400002 35.549999 34.75 34.880001 2958700 28.17926
"2012-10-22" 35.150002 35.529999 34.68 35.279999 3570600 28.502419
"2012-10-23" 32.5 35.150002 32.25 34.43 11557000 27.815718
"2012-10-24" 34.290001 34.450001 33.5 33.759998 4508300 27.274427
"2012-10-25" 34.049999 34.48 33.810001 34.400002 3318200 27.791483
"2012-10-26" 34.330002 34.73 33.93 34.119999 3688100 27.565268
"2012-10-31" 34.07 34.68 33.950001 34.23 3670000 27.654125
"2012-11-01" 34.299999 35.560001 34.299999 35.41 3090200 28.607449
"2012-11-02" 35.549999 35.73 35.130001 35.200001 3538000 28.437796
"2012-11-05" 34.950001 35.93 34.939999 35.560001 2649800 28.72863
"2012-11-06" 35.75 37.16 35.66 37.040001 4532100 29.924311
"2012-11-07" 36.77 36.779999 35.27 35.299999 3852000 28.518579
"2012-11-08" 35.310001 35.630001 34.799999 34.84 3160100 28.14695
"2012-11-09" 34.810001 35.630001 34.759998 35.110001 2363000 28.365084
"2012-11-12" 35.169998 35.369999 34.400002 34.740002 2093900 28.066164
"2012-11-13" 34.439999 35.119999 34.060001 34.68 2731300 28.017685
"2012-11-14" 34.810001 34.98 33.759998 33.849998 3114500 27.347136
"2012-11-15" 33.970001 34.349998 33.66 33.849998 2688700 27.347136
"2012-11-16" 33.900002 34.650002 33.610001 34.580002 2928600 27.936899
"2012-11-19" 34.91 35.34 34.75 35 2096700 28.276209
"2012-11-20" 34.889999 35.110001 33.73 34.09 3405700 27.541037
"2012-11-21" 34.23 34.48 34.02 34.380001 2519600 27.775322
"2012-11-23" 34.650002 35.290001 34.380001 35.09 1397000 28.348923
"2012-11-26" 35.049999 35.830002 34.77 35.810001 2800700 28.930603
"2012-11-27" 35.700001 35.889999 34.68 34.689999 3360300 28.025764
"2012-11-28" 34.450001 34.610001 33.529999 33.900002 4347400 27.387533
"2012-11-29" 34 34.189999 33.389999 33.919998 4269700 27.403692
"2012-11-30" 33.900002 34.240002 33.400002 33.43 4158900 27.007826
"2012-12-03" 33.59 34.139999 33.25 33.41 3445200 26.991667
"2012-12-04" 33.400002 33.77 33.200001 33.59 4080700 27.137083
"2012-12-05" 34.669998 36.849998 34.130001 36.029999 10307100 29.108343
"2012-12-06" 36.099998 37.240002 35.990002 37.099998 5170200 29.972782
"2012-12-07" 37.25 37.700001 36.860001 37.599998 4353700 30.376732
"2012-12-10" 37.68 39 37.540001 38.450001 4327500 31.06344
"2012-12-11" 38.799999 38.82 37.669998 38.16 4718300 30.829147
"2012-12-12" 37.549999 38.189999 37.299999 37.860001 4027400 30.788494
"2012-12-13" 37.73 38.330002 37.639999 37.830002 3008700 30.764097
"2012-12-14" 37.759998 37.919998 37.439999 37.779999 2977500 30.723431
"2012-12-17" 38.009998 38.330002 37.740002 38.040001 2830200 30.934872
"2012-12-18" 38.43 39.689999 38.200001 39.599998 5634900 32.203487
"2012-12-19" 40 41.439999 40 41.200001 8658300 33.504646
"2012-12-20" 40.849998 42.330002 40.75 42.16 7197000 34.285328
"2012-12-21" 41.639999 42.110001 41.049999 42.09 11471000 34.228409
"2012-12-24" 41.900002 41.990002 41.330002 41.810001 1453300 34.000721
"2012-12-26" 42.099998 42.75 42.029999 42.09 2370600 34.228409
"2012-12-27" 42.02 42.23 41.43 42.07 2897200 34.212147
"2012-12-28" 41.790001 41.98 41.459999 41.459999 1547100 33.716076
"2012-12-31" 41.43 42.639999 41.25 42.490002 2613800 34.553699
"2013-01-02" 43.529999 44.220001 42.869999 43.439999 4426300 35.326248
"2013-01-03" 43.209999 43.889999 42.880001 43.02 2978300 34.984699
"2013-01-04" 43.139999 43.25 42.509998 42.880001 2735500 34.870846
"2013-01-07" 42.619999 43.459999 42.5 42.900002 3268500 34.887112
"2013-01-08" 42.599998 43 41.619999 41.98 3800600 34.138954
"2013-01-09" 42.599998 43.959999 42.490002 43.799999 5765700 35.619015
"2013-01-10" 43.759998 44.25 43.66 44.16 4324500 35.911777
"2013-01-11" 44.189999 44.5 43.900002 43.98 2774500 35.765392
"2013-01-14" 43.98 44.93 43.529999 44.700001 4370600 36.350918
"2013-01-15" 44.16 44.93 43.799999 44.84 3326900 36.46476
"2013-01-16" 44.540001 45.639999 44.52 45.310001 3406800 36.846977
"2013-01-17" 45.310001 45.650002 45.060001 45.220001 2678000 36.773785
"2013-01-18" 45.290001 45.290001 44.25 44.810001 4277900 36.440369
"2013-01-22" 45.119999 47.580002 44.959999 47.360001 9540700 38.514084
"2013-01-23" 47.48 47.77 46.52 47.07 6161300 38.278236
"2013-01-24" 47.25 49.419998 46.41 47.790001 7070200 38.863754
"2013-01-25" 47.84 48.580002 47.720001 48.080002 3379100 39.099594
"2013-01-28" 47.950001 49.5 47.610001 48.639999 4522300 39.554996
"2013-01-29" 47.389999 47.459999 44.919998 46.110001 10305000 37.497555
"2013-01-30" 46.18 47.040001 46.110001 46.849998 3911500 38.099331
"2013-01-31" 46.299999 47.380001 46.049999 47 3866300 38.22131
"2013-02-01" 47.400002 47.889999 46.169998 46.77 3446200 38.034267
"2013-02-04" 46.619999 47.209999 46.330002 46.380001 2986700 37.717121
"2013-02-05" 46.369999 47 46.02 46.630001 3175900 37.920414
"2013-02-06" 46.549999 48 46.52 47.990002 3549700 39.026402
"2013-02-07" 47.700001 47.830002 46.470001 47.599998 3157600 38.709248
"2013-02-08" 47.759998 49.189999 47.630001 48.490002 2914100 39.433006
"2013-02-11" 48.580002 48.799999 48.16 48.599998 2358700 39.522465
"2013-02-12" 48.470001 48.700001 47.900002 48.18 1644400 39.180923
"2013-02-13" 48.360001 48.900002 48.25 48.630001 1590500 39.546867
"2013-02-14" 48.560001 49.220001 48.360001 48.810001 2032600 39.693249
"2013-02-15" 48.889999 49.23 48.040001 48.59 2287700 39.514336
"2013-02-19" 48.59 49.240002 48.41 48.57 2100800 39.498074
