"Index" "BLOpen" "BLHigh" "BLLow" "BLClose" "BLVolume" "BLAdjusted"
"2012-05-17" 175 176.759995 173.899994 173.970001 562800 136.396088
"2012-05-18" 173.259995 174.669998 171.360001 171.910004 772200 134.780991
"2012-05-21" 167.110001 172.619995 166.009995 167.729996 1838700 131.503799
"2012-05-22" 166.990005 167.649994 162.720001 163.369995 3999900 128.085449
"2012-05-23" 160.649994 168.059998 160.25 167.5 22888000 131.323471
"2012-05-24" 169.300003 170.899994 166.809998 170.440002 3906300 133.62851
"2012-05-25" 170.470001 172.25 169.610001 171.360001 1494500 134.349808
"2012-05-29" 173.130005 174.690002 171.020004 174.600006 1629300 136.89006
"2012-05-30" 172.990005 173 170.179993 170.770004 1355600 133.887222
"2012-05-31" 170.529999 171.929993 167.559998 170.800003 1346400 133.910751
"2012-06-01" 168.070007 169.330002 165.399994 166.570007 1686700 130.59433
"2012-06-04" 167.169998 168.350006 163.639999 165 1086400 129.363449
"2012-06-05" 162.710007 166.75 162.710007 166.279999 1329600 131.563034
"2012-06-06" 168.570007 170.710007 167.240005 170.559998 772300 134.949356
"2012-06-07" 171.979996 174 171.720001 172.119995 857400 136.18364
"2012-06-08" 170.789993 173.929993 169.960007 173.910004 597300 137.600006
"2012-06-11" 175.380005 175.399994 171.779999 171.949997 862500 136.049179
"2012-06-12" 174.130005 174.960007 170.330002 173.020004 837300 136.895767
"2012-06-13" 173.279999 173.339996 170.160004 171.919998 795300 136.025482
"2012-06-14" 171.919998 173.160004 171.110001 172.690002 910200 136.634659
"2012-06-15" 173.559998 177.660004 173.179993 176.729996 1763700 139.831238
"2012-06-18" 175.860001 175.860001 171.919998 173.449997 864300 137.235977
"2012-06-19" 174.779999 177.350006 173.690002 176.080002 646600 139.316879
"2012-06-20" 177.240005 177.240005 174.240005 175.660004 709100 138.984619
"2012-06-21" 175.660004 177.100006 170.830002 170.949997 945500 135.257965
"2012-06-22" 173.350006 174.910004 170.660004 172 3065000 136.08876
"2012-06-25" 169.110001 169.520004 165.710007 166.910004 1224000 132.061462
"2012-06-26" 167.160004 169 166.520004 168.190002 667700 133.074203
"2012-06-27" 169.259995 169.259995 165.970001 166.380005 1230500 131.642136
"2012-06-28" 165.169998 166.210007 163.240005 166.089996 1163600 131.412628
"2012-06-29" 169.869995 169.869995 166.979996 169.820007 1101200 134.363907
"2012-07-02" 169.809998 170.369995 168.460007 169.630005 853300 134.213547
"2012-07-03" 169.029999 173.860001 169.029999 173.839996 517600 137.544586
"2012-07-05" 172.960007 174.529999 170.639999 171.75 666200 135.890915
"2012-07-06" 170.160004 171.449997 169.320007 171.279999 671500 135.519089
"2012-07-09" 171.509995 172.449997 169.449997 171.860001 775300 135.977951
"2012-07-10" 173.059998 175.210007 171.960007 173.509995 1109000 137.283478
"2012-07-11" 173.970001 175.380005 172.75 175.130005 826100 138.565247
"2012-07-12" 173.509995 173.509995 171.240005 172.470001 754100 136.460617
"2012-07-13" 172.789993 176.399994 172.490005 175.779999 541900 139.079498
"2012-07-16" 175.509995 176.470001 174.029999 175.289993 472200 138.691833
"2012-07-17" 175.770004 176.440002 172.320007 176.149994 575900 139.372299
"2012-07-18" 172.889999 176 171.740005 175.050003 896900 138.501968
"2012-07-19" 175.070007 176.949997 174.550003 176.119995 665700 139.348557
"2012-07-20" 175.270004 176.320007 173.110001 173.309998 735300 137.125198
"2012-07-23" 170.309998 170.309998 165.660004 166.850006 1184100 132.014023
"2012-07-24" 166.479996 168 163.850006 164.419998 1179100 130.09137
"2012-07-25" 165.509995 166.270004 163.949997 164.059998 961800 129.806549
"2012-07-26" 166.639999 167.240005 164.419998 165 1041400 130.550278
