"Index" "Close"
"2012-01-31" 34.450001
"2012-02-01" 35.130001
"2012-02-02" 35.169998
"2012-02-03" 36.130001
"2012-02-06" 36.150002
"2012-02-07" 36.169998
"2012-02-08" 36.220001
"2012-02-09" 36.049999
"2012-02-10" 35.720001
"2012-02-13" 35.939999
"2012-02-14" 35.130001
"2012-02-15" 34.73
"2012-02-16" 34.82
"2012-02-17" 34.93
"2012-02-21" 34.32
"2012-02-22" 34.439999
"2012-02-23" 34.299999
"2012-02-24" 34.73
"2012-02-27" 34.900002
"2012-02-28" 35.41
"2012-02-29" 35.279999
"2012-03-01" 35.75
"2012-03-02" 35.75
"2012-03-05" 36.07
"2012-03-06" 35.779999
"2012-03-07" 35.900002
"2012-03-08" 36.740002
"2012-03-09" 37.540001
"2012-03-12" 37.48
"2012-03-13" 38.360001
"2012-03-14" 38.389999
"2012-03-15" 38.380001
"2012-03-16" 38.139999
"2012-03-19" 38.080002
"2012-03-20" 37.639999
"2012-03-21" 37.880001
"2012-03-22" 37.709999
"2012-03-23" 37.720001
"2012-03-26" 38.619999
"2012-03-27" 38.549999
"2012-03-28" 38.049999
"2012-03-29" 37.639999
"2012-03-30" 37.849998
"2012-04-02" 38.040001
"2012-04-03" 38.32
"2012-04-04" 37.66
"2012-04-05" 37.779999
"2012-04-09" 37.490002
"2012-04-10" 36.470001
"2012-04-11" 37.34
"2012-04-12" 37.57
"2012-04-13" 37.310001
"2012-04-16" 37.310001
"2012-04-17" 37.91
"2012-04-18" 37.830002
"2012-04-19" 39.450001
"2012-04-20" 38.900002
"2012-04-23" 38.509998
"2012-04-24" 38.400002
"2012-04-25" 39.02
"2012-04-26" 39.77
"2012-04-27" 39.529999
"2012-04-30" 39.09
"2012-05-01" 39.650002
"2012-05-02" 39.990002
"2012-05-03" 40.09
"2012-05-04" 39.279999
"2012-05-07" 39.290001
"2012-05-08" 38.82
"2012-05-09" 39.18
"2012-05-10" 39.240002
"2012-05-11" 39.34
"2012-05-14" 38.689999
"2012-05-15" 39.040001
"2012-05-16" 38.57
"2012-05-17" 37.02
"2012-05-18" 36.830002
"2012-05-21" 38.009998
"2012-05-22" 37.880001
"2012-05-23" 38.110001
"2012-05-24" 38.389999
"2012-05-25" 38.639999
"2012-05-29" 39.139999
"2012-05-30" 38.290001
"2012-05-31" 38.709999
"2012-06-01" 36.490002
"2012-06-04" 36.330002
"2012-06-05" 36.709999
"2012-06-06" 37.549999
"2012-06-07" 37.540001
"2012-06-08" 37.799999
"2012-06-11" 36.860001
"2012-06-12" 37.5
"2012-06-13" 36.970001
"2012-06-14" 37.650002
"2012-06-15" 37.98
"2012-06-18" 38.380001
"2012-06-19" 39.619999
"2012-06-20" 39.810001
"2012-06-21" 38.639999
"2012-06-22" 38.799999
"2012-06-25" 37.779999
