"Index" "DGOpen" "DGHigh" "DGLow" "DGClose" "DGVolume" "DGAdjusted"
"2012-05-18" 56.810001 56.98 56.209999 56.380001 1086300 46.613956
"2012-05-21" 56.369999 57.380001 56.279999 57.330002 740100 47.399406
"2012-05-22" 57.400002 57.77 57.220001 57.450001 1140300 47.498619
"2012-05-23" 57.209999 57.439999 56.77 57.110001 1146800 47.217503
"2012-05-24" 57.16 57.700001 56.880001 57.41 883200 47.465538
"2012-05-25" 57.470001 58.029999 57.419998 58 533400 47.953335
"2012-05-29" 58.389999 58.810001 58.110001 58.740002 855100 48.565159
"2012-05-30" 58.23 58.27 57.330002 57.790001 943100 47.779724
"2012-05-31" 57.650002 57.720001 56.689999 56.900002 4056200 47.043892
"2012-06-01" 56.32 56.32 54.950001 55.099998 1226900 45.555668
"2012-06-04" 54.959999 55.34 54.66 55.200001 898800 45.638359
"2012-06-05" 54.93 55.09 54.419998 54.669998 1932600 45.200161
"2012-06-06" 54.310001 54.639999 53.25 54.639999 2339100 45.175354
"2012-06-07" 55.060001 55.310001 54.540001 54.619999 1025300 45.158813
"2012-06-08" 54.580002 55.509998 54.549999 55.43 1608600 45.828522
"2012-06-11" 55.700001 55.779999 55.119999 55.150002 772300 45.597012
"2012-06-12" 55.310001 55.549999 54.880001 55.400002 911200 45.803715
"2012-06-13" 55.34 56.139999 55.200001 55.66 930400 46.018673
"2012-06-14" 55.830002 56.529999 55.66 56.16 1204900 46.432064
"2012-06-15" 56.189999 56.950001 55.950001 56.84 1267500 46.994282
"2012-06-18" 56.720001 57.220001 56.5 57.150002 622400 47.25058
"2012-06-19" 57.23 58.040001 57.23 57.990002 846900 47.94508
"2012-06-20" 58.099998 58.23 57.41 57.830002 677700 47.812794
"2012-06-21" 57.82 58.119999 56.720001 56.759998 738700 46.928131
"2012-06-22" 57.18 57.869999 57.040001 57.59 2395500 47.614353
"2012-06-25" 57.060001 57.509998 56.77 56.900002 618900 47.043892
"2012-06-26" 57 57.209999 56.689999 57.07 872500 47.184429
"2012-06-27" 56.759998 57.98 56.759998 57.650002 462100 47.663979
"2012-06-28" 57.459999 59.48 57.119999 59.25 2797000 48.986813
"2012-06-29" 59.810001 60.189999 59.349998 59.900002 1606000 49.666729
"2012-07-02" 60.099998 60.549999 59.880001 60.400002 1220000 50.081322
"2012-07-03" 60.299999 60.549999 59.799999 59.919998 552300 49.683323
"2012-07-05" 59.790001 60.299999 59.619999 60.110001 739700 49.840866
"2012-07-06" 59.810001 59.98 59.48 59.619999 628500 49.43457
"2012-07-09" 59.619999 60.349998 59.599998 60.279999 700300 49.981804
"2012-07-10" 60.540001 60.75 60.299999 60.650002 691000 50.288605
"2012-07-11" 60.599998 60.849998 60.43 60.779999 727300 50.396397
"2012-07-12" 60.849998 63.98 60.790001 63.09 4385500 52.311752
"2012-07-13" 63.009998 63.07 62.560001 63 1628500 52.237133
"2012-07-16" 63 63.639999 62.880001 63.459999 1143400 52.618542
"2012-07-17" 63.490002 63.68 62.599998 63.02 1113000 52.253719
"2012-07-18" 62.669998 63.209999 62.630001 63.060001 1210900 52.286888
"2012-07-19" 60.360001 61.389999 59.59 61.040001 2457500 50.611977
"2012-07-20" 60.75 60.84 58.540001 58.759998 1464900 48.721489
"2012-07-23" 58.200001 58.650002 57.119999 57.5 1570200 47.67675
"2012-07-24" 57.509998 57.970001 56.84 57.259998 1129100 47.477745
"2012-07-25" 57.360001 57.810001 57.099998 57.66 909800 47.809418
"2012-07-26" 58.299999 58.34 57.830002 58.25 748200 48.298626
"2012-07-27" 58.349998 58.889999 57.950001 58.779999 749800 48.738071
"2012-07-30" 58.66 58.970001 58.310001 58.790001 663700 48.746365
