"Index" "AIOpen" "AIHigh" "AILow" "AIClose" "AIVolume" "AIAdjusted"
"2012-03-07" 3.300865 3.302198 3.248872 3.272869 9895405 1.838873
"2012-03-08" 3.287533 3.294199 3.234207 3.242206 14468054 1.821645
"2012-03-09" 3.244873 3.328861 3.244873 3.310197 9044034 1.859845
"2012-03-12" 3.322195 3.386186 3.306197 3.375521 11672407 1.896548
"2012-03-13" 3.462175 3.490171 3.411516 3.471507 15606716 1.950478
"2012-03-14" 3.475506 3.492837 3.436845 3.456842 9322324 1.942239
"2012-03-15" 3.455509 3.467508 3.432846 3.439512 12011455 1.932501
"2012-03-16" 3.440845 3.467508 3.435512 3.462175 13096859 1.945235
"2012-03-19" 3.459509 3.514168 3.442178 3.484838 6328649 1.957968
"2012-03-20" 3.458176 3.499503 3.456842 3.470174 7297036 1.949729
"2012-03-21" 3.47284 3.486172 3.44751 3.45151 5243995 1.939243
"2012-03-22" 3.420848 3.431513 3.348858 3.37952 7137263 1.898795
"2012-03-23" 3.380853 3.434179 3.375521 3.411516 7102758 1.916772
"2012-03-26" 3.450177 3.458176 3.407516 3.440845 5159233 1.933251
"2012-03-27" 3.448844 3.49817 3.436845 3.458176 8365188 1.942988
"2012-03-28" 3.458176 3.458176 3.396851 3.424847 8362937 1.924262
"2012-03-29" 3.402184 3.454176 3.378187 3.439512 8515209 1.932501
"2012-03-30" 3.464841 3.524833 3.454176 3.520833 9662872 1.978192
"2012-04-02" 3.506169 3.575492 3.492837 3.575492 10197698 2.008903
"2012-04-03" 3.563494 3.580825 3.534165 3.554162 8280426 1.996918
"2012-04-04" 3.516834 3.568827 3.508835 3.560828 9476095 2.000663
"2012-04-05" 3.548829 3.56616 3.506169 3.511501 6319647 1.972949
"2012-04-09" 3.466174 3.486172 3.448844 3.459509 7146265 1.943737
"2012-04-10" 3.45151 3.467508 3.355524 3.371521 10544997 1.8943
"2012-04-11" 3.411516 3.415515 3.37952 3.412849 5114976 1.917521
"2012-04-12" 3.414182 3.491504 3.391518 3.487505 8642727 1.959467
"2012-04-13" 3.466174 3.480839 3.436845 3.454176 7579076 1.940741
"2012-04-16" 3.482172 3.532832 3.471507 3.507502 7494314 1.970702
"2012-04-17" 3.535498 3.538164 3.49817 3.506169 8292427 1.969954
"2012-04-18" 3.491504 3.507502 3.47284 3.47284 9781389 1.951228
"2012-04-19" 3.479506 3.506169 3.448844 3.455509 20386394 1.941489
"2012-04-20" 3.468841 3.508835 3.468841 3.492837 24496978 1.962463
"2012-04-23" 3.463508 3.486172 3.448844 3.484838 13945230 1.957968
"2012-04-24" 3.536831 3.592823 3.507502 3.584824 14328534 2.014145
"2012-04-25" 3.618153 3.624819 3.583491 3.619486 9162551 2.033621
"2012-04-26" 3.614153 3.635484 3.559495 3.623485 12155476 2.035868
"2012-04-27" 3.627485 3.634151 3.590157 3.622152 8791998 2.035118
"2012-04-30" 3.608821 3.624819 3.583491 3.619486 7560323 2.033621
"2012-05-01" 3.626152 3.679478 3.61282 3.651481 11255348 2.051597
"2012-05-02" 3.624819 3.628818 3.598156 3.611487 8527961 2.029127
"2012-05-03" 3.61682 3.635484 3.600822 3.614153 12903332 2.030624
"2012-05-04" 3.602155 3.654148 3.563494 3.620819 21770341 2.034369
"2012-05-07" 3.608821 3.678144 3.608821 3.667479 6221383 2.060586
"2012-05-08" 3.650148 3.672812 3.634151 3.646149 9786640 2.048601
"2012-05-09" 3.590157 3.724804 3.586157 3.696808 14537814 2.077065
"2012-05-10" 3.724804 3.730137 3.679478 3.702141 7640585 2.08006
"2012-05-11" 3.623485 3.675478 3.599489 3.662147 48466631 2.05759
"2012-05-14" 3.626152 3.686143 3.626152 3.628818 14907617 2.038863
"2012-05-15" 3.639483 3.656814 3.598156 3.61682 11023565 2.032123
"2012-05-16" 3.626152 3.626152 3.556828 3.559495 11866685 2.013272
"2012-05-17" 3.548829 3.562161 3.442178 3.444844 12912333 1.948425
"2012-05-18" 3.444844 3.488838 3.418181 3.432846 10147441 1.941639
"2012-05-21" 3.448844 3.49817 3.427513 3.486172 9983167 1.9718
"2012-05-22" 3.490171 3.539497 3.478173 3.499503 10788782 1.97934
"2012-05-23" 3.479506 3.552829 3.44751 3.540831 12001704 2.002716
"2012-05-24" 3.554162 3.571493 3.512835 3.56616 7557323 2.017042
"2012-05-25" 3.572826 3.592823 3.546163 3.560828 9514351 2.014026
"2012-05-29" 3.582158 3.668812 3.575492 3.646149 22125891 2.062284
"2012-05-30" 3.610154 3.614153 3.572826 3.572826 13501167 2.020812
"2012-05-31" 3.580825 3.635484 3.534165 3.608821 23738620 2.041171
"2012-06-01" 3.531499 3.563494 3.487505 3.496837 15834748 1.977833
"2012-06-04" 3.502169 3.506169 3.440845 3.464841 14358539 1.959736
"2012-06-05" 3.44751 3.552829 3.442178 3.539497 8276675 2.001961
"2012-06-06" 3.579492 3.618153 3.552829 3.61682 12079715 2.045696
"2012-06-07" 3.654148 3.662147 3.584824 3.59149 14354038 2.031369
"2012-06-08" 3.576825 3.628818 3.564827 3.622152 16329819 2.048712
"2012-06-11" 3.655481 3.664813 3.554162 3.559495 10995811 2.013272
"2012-06-12" 3.571493 3.614153 3.527499 3.61282 11622150 2.043433
"2012-06-13" 3.599489 3.622152 3.543497 3.560828 10005671 2.014026
"2012-06-14" 3.574159 3.656814 3.56616 3.642149 7245279 2.060022
"2012-06-15" 3.655481 3.664813 3.618153 3.651481 11604148 2.0653
"2012-06-18" 3.648815 3.718139 3.624819 3.690143 7681841 2.087168
"2012-06-19" 3.707474 3.724804 3.674145 3.699475 7355544 2.092446
"2012-06-20" 3.70614 3.728804 3.671479 3.702141 7991635 2.093954
"2012-06-21" 3.632817 3.635484 3.543497 3.552829 96570211 2.009502
"2012-06-22" 3.59149 3.599489 3.487505 3.543497 29954003 2.004224
"2012-06-25" 3.503503 3.550163 3.488838 3.530165 14610574 1.996683
"2012-06-26" 3.542164 3.559495 3.499503 3.532832 12166727 1.998191
"2012-06-27" 3.54483 3.554162 3.506169 3.528832 10272709 1.995929
"2012-06-28" 3.511501 3.559495 3.475506 3.556828 12133723 2.011763
"2012-06-29" 3.61282 3.620819 3.583491 3.603488 19051955 2.038155
"2012-07-02" 3.622152 3.648815 3.582158 3.646149 20625678 2.062284
"2012-07-03" 3.654148 3.672812 3.631484 3.672812 10694268 2.077365
"2012-07-05" 3.66348 3.68881 3.634151 3.648815 10639511 2.063792
"2012-07-06" 3.610154 3.660813 3.604821 3.648815 11685909 2.063792
"2012-07-09" 3.660813 3.682144 3.63815 3.682144 10602005 2.082643
"2012-07-10" 3.696808 3.700808 3.603488 3.61682 11083574 2.045696
"2012-07-11" 3.61282 3.644816 3.588824 3.624819 14486057 2.05022
"2012-07-12" 3.61282 3.691476 3.592823 3.670146 14715589 2.075857
"2012-07-13" 3.674145 3.740802 3.672812 3.736803 9531603 2.113559
"2012-07-16" 3.723471 3.750134 3.696808 3.739469 9411586 2.115067
"2012-07-17" 3.7528 3.772798 3.698142 3.768798 10969557 2.131656
"2012-07-18" 3.751467 3.7568 3.719472 3.728804 11615399 2.109035
"2012-07-19" 3.747468 3.747468 3.631484 3.682144 15255666 2.082643
"2012-07-20" 3.65948 3.690143 3.634151 3.652815 14223519 2.066055
"2012-07-23" 3.618153 3.646149 3.599489 3.631484 9425838 2.05399
"2012-07-24" 3.634151 3.635484 3.568827 3.595489 11418121 2.033631
"2012-07-25" 3.611487 3.624819 3.559495 3.604821 6284392 2.038908
"2012-07-26" 3.658147 3.658147 3.571493 3.592823 8743241 2.032123
"2012-07-27" 3.611487 3.662147 3.611487 3.626152 9664372 2.050974
"2012-07-30" 3.627485 3.694142 3.622152 3.68481 7525819 2.084151
"2012-07-31" 3.678144 3.702141 3.646149 3.656814 11937945 2.068317
"2012-08-01" 3.670146 3.702141 3.608821 3.610154 12281494 2.041925
"2012-08-02" 3.600822 3.627485 3.556828 3.583491 15425190 2.026844
"2012-08-03" 3.610154 3.630151 3.547496 3.559495 10048427 2.013272
"2012-08-06" 3.574159 3.590157 3.520833 3.568827 11707662 2.01855
"2012-08-07" 3.572826 3.582158 3.506169 3.530165 7970632 1.996683
"2012-08-08" 3.5195 3.522167 3.471507 3.487505 7632334 1.972554
"2012-08-09" 3.478173 3.503503 3.458176 3.480839 7387049 1.968784
"2012-08-10" 3.467508 3.49417 3.458176 3.471507 8711737 1.963506
"2012-08-13" 3.474173 3.479506 3.444844 3.466174 4718170 1.960489
"2012-08-14" 3.47284 3.479506 3.462175 3.470174 10622258 1.962752
"2012-08-15" 3.444844 3.464841 3.402184 3.452843 6150123 1.96807
"2012-08-16" 3.45151 3.49417 3.419514 3.49417 18642397 1.991626
"2012-08-17" 3.492837 3.522167 3.486172 3.516834 10446733 2.004544
"2012-08-20" 3.502169 3.515501 3.483505 3.503503 7270032 1.996947
"2012-08-21" 3.504836 3.522167 3.488838 3.512835 6148623 2.002266
"2012-08-22" 3.500836 3.556828 3.483505 3.552829 10364222 2.025061
"2012-08-23" 3.539497 3.57016 3.524833 3.559495 9751385 2.028861
"2012-08-24" 3.554162 3.59149 3.531499 3.580825 5811825 2.041018
"2012-08-27" 3.586157 3.600822 3.550163 3.580825 6450166 2.041018
"2012-08-28" 3.567493 3.606155 3.555495 3.580825 6075113 2.041018
"2012-08-29" 3.583491 3.586157 3.554162 3.556828 4666413 2.027341
"2012-08-30" 3.532832 3.552829 3.531499 3.540831 3844296 2.018223
"2012-08-31" 3.560828 3.560828 3.503503 3.530165 9055286 2.012143
"2012-09-04" 3.524833 3.560828 3.511501 3.558161 6743457 2.028101
"2012-09-05" 3.628818 3.719472 3.546163 3.563494 8007387 2.031141
"2012-09-06" 3.584824 3.595489 3.567493 3.592823 11619900 2.047857
"2012-09-07" 3.599489 3.631484 3.592823 3.627485 8128154 2.067614
"2012-09-10" 3.61282 3.61682 3.554162 3.554162 9882653 2.025821
"2012-09-11" 3.547496 3.574159 3.536831 3.542164 7977383 2.018982
"2012-09-12" 3.547496 3.564827 3.526166 3.546163 10007921 2.021262
"2012-09-13" 3.554162 3.588824 3.543497 3.574159 12031708 2.037219
"2012-09-14" 3.588824 3.674145 3.586157 3.655481 8565466 2.083572
"2012-09-17" 3.660813 3.686143 3.654148 3.658147 6342150 2.085091
"2012-09-18" 3.644816 3.667479 3.596823 3.623485 7219775 2.065334
"2012-09-19" 3.619486 3.643483 3.603488 3.620819 11519386 2.063814
"2012-09-20" 3.598156 3.600822 3.490171 3.502169 16135541 1.996186
"2012-09-21" 3.5195 3.552829 3.482172 3.552829 30361311 2.025061
"2012-09-24" 3.528832 3.551496 3.500836 3.512835 11549390 2.002266
"2012-09-25" 3.524833 3.530165 3.450177 3.452843 12431515 1.96807
"2012-09-26" 3.456842 3.492837 3.45151 3.459509 7479312 1.971871
"2012-09-27" 3.474173 3.520833 3.456842 3.47684 9808393 1.981749
"2012-09-28" 3.467508 3.492837 3.448844 3.464841 11433123 1.974909
"2012-10-01" 3.480839 3.480839 3.374188 3.396851 10289961 1.936156
"2012-10-02" 3.399517 3.410182 3.375521 3.408849 11282352 1.942995
"2012-10-03" 3.419514 3.436845 3.376854 3.391518 14118505 1.933116
"2012-10-04" 3.411516 3.420848 3.355524 3.370188 8551964 1.920959
"2012-10-05" 3.386186 3.410182 3.370188 3.396851 8011888 1.936156
"2012-10-08" 3.388852 3.388852 3.348858 3.37952 10550998 1.926278
"2012-10-09" 3.394185 3.399517 3.375521 3.390185 16691370 1.932356
"2012-10-10" 3.380853 3.446177 3.37952 3.440845 19921328 1.961232
"2012-10-11" 3.459509 3.459509 3.388852 3.390185 19779558 1.932356
"2012-10-12" 3.38352 3.408849 3.374188 3.392852 8956272 1.933877
"2012-10-15" 3.40485 3.432846 3.363522 3.428846 8826503 1.954393
"2012-10-16" 3.435512 3.463508 3.428846 3.460842 8778496 1.97263
"2012-10-17" 3.458176 3.463508 3.43018 3.459509 9629867 1.971871
"2012-10-18" 3.450177 3.539497 3.444844 3.536831 9086040 2.015943
"2012-10-19" 3.534165 3.599489 3.522167 3.580825 22278913 2.041018
"2012-10-22" 3.579492 3.583491 3.536831 3.556828 14771847 2.027341
"2012-10-23" 3.520833 3.552829 3.508835 3.532832 11420371 2.013663
"2012-10-24" 3.539497 3.560828 3.515501 3.554162 14439550 2.025821
"2012-10-25" 3.574159 3.580825 3.518167 3.546163 13887472 2.021262
"2012-10-26" 3.543497 3.543497 3.491504 3.514168 5766069 2.003025
"2012-10-31" 3.532832 3.56616 3.510168 3.558161 9875902 2.028101
"2012-11-01" 3.560828 3.599489 3.535498 3.59149 11481130 2.047097
"2012-11-02" 3.603488 3.61682 3.474173 3.487505 31816517 1.987828
"2012-11-05" 3.468841 3.492837 3.431513 3.458176 12628043 1.971111
"2012-11-06" 3.479506 3.506169 3.45151 3.503503 14660832 1.996947
"2012-11-07" 3.480839 3.504836 3.464841 3.482172 8671231 1.984788
"2012-11-08" 3.47284 3.479506 3.42618 3.42618 9557107 1.952873
"2012-11-09" 3.415515 3.434179 3.38352 3.38352 8443199 1.928558
"2012-11-12" 3.391518 3.391518 3.35419 3.378187 6058610 1.925518
"2012-11-13" 3.356857 3.382186 3.334193 3.366189 6557431 1.918679
"2012-11-14" 3.367522 3.367522 3.232874 3.247539 6540929 1.865829
"2012-11-15" 3.246206 3.26487 3.206211 3.23954 9296070 1.861234
"2012-11-16" 3.247539 3.267536 3.208878 3.267536 6810217 1.877318
"2012-11-19" 3.302198 3.318195 3.26087 3.283534 6771211 1.88651
"2012-11-20" 3.284867 3.306197 3.259537 3.299531 6565682 1.895701
"2012-11-21" 3.299531 3.306197 3.258204 3.266203 8438698 1.876552
"2012-11-23" 3.282201 3.298198 3.26487 3.291533 2753641 1.891105
"2012-11-26" 3.275535 3.323528 3.275535 3.31153 10213450 1.902594
"2012-11-27" 3.298198 3.396851 3.271535 3.35819 14771097 1.929402
"2012-11-28" 3.348858 3.362189 3.310197 3.340859 12309248 1.919445
"2012-11-29" 3.391518 3.411516 3.338193 3.367522 26279231 1.934764
"2012-11-30" 3.376854 3.391518 3.335526 3.342192 10977809 1.920211
"2012-12-03" 3.351524 3.368855 3.330194 3.336859 8100400 1.917147
"2012-12-04" 3.340859 3.387519 3.33286 3.367522 9668873 1.934764
"2012-12-05" 3.370188 3.375521 3.336859 3.344858 8809251 1.921742
"2012-12-06" 3.368855 3.396851 3.355524 3.395518 9514351 1.950849
"2012-12-07" 3.40485 3.415515 3.394185 3.396851 6525176 1.951614
"2012-12-10" 3.396851 3.418181 3.384853 3.398184 6492172 1.952381
"2012-12-11" 3.414182 3.431513 3.394185 3.407516 7888120 1.957743
"2012-12-12" 3.416848 3.443511 3.395518 3.419514 7264031 1.964635
"2012-12-13" 3.422181 3.43018 3.395518 3.399517 6520676 1.953146
"2012-12-14" 3.390185 3.422181 3.390185 3.407516 3943310 1.957743
"2012-12-17" 3.422181 3.45151 3.415515 3.438178 9113044 1.975358
"2012-12-18" 3.439512 3.478173 3.439512 3.47684 6914482 1.997571
"2012-12-19" 3.480839 3.492837 3.464841 3.486172 7789856 2.002933
"2012-12-20" 3.487505 3.559495 3.474173 3.558161 12135973 2.044293
"2012-12-21" 3.540831 3.590157 3.532832 3.563494 14827355 2.047357
"2012-12-24" 3.560828 3.592823 3.543497 3.586157 3628265 2.060378
"2012-12-26" 3.590157 3.611487 3.558161 3.563494 7489813 2.047357
"2012-12-27" 3.56616 3.604821 3.556828 3.598156 9188055 2.067271
"2012-12-28" 3.584824 3.608821 3.567493 3.567493 5118727 2.049655
"2012-12-31" 3.564827 3.607488 3.550163 3.607488 8300679 2.072633
"2013-01-02" 3.66348 3.683477 3.619486 3.648815 11806676 2.096377
"2013-01-03" 3.647482 3.68881 3.639483 3.660813 8245921 2.10327
"2013-01-04" 3.670146 3.672812 3.642149 3.65948 9051535 2.102504
"2013-01-07" 3.646149 3.680811 3.646149 3.670146 5088722 2.108632
"2013-01-08" 3.662147 3.691476 3.648815 3.656814 4781929 2.100973
"2013-01-09" 3.670146 3.696808 3.656814 3.671479 6616689 2.109398
"2013-01-10" 3.675478 3.692809 3.636817 3.65948 8083898 2.102504
"2013-01-11" 3.666146 3.671479 3.619486 3.632817 9186554 2.087185
"2013-01-14" 3.627485 3.671479 3.61682 3.652815 7807859 2.098676
"2013-01-15" 3.648815 3.678144 3.636817 3.674145 6880727 2.11093
"2013-01-16" 3.671479 3.707474 3.662147 3.703474 7086256 2.127781
"2013-01-17" 3.70614 3.722138 3.68881 3.692809 10926051 2.121653
"2013-01-18" 3.703474 3.703474 3.667479 3.678144 7163517 2.113228
"2013-01-22" 3.666146 3.679478 3.664813 3.672812 9387583 2.110164
"2013-01-23" 3.678144 3.728804 3.667479 3.723471 9925409 2.139269
"2013-01-24" 3.730137 3.739469 3.70614 3.711473 8758243 2.132376
"2013-01-25" 3.722138 3.739469 3.70614 3.73147 5227492 2.143866
"2013-01-28" 3.727471 3.738136 3.68481 3.711473 5790072 2.132376
"2013-01-29" 3.718139 3.759466 3.714139 3.736803 6937735 2.146929
"2013-01-30" 3.727471 3.727471 3.675478 3.679478 6621190 2.113995
"2013-01-31" 3.667479 3.675478 3.626152 3.636817 13479414 2.089483
"2013-02-01" 3.647482 3.716806 3.644816 3.651481 20173364 2.097908
"2013-02-04" 3.639483 3.68881 3.624819 3.679478 13328642 2.113995
"2013-02-05" 3.690143 3.690143 3.618153 3.619486 25230582 2.079526
"2013-02-06" 3.604821 3.720805 3.604821 3.672812 12735308 2.110164
"2013-02-07" 3.676811 3.68881 3.634151 3.675478 13380400 2.111696
"2013-02-08" 3.652815 3.822124 3.635484 3.808792 13516169 2.188289
"2013-02-11" 3.808792 3.867451 3.808792 3.855453 19169722 2.215098
"2013-02-12" 3.848787 3.887448 3.836789 3.887448 11693410 2.23348
"2013-02-13" 3.870117 3.880782 3.827457 3.852786 5794573 2.231935
"2013-02-14" 3.842121 3.870117 3.834122 3.862118 7429805 2.237341
"2013-02-15" 3.868784 3.882115 3.848787 3.882115 6636192 2.248925
"2013-02-19" 3.894114 3.948773 3.883449 3.94344 10839789 2.284452
"2013-02-20" 3.935441 4.007431 3.935441 3.959438 12815570 2.29372
"2013-02-21" 3.944773 3.975435 3.911445 3.94344 10822537 2.284452
"2013-02-22" 3.950106 3.978102 3.946106 3.976769 7467310 2.303759
"2013-02-25" 3.9941 4.01543 3.923443 3.926109 10274959 2.274412
"2013-02-26" 3.938107 3.982101 3.911445 3.932775 8874510 2.278273
"2013-02-27" 3.923443 3.950106 3.915444 3.935441 10711521 2.279817
"2013-02-28" 3.939441 3.971436 3.936774 3.948773 15155152 2.287541
"2013-03-01" 3.935441 3.975435 3.910111 3.967437 9400335 2.298353
"2013-03-04" 3.959438 4.01143 3.951439 3.992766 6831970 2.313026
"2013-03-05" 4.000765 4.056757 3.986101 4.047425 6886728 2.34469
"2013-03-06" 4.060757 4.075421 4.026095 4.060757 4616155 2.352414
"2013-03-07" 4.059424 4.08342 4.016763 4.028761 9366580 2.333879
"2013-03-08" 4.039426 4.056757 4.002098 4.054091 8900764 2.348553
"2013-03-11" 4.052758 4.056757 4.01143 4.028761 7294036 2.333879
"2013-03-12" 4.018096 4.026095 3.992766 4.008764 8863258 2.322294
"2013-03-13" 4.019429 4.026095 3.984767 4.008764 10464736 2.322294
"2013-03-14" 4.004765 4.112749 4.004765 4.112749 8017138 2.382533
"2013-03-15" 4.096752 4.107417 4.064756 4.098085 9653871 2.374038
"2013-03-18" 4.070089 4.084753 4.043426 4.055424 11107577 2.349324
"2013-03-19" 4.052758 4.078088 4.000765 4.03676 7556573 2.338512
"2013-03-20" 4.052758 4.070089 4.031428 4.048758 5768319 2.345463
"2013-03-21" 4.028761 4.079421 4.012764 4.014097 5512533 2.325383
"2013-03-22" 4.016763 4.051425 3.975435 3.992766 7794357 2.313026
"2013-03-25" 3.996766 4.030094 3.992766 4.008764 8118403 2.322294
"2013-03-26" 4.024762 4.079421 4.012764 4.072755 6685699 2.359364
"2013-03-27" 4.048758 4.08342 4.039426 4.06209 7717846 2.353186
"2013-03-28" 4.070089 4.095418 4.047425 4.08742 8628475 2.36786
"2013-04-01" 4.076754 4.114082 4.044759 4.110083 6327898 2.380989
"2013-04-02" 4.119415 4.140745 4.082087 4.094085 9098792 2.371721
"2013-04-03" 4.102084 4.128747 4.088753 4.116749 9671123 2.38485
"2013-04-04" 4.120748 4.194071 4.10475 4.190072 7063003 2.427326
"2013-04-05" 4.143412 4.242064 4.132746 4.212735 8845256 2.440455
"2013-04-08" 4.207403 4.228733 4.182073 4.228733 9163301 2.449723
"2013-04-09" 4.226067 4.244731 4.182073 4.220734 8762744 2.445089
"2013-04-10" 4.224733 4.234065 4.195404 4.204736 7798107 2.435821
"2013-04-11" 4.206069 4.254063 4.206069 4.224733 6323398 2.447406
"2013-04-12" 4.216735 4.230066 4.192738 4.218068 6915232 2.443545
"2013-04-15" 4.212735 4.250063 4.17674 4.178073 12009205 2.420375
