"Index" "SJOpen" "SJHigh" "SJLow" "SJClose" "SJVolume" "SJAdjusted"
"2012-07-16" 76.440002 76.779999 76.160004 76.660004 493600 59.806877
"2012-07-17" 76.669998 76.989998 75.699997 75.980003 541500 59.276379
"2012-07-18" 76 76.660004 75.739998 75.959999 591800 59.260777
"2012-07-19" 75.910004 77.160004 75.910004 76.949997 668100 60.033134
"2012-07-20" 76.709999 76.959999 76.07 76.559998 503500 59.728848
"2012-07-23" 76.199997 76.309998 75.150002 75.879997 421500 59.198368
"2012-07-24" 76.010002 76.010002 74.790001 74.980003 414600 58.496231
"2012-07-25" 75.239998 75.870003 74.769997 75.019997 313600 58.527409
"2012-07-26" 76.07 76.43 75.339996 75.919998 356200 59.229576
"2012-07-27" 76.300003 76.75 76.07 76.360001 402400 59.572834
"2012-07-30" 76.300003 77.32 76.120003 77.239998 336100 60.259369
"2012-07-31" 77.129997 77.160004 76.580002 76.800003 465400 59.916115
"2012-08-01" 77.059998 77.25 75.540001 75.699997 493300 59.05793
"2012-08-02" 75.540001 75.540001 74.599998 74.919998 594900 58.449409
"2012-08-03" 75.790001 75.970001 75.459999 75.75 400300 59.096943
"2012-08-06" 76.029999 77.169998 76.010002 76.580002 518000 59.744488
"2012-08-07" 76.699997 77.169998 76.300003 76.800003 380600 59.916115
"2012-08-08" 76.43 76.889999 75.980003 76.830002 368500 60.348118
"2012-08-09" 76.860001 76.900002 76.32 76.830002 428100 60.348118
"2012-08-10" 76.510002 76.93 76.360001 76.699997 422000 60.246014
"2012-08-13" 77.300003 78.370003 77.300003 77.910004 802900 61.196415
"2012-08-14" 78.07 78.489998 77.660004 77.839996 525700 61.141449
"2012-08-15" 78.279999 79.040001 77.709999 78.970001 530500 62.029057
"2012-08-16" 79.010002 79.489998 78.610001 78.970001 707200 62.029057
"2012-08-17" 82.910004 84.099998 82.889999 82.959999 2462700 65.163101
"2012-08-20" 83.160004 84.779999 83.129997 84.25 1467200 66.176353
"2012-08-21" 84.419998 84.639999 83.940002 84.120003 876300 66.074242
"2012-08-22" 84.120003 84.389999 83.699997 83.910004 663600 65.909302
"2012-08-23" 84.07 84.120003 83.480003 83.900002 524600 65.901443
"2012-08-24" 84.150002 84.730003 83.459999 84.400002 704200 66.294167
"2012-08-27" 84.400002 85.510002 84.389999 84.959999 769600 66.734039
"2012-08-28" 84.940002 85.5 84.580002 84.580002 896600 66.435562
"2012-08-29" 84.519997 85.470001 84.519997 85.029999 897800 66.789032
"2012-08-30" 84.629997 84.959999 84.370003 84.43 850900 66.317734
"2012-08-31" 84.82 85.360001 84.709999 84.970001 812600 66.741898
"2012-09-04" 85.169998 86.059998 85 86.040001 1135900 67.582352
"2012-09-05" 86.099998 86.389999 85.739998 85.989998 1256500 67.543091
"2012-09-06" 86.360001 86.75 86.18 86.620003 555900 68.037933
"2012-09-07" 87.059998 87.059998 85.849998 86.099998 676700 67.629471
"2012-09-10" 85.339996 86.279999 84.860001 85.849998 937000 67.433098
"2012-09-11" 85.910004 86.25 85.900002 86.010002 559200 67.558784
"2012-09-12" 86.209999 86.389999 86 86.129997 346300 67.65303
"2012-09-13" 86.099998 87.540001 86.010002 87.040001 486600 68.367828
"2012-09-14" 86.910004 86.940002 85.790001 86.110001 1148000 67.637337
"2012-09-17" 86.220001 87.349998 86.160004 87.019997 921200 68.352135
"2012-09-18" 87 87.150002 86.589996 86.620003 759700 68.037933
"2012-09-19" 86.93 87.199997 86.379997 86.580002 493200 68.006508
"2012-09-20" 86.68 87.239998 86.5 87.059998 479000 68.383553
"2012-09-21" 87.190002 87.269997 85.970001 86.040001 990000 67.582352
"2012-09-24" 85.910004 87.730003 85.889999 87.290001 724700 68.564217
"2012-09-25" 87.339996 87.459999 85.830002 86.089996 632500 67.621613
"2012-09-26" 86.18 86.550003 85.870003 85.879997 803600 67.456665
"2012-09-27" 85.889999 86.199997 85.330002 85.949997 500200 67.511658
"2012-09-28" 85.57 86.360001 84.940002 86.330002 706000 67.810127
"2012-10-01" 86.489998 87.339996 86.489998 87.129997 603100 68.438522
"2012-10-02" 87 87.699997 86.669998 87.160004 475900 68.46209
"2012-10-03" 87.089996 87.529999 86.860001 87.309998 414800 68.57991
"2012-10-04" 87.540001 87.809998 87.040001 87.470001 376700 68.705589
"2012-10-05" 87.050003 87.440002 86.120003 86.449997 1010900 67.904388
"2012-10-08" 86.230003 86.360001 85.239998 85.5 639900 67.15818
"2012-10-09" 85.279999 85.480003 84.019997 84.050003 1007500 66.019272
"2012-10-10" 84.160004 84.5 83.470001 83.620003 590400 65.681511
"2012-10-11" 83.93 84.290001 83.5 83.559998 592500 65.634384
"2012-10-12" 83.800003 84.32 83.110001 83.449997 536600 65.547966
"2012-10-15" 83.709999 84.010002 82 83.68 613200 65.728622
"2012-10-16" 84.080002 84.150002 83.580002 83.910004 617200 65.909302
"2012-10-17" 84.589996 85.550003 83.910004 85.199997 509300 66.922554
"2012-10-18" 85.099998 85.480003 84.550003 85.370003 402900 67.056084
"2012-10-19" 85.040001 85.330002 84.400002 84.760002 606100 66.576942
"2012-10-22" 84.769997 85 84.389999 84.870003 490400 66.663345
"2012-10-23" 84.410004 85.190002 84 85.150002 528200 66.88327
"2012-10-24" 85.279999 85.580002 84.809998 85.029999 425000 66.789032
"2012-10-25" 86.68 86.68 83.480003 85.760002 386800 67.362419
"2012-10-26" 85.910004 85.910004 84.860001 85.029999 434500 66.789032
"2012-10-31" 85.410004 86.629997 84.790001 85.639999 597000 67.268158
"2012-11-01" 85.68 85.849998 85.040001 85.410004 467500 67.087502
"2012-11-02" 85.93 86.059998 84.889999 85.059998 542500 66.812592
"2012-11-05" 84.720001 85.080002 84.470001 84.860001 389100 66.655502
"2012-11-06" 85.230003 86.139999 84.959999 85.769997 410900 67.37027
"2012-11-07" 85.629997 85.690002 84.279999 84.589996 447000 66.443405
"2012-11-08" 84.349998 84.949997 83.82 83.82 495100 65.838577
"2012-11-09" 83.559998 84.760002 83.120003 84.330002 366100 66.239189
"2012-11-12" 84.32 85.459999 84.040001 85.360001 456400 67.048225
"2012-11-13" 84.790001 87.440002 84.779999 87.050003 1014500 68.375702
"2012-11-14" 86.669998 87.089996 85.43 85.699997 1064000 67.719803
"2012-11-15" 85.459999 85.760002 84.150002 85.379997 606800 67.466965
"2012-11-16" 83.870003 84.059998 81.599998 83.860001 1498300 66.265831
"2012-11-19" 84.199997 85.650002 84 84.489998 965800 66.763687
"2012-11-20" 84.639999 85.370003 84.290001 84.669998 904500 66.905914
"2012-11-21" 84.57 85.18 84.470001 84.57 358100 66.826897
"2012-11-23" 85.169998 86.099998 84.959999 86.050003 279500 67.996376
"2012-11-26" 85.870003 86.540001 85.620003 86.029999 451200 67.980568
"2012-11-27" 86.449997 86.790001 85.849998 86.129997 694700 68.059593
"2012-11-28" 85.93 87.18 85.870003 87.160004 628700 68.873505
"2012-11-29" 87.410004 87.949997 86.839996 87.620003 369100 69.237007
"2012-11-30" 87.769997 88.459999 87.480003 88.459999 581400 69.900749
"2012-12-03" 88.18 89.389999 87.139999 88.730003 778500 70.114098
"2012-12-04" 88.910004 89.300003 88.120003 88.919998 595700 70.264259
"2012-12-05" 89.080002 89.080002 87.849998 88.290001 604100 69.766434
"2012-12-06" 88.300003 88.400002 87.540001 87.959999 510000 69.505676
"2012-12-07" 88.25 88.730003 87.480003 87.800003 464500 69.379234
"2012-12-10" 87.699997 87.980003 87.260002 87.779999 607100 69.363426
"2012-12-11" 88.010002 88.099998 87.529999 87.730003 676300 69.323936
"2012-12-12" 88.010002 88.309998 87.57 87.830002 727700 69.402954
"2012-12-13" 87.809998 88.089996 86.809998 87.339996 440300 69.015732
"2012-12-14" 87.290001 87.699997 86.809998 86.959999 531800 68.715462
"2012-12-17" 87.360001 87.610001 86.559998 87.519997 541700 69.157967
"2012-12-18" 87.839996 87.919998 86.779999 87.349998 285200 69.023659
"2012-12-19" 87.269997 87.610001 85.93 85.959999 605000 67.925278
"2012-12-20" 86.07 87.089996 85.870003 86.93 444600 68.69175
"2012-12-21" 86.589996 87.330002 85.660004 86.610001 679000 68.438919
"2012-12-24" 86.269997 86.720001 85.940002 86.330002 150700 68.217628
"2012-12-26" 86.32 86.480003 85.029999 85.290001 319600 67.395851
"2012-12-27" 85.290001 85.620003 84.849998 85.529999 395300 67.58548
"2012-12-28" 85.290001 85.809998 85.209999 85.25 388100 67.364204
"2012-12-31" 85.129997 86.260002 84.57 86.239998 306200 68.146507
"2013-01-02" 86.480003 89.669998 86.480003 89.660004 815900 70.849014
"2013-01-03" 89.650002 89.650002 88.889999 89.18 488900 70.469696
"2013-01-04" 89.230003 90.239998 89.230003 90.199997 512300 71.275696
"2013-01-07" 89.830002 90.120003 89.260002 89.889999 517300 71.030746
"2013-01-08" 90.230003 90.230003 88.970001 89.089996 669300 70.398582
"2013-01-09" 89.690002 90.040001 89.25 89.589996 758200 70.793671
