"Index" "TGNOpen" "TGNHigh" "TGNLow" "TGNClose" "TGNVolume" "TGNAdjusted"
"2012-03-14" 7.820883 7.894122 7.737181 7.81042 4733568 6.104067
"2012-03-15" 7.815652 7.998749 7.789495 7.993518 5528199 6.247163
"2012-03-16" 8.030138 8.087683 7.920279 7.956899 5854883 6.218545
"2012-03-19" 7.92551 8.124302 7.899354 8.024906 3483224 6.271695
"2012-03-20" 7.935973 8.134765 7.920279 8.082451 7424456 6.316667
"2012-03-21" 8.119071 8.15569 8.035369 8.119071 5119510 6.345285
"2012-03-22" 8.030138 8.108608 7.983055 8.0406 4679663 6.283959
"2012-03-23" 8.030138 8.134765 7.993518 8.119071 4231787 6.345285
"2012-03-26" 8.187078 8.234161 8.113839 8.234161 4970983 6.435234
"2012-03-27" 8.255086 8.317862 8.103377 8.124302 5180297 6.349376
"2012-03-28" 8.134765 8.134765 7.857503 7.909816 4913254 6.181748
"2012-03-29" 7.831346 7.92551 7.690099 7.920279 4428676 6.189926
"2012-03-30" 7.96213 8.071988 7.836577 8.019675 5830989 6.267606
"2012-04-02" 7.988287 8.187078 7.92551 8.056294 5272625 6.296225
"2012-04-03" 8.056294 8.124302 7.92551 7.972593 5526479 6.230811
"2012-04-04" 7.894122 7.915048 7.794726 7.836577 9771455 6.12451
"2012-04-05" 7.805189 7.857503 7.695331 7.752876 5380628 6.059094
"2012-04-09" 7.601166 7.721487 7.569778 7.721487 3745871 6.034564
"2012-04-10" 7.679636 7.763338 7.465151 7.480845 6104913 5.846495
"2012-04-11" 7.585472 7.663942 7.548852 7.658711 4855143 5.985503
"2012-04-12" 7.674405 7.894122 7.627323 7.88366 4355273 6.161307
"2012-04-13" 7.873197 7.941204 7.758107 7.867965 7524621 6.149042
"2012-04-16" 7.84704 7.84704 7.067567 7.266359 16666794 5.678868
"2012-04-17" 7.30821 7.454688 7.292516 7.334367 7079421 5.732017
"2012-04-18" 7.313441 7.334367 7.203583 7.224508 6824038 5.646161
"2012-04-19" 7.208814 7.276822 7.125112 7.187889 6951156 5.617542
"2012-04-20" 7.219277 7.261128 7.172195 7.19312 5609631 5.62163
"2012-04-23" 7.11465 7.119881 6.989097 7.083261 8088719 5.535772
"2012-04-24" 7.11465 7.177426 7.057105 7.083261 3855020 5.535772
"2012-04-25" 7.161732 7.219277 7.010022 7.203583 5520171 5.629807
"2012-04-26" 7.203583 7.224508 7.104187 7.166963 4149972 5.601188
"2012-04-27" 7.245434 7.360524 7.172195 7.339598 6132057 5.736108
"2012-04-30" 7.302979 7.302979 7.140806 7.22974 3894207 5.650249
"2012-05-01" 7.292516 7.397143 7.255896 7.276822 3425878 5.687046
"2012-05-02" 7.287284 7.397143 7.266359 7.334367 5555725 5.732017
"2012-05-03" 7.313441 7.334367 7.140806 7.208814 4753448 5.633895
"2012-05-04" 7.166963 7.177426 6.968172 6.983866 4953014 5.458092
"2012-05-07" 6.978634 7.119881 6.894932 7.067567 7907313 5.523506
"2012-05-08" 6.99956 7.130344 6.921089 7.088493 8361879 5.539862
"2012-05-09" 6.99956 7.203583 6.978634 7.125112 5260009 5.56848
"2012-05-10" 7.198351 7.198351 6.952477 6.968172 5548462 5.445827
"2012-05-11" 6.921089 7.020485 6.905395 6.994328 4861642 5.466269
"2012-05-14" 6.926321 7.036179 6.868776 7.004791 4935237 5.474447
"2012-05-15" 7.010022 7.140806 6.957709 6.994328 6396998 5.466269
"2012-05-16" 7.057105 7.125112 6.978634 6.983866 8442546 5.458092
"2012-05-17" 7.004791 7.036179 6.842619 6.842619 9227046 5.347703
"2012-05-18" 6.894932 6.910627 6.722298 6.779843 7462495 5.298644
"2012-05-21" 6.795537 6.853082 6.706604 6.73276 7077892 5.261845
"2012-05-22" 6.764148 6.889701 6.669984 6.73276 10134649 5.261845
"2012-05-23" 6.696141 6.758917 6.50258 6.706604 9214048 5.241403
"2012-05-24" 6.753686 6.858313 6.633364 6.853082 7223552 5.35588
"2012-05-25" 6.863544 6.952477 6.790305 6.790305 4708718 5.306818
"2012-05-29" 6.868776 6.942015 6.800768 6.88447 5258480 5.38041
"2012-05-30" 6.811231 6.826925 6.669984 6.758917 5178195 5.282288
"2012-05-31" 6.816462 6.868776 6.633364 6.832156 5970532 5.339527
"2012-06-01" 6.628133 6.643827 6.429341 6.450267 10152427 5.041069
"2012-06-04" 6.450267 6.518275 6.366565 6.476424 7919356 5.061512
"2012-06-05" 6.434573 6.664753 6.366565 6.565357 6836463 5.131016
"2012-06-06" 6.528737 6.73276 6.492118 6.722298 6582609 5.338749
"2012-06-07" 6.853082 6.858313 6.628133 6.643827 4725731 5.276427
"2012-06-08" 6.591514 6.659521 6.50258 6.65429 4735671 5.284737
"2012-06-11" 6.743223 6.76938 6.560125 6.591514 6593123 5.234883
"2012-06-12" 6.591514 6.711835 6.570588 6.690909 4764153 5.31382
