"Index" "XOOpen" "XOHigh" "XOLow" "XOClose" "XOVolume" "XOAdjusted"
"2012-01-31" 84.919998 85.339996 83.459999 83.739998 27225800 55.594471
"2012-02-01" 84.230003 84.559998 83.379997 83.970001 22266100 55.747185
"2012-02-02" 84.279999 84.339996 83.190002 83.529999 18020500 55.455063
"2012-02-03" 84.239998 85 84.050003 84.919998 16145400 56.377857
"2012-02-06" 84.870003 85.849998 84.489998 85.75 15000900 56.928898
"2012-02-07" 85.220001 86.440002 84.940002 86.339996 15818400 57.320595
"2012-02-08" 85.830002 86.220001 84.730003 85.32 14762600 56.953449
"2012-02-09" 85.330002 85.690002 84.669998 84.879997 17073400 56.65974
"2012-02-10" 84.019997 84.099998 83.349998 83.800003 15328900 55.93882
"2012-02-13" 84.339996 84.599998 83.889999 84.419998 11473700 56.352688
"2012-02-14" 84.419998 84.709999 83.849998 84.669998 12961900 56.519566
"2012-02-15" 84.860001 84.919998 83.910004 84.120003 13911600 56.152435
"2012-02-16" 84.449997 85.620003 84.080002 85.410004 14769600 57.013535
"2012-02-17" 86.07 86.120003 84.919998 85.620003 16597200 57.153725
"2012-02-21" 86.040001 86.779999 86.040001 86.57 15481300 57.787865
"2012-02-22" 86.839996 87.25 86.650002 86.919998 11983200 58.021526
"2012-02-23" 86.580002 87.169998 86.470001 87.019997 12404600 58.088253
"2012-02-24" 87.370003 87.470001 87.010002 87.339996 10767100 58.301872
"2012-02-27" 87.150002 87.830002 86.779999 87.230003 13323500 58.228436
"2012-02-28" 87.230003 87.440002 86.550003 87.139999 14317600 58.168354
"2012-02-29" 87.449997 87.489998 86.209999 86.5 18293200 57.741161
"2012-03-01" 86.470001 87.18 86.410004 86.830002 12638500 57.961437
"2012-03-02" 86.660004 86.75 85.849998 86.330002 11343400 57.627663
"2012-03-05" 86.169998 87.089996 85.910004 87.010002 12803100 58.081585
"2012-03-06" 86.239998 86.480003 85.419998 85.860001 16507900 57.313927
"2012-03-07" 86.010002 86.120003 85.190002 85.830002 14767700 57.293907
"2012-03-08" 85 85.470001 84.629997 84.830002 19032000 56.626381
"2012-03-09" 85.059998 85.129997 84.050003 84.300003 17042500 56.272598
"2012-03-12" 84.5 85.75 84.129997 85.550003 19014000 57.106998
"2012-03-13" 85.889999 86.93 85.610001 86.860001 16853300 57.981441
"2012-03-14" 86.589996 86.830002 85.739998 86.019997 16187300 57.420734
"2012-03-15" 85.889999 86.199997 85.25 86.089996 14523600 57.467472
"2012-03-16" 86.199997 86.889999 85.919998 86.440002 30991300 57.701096
"2012-03-19" 86.080002 87.18 86.029999 86.989998 10770400 58.06823
"2012-03-20" 86.459999 87.099998 86.32 86.599998 13613800 57.807911
"2012-03-21" 86.589996 86.589996 85.769997 86.010002 14212400 57.414055
"2012-03-22" 85.480003 85.940002 85.099998 85.330002 13884400 56.960148
"2012-03-23" 85.360001 85.980003 85.019997 85.550003 12557700 57.106998
"2012-03-26" 86.18 87.25 86.07 87.029999 17336800 58.09494
"2012-03-27" 87.139999 87.25 86.540001 86.620003 12509200 57.821232
"2012-03-28" 86.360001 86.480003 85.139999 85.860001 16155300 57.313927
"2012-03-29" 85.32 86.129997 84.910004 86.080002 13199700 57.4608
"2012-03-30" 86.480003 86.760002 86.089996 86.730003 12968300 57.894672
"2012-04-02" 86.599998 87.669998 86.309998 87.07 13853300 58.121647
"2012-04-03" 86.75 86.779999 85 85.830002 17714900 57.293907
"2012-04-04" 85.300003 85.360001 84.489998 84.980003 17112800 56.726501
"2012-04-05" 84.559998 85.379997 84.349998 84.82 11954700 56.619694
"2012-04-09" 83.980003 84.360001 83.68 83.879997 11027000 55.992222
"2012-04-10" 83.75 83.75 81.879997 82.169998 19993700 54.850735
"2012-04-11" 83.110001 83.349998 82.150002 82.699997 15856200 55.204536
"2012-04-12" 82.650002 83.730003 82.360001 83.599998 15266200 55.805313
"2012-04-13" 82.970001 83.690002 82.860001 82.949997 13856500 55.371426
"2012-04-16" 83.239998 84.389999 83.129997 84.010002 17526100 56.078995
"2012-04-17" 84.650002 85.599998 84.57 85.449997 14208000 57.040237
"2012-04-18" 85.059998 86.050003 85.019997 85.75 12997500 57.24049
"2012-04-19" 85.510002 85.919998 84.980003 85.279999 15973800 56.92675
"2012-04-20" 85.550003 85.919998 85.029999 85.300003 17216600 56.940098
"2012-04-23" 84.529999 85.93 84.389999 85.690002 15197200 57.200455
"2012-04-24" 85.639999 86.389999 85.639999 86.309998 11632500 57.614319
"2012-04-25" 86.650002 87.18 85.720001 86.849998 18476800 57.974789
"2012-04-26" 85.279999 86.199997 85.150002 86.07 17262400 57.454105
"2012-04-27" 86.5 86.690002 85.959999 86.080002 11372900 57.4608
"2012-04-30" 85.959999 86.800003 85.870003 86.339996 11735400 57.634338
"2012-05-01" 86.459999 87.519997 86.129997 87.040001 13816900 58.101616
"2012-05-02" 86.559998 86.650002 85.830002 86.199997 11108700 57.540878
"2012-05-03" 86.360001 86.389999 85.309998 85.650002 9998600 57.173721
"2012-05-04" 85.110001 85.309998 84.400002 84.57 15055500 56.45282
"2012-05-07" 84.290001 84.790001 84.099998 84.480003 12018100 56.392754
"2012-05-08" 83.75 84.260002 82.919998 84.019997 19602400 56.08569
"2012-05-09" 83.040001 84.07 82.879997 83.309998 17424000 55.61174
"2012-05-10" 83.370003 83.589996 82.550003 82.839996 13234600 55.678925
"2012-05-11" 82.690002 83.790001 82.540001 83.099998 12061700 55.853683
