"Index" "VMOpen" "VMHigh" "VMLow" "VMClose" "VMVolume" "VMAdjusted"
"2012-05-18" 34.139999 35.48 34 34.59 1698200 32.477676
"2012-05-21" 34.700001 36.580002 34.25 36.349998 956700 34.130203
"2012-05-22" 36.459999 36.720001 34.849998 35.200001 767300 33.05043
"2012-05-23" 34.93 34.990002 33.689999 34.57 747000 32.458889
"2012-05-24" 34.740002 35.029999 34.27 35.029999 351400 32.890797
"2012-05-25" 35.049999 35.889999 34.66 35.759998 684200 33.576221
"2012-05-29" 36.139999 36.439999 35.450001 36.09 385500 33.886082
"2012-05-30" 35.560001 35.639999 34.869999 35.02 381700 32.881424
"2012-05-31" 34.959999 35.220001 33.970001 34.650002 553600 32.534019
"2012-06-01" 33.75 34.110001 32.93 32.970001 577600 30.956602
"2012-06-04" 33.32 33.389999 32.41 32.57 685500 30.581036
"2012-06-05" 32.439999 33.150002 32.310001 32.919998 496300 30.909658
"2012-06-06" 33.220001 33.849998 32.990002 33.330002 659900 31.294619
"2012-06-07" 34.369999 34.400002 33.470001 33.779999 433700 31.726656
"2012-06-08" 33.580002 34.330002 33.23 34.23 345000 32.1493
"2012-06-11" 34.48 34.580002 33.209999 33.25 410200 31.228884
"2012-06-12" 33.209999 33.950001 32.990002 33.950001 469000 31.886322
"2012-06-13" 33.25 34.119999 32.810001 32.970001 397000 30.965895
"2012-06-14" 32.950001 33.470001 32.849998 33.450001 291100 31.416719
"2012-06-15" 33.720001 34.389999 33.5 34.349998 667800 32.262012
"2012-06-18" 34.209999 34.830002 33.869999 34.68 370200 32.571957
"2012-06-19" 34.84 35.200001 34.5 34.91 434000 32.787975
"2012-06-20" 34.959999 34.959999 34.169998 34.470001 279400 32.37471
"2012-06-21" 34.799999 35.189999 34.099998 34.32 690300 32.233845
"2012-06-22" 34.650002 35.459999 34.299999 35.279999 466500 33.135475
"2012-06-25" 34.77 35.23 34.400002 34.689999 493400 32.581341
"2012-06-26" 34.720001 35.669998 34.389999 35.459999 564000 33.304531
"2012-06-27" 35.619999 37.529999 35.52 37.32 798300 35.051483
"2012-06-28" 36.970001 38.630001 36.669998 37.709999 1060600 35.417774
"2012-06-29" 38.709999 40.040001 38.389999 39.709999 1637600 37.2962
"2012-07-02" 39.860001 39.959999 38.860001 39.889999 1073600 37.465256
