"Index" "SWOpen" "SWHigh" "SWLow" "SWClose" "SWVolume" "SWAdjusted"
"2012-03-08" 76.309998 76.709999 75.949997 76.269997 1702400 62.808956
"2012-03-09" 76.400002 77.699997 76.050003 77.629997 2460200 63.928913
"2012-03-12" 77.900002 77.900002 76.870003 77.650002 1598100 63.945408
"2012-03-13" 78.040001 80.900002 77.980003 80.739998 3536800 66.490036
"2012-03-14" 80.779999 81.639999 80.550003 80.720001 2193000 66.473564
"2012-03-15" 80.720001 81.589996 80.5 81.339996 1371500 66.984138
"2012-03-16" 81.900002 81.900002 79.970001 80.209999 2321600 66.053566
"2012-03-19" 80.120003 80.360001 79.440002 80.169998 1556600 66.020638
"2012-03-20" 79.440002 79.610001 78.480003 79.209999 1552000 65.230057
"2012-03-21" 79.589996 80.029999 78.800003 79.129997 1278800 65.164185
"2012-03-22" 78.290001 78.5 76.860001 77.849998 1663700 64.110085
"2012-03-23" 77.720001 78.5 76.419998 78.199997 1446600 64.3983
"2012-03-26" 79 79.470001 78.360001 79.18 1234000 65.205353
"2012-03-27" 79.519997 79.879997 78.839996 78.889999 1347700 64.96653
"2012-03-28" 78.849998 79.059998 77.110001 78.129997 1663400 64.340675
"2012-03-29" 77.580002 77.970001 76.709999 77.860001 1569000 64.118332
"2012-03-30" 78.5 78.669998 76.839996 76.959999 3292400 63.377186
"2012-04-02" 76.559998 78.720001 76.220001 78.099998 1521000 64.315971
"2012-04-03" 77.720001 78.129997 77.400002 78.110001 2304700 64.324196
"2012-04-04" 77.139999 77.43 76.620003 77.260002 1150300 63.624214
"2012-04-05" 77.029999 77.910004 76.830002 77.669998 1726200 63.961864
"2012-04-09" 76.07 77.220001 76.040001 76.459999 1630600 62.965408
"2012-04-10" 76.110001 76.5 74.669998 74.870003 2014200 61.656052
"2012-04-11" 75.900002 76.550003 75.120003 76.029999 1771200 62.611305
"2012-04-12" 76.120003 77.879997 75.940002 77.650002 1298100 63.945408
"2012-04-13" 77.379997 77.480003 76.410004 76.660004 1054700 63.130123
"2012-04-16" 77.290001 77.739998 76.370003 77.360001 2296400 63.706543
"2012-04-17" 78.099998 79.239998 77.68 79.019997 1719700 65.073586
"2012-04-18" 78.419998 79.010002 78.230003 78.489998 2314100 64.637123
"2012-04-19" 73.959999 76.239998 71.419998 72.910004 11283000 60.041954
"2012-04-20" 73.199997 73.730003 73.059998 73.410004 3309700 60.453716
"2012-04-23" 72.790001 73.040001 72.099998 72.480003 2660200 59.687859
"2012-04-24" 72.800003 73.260002 72.459999 72.650002 1991600 59.82785
"2012-04-25" 73.639999 73.849998 72.599998 72.959999 1967500 60.083138
"2012-04-26" 72.879997 74.400002 72.779999 74.040001 1884800 60.972511
"2012-04-27" 74.410004 74.769997 73.510002 74.440002 1734100 61.301941
"2012-04-30" 74.029999 74.260002 72.959999 73.160004 1313100 60.247845
"2012-05-01" 73.019997 74.5 72.550003 73.690002 1721800 60.684288
"2012-05-02" 73.360001 74.540001 72.900002 74.110001 1535500 61.03017
"2012-05-03" 74 74.160004 72.739998 73.290001 1408100 60.354889
"2012-05-04" 72.910004 73.220001 71.709999 72.220001 1549600 59.47374
"2012-05-07" 71.769997 72.790001 71.599998 72.580002 1732500 59.770206
"2012-05-08" 71.889999 72.309998 70.760002 72.050003 2241000 59.333759
"2012-05-09" 70.919998 72.309998 70.300003 71.239998 1866800 58.666714
"2012-05-10" 71.949997 72.260002 70.809998 70.900002 1475000 58.386703
"2012-05-11" 70.349998 71.970001 70.290001 70.769997 2415300 58.279655
"2012-05-14" 69.839996 70.540001 69.139999 69.529999 2020900 57.258514
"2012-05-15" 69.519997 69.519997 67.760002 67.919998 3008900 55.932644
"2012-05-16" 68.220001 69.389999 67.970001 68.129997 1676100 56.105602
"2012-05-17" 68.110001 68.129997 65.230003 65.370003 2469600 53.83271
"2012-05-18" 65.730003 66.620003 65.449997 66 2627600 54.351528
"2012-05-21" 66.330002 67.800003 65.860001 67.660004 2021800 55.718552
"2012-05-22" 67.910004 69.129997 67.480003 68.510002 2654600 56.418541
"2012-05-23" 67.790001 70.699997 67.57 70.379997 2549900 57.958485
"2012-05-24" 70.559998 70.690002 67.519997 68.849998 2674300 56.698505
"2012-05-25" 68.839996 69.349998 68.400002 68.529999 1436600 56.434998
"2012-05-29" 69.379997 69.510002 68.169998 68.900002 1795300 56.739708
"2012-05-30" 67.690002 67.790001 66.239998 66.760002 2253800 54.977386
"2012-05-31" 66.580002 66.940002 65.449997 66.25 2224600 54.557396
"2012-06-01" 64.629997 64.839996 63.610001 63.68 3468300 52.44099
"2012-06-04" 63.450001 63.91 61.139999 62.07 2770600 51.446365
"2012-06-05" 61.68 63.099998 61.540001 62.919998 1510900 52.15089
"2012-06-06" 63.369999 65.080002 63.369999 64.68 1540600 53.609653
"2012-06-07" 65.290001 65.690002 63.509998 63.709999 3937800 52.805687
"2012-06-08" 63.709999 64.980003 62.860001 64.669998 1655100 53.601368
"2012-06-11" 65.440002 65.550003 63.540001 63.639999 1451000 52.747654
"2012-06-12" 63.540001 63.900002 62.919998 63.529999 1794200 52.656487
"2012-06-13" 62.91 63.639999 60.810001 62.470001 3083200 51.777916
"2012-06-14" 62.82 63.169998 61.610001 62.02 2199200 51.404938
"2012-06-15" 62.18 63.360001 61.880001 63.310001 2382700 52.474133
"2012-06-18" 62.900002 63.23 62.419998 63.049999 921400 52.258644
"2012-06-19" 63.099998 64.389999 63.099998 63.779999 1235200 52.863689
"2012-06-20" 63.759998 63.889999 62.439999 62.900002 1351700 52.134308
"2012-06-21" 63.110001 63.380001 61.43 61.48 1381600 50.957352
"2012-06-22" 61.900002 61.939999 61.240002 61.650002 1381700 51.098251
"2012-06-25" 60.560001 60.849998 59.73 60.610001 1519200 50.236263
"2012-06-26" 60.830002 61.25 60 60.950001 1247500 50.518063
"2012-06-27" 59.68 61.900002 59.529999 61.630001 1822400 51.081676
"2012-06-28" 61.27 62.119999 60.849998 62.02 1771400 51.404938
"2012-06-29" 63.630001 64.68 63.240002 64.360001 2257500 53.344421
"2012-07-02" 64.639999 64.639999 62.509998 63.009998 1673500 52.225471
"2012-07-03" 62.91 63.759998 62.82 63.400002 855600 52.548744
"2012-07-05" 63.200001 63.73 62.810001 63.43 981700 52.573593
"2012-07-06" 62.509998 62.740002 62.099998 62.549999 1005800 51.844215
"2012-07-09" 62.060001 62.68 61.27 61.57 1623600 51.031948
"2012-07-10" 61.25 62.23 59.82 60.189999 1871500 49.888134
"2012-07-11" 60.18 60.59 59.209999 59.52 1824300 49.332832
"2012-07-12" 58.790001 59.779999 58.59 59.540001 1749800 49.3494
"2012-07-13" 59.57 60.369999 59.490002 60.189999 1431100 49.888134
"2012-07-16" 59.990002 60.060001 58.639999 59.25 1888900 49.109028
"2012-07-17" 59.450001 60.240002 58.98 59.720001 5102000 49.498577
"2012-07-18" 59.279999 63.919998 59.279999 63.259998 6451900 52.432701
"2012-07-19" 63.68 66.220001 63.27 66.089996 4867700 54.778313
"2012-07-20" 65.410004 66.550003 65.010002 66.449997 3529300 55.076717
