"Index" "TWOpen" "TWHigh" "TWLow" "TWClose" "TWVolume" "TWAdjusted"
"2012-05-14" 33.967037 34.360111 33.928692 34.101257 4577792 30.179426
"2012-05-15" 33.976627 34.364902 33.765709 33.823235 5935650 29.933374
"2012-05-16" 33.967037 34.168369 33.808853 33.813644 4647463 29.924879
"2012-05-17" 33.832821 33.832821 33.180897 33.190483 5579634 29.373398
"2012-05-18" 33.276768 33.391815 32.773445 32.854939 6884179 29.076439
"2012-05-21" 32.91246 33.17131 32.749477 33.075439 5693978 29.271587
"2012-05-22" 33.20966 33.425369 32.931633 33.123375 4627015 29.314005
"2012-05-23" 32.998745 33.238422 32.557739 32.998745 4659706 29.203705
"2012-05-24" 33.027504 33.363052 32.854939 33.152138 5752994 29.33946
"2012-05-25" 33.094612 33.4781 33.065853 33.267181 5740173 29.441271
"2012-05-29" 33.180897 33.880756 32.998745 33.813644 8552529 30.160599
"2012-05-30" 33.621902 33.641079 33.075439 33.075439 6749922 29.502161
"2012-05-31" 33.04668 33.401402 32.91246 33.04668 9875376 29.476509
"2012-06-01" 32.797417 33.123375 32.231777 32.365997 7664960 28.869352
"2012-06-04" 32.346821 32.950809 32.25095 32.711132 7924842 29.177204
"2012-06-05" 32.596085 32.711132 32.356407 32.634434 5064417 29.108795
"2012-06-06" 32.797417 33.420574 32.739891 33.420574 4740659 29.810007
"2012-06-07" 33.756123 33.957451 33.420574 33.554794 8008370 29.929724
"2012-06-08" 33.420574 33.86158 33.228832 33.775295 6973793 30.126398
"2012-06-11" 34.455978 34.465569 33.113789 33.132961 7835444 29.553459
"2012-06-12" 33.161724 33.909515 33.113789 33.871166 5041191 30.211918
"2012-06-13" 33.823235 33.909515 33.291149 33.391815 5546238 29.784348
"2012-06-14" 33.516445 34.120434 33.430161 33.967037 6218183 30.297434
"2012-06-15" 34.13002 34.964096 34.043736 34.916161 11035495 31.144014
"2012-06-18" 34.992859 35.654366 34.834671 35.616016 11029627 31.768263
"2012-06-19" 35.817345 35.951565 35.52494 35.788586 8620891 31.922186
"2012-06-20" 35.798172 36.047436 35.261295 35.596844 6208459 31.751158
"2012-06-21" 35.74065 35.86528 35.424274 35.731064 9402484 31.870882
"2012-06-22" 35.855694 36.018677 35.60643 35.941978 7909233 32.059006
"2012-06-25" 35.529736 35.663952 35.059967 35.107903 7171250 31.315035
"2012-06-26" 35.175011 35.721478 35.074348 35.616016 5578199 31.768263
"2012-06-27" 35.702301 36.517204 35.60643 36.43092 7680473 32.495125
"2012-06-28" 36.114548 36.402161 35.913216 36.30629 10125703 32.383972
"2012-06-29" 36.69936 36.910275 36.454887 36.910275 7086079 32.922703
"2012-07-02" 36.919861 37.159538 36.766468 37.149952 4785612 33.136475
"2012-07-03" 37.044495 37.341694 36.900688 37.236237 2445228 33.213451
"2012-07-05" 37.034904 37.169125 36.694565 36.708946 5908314 32.743111
"2012-07-06" 36.421333 37.049286 36.421333 36.996559 6085784 32.99966
