"Index" "OXOpen" "OXHigh" "OXLow" "OXClose" "OXVolume" "OXAdjusted"
"2012-01-31" 96.208527 96.390556 94.388214 95.585785 4287930 66.931656
"2012-02-01" 96.179787 96.553429 94.761856 95.135498 4420593 66.616348
"2012-02-02" 95.221725 95.63369 93.286438 94.349892 4383644 66.066277
"2012-02-03" 95.91153 98.555779 95.068436 98.325844 4485621 68.850327
"2012-02-06" 97.712685 99.63839 97.243233 99.63839 3283714 69.769409
"2012-02-07" 99.734192 100.83596 98.776131 100.443161 4981309 70.332916
"2012-02-08" 101.200027 101.200027 98.392906 99.446777 3849440 69.635216
"2012-02-09" 99.552162 101.132965 99.293488 99.858742 3131636 69.923691
"2012-02-10" 98.268356 98.488716 97.348618 98.392906 3564803 68.897278
"2012-02-13" 99.475517 99.801254 98.584518 99.695869 2425836 69.809639
"2012-02-14" 99.868324 100.510223 98.919846 99.63839 3575032 69.769409
"2012-02-15" 100.251549 100.261131 98.948586 99.408455 2852949 69.608398
"2012-02-16" 99.791679 100.194061 98.756973 99.954552 3230482 69.990784
"2012-02-17" 100.299454 100.548546 98.756973 99.561745 3094791 69.715721
"2012-02-21" 100.404839 100.826385 99.561745 100.031197 3486520 70.044487
"2012-02-22" 98.92942 99.63839 98.450394 98.92942 3611773 69.272972
"2012-02-23" 99.17852 100.366516 98.622841 100.280289 3244573 70.218864
"2012-02-24" 100.385674 100.462318 99.121033 99.504257 3874699 69.675476
"2012-02-27" 99.015648 100.462318 98.680328 100.107841 3267118 70.098129
"2012-02-28" 100.261131 102.205994 100.165321 101.037155 3744854 70.748878
"2012-02-29" 100.96051 101.861092 99.686295 99.992867 5175660 70.017601
"2012-03-01" 100.404839 100.998833 99.140198 100.471901 3827938 70.35305
"2012-03-02" 100.117416 100.318611 99.350967 99.983292 2931336 70.010887
"2012-03-05" 99.753357 100.050354 98.153397 99.17852 3279435 69.447372
"2012-03-06" 97.224075 97.54023 96.179787 96.792946 5206869 67.776962
"2012-03-07" 96.639656 96.735458 95.518723 95.700752 4584257 67.372246
"2012-03-08" 96.879173 97.262398 96.294754 96.630074 2724669 68.026497
"2012-03-09" 96.687561 97.54023 96.189369 96.476784 2698052 67.918579
"2012-03-12" 96.170204 96.428879 93.995407 94.311569 4023959 66.39431
"2012-03-13" 94.934303 95.796562 93.890022 95.78698 3732224 67.432961
"2012-03-14" 95.767822 96.198944 94.359467 94.771439 2781763 66.71804
"2012-03-15" 94.742691 95.557045 93.75589 94.752274 2999808 66.704544
"2012-03-16" 95.097176 96.649239 94.915146 96.361816 5023060 67.837646
"2012-03-19" 96.725883 97.69352 95.88279 97.243233 2760783 68.458138
"2012-03-20" 96.313911 96.313911 93.78463 93.8517 4452115 66.070541
"2012-03-21" 93.775055 94.369049 93.42057 93.63134 3378072 65.915421
"2012-03-22" 92.462509 92.587059 91.015839 91.734383 4155266 64.579971
"2012-03-23" 91.801445 93.947502 91.494865 93.525955 4475392 65.84124
"2012-03-26" 94.742691 95.17382 93.890022 95.010948 3817396 66.886642
"2012-03-27" 95.547462 95.691177 94.234924 94.282822 3421493 66.374062
"2012-03-28" 92.836151 93.458893 90.747581 90.872124 6229976 63.972942
"2012-03-29" 90.057777 90.575127 87.99794 90.469742 7084723 63.689697
"2012-03-30" 90.939194 91.7248 90.230225 91.236191 3622628 64.229279
"2012-04-02" 91.044579 94.119957 90.546387 93.39183 4848019 65.746803
"2012-04-03" 93.401405 93.401405 91.331993 92.424187 3442786 65.06559
"2012-04-04" 91.331993 91.57151 89.81826 90.460159 3076629 63.682941
"2012-04-05" 89.97155 91.159546 89.367966 89.377548 3999535 62.920799
"2012-04-09" 87.183586 88.227875 86.953651 87.547653 4515786 61.632545
"2012-04-10" 87.499748 87.605133 85.650688 85.851883 5776770 60.43877
"2012-04-11" 86.991974 87.231491 84.960884 85.085434 4771928 59.899193
"2012-04-12" 85.708176 87.365623 85.516563 87.298553 4237411 61.457214
"2012-04-13" 86.829109 87.049461 84.692627 84.855499 5100299 59.737316
"2012-04-16" 85.506981 85.93811 83.495056 83.600441 6351263 58.853764
"2012-04-17" 84.67347 85.238724 83.993248 85.008789 4575281 59.845242
"2012-04-18" 84.558502 85.075851 83.993248 84.280663 3434018 59.33268
"2012-04-19" 84.462692 85.631531 84.050728 84.52018 3506143 59.501266
"2012-04-20" 84.874664 85.344109 83.954926 84.893822 4524031 59.764286
