"Index" "PPOpen" "PPHigh" "PPLow" "PPClose" "PPVolume" "PPAdjusted"
"2012-01-31" 44.900002 45 44.264999 44.790001 2158600 38.099659
"2012-02-01" 45.360001 45.814999 45.150002 45.43 2308600 38.644054
"2012-02-02" 45.490002 45.490002 44.849998 44.900002 1325800 38.193226
"2012-02-03" 45.485001 45.779999 45.349998 45.610001 2186800 38.797176
"2012-02-06" 45.334999 45.474998 45.215 45.439999 972800 38.65255
"2012-02-07" 45.285 45.700001 44.994999 45.634998 1378400 38.818436
"2012-02-08" 45.615002 45.849998 45.185001 45.805 1224000 38.963043
"2012-02-09" 45.805 46.044998 45.580002 46.014999 1846400 39.14167
"2012-02-10" 45.580002 45.580002 45.09 45.415001 1490000 38.631302
"2012-02-13" 45.705002 45.915001 45.415001 45.540001 1035200 38.737621
"2012-02-14" 45.52 45.689999 44.84 45.259998 1943200 38.499443
"2012-02-15" 45.310001 45.310001 44.674999 44.970001 1619600 38.495171
"2012-02-16" 45.035 45.759998 44.950001 45.700001 1404800 39.120049
"2012-02-17" 45.93 46.224998 45.77 46.060001 1616800 39.428226
"2012-02-21" 45.66 46.150002 45.450001 45.985001 2848400 39.364044
"2012-02-22" 45.990002 46.580002 45.865002 45.900002 2048600 39.291264
"2012-02-23" 45.845001 46.25 45.740002 46.099998 1010200 39.462471
"2012-02-24" 46 46.279999 45.744999 45.834999 1290600 39.235622
"2012-02-27" 45.595001 46.59 45.349998 46.470001 1776400 39.779194
"2012-02-28" 46.395 46.834999 46.174999 46.465 2121400 39.774914
"2012-02-29" 46.459999 46.57 45.470001 45.625 2340400 39.055855
"2012-03-01" 45.744999 46.490002 45.744999 46.330002 1628400 39.659344
"2012-03-02" 46.474998 46.700001 46.055 46.25 1115800 39.590862
"2012-03-05" 46.080002 46.150002 45.599998 45.810001 1310200 39.21423
"2012-03-06" 45.115002 45.48 45.02 45.205002 1556200 38.696335
"2012-03-07" 45.314999 45.465 45.025002 45.275002 1958200 38.75626
"2012-03-08" 45.755001 46.695 45.700001 46.470001 2057400 39.779194
"2012-03-09" 46.5 46.82 46.299999 46.384998 1498600 39.706432
"2012-03-12" 46.48 46.814999 46.34 46.544998 1302800 39.843399
"2012-03-13" 46.855 47.205002 46.685001 47.154999 1717600 40.365555
"2012-03-14" 47.09 47.294998 46.625 46.84 1530600 40.095924
"2012-03-15" 46.950001 46.985001 46.630001 46.82 2040600 40.078796
"2012-03-16" 47.035 47.259998 46.669998 46.794998 2810400 40.057392
"2012-03-19" 46.674999 47.384998 46.674999 47.23 3569800 40.429771
"2012-03-20" 46.880001 47.095001 46.66 46.965 2414800 40.20293
"2012-03-21" 46.945 47.325001 46.689999 47.07 1573200 40.292801
"2012-03-22" 46.799999 46.810001 46.285 46.48 1403600 39.787746
"2012-03-23" 46.540001 47.084999 46.185001 46.825001 1505000 40.083084
"2012-03-26" 47.165001 47.709999 46.915001 47.705002 1606400 40.836376
"2012-03-27" 47.785 48.165001 47.720001 47.869999 1613400 40.977619
"2012-03-28" 47.880001 48.200001 47.185001 47.389999 2311200 40.56673
