"Index" "SNOpen" "SNHigh" "SNLow" "SNClose" "SNVolume" "SNAdjusted"
"2012-05-18" 51.419998 52.240002 50.52 50.799999 1021598 47.149529
"2012-05-21" 51.029999 52.540001 50.939999 52.450001 885201 48.680954
"2012-05-22" 52.669998 53.939999 52.5 52.75 1173646 48.959389
"2012-05-23" 52.02 52.66 51.439999 52.599998 1524825 48.820156
"2012-05-24" 53.040001 54.275002 53.040001 53.650002 1593735 49.794708
"2012-05-25" 53.68 54.599998 53.599998 54.419998 1762879 50.50938
"2012-05-29" 54.689999 55.32 54.540001 54.889999 1174132 51.058193
"2012-05-30" 54.279999 54.709999 53.68 54.57 1276415 50.760532
"2012-05-31" 54.470001 55.200001 53.830002 54.77 1076666 50.946579
"2012-06-01" 53.790001 54.119999 53.400002 53.41 1134162 49.681515
"2012-06-04" 53.529999 53.959999 52.970001 53.91 1054469 50.146603
"2012-06-05" 53.619999 54.349998 53.349998 53.779999 1541172 50.025684
"2012-06-06" 54.23 54.950001 54 54.830002 1361252 51.002392
"2012-06-07" 55.150002 55.91 55.060001 55.169998 1187497 51.318638
"2012-06-08" 55.040001 56.619999 55.040001 56.419998 1250221 52.481392
"2012-06-11" 57.029999 57.75 56.310001 56.349998 1062558 52.416275
"2012-06-12" 56.540001 56.860001 55.880001 56.810001 1361303 52.844162
"2012-06-13" 56.66 57.080002 55.669998 55.900002 1003448 51.9977
"2012-06-14" 56.119999 56.52 55.849998 56.16 1227488 52.23954
"2012-06-15" 56.310001 56.669998 56 56.619999 1380668 52.667419
"2012-06-18" 56.450001 57.52 56.330002 57.040001 978652 53.058105
"2012-06-19" 57.310001 57.389999 56.439999 56.720001 1060110 52.760448
"2012-06-20" 56.799999 57.369999 56.650002 56.82 847865 52.853462
"2012-06-21" 57.029999 57.082001 55.369999 55.52 606668 51.644215
"2012-06-22" 55.860001 56.380001 55.689999 56.16 907938 52.23954
"2012-06-25" 55.580002 55.639999 55.110001 55.310001 434242 51.448875
"2012-06-26" 55.529999 56.169998 55.400002 55.650002 548223 51.765144
"2012-06-27" 55.91 56.389999 55.779999 56 559652 52.090714
"2012-06-28" 55.700001 56.18 54.849998 56.09 613663 52.174435
"2012-06-29" 57.18 57.25 56.700001 56.860001 963161 52.890671
"2012-07-02" 57.099998 57.674 56.540001 57.529999 1077947 53.513908
"2012-07-03" 57.41 57.700001 56.928398 57.16 507146 53.169724
"2012-07-05" 56.75 57.009998 56.343601 56.650002 808062 52.695339
"2012-07-06" 56.130001 56.619999 55.580002 55.98 736770 52.072105
"2012-07-09" 55.720001 56.049999 54.880001 55.07 825962 51.225639
"2012-07-10" 55.740002 55.990002 53.950001 54.139999 713552 50.36055
"2012-07-11" 54.200001 54.380001 53.119999 53.349998 901312 49.625702
