"Index" "MMOpen" "MMHigh" "MMLow" "MMClose" "MMVolume" "MMAdjusted"
"2012-05-15" 85.949997 86.459999 85.5 85.779999 2611300 65.558418
"2012-05-16" 85.910004 86.269997 85.260002 85.349998 2770600 65.681541
"2012-05-17" 85.559998 85.639999 84.25 84.339996 2777200 64.904305
"2012-05-18" 84.779999 84.779999 83.269997 83.510002 3602900 64.265556
"2012-05-21" 83.879997 84.629997 83.75 84.459999 2450000 64.996681
"2012-05-22" 84.690002 84.989998 83.68 84.129997 3000900 64.742714
"2012-05-23" 83.370003 84.879997 82.949997 84.800003 3200000 65.258293
"2012-05-24" 84.959999 85 84.029999 84.980003 2322100 65.396835
"2012-05-25" 84.870003 85.199997 84.400002 84.779999 2346000 65.242912
"2012-05-29" 85.379997 86 85.129997 85.730003 2142200 65.974007
"2012-05-30" 85.059998 85.120003 84.099998 84.449997 2697100 64.98893
"2012-05-31" 84.449997 85.050003 83.870003 84.410004 3683200 64.958191
"2012-06-01" 83.050003 83.980003 82.720001 82.849998 3539200 63.757671
"2012-06-04" 82.790001 82.989998 81.989998 82.620003 2899900 63.580662
"2012-06-05" 82.589996 82.860001 82.25 82.510002 3268700 63.496021
"2012-06-06" 83.220001 84.639999 83.029999 84.629997 2776300 65.127487
"2012-06-07" 85.589996 86.190002 85.330002 85.5 3032400 65.796997
"2012-06-08" 85.18 86.089996 84.989998 86 2146200 66.181793
"2012-06-11" 86.540001 86.540001 85.080002 85.18 2098200 65.550735
"2012-06-12" 85.669998 86.739998 85.220001 86.730003 2570900 66.743561
"2012-06-13" 86.300003 86.800003 85.720001 86.129997 2661900 66.281799
"2012-06-14" 86.309998 87.230003 86.059998 86.860001 3334900 66.843567
"2012-06-15" 87.57 87.910004 87.010002 87.440002 4696100 67.289925
"2012-06-18" 87.07 87.610001 86.669998 87.309998 2950600 67.189873
"2012-06-19" 87.82 88.169998 87.519997 87.82 3212500 67.582352
"2012-06-20" 87.93 88.279999 87.349998 87.540001 3446800 67.366867
"2012-06-21" 88.040001 88.379997 86.620003 86.730003 3722800 66.743561
"2012-06-22" 87.110001 87.139999 86.379997 86.830002 3026000 66.820534
"2012-06-25" 85.870003 86.309998 85.459999 85.849998 2908900 66.066315
"2012-06-26" 85.910004 86.470001 85.290001 86.18 2389100 66.32029
"2012-06-27" 86.389999 87.599998 86.239998 87.160004 2887800 67.07444
"2012-06-28" 86.360001 87.25 85.980003 87.160004 3267100 67.07444
"2012-06-29" 88.620003 89.599998 88.349998 89.599998 4629400 68.952156
"2012-07-02" 89.290001 89.690002 88.279999 89.279999 2289700 68.705925
"2012-07-03" 89.110001 89.75 89.080002 89.699997 1410400 69.029129
"2012-07-05" 89.199997 89.949997 88.860001 89.57 1924800 68.929062
"2012-07-06" 88.809998 89.379997 88.349998 88.989998 2192900 68.482727
"2012-07-09" 88.860001 89.080002 88.309998 88.959999 2600900 68.459648
"2012-07-10" 89.080002 89.82 87.959999 88.25 3356800 67.913269
"2012-07-11" 88.379997 88.760002 87.010002 87.849998 4208600 67.605469
"2012-07-12" 86.599998 86.970001 85.339996 86.410004 4938300 66.497299
"2012-07-13" 86.32 87.830002 86.32 87.589996 2599300 67.40538
"2012-07-16" 88.120003 88.650002 87.769997 88.099998 2848100 67.797844
"2012-07-17" 88.25 89.349998 87.550003 88.980003 3078500 68.47506
"2012-07-18" 88.75 90.989998 88.559998 90.870003 4273300 69.929497
"2012-07-19" 90.870003 91.199997 90.400002 90.830002 3355100 69.898727
"2012-07-20" 90.18 90.489998 89.839996 89.989998 3024800 69.252281
"2012-07-23" 88.440002 89.559998 87.779999 89.360001 2434800 68.767464
"2012-07-24" 89.279999 89.510002 87.580002 88.239998 2850400 67.905594
"2012-07-25" 88.690002 89.160004 87.959999 88.75 3541200 68.29805
"2012-07-26" 90 92 89.529999 90.589996 4759400 69.71402
"2012-07-27" 90.940002 92.080002 90.660004 91.709999 3915400 70.575943
"2012-07-30" 91.410004 91.949997 90.910004 91.279999 2714900 70.245003
"2012-07-31" 91 91.660004 90.870003 91.230003 2720200 70.206528
"2012-08-01" 91.650002 91.800003 90.610001 91.199997 2149700 70.183456
"2012-08-02" 90.110001 90.730003 89.230003 90.080002 2949800 69.321556
"2012-08-03" 91.029999 91.790001 91.010002 91.699997 2713500 70.56823
"2012-08-06" 92 92.339996 91.410004 91.410004 1858500 70.345093
"2012-08-07" 91.699997 92.309998 91.620003 91.699997 1764800 70.56823
"2012-08-08" 91.480003 92.080002 91.25 91.629997 2022300 70.514351
"2012-08-09" 91.5 92.07 91.330002 91.589996 1834900 70.483597
"2012-08-10" 91.370003 92.300003 90.949997 92.290001 1755100 71.022255
"2012-08-13" 92.290001 92.589996 91.739998 92.400002 2075400 71.106926
"2012-08-14" 92.360001 92.5 92.010002 92.300003 1843500 71.029984
"2012-08-15" 92 92.739998 91.940002 92.540001 1983400 71.214661
"2012-08-16" 92.75 93.870003 92.209999 93.739998 3395200 72.13813
"2012-08-17" 93.93 94.300003 93.589996 94.239998 3069600 72.522896
"2012-08-20" 94 94.169998 93.550003 93.889999 1639500 72.253578
"2012-08-21" 93.980003 94.099998 92.989998 93.209999 2302800 71.730286
"2012-08-22" 92.559998 93.360001 92.43 92.68 2464000 71.776741
"2012-08-23" 92.650002 92.68 91.790001 91.980003 1823500 71.234596
"2012-08-24" 92.029999 92.970001 91.940002 92.830002 1945800 71.892906
"2012-08-27" 92.919998 92.970001 92.400002 92.589996 1880000 71.706985
"2012-08-28" 92.360001 92.769997 92.199997 92.300003 1913000 71.482445
"2012-08-29" 92.5 92.800003 92.300003 92.43 1736000 71.583115
"2012-08-30" 92.050003 92.150002 91.300003 91.760002 1729600 71.064232
"2012-08-31" 92.440002 93 91.900002 92.599998 1917300 71.714775
"2012-09-04" 92.029999 92.330002 91.099998 91.68 2532300 71.002281
"2012-09-05" 91.919998 91.989998 91.110001 91.75 2985500 71.056496
"2012-09-06" 92.370003 93.379997 92.059998 93.279999 3223400 72.241425
"2012-09-07" 93.379997 93.650002 92.699997 92.82 3215400 71.885162
"2012-09-10" 92.269997 92.309998 90.610001 90.669998 6356100 70.22007
"2012-09-11" 90.730003 91.589996 90.650002 91.169998 2403400 70.607285
"2012-09-12" 91.599998 91.660004 90.459999 90.809998 2409600 70.328491
"2012-09-13" 90.919998 92.43 90.459999 92.059998 2729300 71.29657
"2012-09-14" 92.860001 93.980003 92.559998 93.980003 4993000 72.783524
"2012-09-17" 93.660004 94.089996 93.489998 93.779999 3290300 72.628632
"2012-09-18" 93.779999 93.989998 93.220001 93.43 2477500 72.357567
"2012-09-19" 92.879997 94.059998 92.730003 93.629997 2723500 72.512459
"2012-09-20" 93.199997 93.629997 92.910004 93.580002 2075600 72.47374
"2012-09-21" 94.059998 94.07 92.940002 93.209999 9547000 72.187195
"2012-09-24" 92.849998 94.089996 92.760002 93.730003 3037400 72.58992
"2012-09-25" 93.949997 94.099998 92.720001 92.830002 3800400 71.892906
"2012-09-26" 92.879997 93.400002 92.540001 92.589996 2612900 71.706985
"2012-09-27" 92.889999 93.209999 91.959999 92.82 2081400 71.885162
"2012-09-28" 92.470001 92.860001 91.699997 92.419998 2559500 71.575378
"2012-10-01" 92.900002 94.269997 92.209999 93.290001 3900600 72.249161
"2012-10-02" 94.230003 94.290001 93.099998 93.540001 3602300 72.442787
"2012-10-03" 93.809998 94 93 93.779999 2610300 72.628632
"2012-10-04" 94.050003 94.529999 93.660004 94.43 2531400 73.132034
"2012-10-05" 94.739998 95.199997 94.449997 94.959999 3663600 73.54248
"2012-10-08" 94.550003 95.459999 94.5 95.370003 2607600 73.860008
"2012-10-09" 95.290001 95.290001 93.900002 93.940002 2989500 72.752571
"2012-10-10" 93.949997 94 93.150002 93.279999 2561600 72.241425
"2012-10-11" 93.860001 93.870003 92.779999 92.830002 2429200 71.892906
"2012-10-12" 92.949997 93.339996 92.400002 92.75 2566100 71.830925
"2012-10-15" 92.709999 93.059998 92.370003 92.790001 2916300 71.861923
"2012-10-16" 94.019997 94.339996 93.290001 94.230003 2857500 72.977127
"2012-10-17" 94.940002 95.099998 94.550003 94.809998 3191800 73.426338
"2012-10-18" 94.68 95 94.169998 94.739998 2538800 73.372124
"2012-10-19" 94.610001 94.610001 92.690002 92.940002 3804100 71.978088
"2012-10-22" 92.410004 93.059998 91.5 92.529999 3130800 71.660561
"2012-10-23" 89.669998 90.519997 88.580002 88.730003 5866000 68.717598
"2012-10-24" 89.029999 89.540001 88.150002 88.389999 3321300 68.454308
"2012-10-25" 88.57 88.839996 87.410004 87.809998 4613900 68.005127
"2012-10-26" 87.900002 88.540001 87.589996 88.029999 3592600 68.175484
"2012-10-31" 88.029999 88.690002 87.489998 87.599998 3360400 67.842476
"2012-11-01" 87.940002 89.400002 87.839996 89.25 3306600 69.120323
"2012-11-02" 89.610001 89.970001 88.779999 88.970001 3051900 68.903473
"2012-11-05" 88.080002 89.839996 88.080002 89.599998 2387800 69.391388
"2012-11-06" 89.949997 91.230003 89.870003 90.860001 2806100 70.367218
"2012-11-07" 90.339996 90.339996 88.709999 89.379997 4593100 69.221016
"2012-11-08" 89.110001 89.830002 88.459999 88.550003 3005900 68.578224
"2012-11-09" 88.599998 89.559998 88.099998 88.809998 3176400 68.779572
"2012-11-12" 88.959999 89.669998 88.5 89.18 2220100 69.066116
"2012-11-13" 88.599998 90.190002 88.360001 89.080002 2985900 68.988678
"2012-11-14" 89.169998 89.379997 87.07 87.309998 2882700 67.617882
"2012-11-15" 86.739998 88.290001 86.739998 88.019997 3291600 68.167747
"2012-11-16" 88.120003 89.379997 87.75 88.5 5237100 68.539497
"2012-11-19" 89.25 89.699997 88.769997 89.57 2688600 69.368156
"2012-11-20" 89.080002 89.68 88.400002 89.019997 2035100 69.399345
"2012-11-21" 89.080002 89.150002 88.660004 88.940002 2011300 69.33699
"2012-11-23" 89.290001 90.330002 89.150002 90.279999 1101100 70.38163
"2012-11-26" 89.540001 90.25 89.540001 90.089996 1910200 70.233498
"2012-11-27" 90.190002 90.959999 90.120003 90.309998 2504200 70.405006
"2012-11-28" 90.099998 91 89.480003 90.93 2426200 70.888374
"2012-11-29" 91.349998 91.970001 90.510002 90.650002 2364000 70.670097
"2012-11-30" 90.68 91.190002 90.489998 90.949997 2284900 70.903969
"2012-12-03" 91.410004 91.68 90.120003 90.300003 1929200 70.397217
"2012-12-04" 90.309998 90.690002 90 90.120003 1969800 70.256889
"2012-12-05" 90.300003 91.199997 89.599998 90.760002 2996600 70.755859
"2012-12-06" 90.800003 91.089996 90.309998 90.949997 2027700 70.903969
"2012-12-07" 91.239998 91.669998 90.68 91.510002 2476400 71.34053
"2012-12-10" 91.370003 92.480003 91.349998 91.870003 2847700 71.621193
"2012-12-11" 92.650002 93.900002 92.5 93.68 3821600 73.032257
"2012-12-12" 93.720001 94 92.519997 93.120003 4064900 72.595695
"2012-12-13" 92.949997 93.449997 92.160004 92.5 2621400 72.112343
"2012-12-14" 92 92.580002 92 92.279999 2709000 71.940842
"2012-12-17" 92.389999 93.110001 92.129997 93.029999 2750700 72.525505
"2012-12-18" 93.129997 94 93 93.849998 2800000 73.16478
"2012-12-19" 93.919998 93.980003 92.970001 93.019997 3254800 72.517723
"2012-12-20" 93.349998 94.139999 93.209999 94.129997 3289800 73.383072
"2012-12-21" 92.779999 93.660004 91.940002 93.099998 5975500 72.580086
"2012-12-24" 92.699997 93.720001 92.690002 93.190002 953400 72.650246
"2012-12-26" 93.349998 93.730003 92.75 93.07 1542900 72.556732
"2012-12-27" 93.110001 93.169998 91.669998 92.639999 2360900 72.221466
"2012-12-28" 91.980003 92.800003 91.610001 91.779999 1877300 71.551025
"2012-12-31" 91.550003 92.919998 91.400002 92.849998 2580600 72.385193
"2013-01-02" 94.190002 94.790001 93.959999 94.779999 3206700 73.889801
"2013-01-03" 94.339996 94.93 94.129997 94.669998 2704600 73.804047
"2013-01-04" 94.790001 95.480003 94.540001 95.370003 2704900 74.349747
"2013-01-07" 95.019997 95.730003 94.760002 95.489998 2745800 74.443314
"2013-01-08" 95.169998 95.75 95.099998 95.5 2655500 74.451111
"2013-01-09" 95.870003 96.739998 95.709999 96.410004 2359700 75.16053
"2013-01-10" 96.709999 96.989998 96.330002 96.889999 2600600 75.534744
"2013-01-11" 95.839996 96.660004 95.209999 96.279999 2923900 75.059189
"2013-01-14" 96.400002 97.389999 96.099998 97.080002 2592500 75.682854
"2013-01-15" 96.830002 97.400002 96.57 97.290001 2106400 75.846588
"2013-01-16" 97 97.699997 96.919998 97.599998 2092300 76.088264
"2013-01-17" 97.790001 98.5 97.510002 98.080002 2803900 76.462463
"2013-01-18" 98.419998 98.800003 98.040001 98.739998 3187900 76.97699
"2013-01-22" 98.389999 99.330002 98.099998 99.330002 3215200 77.436951
"2013-01-23" 98.970001 99.699997 98.809998 99.489998 3579300 77.561684
"2013-01-24" 99.379997 99.82 98.800003 99.669998 3816300 77.702011
"2013-01-25" 99.790001 100.870003 99.580002 100.589996 4237800 78.419235
"2013-01-28" 100.980003 100.980003 100.269997 100.650002 2964900 78.465996
"2013-01-29" 100.330002 101.870003 100.059998 101.809998 3530700 79.370331
"2013-01-30" 101.800003 101.949997 100.690002 100.800003 2822800 78.582947
"2013-01-31" 100.690002 100.949997 100.07 100.550003 3763100 78.388069
